,FOXD2 (2306)
ACH-000541,0.07278864971283877
ACH-000542,-0.2331263367923544
ACH-000544,-0.22671537288739785
ACH-000545,0.00915590490996346
ACH-000547,-0.0585895510169727
ACH-000548,-0.14758724673297605
ACH-000549,-0.04098078479435443
ACH-000550,-0.05624185234645717
ACH-000552,-0.06484552102528646
ACH-000556,-0.12529683428645194
ACH-000557,-0.25038892565602017
ACH-000569,0.011022246145377172
ACH-000570,-0.015351638709652634
ACH-000571,-0.14446770716702342
ACH-000573,-0.15964651638933733
ACH-000576,-0.23843774300534745
ACH-000579,-0.23487626876000384
ACH-000580,-0.05171387840439512
ACH-000584,-0.0552780984870564
ACH-000585,-0.10961506237393114
ACH-000588,-0.297295182305247
ACH-000589,-0.14473337675486134
ACH-000591,-0.09029494668842307
ACH-000593,-0.14501555923676748
ACH-000600,-0.13695654593691556
ACH-000601,-0.10387861098971446
ACH-000605,-0.2593807311603054
ACH-000606,-0.1494331899992083
ACH-000608,-0.15058547372097106
ACH-000614,-0.24137714128060014
ACH-000616,-0.24133019442295475
ACH-000618,-0.08585968500418448
ACH-000619,-0.1542634535717934
ACH-000620,-0.15468947049224446
ACH-000621,-0.0130473600100918
ACH-000622,-0.06264270251363106
ACH-000623,-0.10067398062610897
ACH-000624,-0.033238607216555555
ACH-000627,-0.11440110107732927
ACH-000630,-0.3163766555724255
ACH-000631,-0.0942074693434945
ACH-000632,-0.10657800039694597
ACH-000633,-0.07113736068543591
ACH-000637,0.005885099412818742
ACH-000638,-0.2394464050416488
ACH-000646,-0.04100281722885642
ACH-000647,-0.09408571567571967
ACH-000648,-0.24607417208669566
ACH-000649,-0.14333189695778056
ACH-000651,-0.06816454190691869
ACH-000652,-0.3984264521731916
ACH-000653,-0.035753274370798685
ACH-000657,-0.17910958142489278
ACH-000658,-0.2172219420944772
ACH-000661,0.07566564925151456
ACH-000662,0.08245019174073959
ACH-000663,-0.03368938057690588
ACH-000665,-0.11534367383883355
ACH-000671,-0.019975343142664977
ACH-000672,-0.12860642122264718
ACH-000673,-0.1017651706748388
ACH-000676,-0.09912663834138992
ACH-000677,-0.026196429287813242
ACH-000681,-0.0633750418982781
ACH-000683,-0.08339674651846482
ACH-000684,-0.221426018065041
ACH-000688,-0.1916828582136164
ACH-000693,-0.10841708203078737
ACH-000694,-0.11803007184974892
ACH-000695,0.0018578898151230718
ACH-000696,-0.07808388525193682
ACH-000697,-0.2262060531157345
ACH-000699,-0.1938434938815752
ACH-000701,-0.21100175198318755
ACH-000706,-0.1880318551200626
ACH-000711,-0.07282493245167124
ACH-000713,-0.3430077817871789
ACH-000714,-0.27490766328242444
ACH-000718,-0.09876021691267196
ACH-000720,-0.12507819727401354
ACH-000721,-0.2316114616477941
ACH-000724,-0.08299854282839902
ACH-000725,-0.10609278747300133
ACH-000732,-0.14927018261849045
ACH-000734,-0.40251068034032
ACH-000735,-0.10441156686456994
ACH-000736,-0.24477415548417375
ACH-000738,-0.0146552874158948
ACH-000746,-0.0529973116384487
ACH-000747,-0.1120412570875169
ACH-000748,0.005470021261216332
ACH-000753,-0.19486303201015825
ACH-000756,-0.0778083539332074
ACH-000757,-0.13575072348886974
ACH-000758,-0.08658953668327084
ACH-000760,-0.06079894780413993
ACH-000762,-0.14699618301451314
ACH-000763,-0.19879266535743306
ACH-000764,-0.05949267242081362
ACH-000765,-0.20248954092460486
ACH-000766,-0.11478550787307873
ACH-000767,0.004605423150304337
ACH-000768,-0.14358700993435872
ACH-000769,-0.14002971225503089
ACH-000770,-0.2526491336793019
ACH-000771,-0.14799813228708572
ACH-000773,-0.0202188666891917
ACH-000776,-0.12397787275960645
ACH-000777,-0.17822078270256647
ACH-000778,-0.1464761031343134
ACH-000781,-0.15705259337599978
ACH-000782,-0.120974673194664
ACH-000783,-0.09356992848826473
ACH-000784,-0.1162933432022335
ACH-000785,-0.31252623879459385
ACH-000787,-0.047106168302407436
ACH-000788,-0.1185377786370969
ACH-000791,-0.15021241626591306
ACH-000792,-0.05694802110901528
ACH-000794,-0.2445795843496425
ACH-000796,0.04088286640091859
ACH-000798,-0.041142947231831824
ACH-000799,-0.010048767897717676
ACH-000800,0.06645129719495885
ACH-000802,-0.01736003269319303
ACH-000804,-0.16982048567916358
ACH-000805,-0.3087931535383965
ACH-000809,-0.09369668672282007
ACH-000810,0.0018145251061040875
ACH-000811,-0.10200200381667758
ACH-000817,-0.2757779090078957
ACH-000819,-0.040776566062188296
ACH-000820,0.1199099312974756
ACH-000821,-0.16810167840308465
ACH-000822,-0.08448566747306115
ACH-000823,-0.22418994361125552
ACH-000824,-0.07058787699854491
ACH-000827,0.1006497723117462
ACH-000829,-0.05228856186481225
ACH-000831,-0.2655576098249944
ACH-000832,-0.22254186856379174
ACH-000833,-0.3098237704430193
ACH-000834,-0.11178579386651932
ACH-000835,-0.07451619230175399
ACH-000836,-0.08648412226001233
ACH-000837,-0.18147915760653674
ACH-000838,-0.12360707134567167
ACH-000839,-0.1552738709385667
ACH-000840,-0.02890731645961302
ACH-000841,-0.08731389930574962
ACH-000843,-0.0863935041089501
ACH-000846,-0.2297261115619825
ACH-000847,-0.2857094999915349
ACH-000848,-0.16290944697295626
ACH-000849,-0.3459391573241013
ACH-000851,-0.1682877765598882
ACH-000855,-0.27682952917126397
ACH-000856,-0.0787019847834378
ACH-000858,0.01744303155286241
ACH-000859,0.014966796365528657
ACH-000861,-0.2155609153426865
ACH-000862,-0.2948394796553163
ACH-000865,-0.039799936058193305
ACH-000866,-0.2578812287460608
ACH-000867,-0.07529813227637014
ACH-000869,-0.11653822771251285
ACH-000872,-0.17532337071950008
ACH-000873,-0.11106387109065266
ACH-000876,-0.16537970532782986
ACH-000878,-0.10854624042503484
ACH-000880,-0.14516576518893062
ACH-000881,-0.09191507586678213
ACH-000882,-0.04490775147173001
ACH-000884,-0.10761693347433646
ACH-000885,0.006737030408275638
ACH-000887,-0.1949663107234713
ACH-000889,-0.3142914302303648
ACH-000896,-0.18847297367092974
ACH-000898,-0.14330190483209915
