,ZNF44 (51710)
ACH-000848,0.15011199973044084
ACH-000849,0.20952778986953893
ACH-000851,0.21254642195360404
ACH-000855,0.20246973070667174
ACH-000856,0.2837616573989584
ACH-000858,0.1446679394714979
ACH-000859,0.1194662262775515
ACH-000861,0.18496832899022506
ACH-000862,0.1487298850076147
ACH-000865,0.17771206335869952
ACH-000866,0.09843075477346827
ACH-000867,0.11602081464859013
ACH-000869,0.05917295405337322
ACH-000872,0.13948171030826692
ACH-000873,0.04289211357723211
ACH-000876,0.10556409140814954
ACH-000878,0.15383139812814992
ACH-000880,0.04784261007371274
ACH-000881,0.1196480760201044
ACH-000882,0.24135297129030825
ACH-000884,0.19180980625481345
ACH-000885,0.15468337591666326
ACH-000887,0.07203856320291452
ACH-000889,0.11540745904422495
ACH-000896,0.12471913870586768
ACH-000898,0.16014354066303446
ACH-000900,0.14059468664306096
ACH-000901,0.21176221472870305
ACH-000905,0.09246881416839163
ACH-000906,0.15138984614674408
ACH-000907,0.2104829502564067
ACH-000910,0.17799545704522135
ACH-000911,0.1822431859333883
ACH-000912,0.16473384558178167
ACH-000913,0.08144015184615952
ACH-000915,0.1999030987491208
ACH-000916,0.2480963308881461
ACH-000917,-0.043459690125493694
ACH-000920,-0.003705846532361229
ACH-000921,0.05571726414623008
ACH-000924,0.10233686615259437
ACH-000926,0.12783246602617349
ACH-000928,0.2138676710822841
ACH-000929,-0.01557597919374236
ACH-000932,0.21748346006263605
ACH-000935,0.18374961925910893
ACH-000936,0.11012118075027158
ACH-000937,0.050340181184155175
ACH-000938,0.1812786859167637
ACH-000939,-0.08224043080677931
ACH-000941,0.1386734497575903
ACH-000943,0.18295469822532207
ACH-000946,0.23581210444317774
ACH-000947,0.2518956076716187
ACH-000948,0.03851969594325187
ACH-000950,0.03919088553299842
ACH-000953,0.18088903277123006
ACH-000954,0.2541046683913435
ACH-000957,0.19607973501367815
ACH-000958,0.2944476978556448
ACH-000960,-0.029017121253200467
ACH-000963,-0.017642224030476324
ACH-000968,0.2041888060212485
ACH-000969,0.20992475906665628
ACH-000972,0.09775301204354657
ACH-000973,0.09967029327097347
ACH-000974,0.037320377766987115
ACH-000978,0.2006151975964722
ACH-000984,0.14154218221022194
ACH-000986,0.12934327283566205
ACH-000988,0.11410059991598008
ACH-000993,0.010267803774900977
ACH-000994,0.13114230495611776
ACH-000996,0.11159089250493016
ACH-001001,0.19773138291574327
ACH-001020,0.2466667806407425
ACH-001028,0.1853667984122055
ACH-001031,0.05935975421767554
ACH-001038,0.1003854127553101
ACH-001048,0.2453993735097323
ACH-001050,0.09645107208150568
ACH-001053,0.2445199738474059
ACH-001054,0.18475386933355775
ACH-001061,0.16894666074120093
ACH-001067,0.15736242747246754
ACH-001075,0.14134539136120794
ACH-001096,0.12294396234377128
ACH-001111,-0.054737881894844624
ACH-001119,0.21766946083003305
ACH-001128,0.3189040773787136
ACH-001134,0.07787787077362893
ACH-001151,0.12034965242412858
ACH-001163,0.1819663152772116
ACH-001164,0.2464357759189987
ACH-001183,0.08420985297654894
ACH-001192,0.006787464241652256
ACH-001193,0.2904985984701394
ACH-001196,0.05027358603696182
ACH-001197,0.03495464736794422
ACH-001205,0.1294537499659934
ACH-001211,0.20807356930881465
ACH-001212,0.12247521439901715
ACH-001228,-0.006154636304120364
ACH-001232,0.10838639424033117
ACH-001239,0.14464590360245388
ACH-001270,0.31217331276841365
ACH-001274,0.2385802345406711
ACH-001275,0.20555993676761602
ACH-001277,0.3252946312199492
ACH-001278,0.11347273737105162
ACH-001280,0.19762318232959689
ACH-001283,0.16978625951041262
ACH-001289,0.05426761338432499
ACH-001300,0.22276504733743566
ACH-001301,0.16043422015253975
ACH-001302,0.05468199737598
ACH-001306,0.1146126050754546
ACH-001318,0.14011747491703022
ACH-001322,0.20921182254826692
ACH-001328,0.12306508333382232
ACH-001332,0.14889440531744247
ACH-001336,0.20894701145994465
ACH-001346,0.10405638453792164
ACH-001353,0.1395194944282266
ACH-001354,0.3084464954391271
ACH-001367,-0.03528790603098663
ACH-001368,0.13929194016604074
ACH-001374,0.2957660097612347
ACH-001377,0.10104873728218598
ACH-001380,0.15909492969056568
ACH-001391,0.18739212636766173
ACH-001408,0.05412363077852703
ACH-001430,0.11115321545491386
ACH-001431,0.11448314967037508
ACH-001450,0.07055135273059293
ACH-001496,0.12017135645782755
ACH-001500,0.21510278425764545
ACH-001523,0.18658120826120075
ACH-001532,0.10325901667965977
ACH-001550,0.14803855019496398
ACH-001552,-0.09268337462287084
ACH-001554,0.055537674642234205
ACH-001654,0.1288133346102339
ACH-001735,0.07393001091326178
ACH-001736,0.1503092865106902
ACH-001737,0.04354616760816255
ACH-001740,0.16876888269022394
ACH-001745,0.09659875920188332
ACH-001765,0.045439800585805865
