,mutation counts,nonsilent mutations
ACH-000323,275,208
ACH-000324,314,230
ACH-000329,246,174
ACH-000330,343,264
ACH-000331,228,172
ACH-000332,312,226
ACH-000334,466,355
ACH-000335,264,187
ACH-000336,231,168
ACH-000337,509,384
ACH-000338,515,376
ACH-000339,376,278
ACH-000341,294,211
ACH-000348,370,255
ACH-000350,495,386
ACH-000352,472,356
ACH-000356,444,315
ACH-000361,140,110
ACH-000362,334,238
ACH-000363,329,244
ACH-000364,401,293
ACH-000365,352,267
ACH-000366,501,361
ACH-000368,326,224
ACH-000374,335,248
ACH-000375,415,310
ACH-000376,401,313
ACH-000381,503,383
ACH-000383,319,232
ACH-000387,495,378
ACH-000389,415,314
ACH-000390,345,243
ACH-000393,470,326
ACH-000395,528,403
ACH-000396,333,238
ACH-000397,412,289
ACH-000401,451,329
ACH-000402,319,236
ACH-000403,239,188
ACH-000404,408,296
ACH-000406,383,307
ACH-000407,311,221
ACH-000408,669,473
ACH-000410,480,378
ACH-000411,273,206
ACH-000414,642,497
ACH-000415,230,173
ACH-000416,693,532
ACH-000420,428,317
ACH-000421,308,229
ACH-000424,450,333
ACH-000425,493,343
ACH-000426,516,371
ACH-000427,436,314
ACH-000433,251,198
ACH-000435,299,230
ACH-000436,181,142
ACH-000444,501,372
ACH-000445,402,307
ACH-000448,506,374
ACH-000450,454,322
ACH-000452,416,299
ACH-000454,351,246
ACH-000458,274,189
ACH-000459,350,252
ACH-000460,444,309
ACH-000461,376,281
ACH-000463,511,400
ACH-000464,343,254
ACH-000466,391,266
ACH-000467,524,381
ACH-000468,464,351
ACH-000469,352,237
ACH-000470,514,384
ACH-000471,429,318
ACH-000472,540,389
ACH-000473,341,242
ACH-000475,575,406
ACH-000476,449,302
ACH-000477,323,223
ACH-000479,370,263
ACH-000480,456,331
ACH-000481,607,443
ACH-000483,369,268
ACH-000484,278,210
ACH-000485,462,341
ACH-000486,477,353
ACH-000487,346,248
ACH-000488,638,471
ACH-000490,467,343
ACH-000491,511,398
ACH-000495,325,249
ACH-000496,392,300
ACH-000499,318,245
ACH-000500,480,374
ACH-000502,282,224
ACH-000503,344,246
ACH-000505,412,304
ACH-000507,601,434
ACH-000510,603,467
ACH-000511,375,272
ACH-000512,512,374
ACH-000516,367,269
ACH-000517,315,240
ACH-000518,377,279
ACH-000520,359,277
ACH-000521,483,369
ACH-000522,441,340
ACH-000524,448,314
ACH-000527,560,411
ACH-000528,624,462
ACH-000537,362,262
ACH-000541,544,389
ACH-000542,302,223
ACH-000544,429,308
ACH-000545,757,560
ACH-000547,292,227
ACH-000548,549,402
ACH-000549,438,316
ACH-000550,568,389
ACH-000552,563,419
ACH-000556,648,454
ACH-000557,292,214
ACH-000569,260,188
ACH-000570,502,363
ACH-000571,290,221
ACH-000573,493,387
ACH-000576,566,423
ACH-000579,609,428
ACH-000580,405,283
ACH-000584,525,382
ACH-000585,533,418
ACH-000588,619,429
ACH-000589,548,405
ACH-000591,186,138
ACH-000593,190,137
ACH-000600,229,171
ACH-000601,442,338
ACH-000605,696,522
ACH-000606,335,245
ACH-000608,419,299
ACH-000614,518,368
ACH-000616,608,473
ACH-000618,337,236
ACH-000619,431,346
ACH-000620,563,398
ACH-000621,635,471
ACH-000622,484,342
ACH-000623,349,242
ACH-000624,422,288
ACH-000627,522,415
ACH-000630,477,337
ACH-000631,516,373
ACH-000632,489,329
ACH-000633,646,459
ACH-000637,746,540
ACH-000638,731,572
ACH-000646,507,365
ACH-000647,732,546
ACH-000648,398,292
ACH-000649,547,407
ACH-000651,727,523
ACH-000652,542,389
ACH-000653,432,328
ACH-000657,763,532
ACH-000658,288,209
ACH-000661,512,358
ACH-000662,743,550
ACH-000663,508,378
ACH-000665,688,551
ACH-000671,526,366
ACH-000672,793,590
ACH-000673,236,179
ACH-000676,693,491
ACH-000677,399,314
ACH-000681,771,576
ACH-000683,609,459
ACH-000684,383,277
ACH-000688,244,181
ACH-000693,867,594
ACH-000694,782,588
ACH-000695,324,257
ACH-000696,491,366
ACH-000697,856,644
ACH-000699,614,474
ACH-000701,366,254
ACH-000706,681,527
ACH-000711,278,210
ACH-000713,405,288
ACH-000714,957,689
ACH-000718,918,711
ACH-000720,477,362
ACH-000721,614,456
ACH-000724,453,328
ACH-000725,632,474
ACH-000732,299,230
ACH-000734,641,466
ACH-000735,356,272
ACH-000736,519,378
ACH-000738,690,486
ACH-000746,539,380
ACH-000747,786,606
ACH-000748,380,278
ACH-000753,524,367
ACH-000756,600,453
ACH-000757,713,537
ACH-000758,698,512
ACH-000760,633,453
ACH-000762,648,481
ACH-000763,610,425
ACH-000764,765,575
ACH-000765,477,345
ACH-000766,750,579
ACH-000767,742,551
ACH-000768,576,434
ACH-000769,581,429
ACH-000770,945,703
ACH-000771,374,272
ACH-000773,867,639
ACH-000776,800,615
ACH-000777,1152,836
ACH-000778,621,475
ACH-000781,825,641
ACH-000782,820,609
ACH-000783,648,469
ACH-000784,789,581
ACH-000785,983,741
ACH-000787,692,528
ACH-000788,772,565
ACH-000791,988,731
ACH-000792,438,321
ACH-000794,354,243
ACH-000796,613,441
ACH-000798,427,308
ACH-000799,731,523
ACH-000800,1281,1032
ACH-000802,484,351
ACH-000804,1016,761
ACH-000805,1045,727
ACH-000809,1219,887
ACH-000810,765,554
ACH-000811,887,646
ACH-000817,736,506
ACH-000819,790,603
ACH-000820,863,651
ACH-000821,749,538
ACH-000822,748,537
ACH-000823,1168,830
ACH-000824,831,605
ACH-000827,733,536
ACH-000829,987,706
ACH-000831,787,584
ACH-000832,586,428
ACH-000833,635,477
ACH-000834,324,244
ACH-000835,1034,709
ACH-000836,237,171
ACH-000837,830,638
ACH-000838,608,465
ACH-000839,613,428
ACH-000840,776,591
ACH-000841,1008,771
ACH-000843,1163,859
ACH-000846,685,502
ACH-000847,936,715
ACH-000848,1091,819
ACH-000849,571,407
ACH-000851,961,728
ACH-000855,905,659
ACH-000856,1148,857
ACH-000858,788,572
ACH-000859,504,344
ACH-000861,700,533
ACH-000862,794,599
ACH-000865,1007,757
ACH-000866,1241,904
ACH-000867,904,688
ACH-000869,1229,940
ACH-000872,1464,1138
ACH-000873,1103,786
ACH-000876,1038,763
ACH-000878,1140,860
ACH-000880,1086,833
ACH-000881,1262,859
ACH-000882,1636,1155
ACH-000884,1878,1304
ACH-000885,1582,1230
ACH-000887,372,280
ACH-000889,1289,963
ACH-000896,626,461
ACH-000898,1329,1065
ACH-000900,1519,1135
ACH-000901,569,423
ACH-000905,678,481
ACH-000906,831,606
ACH-000907,1390,1042
ACH-000910,1196,864
ACH-000911,1674,1215
ACH-000912,1869,1461
ACH-000913,1410,1113
ACH-000915,1577,1055
ACH-000916,2030,1565
ACH-000917,1362,1072
ACH-000920,3425,2531
ACH-000921,2094,1627
ACH-000924,1988,1547
ACH-000926,1462,1152
ACH-000928,2495,1884
ACH-000929,2571,1942
ACH-000932,2488,1911
ACH-000935,1122,764
ACH-000936,2078,1565
ACH-000937,5115,3691
ACH-000938,2470,1768
ACH-000939,2535,1939
ACH-000941,2649,1926
ACH-000943,4502,3480
ACH-000946,2937,2242
ACH-000947,2502,1882
ACH-000948,3048,2322
ACH-000950,3100,2358
ACH-000953,3161,2288
ACH-000954,5223,3864
ACH-000957,2945,2324
ACH-000958,3736,2823
ACH-000960,2779,1956
ACH-000963,4125,3146
ACH-000968,2670,1851
ACH-000969,4652,3354
ACH-000972,4272,3301
ACH-000973,2915,2088
ACH-000974,4504,3284
ACH-000978,7596,5941
ACH-000984,6357,4787
ACH-000986,7488,5789
ACH-000988,6916,4938
ACH-000993,8467,6930
ACH-000994,10226,7420
ACH-000996,11700,9499
ACH-001001,0,0
ACH-001020,251,182
ACH-001028,510,348
ACH-001031,322,216
ACH-001038,235,169
ACH-001048,175,132
ACH-001050,259,173
ACH-001053,254,161
ACH-001054,341,219
ACH-001061,0,0
ACH-001067,0,0
ACH-001075,456,323
ACH-001096,0,0
ACH-001111,615,434
ACH-001119,536,367
ACH-001128,335,238
ACH-001134,484,365
ACH-001151,198,140
ACH-001163,295,205
ACH-001164,288,202
ACH-001183,358,248
ACH-001192,203,158
ACH-001193,438,335
ACH-001196,281,200
ACH-001197,556,383
ACH-001205,143,113
ACH-001211,221,148
ACH-001212,395,276
ACH-001228,354,256
ACH-001232,319,208
ACH-001239,543,386
ACH-001270,304,212
ACH-001274,885,606
ACH-001275,455,325
ACH-001277,385,264
ACH-001278,240,161
ACH-001280,353,249
ACH-001283,290,211
ACH-001289,267,182
ACH-001300,271,191
ACH-001301,251,186
ACH-001302,284,202
ACH-001306,465,329
ACH-001318,1233,913
ACH-001322,410,303
ACH-001328,648,482
ACH-001332,417,293
ACH-001336,625,434
ACH-001346,249,173
ACH-001353,223,157
ACH-001354,354,264
ACH-001367,720,535
ACH-001368,350,257
ACH-001374,432,316
ACH-001377,2014,1479
ACH-001380,237,171
ACH-001391,370,267
ACH-001408,529,382
ACH-001430,222,159
ACH-001431,254,178
ACH-001450,364,271
ACH-001496,408,283
ACH-001500,400,289
ACH-001523,629,448
ACH-001532,357,251
ACH-001550,6495,4423
ACH-001552,2006,1411
ACH-001554,214,148
ACH-001654,300,233
ACH-001735,1214,912
ACH-001736,315,220
ACH-001737,1838,1316
ACH-001740,506,376
ACH-001745,253,186
ACH-001765,390,294
