,LRP10 (26020)
ACH-000376,0.032937504836859616
ACH-000381,0.07555038010123416
ACH-000383,-0.13033741491043171
ACH-000387,-0.22499945346161385
ACH-000389,0.12017227335544176
ACH-000390,-0.05017107159679444
ACH-000393,-0.02630516838166815
ACH-000395,0.11350599981045766
ACH-000396,0.07226572181493192
ACH-000397,0.013285526599692836
ACH-000401,-0.06361237224149897
ACH-000402,-0.062422346485936135
ACH-000403,-0.006797361469300222
ACH-000404,-0.1396900448513663
ACH-000406,0.03570468159013124
ACH-000407,-0.028651032751539976
ACH-000408,0.13671287902271
ACH-000410,0.15589500354839994
ACH-000411,0.04556771008662888
ACH-000414,-0.03555462762577292
ACH-000415,-0.004964113077496301
ACH-000416,0.02136805137202916
ACH-000420,0.008202490046605455
ACH-000421,0.017894377000474603
ACH-000424,0.2201616054970956
ACH-000425,0.06179818473651313
ACH-000426,-0.06671905781700446
ACH-000427,0.01847462909665217
ACH-000433,0.2983639563495892
ACH-000435,-0.3575699884530407
ACH-000436,0.25151714076001946
ACH-000444,0.04326261032532723
ACH-000445,-0.08026659571314577
ACH-000448,0.0424947318182464
ACH-000450,0.005067995355683345
ACH-000452,0.06787497165100101
ACH-000454,-0.027864353304839055
ACH-000458,0.04275133820341123
ACH-000459,0.0859566723275861
ACH-000460,0.12466654612082192
ACH-000461,0.1386033935552077
ACH-000463,0.07832247376962441
ACH-000464,0.07402185970577227
ACH-000466,0.11111882991211386
ACH-000467,0.2654411309049682
ACH-000468,0.09706856952239397
ACH-000469,-0.02400703997371464
ACH-000470,0.2514486390050751
ACH-000471,0.04889516027105127
ACH-000472,0.008672684419158843
ACH-000473,-0.4753658693256681
ACH-000475,0.0909563560717874
ACH-000476,0.14367758366175198
ACH-000477,-0.033971928692127194
ACH-000479,-0.03880896555560357
ACH-000480,0.0674676615551475
ACH-000481,-0.12076591107834145
ACH-000483,0.10363762344579586
ACH-000484,-0.11377999061969275
ACH-000485,0.140425535774105
ACH-000486,-0.0014035955545759905
ACH-000487,0.16942939249711644
ACH-000488,0.10606460425158934
ACH-000490,-0.03066667529789792
ACH-000491,-0.013283993571996972
ACH-000495,0.04842920048832528
ACH-000496,0.017580098386860425
ACH-000499,-0.0978970580702217
ACH-000500,-0.08152469456964766
ACH-000502,-0.036740042102620725
ACH-000503,-0.12638095919931286
ACH-000505,-0.028523001550849112
ACH-000507,0.02930564677096044
ACH-000510,-0.007483526086732406
ACH-000511,0.12875802548189005
ACH-000512,-0.3465400031701146
ACH-000516,-0.0479980524298081
ACH-000517,0.04174038020582769
ACH-000518,0.19270525813370493
ACH-000520,-0.0439369738646966
ACH-000521,0.07789522388791932
ACH-000522,-0.03932180302774727
ACH-000524,0.01367589715678673
ACH-000527,-0.013017250364602634
ACH-000528,0.02919271456598777
ACH-000537,0.11173177640740316
ACH-000541,-0.10117924561681416
ACH-000542,0.0246560562469634
ACH-000544,0.061957973409398875
ACH-000545,0.004665245664196093
ACH-000547,0.04625096530299519
ACH-000548,0.16002857860730962
ACH-000549,0.10156036130382376
ACH-000550,-0.004559320063359068
ACH-000552,-0.06444045308528895
ACH-000556,0.014244036473494913
ACH-000557,0.028716265765751668
ACH-000569,0.3612694634375664
ACH-000570,0.06304106250706829
ACH-000571,-0.01278196891937133
ACH-000573,0.11172072766743736
ACH-000576,-0.3667681946086775
ACH-000579,-0.12383776714470672
ACH-000580,0.07798579428639332
ACH-000584,0.017570922039915792
ACH-000585,0.15139338430608826
ACH-000588,0.12882445900924108
ACH-000589,0.02262751429182769
ACH-000591,0.0284844530941023
ACH-000593,0.16480412231680885
ACH-000600,0.10592891794774974
ACH-000601,-0.006064122254587626
ACH-000605,-0.05598555789879954
ACH-000606,0.04205186776036253
ACH-000608,-0.042013823729638064
ACH-000614,0.028775027759181525
ACH-000616,0.04392146092166858
ACH-000618,0.0039610276463968655
ACH-000619,-0.005050005679124237
ACH-000620,0.062228896906530766
ACH-000621,-0.018094484878259782
ACH-000622,-0.062049519671646014
ACH-000623,-0.14422074722097122
ACH-000624,0.004890692852898505
ACH-000627,0.11264583330528845
ACH-000630,0.16172228400529765
ACH-000631,0.1027083034954518
ACH-000632,0.019095558832703124
ACH-000633,-0.05859342738998664
ACH-000637,0.145037875473361
ACH-000638,0.04784698871999827
ACH-000646,-0.040145830893098734
ACH-000647,0.06519296605827403
ACH-000648,0.19101932099121896
ACH-000649,0.03216413618232815
ACH-000651,-0.0698829895379171
ACH-000652,0.049041150704532514
ACH-000653,0.11103881572856074
ACH-000657,0.07995466422185875
ACH-000658,0.065408106074314
ACH-000661,0.14431999359039627
ACH-000662,-0.06039555510378316
ACH-000663,0.06749449040952413
ACH-000665,0.06993702221707006
ACH-000671,-0.03717745523379511
ACH-000672,0.16628412319621266
ACH-000673,0.0579611863142167
ACH-000676,0.02735436718640366
ACH-000677,-0.01318501332384595
ACH-000681,0.19390019595356034
ACH-000683,-0.07835503839059582
ACH-000684,0.08087582178628358
ACH-000688,0.17738294426704315
ACH-000693,0.036414555541622984
ACH-000694,0.05313775775800346
ACH-000695,0.1510890293666116
ACH-000696,0.030351250906748218
ACH-000697,-0.10798634654895167
ACH-000699,0.02710744365567716
ACH-000701,0.025760297868212347
ACH-000706,0.08044400356330285
ACH-000711,0.013529919384343624
ACH-000713,-0.13167487711174175
ACH-000714,-0.111875220223087
ACH-000718,-0.07202602460828028
ACH-000720,0.0065463340104472256
ACH-000721,-0.18389160497124712
ACH-000724,0.2029776383406808
ACH-000725,-0.02476805851872068
ACH-000732,0.07348969873334586
ACH-000734,0.07455889902764247
ACH-000735,0.03737407234137545
ACH-000736,-0.003701440221847102
ACH-000738,0.05294675930131409
ACH-000746,0.02223943365235679
ACH-000747,0.051159961318417074
ACH-000748,0.06704488459561211
ACH-000753,0.02314405212906341
ACH-000756,0.10633410740041772
ACH-000757,-0.02261626041967721
ACH-000758,0.04738497127430389
ACH-000760,-0.012895742850200266
ACH-000762,0.1815314126546262
ACH-000763,0.2305019955367597
ACH-000764,-0.1433951814024638
ACH-000765,-0.19277173768925196
ACH-000766,-0.09707805610277033
ACH-000767,0.015343741670118273
ACH-000768,0.16594913740119782
ACH-000769,-0.22347743011363733
ACH-000770,0.09209748954133552
ACH-000771,0.07630216149068779
ACH-000773,0.10935954000252107
ACH-000776,0.09336458424556424
ACH-000777,0.06480976936712234
ACH-000778,-0.07374938997508514
ACH-000781,0.038291753329622015
ACH-000782,0.2399195621423353
ACH-000783,-0.006477600889661854
ACH-000784,-0.0076572723080569486
ACH-000785,-0.014803656739858406
ACH-000787,0.04178250700567401
ACH-000788,-0.06424311166893086
ACH-000791,0.0787801568651221
ACH-000792,-0.07793426004149091
ACH-000794,-0.13154070900481793
ACH-000796,0.0359033012149157
ACH-000798,0.13489102146192236
ACH-000799,0.08908685865724895
ACH-000800,0.07158240810861546
ACH-000802,-0.010877993729108651
ACH-000804,-0.04612699939573593
ACH-000805,0.08505758392283692
ACH-000809,0.04722364888618445
ACH-000810,-0.0077396334936565845
ACH-000811,0.05309525498541502
ACH-000817,-0.35134803410704346
ACH-000819,0.1126497302616931
ACH-000820,0.08213315206613539
ACH-000821,-0.10727141978094316
ACH-000822,-0.01880682493346337
ACH-000823,0.07895977340558931
ACH-000824,0.0430071011515254
ACH-000827,0.00851143768785113
ACH-000829,-0.17417248909158092
ACH-000831,0.08619506805236694
ACH-000832,-0.10599872200580797
ACH-000833,0.07081788399166071
ACH-000834,-0.025323571044587552
ACH-000835,-0.02914162317864656
ACH-000836,0.048230493113246564
ACH-000837,-0.023375725090724248
ACH-000838,-0.24507417105187346
ACH-000839,0.05567094207662578
ACH-000840,-0.04678422922122595
ACH-000841,-0.05144254122277067
ACH-000843,-0.18004126900792025
ACH-000846,-0.01324087059285646
ACH-000847,0.02451059082363911
ACH-000848,0.0445517434257746
ACH-000849,-0.01273115072822687
ACH-000851,-0.024781673588298674
ACH-000855,-0.12092846303340375
ACH-000856,0.09289544781199996
ACH-000858,-0.007710753051752018
ACH-000859,-0.16438699287036812
ACH-000861,-0.0744946620548533
ACH-000862,0.09876985042007934
ACH-000865,0.004686188116642707
ACH-000866,0.023734255251390668
ACH-000867,0.01384871738542784
ACH-000869,-0.0013911039077138328
ACH-000872,0.29590848031152994
ACH-000873,0.14709093675039636
ACH-000876,-0.042167585057342964
ACH-000878,-0.07521626911487764
ACH-000880,0.0916823402698022
ACH-000881,-0.015300442675515426
ACH-000882,-0.02309313553034715
ACH-000884,-0.041273276516919234
ACH-000885,0.028973832988756863
ACH-000887,0.051131708265857286
ACH-000889,-0.03730604109211797
ACH-000896,0.10492110396559093
ACH-000898,0.0836105451193641
ACH-000900,0.007530532034353917
ACH-000901,-0.03287797667388945
ACH-000905,0.07084920155379758
ACH-000906,2.4563281928091392e-05
ACH-000907,0.18982604939280984
ACH-000910,0.114251708050002
ACH-000911,0.07235297656205418
ACH-000912,-0.019126756766859862
ACH-000913,-0.030009493314423805
ACH-000915,0.12594879217800894
ACH-000916,0.5649892146635768
ACH-000917,0.040551566458810535
ACH-000920,-0.06793493264813229
ACH-000921,0.1806741552347305
ACH-000924,0.11050428045292922
ACH-000926,0.05840839521696765
ACH-000928,0.2571709899424056
ACH-000929,0.11923278691390728
ACH-000932,0.13486276731192934
ACH-000935,-0.07225947139909734
ACH-000936,0.07905521307903865
ACH-000937,-0.023565890503561185
ACH-000938,0.007210984043092588
ACH-000939,0.17378542306003109
ACH-000941,-0.12674076542950066
ACH-000943,-0.08655323215288199
ACH-000946,0.14721902134079362
ACH-000947,0.09883523885625063
ACH-000948,0.1739681195966385
ACH-000950,0.002611429614966859
ACH-000953,-0.10203152681072833
ACH-000954,0.14434245393110884
ACH-000957,0.12034236800808107
ACH-000958,-0.26014715123333937
ACH-000960,-0.22585407728625526
ACH-000963,0.03985757317363086
ACH-000968,-0.03533578749306605
ACH-000969,-0.06320784734300433
ACH-000972,0.17412310102757747
ACH-000973,0.06431741093183113
ACH-000974,0.05303838980538498
ACH-000978,-0.1183887674153084
ACH-000984,0.02478839814161804
ACH-000986,0.05253782295727315
ACH-000988,0.10620132062880512
ACH-000993,0.11102302448020407
ACH-000994,-0.05000517668311141
ACH-000996,0.10552053557155996
ACH-001001,-0.05299682192053344
ACH-001020,0.202768499030236
ACH-001028,-0.0001228905220009389
ACH-001031,0.03661777987855618
ACH-001038,0.05307168175016775
ACH-001048,-0.0016086180695483714
ACH-001050,0.04672888250666184
ACH-001053,-0.07144389346744809
ACH-001054,-0.031250915803732626
ACH-001061,0.04085734767880462
ACH-001067,0.0485639870693376
ACH-001075,-0.17612294928419053
ACH-001096,0.050615958842047296
ACH-001111,-0.06804037019495307
ACH-001119,0.0040907855174931096
ACH-001128,0.16997751565092528
ACH-001134,0.18795397175910966
ACH-001151,-0.07333263109929211
ACH-001163,0.046109719786547765
ACH-001164,-0.0018788322812234824
ACH-001183,-0.07673373707331033
ACH-001192,-0.07804580056687603
ACH-001193,0.05211159833302904
ACH-001196,0.07526367842957357
ACH-001197,0.06469723908358863
ACH-001205,0.12025199629071875
ACH-001211,0.004530632502130408
ACH-001212,0.029854413229866168
ACH-001228,0.04483300492657576
ACH-001232,0.044157223898533035
ACH-001239,0.18989195904782516
ACH-001270,-0.003630030835993275
ACH-001274,-0.018929854623464127
ACH-001275,0.14475706889427978
ACH-001277,-0.015023222100943456
ACH-001278,0.0498942517973572
ACH-001280,0.08161042445723657
ACH-001283,-0.08462358147558204
ACH-001289,0.198859662340106
ACH-001300,-0.020409144623279783
ACH-001301,0.3323954101008262
ACH-001302,0.02692316790667115
ACH-001306,0.04673280370262453
ACH-001318,0.028543874885611838
ACH-001322,0.043373802027396526
ACH-001328,0.2405495797975527
ACH-001332,-0.06412227720041344
ACH-001336,0.07032601409219888
ACH-001346,-0.031140190947877643
ACH-001353,0.07872500769391587
ACH-001354,0.08993831254466575
ACH-001367,0.057093917051045336
ACH-001368,0.0652006812827533
ACH-001374,0.17244138789118196
ACH-001377,0.12335906031006508
ACH-001380,-0.10258934369601548
ACH-001391,0.022546974724599367
ACH-001408,-0.042002608158507634
ACH-001430,0.14160866669119804
ACH-001431,0.2512200159132477
ACH-001450,-0.022953552840077718
ACH-001496,0.029804013990813744
ACH-001500,0.08200089426310585
ACH-001523,-0.09843772709424753
ACH-001532,0.14499094519305672
ACH-001550,-0.05780088562902985
ACH-001552,0.1372549380456003
ACH-001554,0.03246209147971076
ACH-001654,-0.00613334357866862
ACH-001735,0.1553603002718648
ACH-001736,0.0035759725667714524
ACH-001737,-0.02767962616026214
ACH-001740,-0.07175105560628553
ACH-001745,-0.07197232064041348
ACH-001765,0.032656690691089
