,DBN1 (1627)
ACH-000402,0.07997739145284415
ACH-000403,0.06628049607462469
ACH-000404,-0.016449859897956283
ACH-000406,0.04344650471379456
ACH-000407,-0.0353902870155632
ACH-000408,-0.16584741743988934
ACH-000410,0.09882967435098156
ACH-000411,0.03930069836301826
ACH-000414,-0.05506379219087106
ACH-000415,0.048984710140250784
ACH-000416,0.05408629697641753
ACH-000420,0.06093277409586782
ACH-000421,0.029353315874423157
ACH-000424,0.15166436206828005
ACH-000425,-0.0933245094831351
ACH-000426,-0.0602910869242533
ACH-000427,0.15731201942994505
ACH-000433,-0.1457295261176887
ACH-000435,0.19733018361310448
ACH-000436,0.012097833603783992
ACH-000444,-0.20267995320756946
ACH-000445,0.15292263602735914
ACH-000448,-0.02947069041876872
ACH-000450,0.0049300482302679655
ACH-000452,0.12712542115986886
ACH-000454,-0.2025312579341046
ACH-000458,0.06302523218267286
ACH-000459,-0.14999352738731428
ACH-000460,-0.1946528628235129
ACH-000461,0.0054745033987535505
ACH-000463,-0.09436859854133993
ACH-000464,-0.10556144746313996
ACH-000466,-0.18444442055122884
ACH-000467,0.02199790214871533
ACH-000468,0.03689351009571176
ACH-000469,0.12377427707104448
ACH-000470,-0.057058374462834995
ACH-000471,-0.01763156943511061
ACH-000472,0.039600602417016975
ACH-000473,-0.12486443419002845
ACH-000475,-0.05141328953616451
ACH-000476,-0.026535622258593773
ACH-000477,-0.09641525498265577
ACH-000479,-0.2671609681507342
ACH-000480,-0.166934142361859
ACH-000481,0.04254707167972499
ACH-000483,0.05555469116176594
ACH-000484,0.0965781882418386
ACH-000485,0.010481813968177177
ACH-000486,-0.05707807870681227
ACH-000487,-0.09685593704633433
ACH-000488,-0.05124742350235472
ACH-000490,-0.011401492274576508
ACH-000491,0.0015242090038275413
ACH-000495,-0.23854504516339525
ACH-000496,0.13774315668790388
ACH-000499,0.1065296040426913
ACH-000500,0.42409622428501137
ACH-000502,0.055983184216568005
ACH-000503,-0.06629500169904816
ACH-000505,-0.04570941940948131
ACH-000507,-0.04719828433275764
ACH-000510,0.01815386280040613
ACH-000511,0.06240688936593765
ACH-000512,0.020334671294065885
ACH-000516,0.06052370262515563
ACH-000517,0.08212222415305068
ACH-000518,0.02452042335778441
ACH-000520,-0.10154362908843256
ACH-000521,-0.18447268562556424
ACH-000522,0.07417138446522878
ACH-000524,-0.07283635175750404
ACH-000527,-0.06092220854786176
ACH-000528,0.031194765672021375
ACH-000537,0.09401067258601303
ACH-000541,0.0586310516955784
ACH-000542,-0.041225953949338576
ACH-000544,-0.12825945168351358
ACH-000545,0.07502651531815775
ACH-000547,0.032825636890703884
ACH-000548,-0.039498717716535424
ACH-000549,0.13226243021279793
ACH-000550,-0.20211371662684424
ACH-000552,-0.03925322354990613
ACH-000556,0.0620665775549442
ACH-000557,0.016248067502576416
ACH-000569,0.1455737483558994
ACH-000570,0.07884102149112755
ACH-000571,-0.013736391001023677
ACH-000573,0.08613203544926293
ACH-000576,0.033346680621010545
ACH-000579,0.11495083329734418
ACH-000580,0.026682687620924805
ACH-000584,-0.07658543377667594
ACH-000585,-0.015984253419085354
ACH-000588,0.1262332385528887
ACH-000589,0.07168856062677514
ACH-000591,0.16335383928802008
ACH-000593,0.024175800531472887
ACH-000600,0.015956658802023953
ACH-000601,-0.07412739382555347
ACH-000605,0.057065455239172724
ACH-000606,0.06268135614687931
ACH-000608,-0.0022511354669342352
ACH-000614,-0.09004241284785035
ACH-000616,-0.10572437321915308
ACH-000618,0.03828076209359877
ACH-000619,0.0848727135006729
ACH-000620,0.010783020427196359
ACH-000621,0.04940461161826614
ACH-000622,0.07121243589395512
ACH-000623,-0.04643638800104434
ACH-000624,0.07626693183713222
ACH-000627,0.02760824234561138
ACH-000630,0.04729794478785288
ACH-000631,0.17913956364018996
ACH-000632,0.01325169522323124
ACH-000633,-0.04580469270186927
ACH-000637,-0.06643040086377944
ACH-000638,-0.04444746288951181
ACH-000646,-0.23796696902208556
ACH-000647,0.06684282905260404
ACH-000648,-0.044164358571886685
ACH-000649,-0.05298030834406565
ACH-000651,0.024561372298574358
ACH-000652,-0.1802937550503305
ACH-000653,-0.05954948552424525
ACH-000657,0.015735736751546874
ACH-000658,-0.1856676206250616
ACH-000661,-0.0209989937570439
ACH-000662,0.0770988696594631
ACH-000663,-0.1905662855543727
ACH-000665,0.13920065655867014
ACH-000671,-0.16228616660115794
ACH-000672,0.04434295620772154
ACH-000673,0.059956510832018986
ACH-000676,0.08751859761775463
ACH-000677,0.07390444353032721
ACH-000681,-0.04051130226363158
ACH-000683,0.029720577027180162
ACH-000684,0.2957521627805638
ACH-000688,0.028317194126958663
ACH-000693,0.11861240012232152
ACH-000694,-0.07323372368103354
ACH-000695,-0.010637499837945952
ACH-000696,0.12162350460308526
ACH-000697,0.1175188002239555
ACH-000699,0.029968274932045427
ACH-000701,-0.027514080843344425
ACH-000706,-0.0616069109964462
ACH-000711,0.10351199429972703
ACH-000713,0.029482741954339226
ACH-000714,-0.021027020916928155
ACH-000718,-0.08396659484088667
ACH-000720,0.09965277478329553
ACH-000721,-0.0037163567885380023
ACH-000724,-0.0067675614449447035
ACH-000725,-0.16526146629209595
ACH-000732,-0.04018994227407352
ACH-000734,-0.014696726157516968
ACH-000735,-0.041573253914711436
ACH-000736,-0.1399074073921805
ACH-000738,0.17814339447514688
ACH-000746,-0.06346267307154965
ACH-000747,0.05540723392941138
ACH-000748,0.11997925026757747
ACH-000753,0.0148806882197379
ACH-000756,-0.2726209630237896
ACH-000757,0.14356186681258098
ACH-000758,-0.06758903108239853
ACH-000760,0.024353358539414567
ACH-000762,-0.06534519610894249
ACH-000763,-0.048027915248562016
ACH-000764,-0.03521668869255097
ACH-000765,-0.014027760461578996
ACH-000766,0.0056380362487342
ACH-000767,-0.009668055093859195
ACH-000768,0.08259508446550876
ACH-000769,-0.05571397242606115
ACH-000770,0.060436127224157164
ACH-000771,0.10574877588740357
ACH-000773,-0.029394915816735912
ACH-000776,0.02581284008651189
ACH-000777,0.039344201997756206
ACH-000778,-0.012921014482128537
ACH-000781,0.021646272425941717
ACH-000782,-0.08267778159506138
ACH-000783,-0.08768484975052977
ACH-000784,0.033175325522283444
ACH-000785,0.008420055723751459
