,MAFF (23764)
ACH-000658,-0.019476330102852945
ACH-000661,-0.3864819105142166
ACH-000662,-0.03266320148613384
ACH-000663,-0.2241924052372236
ACH-000665,-0.26633150029927394
ACH-000671,-0.20568387825426093
ACH-000672,-0.25976012702983475
ACH-000673,-0.2690400441695428
ACH-000676,-0.4755407530965167
ACH-000677,-0.21079727039553825
ACH-000681,-0.13127393807491247
ACH-000683,-0.10546610867020287
ACH-000684,0.021078492617213784
ACH-000688,-0.13512177837894548
ACH-000693,-0.2551768372626549
ACH-000694,-0.2548759300146909
ACH-000695,-0.3689044190431967
ACH-000696,-0.15538221637549446
ACH-000697,-0.1554610673747634
ACH-000699,-0.15878268144563829
ACH-000701,-0.2666495691882359
ACH-000706,-0.19631261504858544
ACH-000711,-0.2300050733154416
ACH-000713,-0.059893350055463764
ACH-000714,-0.19286350025021534
ACH-000718,-0.13929297799088594
ACH-000720,-0.383545289644581
ACH-000721,-0.13539398087864007
ACH-000724,-0.2682198119271609
ACH-000725,-0.29263641627030584
ACH-000732,-0.1886428863424163
ACH-000734,-0.2403433336735029
ACH-000735,-0.3507932308737524
ACH-000736,-0.15366540280631116
ACH-000738,-0.1981212356161333
ACH-000746,-0.07564487243148378
ACH-000747,-0.176147745800962
ACH-000748,-0.2379368843421088
ACH-000753,-0.21986243455455345
ACH-000756,-0.1663989024319431
ACH-000757,-0.255368437375955
ACH-000758,-0.10452211120897052
ACH-000760,-0.20930269008964206
ACH-000762,-0.2261753241609785
ACH-000763,-0.3977850387919559
ACH-000764,-0.09967873020327428
ACH-000765,-0.35890994987339764
ACH-000766,-0.14502662907721936
ACH-000767,-0.2764845582518367
ACH-000768,-0.14403494210079593
ACH-000769,-0.046349351993348525
ACH-000770,-0.17062536951586066
ACH-000771,-0.3505852745621695
ACH-000773,-0.11535126662362133
ACH-000776,-0.06361354542020634
ACH-000777,-0.26732568156061143
ACH-000778,-0.2989287275142245
ACH-000781,-0.17051797683991868
ACH-000782,-0.1549921231573791
ACH-000783,-0.06524204360327876
ACH-000784,-0.12278286221826562
ACH-000785,-0.03490968297717517
ACH-000787,-0.2771627556447871
ACH-000788,-0.3534328942819586
ACH-000791,-0.2252504398146687
ACH-000792,-0.012901529985317895
ACH-000794,-0.2753798645100758
ACH-000796,-0.059983171970400935
ACH-000798,-0.4190400310112056
ACH-000799,-0.4048664540854765
ACH-000800,0.016785631829167088
ACH-000802,-0.18060633187714845
ACH-000804,0.029220587736392363
ACH-000805,-0.4461645092886029
ACH-000809,-0.1985836591216235
ACH-000810,-0.6418316710669874
ACH-000811,-0.2173727408725592
ACH-000817,-0.213280582023847
ACH-000819,-0.11306870952948588
ACH-000820,-0.26099014359745
ACH-000821,-0.20409016669531924
ACH-000822,-0.2868180245729376
ACH-000823,-0.20964059701163285
ACH-000824,-0.12474502485723216
ACH-000827,-0.3470878149385974
ACH-000829,-0.2760866614654384
ACH-000831,-0.2304561272408432
ACH-000832,-0.37207090574394863
ACH-000833,-0.08195452057207675
ACH-000834,-0.2303557065770956
ACH-000835,-0.3340828049433133
ACH-000836,-0.283043907650201
ACH-000837,-0.17627800753736975
ACH-000838,-0.2807485610942305
ACH-000839,-0.4717923702698831
ACH-000840,-0.4005747034688952
ACH-000841,-0.19734318725219668
ACH-000843,-0.2413216456166514
ACH-000846,-0.1852430896246832
ACH-000847,-0.00109210606125735
ACH-000848,0.008233796581085922
ACH-000849,-0.2468987648337457
ACH-000851,-0.11664829071536335
ACH-000855,-0.460627549239998
ACH-000856,0.004055606412990053
ACH-000858,-0.23641233337791204
ACH-000859,-0.2817617152752435
ACH-000861,-0.13089375239381942
ACH-000862,-0.11025872577876196
ACH-000865,-0.16845342928430332
ACH-000866,-0.20112065331496584
ACH-000867,-0.08235069812901175
ACH-000869,-0.14085988101057936
ACH-000872,-0.3329400871927041
ACH-000873,-0.18344714020325648
ACH-000876,-0.21137370462189287
ACH-000878,-0.4147125584275024
ACH-000880,-0.0336516975521084
ACH-000881,-0.3786561863193816
ACH-000882,-0.2014318492881463
ACH-000884,-0.5557631295537369
ACH-000885,-0.31109038607449724
ACH-000887,-0.12972290278203782
ACH-000889,-0.1582137803973544
ACH-000896,-0.1319075118310944
ACH-000898,-0.07135615057672541
ACH-000900,-0.469679081055519
ACH-000901,-0.13707651582968072
ACH-000905,-0.3217468717628165
ACH-000906,-0.17098585411393274
ACH-000907,-0.3283437873188953
ACH-000910,-0.31313200173385625
ACH-000911,-0.4430262448556524
ACH-000912,-0.15330960627500814
ACH-000913,-0.19157098388418325
ACH-000915,-0.2488698884362097
ACH-000916,-0.19703143832222766
ACH-000917,-0.17561754480827
ACH-000920,-0.22574048089400356
ACH-000921,-0.19701362940773107
ACH-000924,-0.08520323696825599
ACH-000926,-0.30067595723792273
ACH-000928,-0.10785612058833496
ACH-000929,-0.10015180099464847
ACH-000932,-0.2617100023112328
ACH-000935,-0.006057859730231263
ACH-000936,-0.19159686557936045
ACH-000937,-0.2459251709610937
ACH-000938,-0.015468066069216963
ACH-000939,-0.16692012885248236
ACH-000941,-0.22302903470550314
ACH-000943,-0.2494313963973673
ACH-000946,-0.2882025671483072
ACH-000947,-0.09720799241422336
ACH-000948,-0.3518941094613722
ACH-000950,-0.08666564966848361
ACH-000953,-0.16539830780178838
ACH-000954,-0.16970411114378536
ACH-000957,-0.07015277186753209
ACH-000958,-0.2946150180941795
ACH-000960,-0.15673386423825525
ACH-000963,-0.1834823584892019
ACH-000968,-0.8717972697844399
ACH-000969,-0.3233185190153769
ACH-000972,-0.07632837617752536
ACH-000973,-0.08923508407440475
ACH-000974,-0.1503888506678237
ACH-000978,-0.18151509115063624
ACH-000984,-0.22825213581157144
ACH-000986,-0.2782370739503923
ACH-000988,-0.1326117540640245
ACH-000993,-0.2238139213215362
ACH-000994,-0.11942053369145995
ACH-000996,-0.03438790093228875
ACH-001001,-0.13408821134593116
ACH-001020,0.11772103680499653
ACH-001028,-0.07324552200196395
ACH-001031,-0.08516955079165553
ACH-001038,-0.19178429259225754
ACH-001048,-0.20609639537139424
ACH-001050,-0.11151390099813704
ACH-001053,-0.3090288844607402
ACH-001054,-0.3309504358740524
ACH-001061,-0.19141081036430926
ACH-001067,-0.2458083361505317
ACH-001075,-0.2805581687130891
ACH-001096,-0.21060659352476332
ACH-001111,-0.5445170310447225
ACH-001119,-0.22100357858108455
ACH-001128,-0.25476289844900063
ACH-001134,-0.04725541856694174
ACH-001151,-0.14040662648129135
ACH-001163,-0.3413247021993259
ACH-001164,-0.3797983247424588
ACH-001183,-0.14371144156680662
ACH-001192,-0.2961487741614046
ACH-001193,-0.2464424273475131
ACH-001196,-0.26805569654283323
ACH-001197,-0.16071016305835836
ACH-001205,-0.0826685703430254
ACH-001211,-0.20802487747155105
ACH-001212,-0.2987805158411452
ACH-001228,-0.4233735394958108
ACH-001232,-0.18494604966317135
ACH-001239,-0.34111289337237594
ACH-001270,-0.0472727629216796
ACH-001274,-0.13170216467124246
ACH-001275,0.00402324625818785
ACH-001277,-0.21899304095276248
ACH-001278,-0.2627592728034959
ACH-001280,-0.14919190729884915
ACH-001283,-0.12999102904388807
ACH-001289,-0.14872572823296
ACH-001300,-0.15480756566112908
ACH-001301,-0.3668485238565701
ACH-001302,-0.2655333733854255
ACH-001306,-0.4316967443280584
ACH-001318,-0.30514276665840795
ACH-001322,0.02389693469596946
ACH-001328,-0.2181902091204656
ACH-001332,-0.2884572999624189
ACH-001336,-0.354182627063281
ACH-001346,-0.15843230362867194
ACH-001353,-0.3443013556904535
ACH-001354,-0.2250456569966018
ACH-001367,-0.238362216794531
ACH-001368,-0.1032084040116641
ACH-001374,-0.461242109085527
ACH-001377,-0.2546660208270862
ACH-001380,-0.0317431653404799
ACH-001391,-0.016742981450854826
ACH-001408,-0.09990190707592347
ACH-001430,0.03196348837473965
ACH-001431,-0.2955810663338177
ACH-001450,-0.23975892799699194
ACH-001496,-0.214805646637363
ACH-001500,-0.2425950114921084
ACH-001523,-0.2353385020584437
ACH-001532,-0.14283284475887595
ACH-001550,-0.19578903822733754
ACH-001552,-0.14818743514938135
ACH-001554,-0.15642656889659948
ACH-001654,-0.229493254846158
ACH-001735,-0.1958161314076068
ACH-001736,0.012105475967389702
ACH-001737,-0.042324589701407685
ACH-001740,-0.20280019815838196
ACH-001745,-0.2669801386162967
ACH-001765,-0.2153596582951568
