,PLXNB2 (23654)
ACH-000552,0.20605479095816465
ACH-000556,0.0840218875674944
ACH-000557,0.06518313367790382
ACH-000569,0.02918713521143756
ACH-000570,-0.08386939797735476
ACH-000571,0.024608981891727527
ACH-000573,0.07473043168976712
ACH-000576,0.06857976972013696
ACH-000579,0.035514179953322206
ACH-000580,0.042614095147592096
ACH-000584,0.003198037155973754
ACH-000585,0.18341512024046536
ACH-000588,0.015254704227823894
ACH-000589,0.15427607973478624
ACH-000591,0.08993229805573788
ACH-000593,0.12908555276407285
ACH-000600,-0.019253235395481384
ACH-000601,0.07006539471741363
ACH-000605,0.06343520764018963
ACH-000606,0.28636115598496864
ACH-000608,0.12944673197034892
ACH-000614,0.133197901174131
ACH-000616,0.12448659396024032
ACH-000618,0.06088663154190455
ACH-000619,0.11096741463116633
ACH-000620,0.18556147084866426
ACH-000621,0.09112599833672777
ACH-000622,0.08591952462817838
ACH-000623,0.0004044578230899668
ACH-000624,0.17461900673721478
ACH-000627,0.20602834543604615
ACH-000630,0.29917150576394624
ACH-000631,0.048723230577357966
ACH-000632,0.10940757540138568
ACH-000633,0.07431766888204568
ACH-000637,0.011845467694844193
ACH-000638,0.12085907329113935
ACH-000646,0.032027278510509495
ACH-000647,0.11990888278981447
ACH-000648,0.2421687297499941
ACH-000649,0.20553120833969102
ACH-000651,0.16234822120772352
ACH-000652,0.018085840156532442
ACH-000653,0.2857745872451174
ACH-000657,0.0668414078918339
ACH-000658,-0.07173678581692725
ACH-000661,0.06212551868700952
ACH-000662,0.16422445753570006
ACH-000663,0.19281306087722916
ACH-000665,0.05575181887738705
ACH-000671,0.24445489896091602
ACH-000672,0.566087341321328
ACH-000673,0.10322199726923036
ACH-000676,0.06847556323513597
ACH-000677,0.14297618960096733
ACH-000681,0.2728278598546929
ACH-000683,0.10831971437428417
ACH-000684,0.2133564819224722
ACH-000688,0.08161540343169098
ACH-000693,0.05438720119433959
ACH-000694,0.11165908079975853
ACH-000695,-0.1075445725636033
ACH-000696,0.0867484709965101
ACH-000697,0.074410989956933
ACH-000699,0.18483901058889066
ACH-000701,0.04460050295459471
ACH-000706,0.12923822849901895
ACH-000711,0.08365049433762275
ACH-000713,0.15627544460316786
ACH-000714,0.014204549645175204
ACH-000718,0.08891112011658163
ACH-000720,0.10328386020266717
ACH-000721,0.042992773571731785
ACH-000724,0.01608166705749969
ACH-000725,-0.00928538452413568
ACH-000732,0.24555850611574165
ACH-000734,0.1564902232381968
ACH-000735,0.2333023028965527
ACH-000736,0.07597084956471245
ACH-000738,0.06841725944046595
ACH-000746,0.13831693879500925
ACH-000747,0.12201979163442345
ACH-000748,0.04547172510833599
ACH-000753,0.16501601557837192
ACH-000756,0.12817193151933806
ACH-000757,0.12225929528936995
ACH-000758,0.14169478082089695
ACH-000760,0.07421441235324094
ACH-000762,0.2564686805071871
ACH-000763,0.24650753547305526
ACH-000764,0.2619027662951624
ACH-000765,0.04045116221097315
ACH-000766,0.03549260478286565
ACH-000767,-0.006605070883025546
ACH-000768,0.03350524008124694
ACH-000769,0.0209446643287278
ACH-000770,-0.01596778218272842
ACH-000771,0.03483816504868138
ACH-000773,-0.09267726571649962
ACH-000776,0.0628514610659363
ACH-000777,0.14590469731521655
ACH-000778,0.23228024783560924
ACH-000781,0.07070040099207785
ACH-000782,0.0906722731519694
ACH-000783,0.09593985158508507
ACH-000784,0.12396281505212932
ACH-000785,-0.0049585959305995615
ACH-000787,0.053230140617916435
ACH-000788,0.10870503134977562
ACH-000791,0.06089407931872703
ACH-000792,0.19831650634746853
ACH-000794,0.1302132763889256
ACH-000796,0.23412009480469945
ACH-000798,0.05135850697329388
ACH-000799,0.13142993740376208
ACH-000800,0.20119605356013207
ACH-000802,0.1383710026834239
ACH-000804,0.1917549261896744
ACH-000805,-0.01474070094788555
ACH-000809,0.17088010369012452
ACH-000810,0.3457621222659285
ACH-000811,0.18143909571243635
ACH-000817,0.15510649586406225
ACH-000819,0.124798163196017
ACH-000820,0.014635994115130052
ACH-000821,0.09473896777884898
ACH-000822,0.07320011545552071
