,STEAP3 (55240)
ACH-000646,-0.5640941240634301
ACH-000647,-0.13131393351234708
ACH-000648,-0.4328227103640073
ACH-000649,-0.8221248236761128
ACH-000651,-0.20794490792097525
ACH-000652,-0.15270706989903193
ACH-000653,-0.11765002406726975
ACH-000657,-0.03169012749257708
ACH-000658,-0.17398866913111682
ACH-000661,-0.08282601131877114
ACH-000662,-0.08363061940594486
ACH-000663,-0.6578291432428492
ACH-000665,-0.08530707821255562
ACH-000671,-0.05462110540000177
ACH-000672,0.029608334707392527
ACH-000673,-0.09143775499144413
ACH-000676,-0.14724646648696374
ACH-000677,-0.0978505465817656
ACH-000681,-0.03752483353473874
ACH-000683,-0.1268367739968722
ACH-000684,-0.3336164408412021
ACH-000688,-0.20726443956452328
ACH-000693,-0.04239804915892514
ACH-000694,-0.0007791097230599893
ACH-000695,-0.04391591132517398
ACH-000696,-0.07866572216795646
ACH-000697,-0.04847967043502658
ACH-000699,-0.1933149949371125
ACH-000701,-0.08765767141653573
ACH-000706,-0.13736750963188413
ACH-000711,-0.4764972189610328
ACH-000713,-0.04663820500684766
ACH-000714,-0.031006222940430917
ACH-000718,0.013452443823859005
ACH-000720,-0.08479580093242046
ACH-000721,-0.10863261931661956
ACH-000724,-0.0793815892478096
ACH-000725,-0.27183134975682544
ACH-000732,-0.2036850363989946
ACH-000734,-0.09292452788187387
ACH-000735,-0.15076961770022246
ACH-000736,-0.2087497235355988
ACH-000738,-0.02528309536873175
ACH-000746,0.02802386401228529
ACH-000747,-0.234907140833841
ACH-000748,-0.07927160942287091
ACH-000753,-0.08078363167547624
ACH-000756,-0.22349773900785933
ACH-000757,-0.24269308705254775
ACH-000758,-0.23049262774849896
ACH-000760,-0.10786461026609408
ACH-000762,-0.2412104660650592
ACH-000763,-0.1340358706337566
ACH-000764,-0.2922428730184467
ACH-000765,-0.11572735024281247
ACH-000766,-0.1240906970379158
ACH-000767,-0.07418404901112388
ACH-000768,-0.19425029055741466
ACH-000769,-0.1272976072559449
ACH-000770,-0.6228432807371869
ACH-000771,-0.05565341603516278
ACH-000773,-0.02135572007313594
ACH-000776,-0.1537495971940229
ACH-000777,-0.07996123425137744
ACH-000778,-0.10175938379994452
ACH-000781,-0.202910162751484
ACH-000782,-0.5137388540985796
ACH-000783,-0.08959369233989226
ACH-000784,-0.19962253966037724
ACH-000785,-0.16496407275316674
ACH-000787,-0.12775638706584494
ACH-000788,-0.06435575863309315
ACH-000791,-0.04676701782038628
ACH-000792,-0.14772677079381735
ACH-000794,-0.008028101521779416
ACH-000796,-0.11060489870253357
ACH-000798,0.1191025330475052
ACH-000799,-0.11991871689808928
ACH-000800,-0.1462772086991153
ACH-000802,-0.04957086393680367
ACH-000804,0.0091801009133776
ACH-000805,-0.06559495336917176
ACH-000809,-0.056051400573752484
ACH-000810,-0.09949990531875064
ACH-000811,-0.1233595760776983
ACH-000817,0.06783250981389907
ACH-000819,-0.2450923873306833
ACH-000820,-0.6457509860541809
ACH-000821,-0.5792090338117855
ACH-000822,-0.024744331913218343
ACH-000823,-0.28508755507024963
ACH-000824,-0.07637666876927597
ACH-000827,-0.15567133981559966
ACH-000829,-0.6440756738107851
ACH-000831,-0.2262720839909732
ACH-000832,-0.14387833938543018
ACH-000833,-0.08941055954777029
ACH-000834,-0.09521893090432497
ACH-000835,-0.10093675531742767
ACH-000836,-0.1550364263408594
ACH-000837,-0.3277102114300737
ACH-000838,-0.2805831555897777
ACH-000839,-0.2140356100941556
ACH-000840,-0.07100391738514683
ACH-000841,-0.3913423461110211
ACH-000843,-0.14015826972688786
ACH-000846,-0.16532380937960656
ACH-000847,-0.011789009781368336
ACH-000848,-0.1326103822770887
ACH-000849,-0.1472792032082222
ACH-000851,-0.2929038021130592
ACH-000855,0.04068853596844037
ACH-000856,-0.6927312961523447
ACH-000858,-0.047725954510239935
ACH-000859,-0.1549669323339908
ACH-000861,-0.1087442019579128
ACH-000862,-0.15091228044389354
ACH-000865,-0.1269787595137621
ACH-000866,0.09265405628366452
