,TEX264 (51368)
ACH-000706,0.10422196970413798
ACH-000711,0.026818227338071415
ACH-000713,-0.11019570706864104
ACH-000714,-0.04602409463432133
ACH-000718,0.05694185026531332
ACH-000720,-0.02044879161010011
ACH-000721,0.0071753649929404435
ACH-000724,-0.09145302264187663
ACH-000725,0.019177927065926702
ACH-000732,-0.07382317338263124
ACH-000734,0.07759022705090739
ACH-000735,-0.056595822524342976
ACH-000736,0.0453922504429017
ACH-000738,-0.01605341704298367
ACH-000746,0.08203092124271401
ACH-000747,0.04785978362278827
ACH-000748,-0.046412416297162
ACH-000753,-0.044685701611518025
ACH-000756,-0.01147592372370044
ACH-000757,-0.010240840131719869
ACH-000758,-0.11090443687441154
ACH-000760,0.060175743032676615
ACH-000762,-0.015721748731630267
ACH-000763,0.0302131054115384
ACH-000764,-0.06598152172683419
ACH-000765,0.17228216341358624
ACH-000766,-0.12004618080862706
ACH-000767,0.07659507070822856
ACH-000768,-0.027934833312403155
ACH-000769,-0.05488139371540586
ACH-000770,0.10704709911858183
ACH-000771,0.14474776948188095
ACH-000773,0.1350299006637225
ACH-000776,0.1689640200175438
ACH-000777,-0.023192534148092903
ACH-000778,-0.017217519928268553
ACH-000781,0.045299774564046345
ACH-000782,0.029663918708387062
ACH-000783,-0.0069071899740381065
ACH-000784,0.04503132156658658
ACH-000785,0.031439667753847114
ACH-000787,-0.0009071000713219404
ACH-000788,0.01920697095079989
ACH-000791,0.034906813280655716
ACH-000792,0.15049102758048238
ACH-000794,-0.13572059096212433
ACH-000796,-0.004354321802026216
ACH-000798,0.011153260159585269
ACH-000799,-0.07710412492034081
ACH-000800,0.16041257860880564
ACH-000802,0.037439293472610116
ACH-000804,-0.02383097048223741
ACH-000805,0.09228811799403228
ACH-000809,0.048732593218396736
ACH-000810,0.10730041054555207
ACH-000811,0.02926343926228806
ACH-000817,-0.1376815641026096
ACH-000819,0.034316242902616506
ACH-000820,0.07607019037105017
ACH-000821,0.05494784138585608
ACH-000822,-0.02689540200348241
ACH-000823,-0.03177325966092954
ACH-000824,0.04034370705096468
ACH-000827,0.10864515358493566
ACH-000829,0.09692440876224558
ACH-000831,0.04644782055392678
ACH-000832,-0.17320926124460834
ACH-000833,-0.1950285550895481
ACH-000834,0.03373728200264263
ACH-000835,0.03631804387115868
ACH-000836,0.008047027944879692
ACH-000837,0.020939997847695683
ACH-000838,0.14863524112071486
ACH-000839,-0.17105220815017366
ACH-000840,-0.06662944900973584
ACH-000841,0.08536691182754412
ACH-000843,0.1884405033036887
ACH-000846,-0.108020086421691
ACH-000847,0.0646020230482465
ACH-000848,-0.0038044440610230617
ACH-000849,0.026831271514636
ACH-000851,0.07417791003610871
ACH-000855,0.3004662527466142
ACH-000856,0.0252893238466374
ACH-000858,0.008219839456387167
ACH-000859,-0.1696116069876787
ACH-000861,0.08428716020694191
ACH-000862,0.006286942729342156
ACH-000865,0.0038837668803889756
ACH-000866,0.1397669146100228
ACH-000867,-0.02649515645673076
ACH-000869,0.016322771730694376
ACH-000872,0.06788404323391227
ACH-000873,0.1153610485539717
ACH-000876,0.04725943903514695
ACH-000878,0.2354222595884953
ACH-000880,-0.15754153238671892
ACH-000881,0.07872589330692736
ACH-000882,-0.0531624892989245
ACH-000884,-0.08670751693421798
ACH-000885,-0.04271543970756116
ACH-000887,-0.006849974047441618
ACH-000889,-0.007375304930755497
ACH-000896,-0.017797806672995672
ACH-000898,-0.004379894988465203
ACH-000900,-0.14455062084570766
ACH-000901,0.07345079344389797
ACH-000905,-0.027705253778934062
ACH-000906,-0.007215595318905208
ACH-000907,0.01480217233127101
ACH-000910,0.03229247475654418
ACH-000911,0.01282473586033163
ACH-000912,-0.033001734411812936
ACH-000913,-0.008798068170523301
ACH-000915,0.02357327871181988
ACH-000916,0.13977891577586324
ACH-000917,-0.0761888697937848
ACH-000920,-0.38602967242129177
ACH-000921,0.14439737360721794
ACH-000924,-0.01996397136813846
ACH-000926,0.0590395072156128
ACH-000928,0.02626086480299895
ACH-000929,0.02854949836227374
ACH-000932,-0.03294051030070196
ACH-000935,-0.16261516649889554
ACH-000936,0.07551053440069062
ACH-000937,0.07105733591770029
ACH-000938,0.15972362115133504
ACH-000939,-0.05306254842693447
ACH-000941,0.006191866311419796
ACH-000943,0.02662354367272226
ACH-000946,0.08409758704849825
ACH-000947,0.07728748093751102
ACH-000948,-0.021964574623851426
ACH-000950,-0.05769880513458855
ACH-000953,0.008603879441068333
ACH-000954,-0.08510796708670068
ACH-000957,0.10531676518423122
ACH-000958,0.12917531550905925
ACH-000960,0.08571239006131512
ACH-000963,0.18714591841347586
ACH-000968,-0.0607841746199015
ACH-000969,-0.004563261874302984
ACH-000972,0.06280741274985127
ACH-000973,0.0521899509556325
ACH-000974,0.007719017483726041
ACH-000978,-0.1307539405382825
ACH-000984,-0.09541144974720328
ACH-000986,-0.06164614182794938
ACH-000988,0.06435117697125238
ACH-000993,0.22280833770549893
ACH-000994,-0.1072849198684748
ACH-000996,-0.035672954038205695
ACH-001001,-0.013015457970170568
ACH-001020,-0.0845851857509348
ACH-001028,0.10118039666668513
ACH-001031,-0.10000791069044104
ACH-001038,-0.0008749211035366098
ACH-001048,-0.06563530167386429
ACH-001050,0.139336295829655
ACH-001053,-0.0594028944555149
ACH-001054,-0.0552509242515487
ACH-001061,-0.06278232389098459
ACH-001067,0.03940351317297445
ACH-001075,0.016574503747447497
ACH-001096,0.04977256385958704
ACH-001111,-0.00481052939559129
ACH-001119,-0.14543059949699996
ACH-001128,0.04279719109917191
ACH-001134,-0.024746429668207344
ACH-001151,0.049538156550673534
ACH-001163,-0.010934508818220213
ACH-001164,0.10663659848719176
ACH-001183,-0.029239626813307395
ACH-001192,0.020295644688937964
ACH-001193,-0.015832231646077118
ACH-001196,-0.006377015809793929
ACH-001197,-0.08556846842272207
ACH-001205,0.15153748435089814
ACH-001211,0.11233339789003596
ACH-001212,-0.050032698316947566
ACH-001228,0.0034481042659230896
