,ST8SIA1 (6489)
ACH-000483,0.05083642250163724
ACH-000484,0.1715701196527136
ACH-000485,-0.11824425198538975
ACH-000486,-0.04460289076702599
ACH-000487,0.06752738589542284
ACH-000488,0.046268750503290386
ACH-000490,-0.026349206281716383
ACH-000491,-0.10474802232741784
ACH-000495,0.20130373468053106
ACH-000496,-0.035334909098457205
ACH-000499,-0.13606100470580265
ACH-000500,-0.0359310635842496
ACH-000502,-0.03231260787382289
ACH-000503,0.32643183925392305
ACH-000505,-0.0967703332078751
ACH-000507,-0.40574031293458096
ACH-000510,0.08792383806832431
ACH-000511,-0.1738409916315713
ACH-000512,-0.16728364369495535
ACH-000516,0.09067208466870558
ACH-000517,-0.02751784097442444
ACH-000518,0.03220153798618893
ACH-000520,-0.06680779542172588
ACH-000521,0.1023251637619182
ACH-000522,0.013250630696318242
ACH-000524,0.07917288915021034
ACH-000527,-0.01589804323008259
ACH-000528,0.0913641874420302
ACH-000537,-0.018296768236081392
ACH-000541,0.3712129939511468
ACH-000542,0.028103181154568068
ACH-000544,-0.02696913962597468
ACH-000545,-0.09870588829976656
ACH-000547,0.0857262666119383
ACH-000548,0.15984976276452978
ACH-000549,0.017166040643095713
ACH-000550,-0.09438681244670516
ACH-000552,-0.13424031513374649
ACH-000556,0.03683814543410667
ACH-000557,-0.09430511487561198
ACH-000569,-0.12635375315731515
ACH-000570,0.007038877366803782
ACH-000571,0.04073057309165954
ACH-000573,-0.003528516746337275
ACH-000576,0.2013714430404473
ACH-000579,-0.07351085108650297
ACH-000580,0.04056558514213915
ACH-000584,-0.03003890967232136
ACH-000585,0.0161478076297739
ACH-000588,0.01831363238713381
ACH-000589,-0.0833614999511444
ACH-000591,0.07143789741073926
ACH-000593,0.08629989047214569
ACH-000600,0.0827487795692612
ACH-000601,-0.0165091978593351
ACH-000605,0.0936224994786204
ACH-000606,0.0091742511505947
ACH-000608,-0.03875457739238728
ACH-000614,-0.11658354437981275
ACH-000616,0.1441202470177409
ACH-000618,0.08452433805076758
ACH-000619,-0.05455665278352332
ACH-000620,0.012454700916039846
ACH-000621,-0.08200138435825573
ACH-000622,0.07767180977334212
ACH-000623,-0.04081449006984994
ACH-000624,-0.01297036634819532
ACH-000627,-0.015558540114607815
ACH-000630,-0.0496062481581798
ACH-000631,0.05077432699982385
ACH-000632,-0.058597961088418776
ACH-000633,-0.047814166146424614
ACH-000637,0.057096221322800414
ACH-000638,-0.015937501750552353
ACH-000646,0.04340815779354842
ACH-000647,-0.03452578276338345
ACH-000648,-0.04132282431254268
ACH-000649,0.09624251462147106
ACH-000651,-0.12208103147312872
ACH-000652,0.07445999134027739
ACH-000653,-0.03809756905129109
ACH-000657,-0.017754156336902444
ACH-000658,0.12773841602926692
ACH-000661,-0.008903825408061354
ACH-000662,0.2901311020974883
ACH-000663,-0.1392115146047058
ACH-000665,0.1152893616436746
ACH-000671,-0.11934598874611345
ACH-000672,-0.5399660941645725
ACH-000673,0.02193946485488885
ACH-000676,0.05317258596775986
ACH-000677,0.04944569662563413
ACH-000681,-0.1800442708587193
ACH-000683,0.04215299240533901
ACH-000684,-0.0462365019990137
ACH-000688,0.028529986356562075
ACH-000693,0.062482945648137875
ACH-000694,-0.07019062838236663
ACH-000695,-0.054185520806391975
ACH-000696,0.023627699968739462
ACH-000697,-0.03633694859517813
ACH-000699,-0.014669305948586925
ACH-000701,-0.23691583037048194
ACH-000706,-0.03525929720570118
ACH-000711,-0.007515992070303059
ACH-000713,0.2405721189033992
ACH-000714,0.0579751582804667
ACH-000718,0.11941970716620785
ACH-000720,0.05508222994379373
ACH-000721,-0.13168877776547702
ACH-000724,0.17211933451449113
ACH-000725,0.03957606774296996
ACH-000732,0.09916546354388246
ACH-000734,-0.05102904866116832
ACH-000735,-0.08719738656005355
ACH-000736,-0.023291997990688474
ACH-000738,-0.010983364775218706
ACH-000746,-0.005034366337731642
ACH-000747,0.1161611604751784
ACH-000748,0.03366520877213206
ACH-000753,-0.044968318502854085
ACH-000756,-0.08278472761319558
ACH-000757,-0.01714057611301158
ACH-000758,-0.10214377771687944
ACH-000760,-0.1097492225275662
ACH-000762,-0.08039265560596702
ACH-000763,-0.13840068329032762
ACH-000764,0.02711902639426857
ACH-000765,-0.0299566184232442
ACH-000766,0.08890125770013299
ACH-000767,0.11269368286311073
ACH-000768,-0.09270949640638064
ACH-000769,0.16056053460764286
ACH-000770,-0.0041985501425205645
ACH-000771,-0.050149425252438026
ACH-000773,0.025242987240525653
ACH-000776,0.0007585948359203933
ACH-000777,0.11433914334551692
ACH-000778,0.09884691386108856
ACH-000781,0.03895492069992912
ACH-000782,0.17820782710475516
ACH-000783,-0.05095733779783597
ACH-000784,0.02692729183772076
ACH-000785,0.12447322413376395
ACH-000787,0.04219452833624762
ACH-000788,-0.006129881217941128
ACH-000791,-0.11732668227579855
ACH-000792,-0.22138478799494968
ACH-000794,0.008693412438889653
ACH-000796,-0.13847932013414252
ACH-000798,0.1478227117188977
ACH-000799,-0.039184739537976784
ACH-000800,0.12684097521079826
ACH-000802,-0.1323184668763213
ACH-000804,0.028668448293975017
ACH-000805,0.2396889976755761
ACH-000809,0.015702934090431837
ACH-000810,0.04093668180201725
ACH-000811,-0.0020448761071000642
ACH-000817,-0.04162959874819882
ACH-000819,0.008254500897453195
ACH-000820,-0.17646973925602402
ACH-000821,0.10808237413040582
ACH-000822,0.1116258848912926
ACH-000823,0.08391341585297556
ACH-000824,0.08221918440868052
ACH-000827,0.11125941389652157
ACH-000829,-0.14660399691060316
ACH-000831,-0.1118989571052792
ACH-000832,0.11918103437560965
ACH-000833,-0.3740686823126623
ACH-000834,-0.17966383009634754
ACH-000835,0.03106719321137093
ACH-000836,-0.10509311256510526
ACH-000837,0.019013926100961632
ACH-000838,-0.04010947432599082
ACH-000839,-0.03606020836619229
ACH-000840,0.1336042949133536
ACH-000841,0.014115905081891825
ACH-000843,0.17096508191098994
ACH-000846,0.18007413411786494
ACH-000847,-0.06883126594861301
ACH-000848,-0.13550834159176392
