,CDC5L (988)
ACH-000324,-1.2324739053130511
ACH-000329,-1.272287065455357
ACH-000330,-1.0379481969922597
ACH-000331,-1.1975109444319818
ACH-000332,-1.1149036888963253
ACH-000334,-1.0652707690148495
ACH-000335,-1.0272311017380067
ACH-000336,-1.2426161684398078
ACH-000337,-1.162824442886542
ACH-000338,-1.3293753579590122
ACH-000339,-1.192950321761565
ACH-000341,-1.4566400302420581
ACH-000348,-1.2844186966136903
ACH-000350,-1.2062259212083604
ACH-000352,-1.2766110008935436
ACH-000356,-1.5811175012832297
ACH-000361,-1.3015727002458208
ACH-000362,-1.259936837865174
ACH-000363,-1.0880260281235894
ACH-000364,-1.3294650281387164
ACH-000365,-1.2380273097096994
ACH-000366,-1.3887646165977705
ACH-000368,-1.0790109893368325
ACH-000374,-1.3289811680684551
ACH-000375,-1.1819829781921645
ACH-000376,-1.0886701664510707
ACH-000381,-0.9988336614220428
ACH-000383,-1.2662699020875483
ACH-000387,-1.449356435474895
ACH-000389,-1.1164843719246424
ACH-000390,-1.4466281108764123
ACH-000393,-1.0939312463873243
ACH-000395,-1.4141918582003998
ACH-000396,-1.2537637546456657
ACH-000397,-1.2259629579989286
ACH-000401,-1.3654936256774381
ACH-000402,-1.2544673167619804
ACH-000403,-1.3335922791122454
ACH-000404,-1.3161321183197834
ACH-000406,-1.3870206444688853
ACH-000407,-1.148555564429972
ACH-000408,-1.2181379539629695
ACH-000410,-1.1521367262958968
ACH-000411,-1.3035987769760928
ACH-000414,-1.2289654449256386
ACH-000415,-1.3309227237979904
ACH-000416,-1.1916629835949328
ACH-000420,-0.9261319448009672
ACH-000421,-1.1540184871891532
ACH-000424,-1.4152109563386168
ACH-000425,-1.01556692659755
ACH-000426,-1.0305013448231857
ACH-000427,-1.256497725473092
ACH-000433,-1.3107956326251669
ACH-000435,-1.2039065053022624
ACH-000436,-1.205190125054611
ACH-000444,-1.237450729204714
ACH-000445,-1.0193499848404546
ACH-000448,-1.0914372610651717
ACH-000450,-1.2268463499519329
ACH-000452,-1.2826658596462075
ACH-000454,-1.3655963460574754
ACH-000458,-1.344603856304
ACH-000459,-1.0986702968173276
ACH-000460,-1.1293278299060794
ACH-000461,-1.4066862017367512
ACH-000463,-1.1024162412007728
ACH-000464,-1.084834449131898
ACH-000466,-1.3470768950513377
ACH-000467,-1.262723158032793
ACH-000468,-1.3137384679296142
ACH-000469,-1.2518409099178434
ACH-000470,-1.1647791595692352
ACH-000471,-0.9741669724969304
ACH-000472,-1.0053393425909285
ACH-000473,-0.9842211481301488
ACH-000475,-1.1797905134462925
ACH-000476,-1.1946889349134566
ACH-000477,-1.0884240431852252
ACH-000479,-1.0775985805368105
ACH-000480,-0.966165720115322
ACH-000481,-1.3547912987938469
ACH-000483,-1.499335982878388
ACH-000484,-1.1339886289981371
ACH-000485,-1.1657896935925396
ACH-000486,-1.125449205503526
ACH-000487,-1.3136272868104222
ACH-000488,-1.2454699068625636
ACH-000490,-1.03371223371372
ACH-000491,-1.3891625897776716
ACH-000495,-1.2083775992262853
ACH-000496,-1.3933972286377714
ACH-000499,-1.3132370971446756
ACH-000500,-1.365948473894808
ACH-000502,-1.2877188139450082
ACH-000503,-1.4575938233451504
ACH-000505,-1.2073428572066325
ACH-000507,-1.1187028428055807
ACH-000510,-1.2011609127091458
ACH-000511,-1.0831592281256457
ACH-000512,-1.318289555771691
ACH-000516,-0.9891738430251824
ACH-000517,-1.3108398762632407
ACH-000518,-1.3786454374717452
ACH-000520,-1.1085759588247903
ACH-000521,-1.2966952414850788
ACH-000522,-1.0192132457299443
ACH-000524,-1.602861976545155
ACH-000527,-1.1092013089316284
ACH-000528,-1.109766389428937
ACH-000537,-1.1875103225311654
ACH-000541,-1.4019523324897656
ACH-000542,-1.069462224127906
ACH-000544,-1.2392843304764911
ACH-000545,-0.9894061718509862
ACH-000547,-1.5051620964689134
ACH-000548,-1.2016496650599742
ACH-000549,-1.2731929891977116
ACH-000550,-0.9575115786843292
ACH-000552,-1.3761695049661575
ACH-000556,-1.1323311239100884
ACH-000557,-1.290822703912844
ACH-000569,-1.1053741619699755
ACH-000570,-1.232397332441761
ACH-000571,-1.3032427153724981
ACH-000573,-1.2239747470635451
ACH-000576,-1.3664140470782604
ACH-000579,-0.94974429052723
ACH-000580,-1.3094077723237771
ACH-000584,-1.1445305569367132
ACH-000585,-1.292978847347913
ACH-000588,-1.1784170819882382
ACH-000589,-1.3666786081787154
ACH-000591,-1.0909869505626226
ACH-000593,-1.0447021408950778
ACH-000600,-1.1255081934399016
ACH-000601,-1.1725344412858494
ACH-000605,-1.153826774635858
ACH-000606,-1.3042428069391665
ACH-000608,-1.2195282535617649
ACH-000614,-1.286688408505594
ACH-000616,-1.1655411701021876
ACH-000618,-1.3170185027719865
ACH-000619,-1.1991097357719824
ACH-000620,-1.1276371104634155
ACH-000621,-1.336306308290671
ACH-000622,-1.483038051888279
ACH-000623,-1.3073434704974207
ACH-000624,-1.1594909189006637
ACH-000627,-0.8904027439091258
ACH-000630,-1.1810035004516897
ACH-000631,-1.2099369902433348
ACH-000632,-1.0142255497571533
ACH-000633,-1.4941618975353417
ACH-000637,-1.380334737595135
ACH-000638,-1.300969418288977
ACH-000646,-1.213051946926928
ACH-000647,-1.1279020870977277
ACH-000648,-1.122727669048892
ACH-000649,-1.253607072884762
ACH-000651,-1.2912985933413301
ACH-000652,-1.3848817076988602
ACH-000653,-0.9852617493539141
ACH-000657,-1.2237384551453172
ACH-000658,-1.3508240606590114
ACH-000661,-1.288330502493941
ACH-000662,-1.2497229193729766
ACH-000663,-1.3547566080080564
ACH-000665,-1.314962992391663
ACH-000671,-1.3964452561357124
ACH-000672,-0.928836097618388
ACH-000673,-1.1463124130410325
ACH-000676,-1.0541967066606464
ACH-000677,-0.8347973611036865
ACH-000681,-1.1138712411934426
ACH-000683,-1.3744712916037432
ACH-000684,-1.2522574009727954
ACH-000688,-1.3485390386289502
ACH-000693,-1.1615152498556836
ACH-000694,-1.2011329847107597
ACH-000695,-1.1690612810819756
ACH-000696,-1.2140256418318982
ACH-000697,-1.2035764502228985
ACH-000699,-1.3299475778886685
ACH-000701,-1.1947166965145375
ACH-000706,-1.0545220337918326
ACH-000711,-1.2218564181133922
ACH-000713,-0.8757148441191821
ACH-000714,-1.2815142878392054
ACH-000718,-1.3462561363082723
ACH-000720,-1.2769753238952388
ACH-000721,-1.2613099114632171
ACH-000724,-1.82636582772214
ACH-000725,-1.027728319378055
ACH-000732,-1.3424368419234116
ACH-000734,-1.2048774033911134
ACH-000735,-1.0422763236772823
ACH-000736,-1.230535200349643
ACH-000738,-1.0648373911547964
ACH-000746,-0.9853272616263838
ACH-000747,-1.1134579558039142
ACH-000748,-1.1116369589116506
ACH-000753,-1.281714844348261
ACH-000756,-1.2165027036014997
ACH-000757,-1.0616368856783711
ACH-000758,-1.3054655826478
ACH-000760,-1.0000441555417634
ACH-000762,-1.3199715391361166
ACH-000763,-1.2815542454819755
ACH-000764,-1.1511039391013207
ACH-000765,-1.497294750978208
ACH-000766,-1.0864113588634865
ACH-000767,-1.1505355989449195
ACH-000768,-1.0365244685085713
ACH-000769,-1.2065284663979037
ACH-000770,-1.3517424620500744
ACH-000771,-1.1286710148012855
ACH-000773,-1.0096541379081276
ACH-000776,-1.3211728231867967
ACH-000777,-1.404787519907272
ACH-000778,-1.9789033388295705
ACH-000781,-1.2778498878744464
ACH-000782,-1.2556161139137296
ACH-000783,-1.1734438841923782
ACH-000784,-1.1772153515127957
ACH-000785,-1.1148409012176694
ACH-000787,-1.127637256982937
ACH-000788,-1.1441429515212111
ACH-000791,-1.21653618169098
ACH-000792,-1.2210770130469273
ACH-000794,-1.044237168870177
ACH-000796,-0.9949029672515601
ACH-000798,-1.3784965706960977
ACH-000799,-1.233337825302665
ACH-000800,-1.4406708627357376
ACH-000802,-1.1611866552254209
ACH-000804,-1.3763156732630744
ACH-000805,-1.3850635957553108
ACH-000809,-1.0198919538223479
ACH-000810,-1.4600029190651067
ACH-000811,-1.1552223545813776
ACH-000817,-1.0282598135971432
ACH-000819,-1.0459828405904088
ACH-000820,-0.6472390246481408
ACH-000821,-1.4068285617699594
ACH-000822,-1.029876855130809
ACH-000823,-1.2430035129375387
ACH-000824,-1.21771015433588
ACH-000827,-1.3452213152052883
ACH-000829,-1.187138481476186
ACH-000831,-1.2404737285017189
ACH-000832,-1.2587027306724994
ACH-000833,-1.2362877473683034
ACH-000834,-1.2201737684101197
ACH-000835,-1.1253514415027783
ACH-000836,-0.8817654931932426
ACH-000837,-1.321523012764752
ACH-000838,-1.3571124437765278
ACH-000839,-1.2785953854480785
ACH-000840,-1.4138800628507948
ACH-000841,-1.2903885959914256
ACH-000843,-1.3014894684684764
ACH-000846,-0.9530782264762776
ACH-000847,-1.1249573922070433
ACH-000848,-1.1532133847598611
ACH-000849,-1.2411806185607137
ACH-000851,-1.1980057995017623
ACH-000855,-1.2377171341018862
ACH-000856,-1.1795377116374581
ACH-000858,-1.0971237033704564
ACH-000859,-1.1632674385865436
ACH-000861,-1.0298234415379817
ACH-000862,-1.3043258029476603
ACH-000865,-1.1341668275836492
ACH-000866,-1.0927293937664189
ACH-000867,-1.2862992751282092
ACH-000869,-1.1798578570420124
ACH-000872,-1.2457787130253697
ACH-000873,-1.186535338738435
ACH-000876,-1.36571930802919
ACH-000878,-1.5333862911655431
ACH-000880,-1.3024060744750363
ACH-000881,-1.2671264291798567
ACH-000882,-1.1724410214004692
ACH-000884,-1.2436364382884617
ACH-000885,-1.081707524002201
ACH-000887,-0.9727766574482396
ACH-000889,-1.2172928169131374
ACH-000896,-1.2816063653555745
ACH-000898,-1.134199088858708
ACH-000900,-1.275083270843007
ACH-000901,-1.4357276429926673
ACH-000905,-1.2620353172443386
ACH-000906,-1.0499942482118818
ACH-000907,-1.073228647343491
ACH-000910,-1.2291500747174016
ACH-000911,-1.1327079223907637
ACH-000912,-1.352257491995238
ACH-000913,-1.1323765523811913
ACH-000915,-1.1315701166722127
ACH-000916,-1.2673035145335705
ACH-000917,-1.0419620840142259
ACH-000920,-1.507935007896204
ACH-000921,-1.0687792748501286
ACH-000924,-1.091037109771855
ACH-000926,-1.2557845599531463
ACH-000928,-1.207420795324299
ACH-000929,-1.0609751363628457
ACH-000932,-1.2164460089070808
ACH-000935,-1.3497370410133076
ACH-000936,-1.003157249222237
ACH-000937,-1.2829948926818653
ACH-000938,-1.4480840989354415
ACH-000939,-1.2033172113636414
ACH-000941,-1.3659084009668274
ACH-000943,-1.271228755897566
ACH-000946,-1.1644176323771662
ACH-000947,-1.3275195315902442
ACH-000948,-1.3829448031389788
ACH-000950,-0.8425692474216634
ACH-000953,-1.3925700949490227
ACH-000954,-0.7242457784782637
ACH-000957,-1.0894847642647156
ACH-000958,-1.2210062553938332
ACH-000960,-1.3733158722251435
ACH-000963,-1.2400539681029032
ACH-000968,-1.2448872509563076
ACH-000969,-1.331498066844679
ACH-000972,-0.9223074913645056
ACH-000973,-1.1650550305405554
ACH-000974,-1.2323148323803812
ACH-000978,-1.3714849757093266
ACH-000984,-1.339821020847891
ACH-000986,-1.3633819295553369
ACH-000988,-1.2564855302501088
ACH-000993,-1.2073656527357963
ACH-000994,-1.1296992620689499
ACH-000996,-1.1530038312260071
ACH-001001,-1.2318936613763272
ACH-001020,-0.8283960534737301
ACH-001028,-1.1844502988112309
ACH-001031,-1.3356541163590654
ACH-001038,-1.0960073308337597
ACH-001048,-1.0814982765969017
ACH-001050,-0.930203729001521
ACH-001053,-1.0879632438695042
ACH-001054,-1.0046526675876766
ACH-001061,-1.3595775034528803
ACH-001067,-1.1057526499138637
ACH-001075,-1.4424287219600442
ACH-001096,-1.2420375727963675
ACH-001111,-1.1081540215120709
ACH-001119,-1.2550799384571816
ACH-001128,-0.5831783484647333
ACH-001134,-1.2088958270853964
ACH-001151,-1.1717573614144918
ACH-001163,-1.2752339866692486
ACH-001164,-0.9062575779947972
ACH-001183,-1.122521927094431
ACH-001192,-1.221369625298673
ACH-001193,-1.480705570536739
ACH-001196,-1.317493722169473
ACH-001197,-1.236747665338384
ACH-001205,-1.3232862566918695
ACH-001211,-1.167355348336785
ACH-001212,-1.4200757250649798
ACH-001228,-1.4755105696345492
ACH-001232,-1.1512789229959952
ACH-001239,-1.0674815619908309
ACH-001270,-1.1237213157919541
ACH-001274,-0.9979952055086172
ACH-001275,-1.1167495056462031
ACH-001277,-1.2433361796286428
ACH-001278,-1.176620398293892
ACH-001280,-1.1890773892184052
ACH-001283,-1.4449105691733244
ACH-001289,-1.061860512932937
ACH-001300,-1.3884094662820046
ACH-001301,-1.225128486414104
ACH-001302,-0.8417710488385919
ACH-001306,-1.079115448323671
ACH-001318,-1.1126990845999374
ACH-001322,-1.129267670931117
ACH-001328,-1.1866320320855188
ACH-001332,-1.2910344574150148
ACH-001336,-1.1401574161860566
ACH-001346,-1.1449090791799288
ACH-001353,-1.1973098976504934
ACH-001354,-1.5721116162461235
ACH-001367,-0.9571390198354328
ACH-001368,-1.2281923872159373
ACH-001374,-0.943936787095668
ACH-001377,-1.2098641036375646
ACH-001380,-1.2685085801336191
ACH-001391,-1.1824711914016175
ACH-001408,-1.4062063579667337
ACH-001430,-1.1282679687233204
ACH-001431,-1.4596149029684342
ACH-001450,-1.3522185070591608
ACH-001496,-0.9020226927166564
ACH-001500,-1.1124169694481851
ACH-001523,-1.3602845645483634
ACH-001532,-1.1551705789691689
ACH-001550,-0.9806431717157328
ACH-001552,-1.3837584086848704
ACH-001554,-1.2602269299291646
ACH-001654,-1.4023654032696795
ACH-001735,-1.1904041944781083
ACH-001736,-1.3219962892830923
ACH-001737,-1.3994231406842808
ACH-001740,-1.106346492756972
ACH-001745,-1.2805029386869955
ACH-001765,-1.2534133273657817
