,EIF4G2 (1982)
ACH-000593,-0.9526207171249492
ACH-000600,-1.0439265509598308
ACH-000601,-0.6380117550908806
ACH-000605,-0.4623285393639179
ACH-000606,-0.8099072523504626
ACH-000608,-0.4901442408048386
ACH-000614,-0.6686338422882967
ACH-000616,-0.6400618248659771
ACH-000618,-0.3283894291962812
ACH-000619,-0.6137192217460119
ACH-000620,-0.8447076345832794
ACH-000621,-0.5796393249581571
ACH-000622,-0.7655058298178453
ACH-000623,-0.31512490810610866
ACH-000624,-0.8474336449711616
ACH-000627,-0.4421098741864618
ACH-000630,-0.55989727530726
ACH-000631,-0.6174634444972152
ACH-000632,-0.40180505125768173
ACH-000633,-1.0026059258042426
ACH-000637,-0.6204149478491982
ACH-000638,-0.6008114645894079
ACH-000646,-0.6088328231665217
ACH-000647,-0.957370517367896
ACH-000648,-0.7032267400830563
ACH-000649,-0.7668740940628469
ACH-000651,-0.6252667043557221
ACH-000652,-0.7456555300754327
ACH-000653,-0.42946377748495146
ACH-000657,-0.6633602493264166
ACH-000658,-0.8674172969977203
ACH-000661,-0.6537477240743376
ACH-000662,-0.2450392131272993
ACH-000663,-0.6560021133548894
ACH-000665,-0.6630821178966314
ACH-000671,-0.8368378767924689
ACH-000672,-0.666739120128402
ACH-000673,-0.5156117663325054
ACH-000676,-0.4847767765321472
ACH-000677,-0.8183180635927176
ACH-000681,-0.7086091011464919
ACH-000683,-0.6499226372207048
ACH-000684,-0.7345166714192367
ACH-000688,-0.7182589343851061
ACH-000693,-0.6094126692848886
ACH-000694,-0.6005487932305846
ACH-000695,-0.4484348125772779
ACH-000696,-0.7427807013058173
ACH-000697,-0.9413336843376392
ACH-000699,-0.8121292117816419
ACH-000701,-0.4722789109329005
ACH-000706,-0.7737441554309887
ACH-000711,-0.5972102227951046
ACH-000713,-0.7629768278533153
ACH-000714,-0.5593723951415915
ACH-000718,-0.6352874288024761
ACH-000720,-0.695267208159731
ACH-000721,-0.6585303254024553
ACH-000724,-0.5209425373640599
ACH-000725,-0.7547483670701889
ACH-000732,-0.5611765596170437
ACH-000734,-0.8088354649499885
ACH-000735,-0.282850220749872
ACH-000736,-0.6011828800745129
ACH-000738,-0.6977625101451143
ACH-000746,-0.6232082299785761
ACH-000747,-0.8205710597457226
ACH-000748,-0.5951624700801574
ACH-000753,-0.7722727858838193
ACH-000756,-0.14240819244615238
ACH-000757,-0.6992357129533998
ACH-000758,-0.7190186736182954
ACH-000760,-0.7228209315451211
ACH-000762,-0.5130033958108217
ACH-000763,-0.4115930386388297
ACH-000764,-0.5852313444824101
ACH-000765,-0.7465339085144679
ACH-000766,-1.0212346463326791
ACH-000767,-0.9207380109486588
ACH-000768,-0.5621489165169782
ACH-000769,-0.5389565038384229
ACH-000770,-0.6518335847570103
ACH-000771,-0.5651340490392569
ACH-000773,-0.5692330489940226
ACH-000776,-0.4551433587797919
ACH-000777,-0.6932170006669277
ACH-000778,-0.575307724815117
ACH-000781,-0.8198904307472163
ACH-000782,-0.8021832619800395
ACH-000783,-0.7443123834338491
ACH-000784,-0.7286667483682275
ACH-000785,-0.7702426050993609
ACH-000787,-0.6942245992403515
ACH-000788,-0.25384725410703124
ACH-000791,-0.6546785336359436
ACH-000792,-0.7901588606214885
ACH-000794,-0.7449164744090477
ACH-000796,-0.2514333263699058
ACH-000798,-0.6238874219565367
ACH-000799,-0.7734178911854025
ACH-000800,-0.4860258080072131
ACH-000802,-0.801544826008516
ACH-000804,-0.6313550920338086
ACH-000805,-0.9078350917753308
ACH-000809,-0.5287523168717362
ACH-000810,-0.712799148847891
ACH-000811,-0.5481746282618868
ACH-000817,-0.5985086307508681
ACH-000819,-0.5122548314927448
ACH-000820,-0.8953959843115624
ACH-000821,-0.9560204138850376
ACH-000822,-0.9219607713589392
ACH-000823,-0.9374302533643024
ACH-000824,-0.7471936313571519
ACH-000827,-0.7540563509031961
ACH-000829,-0.6892926201707928
ACH-000831,-0.5224305761526514
ACH-000832,-0.5877420792688364
ACH-000833,-0.7307104632647244
ACH-000834,-0.5372620881143626
ACH-000835,-0.6856577054148826
ACH-000836,-0.7327057878184428
ACH-000837,-0.5117958925816734
ACH-000838,-0.8924486236916293
ACH-000839,-0.42190719732962856
ACH-000840,-0.7192087568536943
ACH-000841,-0.5127155136957813
ACH-000843,-0.5744618030658527
ACH-000846,-0.8109295493821617
ACH-000847,-0.7552026337354044
ACH-000848,-0.5580873130510378
ACH-000849,-0.8599581755761652
ACH-000851,-0.6220152306897886
ACH-000855,-0.4809672038170274
ACH-000856,-0.7449615533796856
ACH-000858,-0.4017165314668637
ACH-000859,-0.5005820907678766
ACH-000861,-0.623869977265258
ACH-000862,-0.4681252713317164
ACH-000865,-0.6567463256064342
ACH-000866,-0.7482313319185055
ACH-000867,-0.7472722889936585
ACH-000869,-0.8893074659884044
ACH-000872,-0.9242582831726563
ACH-000873,-0.7301512402886874
ACH-000876,-0.59119011088002
ACH-000878,-0.5974005001249311
ACH-000880,-0.0043662811620519375
ACH-000881,-0.6020196770232811
ACH-000882,-0.4900872158405088
ACH-000884,-0.6827533844993624
ACH-000885,-0.6483887185337167
ACH-000887,-0.6160041703946562
ACH-000889,-0.4574804037652543
ACH-000896,-0.3697342317037036
ACH-000898,-0.608839638328683
ACH-000900,-0.6947535009789897
ACH-000901,-0.25785400318309065
ACH-000905,-0.4768439151951856
ACH-000906,-0.6092395447923521
ACH-000907,-1.1522167916641846
ACH-000910,-0.6735263889081904
ACH-000911,-0.5219508240974984
ACH-000912,-0.7503654885094071
ACH-000913,-0.7255976303533211
ACH-000915,-0.4101105961799395
ACH-000916,-0.5909060814043502
ACH-000917,-0.7913404140615777
ACH-000920,-0.6932237969927025
ACH-000921,-0.8400217195025024
ACH-000924,-0.3594354999745454
ACH-000926,-0.6823612990578786
ACH-000928,-0.4668576485939626
ACH-000929,-0.6851333023699758
ACH-000932,-0.7122774380315224
ACH-000935,-0.6757804255818757
ACH-000936,-0.4361748748203639
ACH-000937,-0.7118533056957961
ACH-000938,-0.6895309801175347
ACH-000939,-0.5759325793090319
ACH-000941,-0.4279398387522139
ACH-000943,-0.6061315906433621
ACH-000946,-0.7645595596379804
ACH-000947,-0.481107411784581
ACH-000948,-0.645414585621092
ACH-000950,-0.7479036318541518
ACH-000953,-0.7437139440856659
ACH-000954,-0.4706289858437289
ACH-000957,-0.4095752282095538
ACH-000958,-0.8091003205740761
ACH-000960,-0.7606531422099161
ACH-000963,-0.6552707183042744
ACH-000968,-0.4777838315327066
ACH-000969,-0.7002227298713002
ACH-000972,-0.6166931994432602
ACH-000973,-0.5010617617041186
ACH-000974,-0.5617937184672472
ACH-000978,-0.5079354175757519
ACH-000984,-0.7252102699920513
ACH-000986,-0.8730988792226664
ACH-000988,-0.6086449645056993
ACH-000993,-0.7509582889475628
ACH-000994,-0.2256574589041305
ACH-000996,-0.7500674421626136
ACH-001001,-0.5858550424219241
ACH-001020,-0.6921368717570471
ACH-001028,-0.512130864817622
ACH-001031,-0.5921233507302482
ACH-001038,-0.461280919222457
ACH-001048,-0.44102006674522026
ACH-001050,-1.0432591209508468
