,GLIS1 (148979)
ACH-000317,0.0735324326625287
ACH-000318,-0.02739284075984377
ACH-000319,-0.026340756840810463
ACH-000320,-0.02775318055473357
ACH-000322,-0.041392756457326735
ACH-000323,-0.04733200992958084
ACH-000324,-0.13995197909295432
ACH-000329,-0.02961174484542825
ACH-000330,-0.0729181109897479
ACH-000331,-0.11552039438803392
ACH-000332,0.05514717859130636
ACH-000334,0.1550535282920043
ACH-000335,0.057008974782065736
ACH-000336,-0.20803295196830804
ACH-000337,-0.13051954292746062
ACH-000338,0.2936226589414425
ACH-000339,-0.07182719908041002
ACH-000341,0.04789403647571595
ACH-000348,0.12377473159433193
ACH-000350,-0.008497274739868969
ACH-000352,0.06061650425864468
ACH-000356,-0.2401200715593504
ACH-000361,-0.053331760040026766
ACH-000362,-0.06341804410557822
ACH-000363,0.0046437397820796155
ACH-000364,-0.14743640247585324
ACH-000365,-0.053670624156783885
ACH-000366,0.028410090113763144
ACH-000368,0.012190705104099168
ACH-000374,-0.058737641762530136
ACH-000375,0.04553683431611045
ACH-000376,-0.025441577123176847
ACH-000381,-0.2060264052035252
ACH-000383,-0.007831910142504596
ACH-000387,-0.06999251832636802
ACH-000389,0.07919972478548477
ACH-000390,0.018219497540943787
ACH-000393,-0.04370888146998665
ACH-000395,-0.036053668961486283
ACH-000396,-0.006821295729513979
ACH-000397,0.036214814903294666
ACH-000401,-0.017647519825637573
ACH-000402,-0.0273267883459798
ACH-000403,-0.07702850995615522
ACH-000404,-0.061613573984306065
ACH-000406,-0.0748081580182224
ACH-000407,0.009042430152820871
ACH-000408,0.021993075622468446
ACH-000410,-0.07473368784332217
ACH-000411,-0.08205953801072359
ACH-000414,0.029365037394944917
ACH-000415,-0.05960696751379689
ACH-000416,0.06466810143944406
ACH-000420,-0.01162572823389906
ACH-000421,-0.025226461254354
ACH-000424,-0.24683589278667806
ACH-000425,0.006945653068803986
ACH-000426,0.1306205052742917
ACH-000427,0.13765568855666072
ACH-000433,-0.13922022793823244
ACH-000435,0.08045317033058133
ACH-000436,-0.18885046381281864
ACH-000444,0.04302594324006493
ACH-000445,-0.23775658835260005
ACH-000448,-0.1132777485333894
ACH-000450,-0.2461218641255213
ACH-000452,-0.026628583452220682
ACH-000454,-0.09033675823055123
ACH-000458,-0.14129496449296364
ACH-000459,-0.12338085599217613
ACH-000460,-0.012230999113805
ACH-000461,-0.10104040871111744
ACH-000463,0.07903709509799796
ACH-000464,0.041345490942907855
ACH-000466,-0.005109736085909214
ACH-000467,0.051869300631027855
ACH-000468,-0.08517320355125126
ACH-000469,-0.13580918155566066
ACH-000470,-0.11009766901363853
ACH-000471,0.06500351848673519
ACH-000472,0.03128659640730335
ACH-000473,0.02850507443744945
ACH-000475,0.019226453321157147
ACH-000476,0.017886596793338188
ACH-000477,0.0922268540341486
ACH-000479,-0.0352214390426654
ACH-000480,-0.0032880201517523585
ACH-000481,0.0660694389314221
ACH-000483,0.19421650513356375
ACH-000484,-0.007092909889952688
ACH-000485,-0.03922677153286773
ACH-000486,-0.009150672873078858
ACH-000487,0.06280830440601637
ACH-000488,-0.04824698271223893
ACH-000490,-0.022089204973491247
ACH-000491,-0.12328902361102352
ACH-000495,-0.026277528504843863
ACH-000496,-0.10533468619220862
ACH-000499,-0.0035320123677331696
ACH-000500,-0.036226457550188315
ACH-000502,-0.015307215021659246
ACH-000503,-0.003457163813066361
ACH-000505,0.028440177912467144
ACH-000507,-0.16364185577938098
ACH-000510,-0.042837223167095526
ACH-000511,-0.030764589155995538
ACH-000512,0.10798840720658183
ACH-000516,-0.1353636995053412
ACH-000517,-0.0294624548713558
ACH-000518,-0.0163808549131685
ACH-000520,-0.09880937024792742
ACH-000521,-0.06129438663645637
ACH-000522,-0.04004420310399559
ACH-000524,-0.05857206781821631
ACH-000527,-0.05210875673076957
ACH-000528,-0.060049959890013126
ACH-000537,0.009779800759250732
ACH-000541,-0.0064594873998089115
ACH-000542,-0.05396108839978304
ACH-000544,0.02319571384591766
ACH-000545,0.034681541689403836
ACH-000547,-0.2553135903918612
ACH-000548,-0.008615890408211691
ACH-000549,-0.05943253111281944
ACH-000550,-0.01905770835539102
ACH-000552,-0.07786530266459223
ACH-000556,0.015960882093199017
ACH-000557,-0.051577687586667316
ACH-000569,0.18657900648280232
ACH-000570,0.2260959139086157
ACH-000571,-0.08125862401736683
