,PROK1 (84432)
ACH-000387,-0.053316572503801125
ACH-000389,0.1030687713107378
ACH-000390,-0.07929253857841997
ACH-000393,-0.2434675768745013
ACH-000395,0.04426897295480473
ACH-000396,0.06610695349069659
ACH-000397,-0.15983007727896248
ACH-000401,0.09613999441922493
ACH-000402,-0.4681653962189998
ACH-000403,-0.015064102343145015
ACH-000404,0.10523180335907127
ACH-000406,-0.07431737352776388
ACH-000407,-0.1483326181627579
ACH-000408,-0.39219958928561377
ACH-000410,-0.06800635202584834
ACH-000411,-0.08590978017238701
ACH-000414,-0.03478309327582488
ACH-000415,-0.20688522200565526
ACH-000416,-0.06667426130231037
ACH-000420,-0.11803037980943665
ACH-000421,-0.1234037205196278
ACH-000424,-0.08540015449883387
ACH-000425,-0.06378983211822974
ACH-000426,-0.049303466123393966
ACH-000427,-0.06342645402429421
ACH-000433,-0.17963072120904955
ACH-000435,-0.1853291407132169
ACH-000436,-0.2406572694746104
ACH-000444,-0.16571560157555548
ACH-000445,-0.247622696274598
ACH-000448,-0.119461687282456
ACH-000450,-0.19836016716997096
ACH-000452,-0.07710896726682538
ACH-000454,-0.07268975786515221
ACH-000458,-0.12094037794382202
ACH-000459,-0.0498683245958619
ACH-000460,-0.11087442608939913
ACH-000461,-0.09778704050404424
ACH-000463,-0.047854219497972805
ACH-000464,-0.1389780981045768
ACH-000466,-0.11510996077024327
ACH-000467,-0.08414383371578339
ACH-000468,-0.1194433832235922
ACH-000469,-0.046291161008341616
ACH-000470,-0.10948861728594307
ACH-000471,-0.1476833121097333
ACH-000472,-0.06810088992258202
ACH-000473,-0.061962455328702336
ACH-000475,-0.08161940977455319
ACH-000476,-0.08252348974726274
ACH-000477,0.05407974785855543
ACH-000479,-0.05132604897132319
ACH-000480,-0.0712264800364563
ACH-000481,-0.07804574218647133
ACH-000483,-0.11720577524045075
ACH-000484,0.11338715157605365
ACH-000485,-0.03575350071669718
ACH-000486,-0.030955994314739468
ACH-000487,-0.04616313249851769
ACH-000488,-0.02150254104677454
ACH-000490,-0.1327265373843674
ACH-000491,-0.0861634495435238
ACH-000495,-0.2236849443028432
ACH-000496,-0.2233493130547627
ACH-000499,-0.07306232944564738
ACH-000500,-0.12273075150999906
ACH-000502,-0.07672109941338225
ACH-000503,-0.07213949230790627
ACH-000505,-0.09223734843898172
ACH-000507,-0.061512015949671726
ACH-000510,-0.12799525604596151
ACH-000511,0.017433429890637404
ACH-000512,-0.09068903905649688
ACH-000516,-0.06878863729304376
ACH-000517,-0.07902164230666574
ACH-000518,0.09787387098311172
ACH-000520,-0.10915922453412527
ACH-000521,-0.08395421305125783
ACH-000522,-0.2628061810719974
ACH-000524,0.003163200271493657
ACH-000527,-0.04153041747191282
ACH-000528,0.0175346211326642
ACH-000537,-0.15898500415159042
ACH-000541,0.057905305496331265
ACH-000542,-0.04785324616887588
ACH-000544,-0.09923393309058147
ACH-000545,-0.2318321436098349
ACH-000547,-0.1427558746271765
ACH-000548,-0.12301106963102418
ACH-000549,-0.2100988709886735
ACH-000550,-0.028796242616735964
ACH-000552,-0.1616199449623249
ACH-000556,-0.0918052916611915
ACH-000557,-0.059643696918822466
ACH-000569,0.0647418041997903
ACH-000570,-0.13169695792673022
ACH-000571,-0.06701919122064177
ACH-000573,-0.05281272760719315
ACH-000576,0.04117693569181157
ACH-000579,-0.07039567653474221
ACH-000580,-0.10211023280679228
ACH-000584,-0.05959182209606359
ACH-000585,0.014175589007483553
ACH-000588,-0.08070185717409062
ACH-000589,-0.2283634080882519
ACH-000591,-0.10306092486785208
ACH-000593,-0.04350262757140685
ACH-000600,-0.02630489428414531
ACH-000601,-0.0643794266086105
ACH-000605,-0.43469133035215374
ACH-000606,-0.09540560528433917
ACH-000608,-0.05142295176870762
ACH-000614,-0.07374108686647728
ACH-000616,-0.026617005457775143
ACH-000618,-0.07566553923260569
ACH-000619,-0.03986202286655777
ACH-000620,-0.07533100888502013
ACH-000621,-0.12900543945596832
ACH-000622,-0.07822362828175812
ACH-000623,-0.12128838170797482
ACH-000624,-0.07080568225022145
ACH-000627,-0.10320283014951273
ACH-000630,-0.12253702316596835
ACH-000631,-0.03879696927108309
ACH-000632,-0.14720097200543986
ACH-000633,-0.010206967480193554
ACH-000637,0.1351513801425455
ACH-000638,-0.0744535349356002
ACH-000646,-0.03452697084366225
ACH-000647,-0.0851877968769658
ACH-000648,-0.11458853898586625
ACH-000649,-0.14088671045438364
ACH-000651,-0.13191581090835625
ACH-000652,-0.11034251082831288
ACH-000653,-0.12171445163187772
ACH-000657,-0.08672078012894642
ACH-000658,-0.09787891599782944
ACH-000661,0.02323486284855533
ACH-000662,0.08123785416992754
ACH-000663,-0.0050951262254231395
ACH-000665,-0.1548955747244293
ACH-000671,-0.17290546796706355
ACH-000672,-0.05046145549189022
ACH-000673,-0.06511570027203956
ACH-000676,-0.06315061327669771
ACH-000677,-0.134415406625697
ACH-000681,-0.047940965917552036
ACH-000683,-0.1171486786579064
ACH-000684,-0.205341751848225
ACH-000688,0.002221860892901727
ACH-000693,-0.06261607337886703
ACH-000694,0.005438367182579169
ACH-000695,-0.2184017230826516
ACH-000696,-0.02242199634320221
ACH-000697,-0.2685558402591053
ACH-000699,-0.02476616650582057
ACH-000701,-0.04983984983457087
ACH-000706,-0.2289703190075828
ACH-000711,-0.0912646856315784
ACH-000713,-0.3401658931773861
ACH-000714,-0.08324470341210809
ACH-000718,0.06474043177119253
ACH-000720,-0.13335255794283693
ACH-000721,-0.21978294782992708
ACH-000724,0.08264200651254228
ACH-000725,-0.0843601494029547
ACH-000732,-0.030597389492661067
ACH-000734,-0.16538074864814808
ACH-000735,-0.09897923813043652
ACH-000736,-0.13545629071261944
ACH-000738,-0.06887716306046049
ACH-000746,-0.0030472664427871497
ACH-000747,-0.1511910496171321
ACH-000748,-0.09453458887097717
ACH-000753,-0.0737077780448845
ACH-000756,-0.09999036915935976
ACH-000757,-0.14774389501713098
ACH-000758,-0.1022711281599074
ACH-000760,-0.09282643988784656
ACH-000762,0.026881578648130563
ACH-000763,-0.07483716538035508
ACH-000764,-0.07967639744131479
