,BAG2 (9532)
ACH-001408,-0.2124980377786484
ACH-001430,-0.05817730127059699
ACH-001431,-0.24997353773519626
ACH-001450,0.1265069472638328
ACH-001496,-0.06529503608014715
ACH-001500,-0.0009367886897071332
ACH-001523,-0.02471454732110745
ACH-001532,-0.3334804913236516
ACH-001550,-0.14235185749016785
ACH-001552,-0.04732999708678996
ACH-001554,-0.2807645870162981
ACH-001654,-0.16386899457801346
ACH-001735,-0.10538248805434712
ACH-001736,-0.1820828373866953
ACH-001737,-0.70222231972541
ACH-001740,-0.3438358613534905
ACH-001745,-0.20620904362275805
ACH-001765,-0.21586946539334625
