,GGT7 (2686)
ACH-000938,-0.10764817809410107
ACH-000939,-0.13182284349147647
ACH-000941,-0.11985348153948044
ACH-000943,-0.04750370605631617
ACH-000946,-0.06530949188650707
ACH-000947,-0.0753088164508172
ACH-000948,0.07264173207672613
ACH-000950,-0.0474253000325106
ACH-000953,-0.14184177671704146
ACH-000954,-0.2169957661351712
ACH-000957,0.03401199889794175
ACH-000958,0.13618643021373913
ACH-000960,0.005567755505726856
ACH-000963,0.02264272072723769
ACH-000968,0.025710586512297462
ACH-000969,-0.02590080941446039
ACH-000972,0.2603721575341367
ACH-000973,0.0013824479667071295
ACH-000974,0.03711402965950219
ACH-000978,-0.14104480438348502
ACH-000984,0.10826900716135753
ACH-000986,-0.11685564952893165
ACH-000988,-0.11256048598767207
ACH-000993,-0.11983785192667945
ACH-000994,-0.09480404866783894
ACH-000996,-0.23213085106323325
ACH-001001,-0.05448584922096107
ACH-001020,0.12577531687504775
ACH-001028,-0.2108361097284032
ACH-001031,-0.12160748166138614
ACH-001038,0.02286853771184913
ACH-001048,-0.04614132772015222
ACH-001050,-0.015735344799885163
ACH-001053,0.09201245858054223
ACH-001054,0.04478483724426415
ACH-001061,0.010865094046059023
ACH-001067,-0.12404019796312885
ACH-001075,-0.0987070604306606
ACH-001096,-0.11193613964803158
ACH-001111,-0.2316102370405005
ACH-001119,0.007247992258795183
ACH-001128,-0.1123622364926782
ACH-001134,-0.14007756642089866
ACH-001151,0.002777283408541505
ACH-001163,-0.15021505436141247
ACH-001164,-0.03394397230356843
ACH-001183,-0.10991132245214577
ACH-001192,-0.12733544855941914
ACH-001193,-0.011883447662741372
ACH-001196,-0.09480812768447654
ACH-001197,-0.06493357680181261
ACH-001205,-0.055515013835357015
ACH-001211,-0.07444475883332008
ACH-001212,-0.27975841549686803
ACH-001228,-0.033499054978867744
ACH-001232,-0.05455052007808224
ACH-001239,-0.0037808059501793314
ACH-001270,0.057137806789236335
ACH-001274,0.019502022509232497
ACH-001275,-0.13250191441187034
ACH-001277,0.12257867835115165
ACH-001278,-0.1379350458584111
ACH-001280,-0.16722370346361126
ACH-001283,0.017333995507850208
ACH-001289,-0.05112133435843726
ACH-001300,-0.012735864830626595
ACH-001301,-0.08141098514318032
ACH-001302,-0.16661834999152345
ACH-001306,-0.13968414566091542
ACH-001318,0.00945660248508692
ACH-001322,-0.11619182053862592
ACH-001328,-0.017073375420920214
ACH-001332,-0.04793986831894338
ACH-001336,0.021684499996938045
ACH-001346,-0.17781315815968993
ACH-001353,-0.08622269123325138
ACH-001354,0.020735492962971544
ACH-001367,0.10956512526521643
ACH-001368,-0.11375356402973133
ACH-001374,-0.24966183624588606
ACH-001377,-0.034386698182548026
ACH-001380,0.0664285466199467
ACH-001391,-0.02878096287765026
ACH-001408,0.003994431029362935
ACH-001430,-0.08558224879193811
ACH-001431,-0.08384329402511674
ACH-001450,-0.038435631065852856
ACH-001496,-0.06958257511954134
ACH-001500,-0.20713735999518276
ACH-001523,-0.11646239131151985
ACH-001532,0.022981500751472664
ACH-001550,0.06874265661198238
ACH-001552,0.05823623776159763
ACH-001554,-0.02927825700322013
ACH-001654,-0.008334449999216573
ACH-001735,-0.16845068785814918
ACH-001736,-0.002260214091070033
ACH-001737,-0.07300584514181907
ACH-001740,0.046067612529264994
ACH-001745,0.051459707893481664
ACH-001765,0.02559308306273809
