,NTAN1 (123803)
ACH-000738,-0.026040038785594955
ACH-000746,-0.01967430661360928
ACH-000747,-0.08935156549284418
ACH-000748,-0.02982908284752685
ACH-000753,-0.19150423052004845
ACH-000756,-0.03964440774746303
ACH-000757,-0.17350535838879766
ACH-000758,-0.105661443646913
ACH-000760,-0.1892846270688995
ACH-000762,0.12243872799161758
ACH-000763,-0.028485229980365706
ACH-000764,-0.10707901208514807
ACH-000765,-0.12693827366678384
ACH-000766,-0.18643686190544626
ACH-000767,-0.1622650885070262
ACH-000768,-0.08999274919812464
ACH-000769,-0.16479607748025624
ACH-000770,-0.12339052449558055
ACH-000771,-0.3011188888791803
ACH-000773,-0.13421248489597815
ACH-000776,-0.058961916640099685
ACH-000777,-0.08479666951324333
ACH-000778,-0.1406284284984209
ACH-000781,-0.12438417106133275
ACH-000782,0.06682685376916794
ACH-000783,-0.11802391920568835
ACH-000784,-0.16691306492319502
ACH-000785,-0.15060954003082447
ACH-000787,-0.04064252771138967
ACH-000788,-0.04074455359467755
ACH-000791,-0.0017148645183619102
ACH-000792,-0.09875630448105126
ACH-000794,-0.007855456040805134
ACH-000796,-0.14111727090075502
ACH-000798,-0.20599352960956374
ACH-000799,0.10089131024915016
ACH-000800,0.048936417281872806
ACH-000802,-0.2161016343427974
ACH-000804,0.04138297586412943
ACH-000805,-0.017316349147347063
ACH-000809,-0.021892650996807428
ACH-000810,-0.2650689460668749
ACH-000811,-0.1898140510279816
ACH-000817,-0.018672273859185372
ACH-000819,-0.08214450600891825
ACH-000820,0.2324153978651717
ACH-000821,-0.2089847182846944
ACH-000822,-0.08526875556264618
ACH-000823,0.047198827371399035
ACH-000824,-0.03813261068846044
ACH-000827,-0.13071554600774565
ACH-000829,-0.12854693780712512
ACH-000831,-0.09218547579994693
ACH-000832,-0.14358723068201454
ACH-000833,-0.05522001205318603
ACH-000834,-0.08696922462285417
ACH-000835,-0.12017334144212101
ACH-000836,-0.1153982803254851
ACH-000837,-0.06665076522581398
ACH-000838,-0.13758172773334096
ACH-000839,0.011294273354368785
ACH-000840,-0.18644934749544176
ACH-000841,-0.3869921424154817
ACH-000843,-0.11023571212567483
ACH-000846,-0.0470412567722837
ACH-000847,-0.21157918711073911
ACH-000848,0.03437424241590308
ACH-000849,-0.2262545889475976
ACH-000851,0.03032653027252117
ACH-000855,-0.003526805148087721
ACH-000856,-0.14850994514216187
ACH-000858,-0.02805692658260344
ACH-000859,-0.11890820616566353
ACH-000861,-0.19520882586089067
ACH-000862,-0.08935196484549905
ACH-000865,-0.20568610465719145
ACH-000866,-0.1803122813580034
ACH-000867,-0.2154749361036327
ACH-000869,-0.16878824272986678
ACH-000872,-0.2154247777163256
ACH-000873,0.013991869453863756
ACH-000876,-0.10077994603117033
ACH-000878,-0.025746073464987845
ACH-000880,0.08879280542974795
ACH-000881,-0.06381875131699973
ACH-000882,0.04804708127666743
ACH-000884,-0.1435272039508353
ACH-000885,-0.18116306996503728
ACH-000887,-0.06707361696045226
ACH-000889,0.01683474444962271
ACH-000896,-0.035205385188731536
ACH-000898,-0.1473493551905872
ACH-000900,0.01779716295509191
ACH-000901,-0.14103559096136886
ACH-000905,-0.07417653124845086
ACH-000906,-0.13999977220772755
ACH-000907,-0.2452144899851977
ACH-000910,-0.21000335175641746
ACH-000911,-0.2317996272864677
ACH-000912,-0.05732023545206681
ACH-000913,-0.04811331755465958
ACH-000915,-0.1990667703165007
ACH-000916,-0.43566634609219096
ACH-000917,-0.08612448595516259
ACH-000920,0.20819912872546875
ACH-000921,-0.21528238021769416
ACH-000924,-0.18071313339577394
ACH-000926,-0.2829889350923959
ACH-000928,-0.19123036756341127
ACH-000929,-0.13943705175650153
ACH-000932,-0.026339437357923105
ACH-000935,-0.11145911224577386
ACH-000936,-0.058934825002346085
ACH-000937,-0.08296116423181746
ACH-000938,-0.2820964590790914
ACH-000939,0.04376680504979077
ACH-000941,-0.13287833808345245
ACH-000943,-0.11319565579726147
ACH-000946,-0.13800392231552727
ACH-000947,-0.08589139878642149
ACH-000948,-0.1457618893257676
ACH-000950,-0.1768533496074861
ACH-000953,-0.13604249510530952
ACH-000954,-0.08616736974725242
ACH-000957,-0.18799948100089328
ACH-000958,-0.10028019429486386
ACH-000960,0.10467175145978723
ACH-000963,-0.07637238595346572
ACH-000968,-0.0852973350148749
ACH-000969,-0.07639775429261768
ACH-000972,-0.12235464599280875
ACH-000973,-0.12393311873811552
ACH-000974,-0.15129280327800929
ACH-000978,0.17611526838146738
ACH-000984,-0.11168272266533216
ACH-000986,-0.13957720152535494
ACH-000988,-0.2358653609635044
ACH-000993,-0.06746834874409519
ACH-000994,-0.060931650225819124
ACH-000996,-0.2322605462261367
ACH-001001,-0.1670028709177762
ACH-001020,-0.046923753331513184
ACH-001028,-0.07999905492493757
ACH-001031,-0.05229457963888999
ACH-001038,-0.1567770441468572
ACH-001048,-0.00878417983679605
ACH-001050,-0.2039109772664288
ACH-001053,0.046212946256457714
ACH-001054,-0.022946515769632442
ACH-001061,-0.09685569864951002
ACH-001067,-0.22210381605300344
ACH-001075,-0.03233807633050207
ACH-001096,-0.20461736082004026
ACH-001111,-0.07669599032534201
ACH-001119,-0.3203953690426693
ACH-001128,0.09963196715403554
ACH-001134,0.03225892424979596
ACH-001151,-0.14596170548577567
ACH-001163,-0.09861373099278424
ACH-001164,-0.17782425421758147
ACH-001183,-0.22289402677288286
ACH-001192,-0.2492648235978793
ACH-001193,-0.1775147481029003
ACH-001196,-0.2628984461654423
ACH-001197,-0.4057531608982081
ACH-001205,-0.31353377227078433
ACH-001211,-0.1080639062770948
ACH-001212,0.07773367047160726
ACH-001228,0.010573638672789378
ACH-001232,-0.009212054498663516
ACH-001239,-0.1064729843717373
ACH-001270,-0.08599127996188254
ACH-001274,-0.26831228397473234
ACH-001275,-0.2687354377598677
ACH-001277,-0.1268030232437815
ACH-001278,-0.2849558093981288
ACH-001280,-0.20608526467121774
ACH-001283,-0.058102967863055716
ACH-001289,-0.14793884346616948
ACH-001300,0.056455096344701014
ACH-001301,-0.06674240758130666
ACH-001302,-0.18701367136930386
ACH-001306,-0.09027321611955116
ACH-001318,-0.15534764242319438
ACH-001322,-0.12888734351062006
ACH-001328,-0.001844772194426348
ACH-001332,0.25587866676035503
ACH-001336,-0.09808992354751893
ACH-001346,-0.11457554538594182
ACH-001353,-0.1127280156074757
ACH-001354,0.06858143760365913
ACH-001367,-0.4112766294808773
ACH-001368,-0.1562611647024103
ACH-001374,-0.05481479758073013
ACH-001377,-0.17083603169073924
ACH-001380,0.04706204320518132
ACH-001391,-0.2285755675908086
ACH-001408,-0.18195217649040807
ACH-001430,-0.470307157286953
ACH-001431,-0.10013453686805698
ACH-001450,-0.01621321710501513
ACH-001496,-0.11799651797396865
ACH-001500,-0.14427146230583662
ACH-001523,-0.041476424616882016
ACH-001532,-0.1379134601016487
ACH-001550,0.0014511558197388599
ACH-001552,0.01023064977682483
ACH-001554,-0.08303412420930523
ACH-001654,-0.08072890358033866
ACH-001735,-0.005966382876644264
ACH-001736,0.017805917534273415
ACH-001737,-0.020311101218873726
ACH-001740,-0.1169931503606489
ACH-001745,-0.2259096220572389
ACH-001765,-0.1565585603182289
