,P2RX3 (5024)
ACH-000912,-0.16407669754656373
ACH-000913,-0.1818664946189079
ACH-000915,-0.10523173551651538
ACH-000916,-0.17710412856344326
ACH-000917,-0.24192180781152606
ACH-000920,-0.1559936387724455
ACH-000921,-0.10705923131643456
ACH-000924,-0.09595529419370348
ACH-000926,0.10219898096858697
ACH-000928,0.06502407697874549
ACH-000929,-0.03555422418000075
ACH-000932,-0.11908783862223245
ACH-000935,-0.1791272464733684
ACH-000936,-0.3504279374481972
ACH-000937,-0.2113989582203439
ACH-000938,-0.14707469039539947
ACH-000939,-0.17141221324037126
ACH-000941,-0.29505628457835675
ACH-000943,-0.14725098421283814
ACH-000946,-0.16300718338301692
ACH-000947,-0.21999555448317493
ACH-000948,-0.2707106947493005
ACH-000950,-0.0017799364709677886
ACH-000953,-0.2457042239000227
ACH-000954,0.05113154803837692
ACH-000957,-0.2846129339422277
ACH-000958,-0.13812643596296895
ACH-000960,-0.2509427952834041
ACH-000963,-0.048709672783011526
ACH-000968,-0.17239843766589838
ACH-000969,-0.2285611309319387
ACH-000972,-0.03243777023247448
ACH-000973,-0.25853592826578
ACH-000974,-0.16829023951525507
ACH-000978,-0.13588697205345535
ACH-000984,-0.20445535565816092
ACH-000986,-0.19011753029343587
ACH-000988,-0.0831213984388369
ACH-000993,-0.0478760226730129
ACH-000994,-0.1573430805514678
ACH-000996,-0.09277616952698917
ACH-001001,-0.13367128101677594
ACH-001020,-0.040466927466489125
ACH-001028,-0.0814624622365597
ACH-001031,-0.15093239735934907
ACH-001038,-0.13938772806871833
ACH-001048,-0.2305761417568596
ACH-001050,-0.02893266111267974
ACH-001053,-0.3629944068019732
ACH-001054,-0.17032388417268754
ACH-001061,-0.07964212283708308
ACH-001067,-0.07603310561907878
ACH-001075,-0.28364211112817994
ACH-001096,-0.1218218742944158
ACH-001111,0.059380649476695135
ACH-001119,-0.19932779423153527
ACH-001128,-0.2553179895984731
ACH-001134,-0.07688227112143213
ACH-001151,-0.1604285584346644
ACH-001163,-0.12001212686932465
ACH-001164,-0.023318337938072718
ACH-001183,0.0005816031764980526
ACH-001192,0.06558243222562632
ACH-001193,-0.42915622272782666
ACH-001196,-0.34220274663754
ACH-001197,-0.2489407059386988
ACH-001205,0.13857461011721656
ACH-001211,-0.26402204056681033
ACH-001212,0.21632416325844336
ACH-001228,-0.004456611107554331
ACH-001232,-0.1768673094378847
ACH-001239,-0.04267080396687994
ACH-001270,-0.1890842333652281
ACH-001274,-0.2050064713078644
ACH-001275,-0.0717629548422159
ACH-001277,-0.08757531114073766
ACH-001278,-0.2628815356884139
ACH-001280,-0.03387045238168482
ACH-001283,-0.1309778709569639
ACH-001289,-0.2917603404391805
ACH-001300,-0.17102651794011303
ACH-001301,0.022934307034523142
ACH-001302,-0.4643445754698789
ACH-001306,-0.21206297152767786
ACH-001318,-0.08991958759137375
ACH-001322,-0.07967665102689238
ACH-001328,-0.2728057648246734
ACH-001332,-0.09996478325853247
ACH-001336,-0.3476550321995178
ACH-001346,-0.1188577482162656
ACH-001353,-0.03414020167298155
ACH-001354,-0.018742995727227117
ACH-001367,-0.12374196050910895
ACH-001368,-0.21332314367752128
ACH-001374,-0.06520160116424838
ACH-001377,-0.1397495464054332
ACH-001380,-0.1130440684935915
ACH-001391,-0.2454925861231438
ACH-001408,-0.0576764618756039
ACH-001430,-0.028050635247427985
ACH-001431,-0.08794754556148597
ACH-001450,-0.13026438173734756
ACH-001496,-0.20572045063340327
ACH-001500,-0.12399613536684065
ACH-001523,-0.1486457050104853
