,IPPK (64768)
ACH-000463,-0.2241036191838114
ACH-000464,-0.2688131633537539
ACH-000466,-0.3636644689467451
ACH-000467,-0.2477556808653051
ACH-000468,-0.4722979526702909
ACH-000469,-0.09042732853980136
ACH-000470,-0.32580972145201004
ACH-000471,-0.3843160444036558
ACH-000472,-0.28646960580825936
ACH-000473,-0.2973563890979241
ACH-000475,-0.04261774775950401
ACH-000476,-0.19660576702168148
ACH-000477,-0.5265679095274424
ACH-000479,-0.2044317288513768
ACH-000480,-0.13068009622550944
ACH-000481,-0.28194234862075823
ACH-000483,-0.4361449112698058
ACH-000484,-0.3525393157307101
ACH-000485,-0.17645783942110846
ACH-000486,-0.043732977125994624
ACH-000487,-0.7938536235162178
ACH-000488,-0.04881422764752903
ACH-000490,0.018398044354815984
ACH-000491,-0.5243067709280163
ACH-000495,-0.05507697148966211
ACH-000496,-0.3269505110696764
ACH-000499,-0.1204309929277364
ACH-000500,-0.43591729749519786
ACH-000502,-0.5497536719161401
ACH-000503,-0.29122058150580704
ACH-000505,-0.25651444916032645
ACH-000507,-0.1880989298751876
ACH-000510,-0.3072393054824071
ACH-000511,-0.2901665420247457
ACH-000512,-0.5102068590330132
ACH-000516,-0.3400091032231634
ACH-000517,-0.2904318436860738
ACH-000518,-0.2117004516254373
ACH-000520,-0.3046701049143254
ACH-000521,-0.29103196513720714
ACH-000522,-0.4986884600672333
ACH-000524,-0.27929562068903885
ACH-000527,-0.305086038082475
ACH-000528,-0.10254326231042098
ACH-000537,-0.2859818865517761
ACH-000541,-0.3884373158255218
ACH-000542,-0.10069110483496292
ACH-000544,-0.23769202745615806
ACH-000545,-0.13976008726494546
ACH-000547,-0.2300545746871461
ACH-000548,-0.3683066052974928
ACH-000549,-0.026598494668410636
ACH-000550,-0.2500770016524005
ACH-000552,-0.17808461447344276
ACH-000556,-0.7911700136149779
ACH-000557,-0.6375740993498891
ACH-000569,-0.10072059035244824
ACH-000570,-0.3019107974460145
ACH-000571,-0.5917047597655596
ACH-000573,-0.6382681869809227
ACH-000576,-0.8522219482604337
ACH-000579,-0.4699953113327277
ACH-000580,-0.37653863760829376
ACH-000584,-0.9915647975865988
ACH-000585,-0.22835342610057324
ACH-000588,-0.7529725034194101
ACH-000589,-0.16777559731910485
ACH-000591,-0.05465516703621468
ACH-000593,-0.2784189052508975
ACH-000600,-0.37396972550110175
ACH-000601,-0.6808928813159303
ACH-000605,-0.2580575383851645
ACH-000606,-0.038256356253942116
ACH-000608,-0.3117478179720469
ACH-000614,-0.3990965011167175
ACH-000616,-0.05036054493625978
ACH-000618,-0.3326009747104608
ACH-000619,-0.439459798893312
ACH-000620,-0.5705803687434087
ACH-000621,-0.5810884970647462
