,PENK (5179)
ACH-000859,0.1912112203428776
ACH-000861,0.08496403401643092
ACH-000862,-0.07049938666657546
ACH-000865,-0.06694801865787328
ACH-000866,-0.006376065966392299
ACH-000867,-0.13320492847940368
ACH-000869,-0.014158259825340446
ACH-000872,0.0877709659783385
ACH-000873,-0.2812981550583468
ACH-000876,-0.03238600869323844
ACH-000878,0.012085812133321277
ACH-000880,0.05801123488027474
ACH-000881,-0.07936282482462508
ACH-000882,0.09823623555473343
ACH-000884,0.1337467671029048
ACH-000885,-0.04708712553154865
ACH-000887,0.013769162485684936
ACH-000889,0.06678859468008293
ACH-000896,-0.10025897088116753
ACH-000898,0.016404637079544475
ACH-000900,0.0072336086513647545
ACH-000901,0.08239373482809442
ACH-000905,-0.011373658447482787
ACH-000906,0.008832560403200077
ACH-000907,0.1198235685832578
ACH-000910,0.06684316602272129
ACH-000911,-0.070047268468408
ACH-000912,-0.03504761209879996
ACH-000913,0.0018539211555532516
ACH-000915,-0.2264752774080435
ACH-000916,0.3513241331839015
ACH-000917,-0.10849383943306387
ACH-000920,-0.015131526461210819
ACH-000921,-0.19181886318470906
ACH-000924,0.0013674365855231153
ACH-000926,-0.03726358145727926
ACH-000928,0.11017271312056212
ACH-000929,-0.013864183357154244
ACH-000932,0.10786539763243194
ACH-000935,-0.15384929597951708
ACH-000936,-0.08258020900945152
ACH-000937,0.01838153200077833
ACH-000938,0.00937591048974968
ACH-000939,-0.07891763345640505
ACH-000941,-0.02974686887251473
ACH-000943,0.08587723202367012
ACH-000946,0.006868719083775648
ACH-000947,0.036828309975715234
ACH-000948,0.048844269126653184
ACH-000950,0.05558062495961764
ACH-000953,0.01564805675176084
ACH-000954,-0.2490989995146846
ACH-000957,0.03208909933335853
ACH-000958,-0.09648611639583957
ACH-000960,-0.007475639546549204
ACH-000963,-0.2752239550970311
ACH-000968,0.05930939698449394
ACH-000969,0.05795814324409618
ACH-000972,0.010024656881883831
ACH-000973,-0.10881023477413317
ACH-000974,-0.002628467715700372
ACH-000978,0.1308162894251501
ACH-000984,0.011742690005631046
ACH-000986,0.03959836161931474
ACH-000988,0.009297720404221345
ACH-000993,-0.021494526323037645
ACH-000994,0.020041061537034072
ACH-000996,0.04575749702464532
ACH-001001,0.054063069957193365
ACH-001020,-0.11324165062975325
ACH-001028,-0.05153959986341791
ACH-001031,-0.058926906359356164
ACH-001038,0.06942341824642569
ACH-001048,-0.14772551296223074
ACH-001050,-0.07930770790887387
ACH-001053,-0.023509165682340585
ACH-001054,-0.013785016405131743
ACH-001061,0.06026579501465861
ACH-001067,0.06988514355033543
ACH-001075,0.14714344669440718
ACH-001096,0.11216715389051587
ACH-001111,-0.2233072802562816
ACH-001119,0.06002280769182436
ACH-001128,0.1428668254848885
ACH-001134,-0.13283400497793846
ACH-001151,-0.11458385852268965
ACH-001163,0.021086213621980328
ACH-001164,0.06369051266720491
ACH-001183,-0.002654662849380992
ACH-001192,-0.16551229293657152
ACH-001193,0.28711516985285307
ACH-001196,-0.0525368062231068
ACH-001197,0.19566366040025435
ACH-001205,0.10593004023949068
ACH-001211,0.1959276601083816
ACH-001212,-0.26628322530325443
ACH-001228,-0.1105999731180022
ACH-001232,0.0098638702813489
ACH-001239,0.017119561228373898
ACH-001270,-0.3831426332619332
ACH-001274,0.12804683345932333
ACH-001275,0.11097635728443857
ACH-001277,-0.061555526755935785
ACH-001278,-0.05076443490896655
ACH-001280,0.05145802146171646
ACH-001283,-0.02097657485227476
ACH-001289,0.00797348078543599
ACH-001300,-0.1596716784475742
ACH-001301,-0.041111378699094266
ACH-001302,-0.07961449272305908
ACH-001306,-0.03721704247091501
ACH-001318,-0.0662397486819578
ACH-001322,-0.04521116697249348
ACH-001328,-0.030188650962131663
ACH-001332,-0.07956982511131043
ACH-001336,0.037560411130196654
ACH-001346,0.08863778525361361
ACH-001353,0.039692140654307664
ACH-001354,0.1594879682160193
ACH-001367,-0.02491522391850214
ACH-001368,-0.024241523300435188
ACH-001374,0.09058727397599224
ACH-001377,-0.03909076537219231
ACH-001380,-0.02632644155453108
ACH-001391,-0.011671273997477014
ACH-001408,-0.05385249490849317
ACH-001430,-0.06980789843612635
ACH-001431,-0.06432356458938167
ACH-001450,0.021963559560205768
ACH-001496,-0.0640026931725119
ACH-001500,0.1832087076016713
ACH-001523,-0.10170177046877887
ACH-001532,0.06726507208979891
ACH-001550,0.10668965163071194
ACH-001552,-0.04684519256994592
ACH-001554,0.11909690144863845
ACH-001654,-0.011054188019869671
ACH-001735,0.07427244314717282
ACH-001736,-0.04106014600905655
ACH-001737,-0.0017064994086359055
ACH-001740,0.04930344725850396
ACH-001745,0.08923074421360576
ACH-001765,-0.00525370312911333
