,CENPT (80152)
ACH-000630,-0.4924289934473385
ACH-000631,-0.6272385575213222
ACH-000632,-0.7227955262753806
ACH-000633,-0.4685638782380182
ACH-000637,-0.6632751504268884
ACH-000638,-0.7554040932229007
ACH-000646,-0.5321815363147521
ACH-000647,-0.9399738283756406
ACH-000648,-0.8480138051148162
ACH-000649,-0.29382975675604234
ACH-000651,-0.493664565216083
ACH-000652,-0.5037562546088127
ACH-000653,-0.4103092347302972
ACH-000657,-0.6809372625568723
ACH-000658,-0.4511149505596971
ACH-000661,-0.6172997109315107
ACH-000662,-0.6393919798943085
ACH-000663,-0.6561835650003655
ACH-000665,-0.6438668080665287
ACH-000671,-0.5347748484727154
ACH-000672,-0.6616733883209036
ACH-000673,-0.47927135095933504
ACH-000676,-0.4855593939887439
ACH-000677,-0.3765259419050021
ACH-000681,-0.7329409784810211
ACH-000683,-0.4606111147161333
ACH-000684,-0.4903148204319773
ACH-000688,-0.9485580884187816
ACH-000693,-0.7099296662825981
ACH-000694,-0.7572420529250153
ACH-000695,-0.5935214784155656
ACH-000696,-0.6348299846252018
ACH-000697,-0.8066077416214393
ACH-000699,-0.7429718810592205
ACH-000701,-0.7380139865253426
ACH-000706,-0.544451980299295
ACH-000711,-0.8339064608468872
ACH-000713,-0.7415994268464099
ACH-000714,-0.7180752831769488
ACH-000718,-0.732154213355771
ACH-000720,-0.6577067884923802
ACH-000721,-0.9257895606173264
ACH-000724,-0.5436818190116083
ACH-000725,-0.635203545238551
ACH-000732,-0.7573923401160277
ACH-000734,-0.6458709832625373
ACH-000735,-0.7958247265572138
ACH-000736,-0.6917676957801311
ACH-000738,-0.8479510762060268
ACH-000746,-0.5954460546105997
ACH-000747,-0.7488142838795998
ACH-000748,-0.44938388944258256
ACH-000753,-0.6964096703420032
ACH-000756,-0.5071594413645663
ACH-000757,-0.5780168364129077
ACH-000758,-0.7904093632246404
ACH-000760,-0.749038113299603
ACH-000762,-0.8309610523068934
ACH-000763,-0.7083831670060974
ACH-000764,-1.004969804776748
ACH-000765,-0.7258285996065772
ACH-000766,-0.6190936398155821
ACH-000767,-0.9462735855767198
ACH-000768,-0.7580872501022022
ACH-000769,-0.6304897437433218
ACH-000770,-0.6380840466748411
ACH-000771,-0.8107075902853851
ACH-000773,-0.7188952923683158
ACH-000776,-0.6627421877915199
ACH-000777,-0.6664638979322575
ACH-000778,-0.8889191672738594
ACH-000781,-0.8495484549393164
ACH-000782,-0.6540192870674967
ACH-000783,-0.6419571792786553
ACH-000784,-0.8589184218355711
ACH-000785,-0.6511273931885341
ACH-000787,-0.7101207409820877
ACH-000788,-0.6491824247709382
ACH-000791,-0.7945889206450443
ACH-000792,-0.6572891521430851
ACH-000794,-0.5502549411476295
ACH-000796,-0.9174444849115032
ACH-000798,-0.9722803747482348
ACH-000799,-0.8223733603291965
ACH-000800,-0.8248767539421654
ACH-000802,-0.8165048931099876
ACH-000804,-0.5734689499744405
ACH-000805,-0.6774270338075985
ACH-000809,-0.5774449034517779
ACH-000810,-0.4829467809921385
ACH-000811,-0.4959880654583245
ACH-000817,-0.6015953565604212
ACH-000819,-0.7903362140826736
ACH-000820,-0.8822952944822056
ACH-000821,-0.5968878345930272
ACH-000822,-0.5524013925400241
ACH-000823,-0.5033194822598237
ACH-000824,-0.5650219042335999
ACH-000827,-0.7587201865667266
ACH-000829,-0.6621561447944726
ACH-000831,-0.573946141350986
ACH-000832,-0.7120247798297665
ACH-000833,-0.8827088015085188
ACH-000834,-0.8035571654887744
ACH-000835,-0.6485163604384536
ACH-000836,-0.6692511358422888
ACH-000837,-0.5904408870632393
ACH-000838,-0.5317556783398683
ACH-000839,-0.5920136876932058
ACH-000840,-0.8112374071107598
ACH-000841,-0.7793281853334186
ACH-000843,-0.5080608226720847
ACH-000846,-0.7189210437235138
ACH-000847,-0.6240537092641747
ACH-000848,-0.7647134608909044
ACH-000849,-0.6109433303989994
ACH-000851,-0.5819195987204919
ACH-000855,-0.5601927737213582
ACH-000856,-0.4684785379998466
ACH-000858,-0.5734752831198909
ACH-000859,-0.5357424051193347
ACH-000861,-0.6244676767628269
ACH-000862,-0.7465208767367763
ACH-000865,-0.6627617624760362
ACH-000866,-0.976543426681693
ACH-000867,-0.5652430956127951
ACH-000869,-0.8010109040794121
ACH-000872,-0.6600170567496538
ACH-000873,-0.6032367111539253
ACH-000876,-0.5255474539149164
ACH-000878,-0.5320278585261502
ACH-000880,-0.6436285084660336
ACH-000881,-0.6684562628437212
ACH-000882,-0.8161402298352093
ACH-000884,-0.7662051097785035
ACH-000885,-0.7240025476441144
ACH-000887,-0.5707203172051873
ACH-000889,-0.3625474679769309
ACH-000896,-0.6801333742623703
ACH-000898,-0.7430549201424812
ACH-000900,-0.5907023519717312
ACH-000901,-0.6434702796398308
ACH-000905,-0.8833146042503703
ACH-000906,-0.5521832742791294
ACH-000907,-0.5637590576960919
ACH-000910,-0.6937764457415013
ACH-000911,-0.7573120491240295
ACH-000912,-0.6041993597836784
ACH-000913,-0.5105361272730736
ACH-000915,-0.6004021195104928
ACH-000916,-0.6485954120014956
ACH-000917,-0.7410927807654603
ACH-000920,0.02101465517726929
ACH-000921,-0.7953815193932865
ACH-000924,-0.5149461301908602
ACH-000926,-0.6719838116515771
ACH-000928,-0.8181306192502403
ACH-000929,-0.9081699769455884
ACH-000932,-0.623420163178082
ACH-000935,-0.7193742601259391
ACH-000936,-0.5885886268620277
ACH-000937,-0.5422062400216645
ACH-000938,-0.5305114940965953
ACH-000939,-0.6797846349820174
ACH-000941,-0.6607246782613956
ACH-000943,-0.6892695115144546
ACH-000946,-0.7527936795432529
ACH-000947,-0.6760803529491818
ACH-000948,-0.7703381193060298
ACH-000950,-0.7092332584451739
ACH-000953,-0.3775354769031789
ACH-000954,-0.7549128304422716
ACH-000957,-0.7855988652492732
ACH-000958,-0.6595500369052973
ACH-000960,-0.4309590679232873
ACH-000963,-0.4538435239678079
ACH-000968,-0.884843631373466
ACH-000969,-0.7065854311427979
ACH-000972,-0.7439358070403855
ACH-000973,-0.7638054145193534
ACH-000974,-0.6940609315750804
ACH-000978,-0.5366801507590367
ACH-000984,-0.4856296907891307
ACH-000986,-0.593741031810297
ACH-000988,-0.8602742673495406
ACH-000993,-0.4983277406772107
ACH-000994,-0.6840058459413406
ACH-000996,-0.7356350839554051
ACH-001001,-0.7393626995022592
ACH-001020,-0.8460667639801879
ACH-001028,-0.5128334489364191
ACH-001031,-0.5623624053274742
ACH-001038,-0.7372709503321769
ACH-001048,-0.735098648865161
ACH-001050,-0.7868503670083474
ACH-001053,-0.7079125013860869
ACH-001054,-0.8108953435773589
ACH-001061,-0.6296007154648781
ACH-001067,-0.6020429115864263
ACH-001075,-0.6570877403518955
ACH-001096,-0.7166774411081906
ACH-001111,-0.5267106385089013
ACH-001119,-0.8545302749144631
ACH-001128,-0.6479572549073235
ACH-001134,-0.7816574434703369
ACH-001151,-1.0527942245032174
ACH-001163,-0.6347122841685832
ACH-001164,-0.7305992598756095
ACH-001183,-0.5620654902145863
ACH-001192,-0.753314918598435
ACH-001193,-0.5555008576720719
ACH-001196,-0.7597963957992231
ACH-001197,-0.7620303276092906
ACH-001205,-0.6037657150307117
ACH-001211,-0.5429373256382505
ACH-001212,-0.7944858785660778
ACH-001228,-0.8838214292933881
ACH-001232,-0.6022528258800751
ACH-001239,-0.6908059422503375
ACH-001270,-0.5130676033795768
ACH-001274,-0.6723020687271316
ACH-001275,-0.7344067840055041
ACH-001277,-0.5383239259131098
ACH-001278,-0.7197781136347566
ACH-001280,-0.7537757104672094
ACH-001283,-0.46137462596087203
ACH-001289,-0.6963373579346261
ACH-001300,-0.8624404712255931
ACH-001301,-0.838342647115995
ACH-001302,-0.8340274298264676
ACH-001306,-0.6724176496784859
ACH-001318,-0.674217686542178
ACH-001322,-0.7870382727192996
ACH-001328,-0.5949843604674949
ACH-001332,-0.6948782563086282
ACH-001336,-0.6882618045477167
ACH-001346,-0.7421525494322787
ACH-001353,-0.8814876779161689
ACH-001354,-1.0092695109000884
