,ACTL7B (10880)
ACH-001374,-0.25886948328345444
ACH-001377,0.018806066215842267
ACH-001380,-0.1019655981055034
ACH-001391,-0.191385817209309
ACH-001408,-0.263109918070186
ACH-001430,0.2651381344876962
ACH-001431,0.1180310509293674
ACH-001450,-0.07096265718801431
ACH-001496,-0.10564336002285134
ACH-001500,-0.13304940418940345
ACH-001523,-0.18826031201726265
ACH-001532,-0.11403060324504773
ACH-001550,-0.18707288190378785
ACH-001552,0.30187080559463964
ACH-001554,0.058027729878457
ACH-001654,-0.002513309559913112
ACH-001735,-0.07598867297623517
ACH-001736,-0.0188249900997142
ACH-001737,-0.20257628090369334
ACH-001740,0.04328888931332328
ACH-001745,0.03462867208123588
ACH-001765,0.06467665597462023
