,TRMT1 (55621)
ACH-001353,-0.253553538128783
ACH-001354,-0.2215370225535364
ACH-001367,-0.4407371490866091
ACH-001368,-0.17502084592264824
ACH-001374,0.010696555685784584
ACH-001377,-0.13701553979732992
ACH-001380,-0.23102782291979565
ACH-001391,-0.20949542542139565
ACH-001408,0.004834377826898403
ACH-001430,-0.20545498287466968
ACH-001431,-0.19855888315289213
ACH-001450,-0.08558311848249567
ACH-001496,-0.393104150872252
ACH-001500,-0.10208590261370128
ACH-001523,-0.2960685879143347
ACH-001532,-0.1591446997732561
ACH-001550,-0.2026083551118997
ACH-001552,-0.36282843003792015
ACH-001554,-0.2278713818861104
ACH-001654,-0.028886398290644363
ACH-001735,-0.2627794713165054
ACH-001736,-0.3063862657163275
ACH-001737,0.007334194689676848
ACH-001740,-0.25683433585792875
ACH-001745,-0.22610111028584665
ACH-001765,-0.298750674535482
