,MIS18A (54069)
ACH-000570,-1.3647425559556945
ACH-000571,-0.8039124547941681
ACH-000573,-1.2169994386181011
ACH-000576,-1.2004542801059304
ACH-000579,-1.1078521053195904
ACH-000580,-1.2004466169536885
ACH-000584,-1.471629146822652
ACH-000585,-1.4821555445965704
ACH-000588,-1.1676543659312042
ACH-000589,-1.1257698777309741
ACH-000591,-1.2728252619348983
ACH-000593,-1.2844191595771677
ACH-000600,-1.0430636313382002
ACH-000601,-1.0618069700120736
ACH-000605,-1.3554616855810533
ACH-000606,-1.1743750424810635
ACH-000608,-0.9804539844824248
ACH-000614,-0.9830522304121212
ACH-000616,-1.0208061851233985
ACH-000618,-1.3289562881525159
ACH-000619,-1.5189004027131825
ACH-000620,-1.3134494768015468
ACH-000621,-0.8413838615764874
ACH-000622,-1.113329698682188
ACH-000623,-1.1294961614097547
ACH-000624,-1.1000080065557651
ACH-000627,-1.0443632422953868
ACH-000630,-1.2246874279068565
ACH-000631,-1.1412482874812522
ACH-000632,-1.3925080680258368
ACH-000633,-0.9916361263306864
ACH-000637,-1.235198685870236
ACH-000638,-0.9372867129893996
ACH-000646,-0.8860817119492145
ACH-000647,-1.2867278114884164
ACH-000648,-1.2689642741650926
ACH-000649,-1.2647762276809298
ACH-000651,-1.1434458983828475
ACH-000652,-1.1595347247882908
ACH-000653,-1.0150972957030318
ACH-000657,-1.0687830103073164
ACH-000658,-1.2019331132134523
ACH-000661,-1.3573036854309175
ACH-000662,-1.0629284692786078
ACH-000663,-1.0939564257787482
ACH-000665,-1.3598755224175048
ACH-000671,-1.4865087673399582
ACH-000672,-1.4008801447257828
ACH-000673,-1.323997139475154
ACH-000676,-1.2470749160846648
ACH-000677,-0.8485116705155394
ACH-000681,-1.0481660793681646
ACH-000683,-1.1469050138742642
ACH-000684,-1.4286404972475668
ACH-000688,-0.9844175113149513
ACH-000693,-1.2391760297196246
ACH-000694,-1.3695425095467644
ACH-000695,-1.0159262702006968
ACH-000696,-1.2296675788220348
ACH-000697,-1.0396974601809337
ACH-000699,-1.3310518687233526
ACH-000701,-1.2178091734518122
ACH-000706,-1.1800521415662948
ACH-000711,-1.2614097215663158
ACH-000713,-1.21528889201658
ACH-000714,-0.97006767586151
ACH-000718,-1.169988961637305
ACH-000720,-1.3997285703745
ACH-000721,-1.289924467019946
ACH-000724,-0.9124742964195328
ACH-000725,-1.1763205422514935
ACH-000732,-1.2070594597519222
ACH-000734,-1.2443909094668288
ACH-000735,-1.2205232056473532
ACH-000736,-0.8156791025765642
ACH-000738,-1.2357634596154379
ACH-000746,-1.0608418165297389
ACH-000747,-1.2720555239201423
ACH-000748,-1.1850336925170073
ACH-000753,-1.3254383530457716
ACH-000756,-1.174831059734318
ACH-000757,-0.9685887095272372
ACH-000758,-1.1577213647043572
ACH-000760,-0.9968629249214592
ACH-000762,-1.256532951336442
ACH-000763,-1.4140326594632644
ACH-000764,-1.0694885236495435
ACH-000765,-1.2604143320147374
ACH-000766,-1.0832570674652506
ACH-000767,-1.1970901472230968
ACH-000768,-1.238954697418419
ACH-000769,-1.0908920677660907
ACH-000770,-1.10073316798214
ACH-000771,-1.0848666899902444
ACH-000773,-1.1025201866201064
ACH-000776,-1.1591099935787352
ACH-000777,-1.2108004226079367
ACH-000778,-1.4060401757273029
ACH-000781,-1.333589808674264
ACH-000782,-1.1362702576612065
ACH-000783,-1.1251948427827836
ACH-000784,-1.2665614194214243
ACH-000785,-1.4010774537615724
ACH-000787,-1.285845013155028
ACH-000788,-1.2963463858826063
ACH-000791,-1.121946099973719
ACH-000792,-1.365452379298244
ACH-000794,-1.1019010245267025
ACH-000796,-1.2347138423195705
ACH-000798,-1.159701921853019
ACH-000799,-1.00664477745573
ACH-000800,-0.9807938607821036
ACH-000802,-1.5247497289092211
ACH-000804,-1.5451401322583858
ACH-000805,-1.047516800995977
ACH-000809,-1.1542743557542041
ACH-000810,-1.30577756661224
ACH-000811,-0.7629892954678745
ACH-000817,-1.036195293721197
ACH-000819,-1.0485423712437831
ACH-000820,-1.1026669114109104
ACH-000821,-1.1779563283995524
ACH-000822,-0.6721718340985465
ACH-000823,-1.0968741082900997
ACH-000824,-1.3733072569962192
ACH-000827,-1.149673121991022
ACH-000829,-1.0716354363358191
ACH-000831,-1.226808464220544
ACH-000832,-0.985679470929564
ACH-000833,-1.521503845083371
ACH-000834,-1.2890443808954448
ACH-000835,-1.448418062931032
ACH-000836,-0.9339078412059496
ACH-000837,-1.1130674250688029
ACH-000838,-1.2779333768920855
ACH-000839,-1.2047729899593302
ACH-000840,-1.1232689341172224
ACH-000841,-1.3064471786098788
ACH-000843,-1.1297181551439694
ACH-000846,-1.3193198007268607
ACH-000847,-1.1902655368237558
ACH-000848,-1.2187806724640788
ACH-000849,-1.2724051105268412
ACH-000851,-1.0506629188498136
ACH-000855,-1.2761826524626405
ACH-000856,-1.0707293048737545
ACH-000858,-1.1518023712337848
ACH-000859,-1.1663024863231626
ACH-000861,-0.8951329783547289
ACH-000862,-1.4188073845498634
ACH-000865,-1.2706611542768786
ACH-000866,-1.3444197081130194
ACH-000867,-1.2520882685933
ACH-000869,-1.0517186657696729
ACH-000872,-1.1332387164381408
ACH-000873,-0.9952225239623496
ACH-000876,-1.0543594999942094
ACH-000878,-1.3477484571185023
ACH-000880,-1.0200203005526356
ACH-000881,-1.214760774386379
ACH-000882,-1.2636949619971412
ACH-000884,-1.1299518088234497
ACH-000885,-0.9862338572833772
ACH-000887,-1.328430154767566
ACH-000889,-1.3005702545281868
ACH-000896,-1.4413656892360822
ACH-000898,-1.1043967037743825
ACH-000900,-1.0872647504411401
ACH-000901,-0.9507030131216652
ACH-000905,-1.3767626623258977
ACH-000906,-1.206227491590599
ACH-000907,-1.09197257963155
ACH-000910,-1.4243616890170696
ACH-000911,-1.085528781394425
ACH-000912,-1.1090638441747396
ACH-000913,-1.2193152656287825
ACH-000915,-1.1022754201484075
ACH-000916,-1.0155812949833654
ACH-000917,-1.3457463702035586
ACH-000920,-1.2531992576121538
ACH-000921,-1.225176352026348
ACH-000924,-0.7918525656897837
ACH-000926,-1.2568842314901232
ACH-000928,-1.0832826171292442
ACH-000929,-1.0890896536280177
ACH-000932,-0.9650378153624182
ACH-000935,-1.0763218625964963
ACH-000936,-1.05652397541017
ACH-000937,-1.38839250527976
ACH-000938,-1.1032169737787054
ACH-000939,-1.314344906341206
ACH-000941,-1.2989888151648832
ACH-000943,-1.2431121926601545
ACH-000946,-1.2239248680336037
ACH-000947,-1.2381157351176677
ACH-000948,-1.2259454817529651
ACH-000950,-1.3019913979252478
ACH-000953,-1.317313063284429
ACH-000954,-0.9277625846047984
ACH-000957,-1.12642041858391
ACH-000958,-1.084859223003504
ACH-000960,-1.295209939131888
ACH-000963,-1.1104737737725463
ACH-000968,-1.3303866690521826
ACH-000969,-1.0770387589873551
ACH-000972,-1.254592042040834
ACH-000973,-1.2941364838903266
ACH-000974,-1.1482384035823503
ACH-000978,-1.18205936435093
ACH-000984,-1.1584748048378677
ACH-000986,-1.1368718436907737
ACH-000988,-1.250261588705574
ACH-000993,-1.0845517587027595
ACH-000994,-1.1328909700474676
ACH-000996,-1.2359817028419222
ACH-001001,-1.3356089273933616
ACH-001020,-0.8626502468640564
ACH-001028,-1.2123154567835133
ACH-001031,-0.9523582483365076
ACH-001038,-1.1606472547890725
ACH-001048,-1.113525210909282
ACH-001050,-0.8682968434791134
ACH-001053,-1.1698588894988835
ACH-001054,-1.1272831361022084
ACH-001061,-1.1055948930604986
ACH-001067,-1.0331883774762198
ACH-001075,-1.2955905799190892
ACH-001096,-1.2662602549241324
ACH-001111,-1.0249545484028886
ACH-001119,-1.1106067339065469
ACH-001128,-0.6282942603074372
ACH-001134,-1.0917222662592303
ACH-001151,-1.2338061557605686
ACH-001163,-0.917722650541797
ACH-001164,-1.3482884077598325
ACH-001183,-1.1947766822281596
ACH-001192,-1.3268141653262695
ACH-001193,-1.290772086924688
ACH-001196,-1.4488248264106798
ACH-001197,-0.9820192300076542
ACH-001205,-1.1519103650002904
ACH-001211,-0.9286916062166234
ACH-001212,-1.276309078358075
ACH-001228,-1.2830181799953229
ACH-001232,-1.0770704531516486
ACH-001239,-1.1928597513795651
ACH-001270,-1.0529788105744111
ACH-001274,-1.1422779444761024
ACH-001275,-1.0609609575601304
ACH-001277,-0.9467298870781712
ACH-001278,-1.0879060784893313
ACH-001280,-1.1010083299546662
ACH-001283,-1.05851030933194
ACH-001289,-1.1344987308086616
ACH-001300,-1.2425377847321677
ACH-001301,-1.336349285545427
ACH-001302,-1.1334797791008124
ACH-001306,-1.0262171795966903
ACH-001318,-1.1860544559780193
ACH-001322,-1.0155531967571694
ACH-001328,-1.3294034743369545
ACH-001332,-1.2300279178732263
ACH-001336,-1.1676236023044169
ACH-001346,-1.3679489221789405
ACH-001353,-1.194169447581355
ACH-001354,-1.4292567209680744
ACH-001367,-1.0426310686830351
ACH-001368,-1.0928668256080694
ACH-001374,-1.2346671202793824
ACH-001377,-1.006104494657646
ACH-001380,-1.1455510005626603
ACH-001391,-1.0977790502958924
ACH-001408,-1.4698951434962846
ACH-001430,-1.1464087280466468
ACH-001431,-0.9086117380618336
ACH-001450,-0.7510933083257648
ACH-001496,-1.0103158008145772
ACH-001500,-0.8056851719051565
ACH-001523,-1.3841218749650852
ACH-001532,-1.1083572142538682
ACH-001550,-1.2774204372217546
ACH-001552,-1.1413094872979428
ACH-001554,-1.2066539529274949
ACH-001654,-1.3378168726908104
ACH-001735,-1.1684256344235775
ACH-001736,-1.0170527377167762
ACH-001737,-1.1389736992911776
ACH-001740,-1.4084445444655724
ACH-001745,-1.38305452046947
ACH-001765,-1.1799257737963196
