,TXNL4A (10907)
ACH-000278,-1.5322438261528144
ACH-000279,-1.3833605716794948
ACH-000280,-1.5841766625070797
ACH-000281,-1.8214275877959925
ACH-000288,-1.3871685015994168
ACH-000291,-1.4529579636283882
ACH-000293,-1.5478111427372718
ACH-000294,-1.8184607700106363
ACH-000295,-1.299504163224445
ACH-000296,-1.6679410786850453
ACH-000302,-1.6903875532787216
ACH-000304,-1.754168137391479
ACH-000307,-1.5167162911881895
ACH-000308,-1.5827488341853295
ACH-000310,-1.5453520337992452
ACH-000311,-1.6755722060952234
ACH-000312,-1.6490611998415758
ACH-000315,-1.756645292973541
ACH-000316,-1.3725235051327318
ACH-000317,-1.4592295886772262
ACH-000318,-1.8394737096584508
ACH-000319,-1.2553515724120217
ACH-000320,-1.4277172225473729
ACH-000322,-1.345457663799614
ACH-000323,-1.2156639496035884
ACH-000324,-1.3779993646949222
ACH-000329,-1.4838607555315473
ACH-000330,-1.3788091247038838
ACH-000331,-1.4222788993286195
ACH-000332,-1.5291423004934857
ACH-000334,-1.3466368662882493
ACH-000335,-1.5647456937268558
ACH-000336,-1.060479527986849
ACH-000337,-1.8985423023644887
ACH-000338,-0.9715261544730538
ACH-000339,-1.4518627009678982
ACH-000341,-1.7662702387844638
ACH-000348,-1.5228783399581838
ACH-000350,-1.6857551011990652
ACH-000352,-1.5154907028462323
ACH-000356,-1.332088450459991
ACH-000361,-1.6833055092753624
ACH-000362,-1.5049009293859081
ACH-000363,-1.5716412060301959
ACH-000364,-1.1773315207987192
ACH-000365,-1.4216026856470991
ACH-000366,-1.4307919706204997
ACH-000368,-1.5584993772442244
ACH-000374,-1.2785149244443434
ACH-000375,-1.4895524684630357
ACH-000376,-1.514778841705549
ACH-000381,-1.7384096164971807
ACH-000383,-1.4125179092891462
ACH-000387,-1.7643730719270496
ACH-000389,-1.3664937759812612
ACH-000390,-1.6668426677881594
ACH-000393,-1.480066301769745
ACH-000395,-1.90240706524553
ACH-000396,-1.3115629737633687
ACH-000397,-1.344044760608818
ACH-000401,-1.422614595961334
ACH-000402,-1.762746883236989
ACH-000403,-1.707151646188386
ACH-000404,-1.3400104494868572
ACH-000406,-1.5395119285953298
ACH-000407,-1.4976495657119926
ACH-000408,-1.4412723908502765
ACH-000410,-1.4506848093698297
ACH-000411,-1.4963414636467067
ACH-000414,-1.6385521269915284
ACH-000415,-1.5533853637334571
ACH-000416,-1.4268605909433876
ACH-000420,-1.4588223557960085
ACH-000421,-1.5020577343747854
ACH-000424,-1.2618489226649423
ACH-000425,-1.5305821562096875
ACH-000426,-2.106222189335168
ACH-000427,-1.3248488514043046
ACH-000433,-1.458923086102353
ACH-000435,-1.2172443962589827
ACH-000436,-1.5648771472179723
ACH-000444,-1.2995688448940557
ACH-000445,-1.3557941452246225
ACH-000448,-1.3612926870546422
ACH-000450,-1.5877754175915522
ACH-000452,-1.5298042335916435
ACH-000454,-1.6200712330474656
ACH-000458,-1.5416853246698212
ACH-000459,-1.369020394187452
ACH-000460,-1.6190788700429446
ACH-000461,-1.5650583397097542
ACH-000463,-1.2197988697102873
ACH-000464,-1.5555797112640923
ACH-000466,-2.041093918356708
ACH-000467,-1.5498822725454369
ACH-000468,-1.7162714949203215
ACH-000469,-1.4292144705468144
ACH-000470,-1.637036741317238
ACH-000471,-1.386663440023554
ACH-000472,-1.534945781388528
ACH-000473,-1.9355569690343768
ACH-000475,-1.4459184825883502
ACH-000476,-1.5703916728031493
ACH-000477,-1.5863698597859155
ACH-000479,-1.5774644432582343
ACH-000480,-1.454249443791496
ACH-000481,-1.5679379711532908
ACH-000483,-1.6101074031465905
ACH-000484,-1.4985828401326473
ACH-000485,-1.4490219430672069
ACH-000486,-1.2426606130025322
ACH-000487,-1.556432548267476
ACH-000488,-1.4509774013718684
ACH-000490,-1.532864288722949
ACH-000491,-1.5824687004201217
ACH-000495,-1.1345026300689849
ACH-000496,-1.3002016556575726
ACH-000499,-1.5141518982238686
ACH-000500,-1.765425390253945
ACH-000502,-1.705109120014943
ACH-000503,-1.4291400186601269
ACH-000505,-1.512587361535611
ACH-000507,-1.3418668003065288
ACH-000510,-1.4222928303318731
ACH-000511,-1.3847735771065244
ACH-000512,-1.3622863039514646
ACH-000516,-1.5848208449942311
ACH-000517,-1.5976631540602522
ACH-000518,-1.817482845896493
ACH-000520,-1.5614631229489724
ACH-000521,-1.4928656306670312
ACH-000522,-1.3999721214772918
ACH-000524,-1.7328718588527374
ACH-000527,-1.3226614371253622
ACH-000528,-1.5654335342595445
ACH-000537,-1.588096895274558
ACH-000541,-1.375044051416936
ACH-000542,-1.4056491599569527
ACH-000544,-1.2422571794147148
ACH-000545,-1.3053108026443048
ACH-000547,-2.00907589659747
ACH-000548,-1.6716718000592945
ACH-000549,-1.6463972163179568
ACH-000550,-1.611170062016677
ACH-000552,-1.4937706784139466
ACH-000556,-1.7548546800656366
ACH-000557,-1.6641082380671717
ACH-000569,-1.4630354287563467
ACH-000570,-1.3895685595812952
ACH-000571,-1.6420113516352717
ACH-000573,-1.4743719226327714
ACH-000576,-1.715907708801386
ACH-000579,-1.5950539214212018
ACH-000580,-1.4942814116016665
ACH-000584,-1.4099506701002564
ACH-000585,-1.5330270513958135
ACH-000588,-1.4852596148106902
ACH-000589,-1.7671905586685288
ACH-000591,-1.590370951223944
ACH-000593,-1.4994722297603589
ACH-000600,-1.513693069536986
ACH-000601,-1.4011344597466548
ACH-000605,-1.5626488482488206
ACH-000606,-1.5716875144677949
ACH-000608,-1.6431645236087846
ACH-000614,-1.2603533927638049
ACH-000616,-1.54662069771042
ACH-000618,-1.5627491113400236
ACH-000619,-1.5874463901104745
ACH-000620,-1.5959979500540884
ACH-000621,-1.4810533198974665
ACH-000622,-1.490485795953468
ACH-000623,-1.4847684355773778
ACH-000624,-1.449031374902395
ACH-000627,-1.167692628053114
ACH-000630,-1.4288181086186902
ACH-000631,-1.5047375338923152
ACH-000632,-1.4733106674883711
ACH-000633,-1.625515285136995
ACH-000637,-1.5737260825724508
ACH-000638,-1.5098070914454076
ACH-000646,-1.654398515989559
ACH-000647,-1.4725578694761048
ACH-000648,-1.7079031065726349
ACH-000649,-1.5424983076474843
ACH-000651,-1.7224429526070422
ACH-000652,-1.6294345185131187
ACH-000653,-1.4971547195505694
ACH-000657,-1.5285085379388228
ACH-000658,-1.6866457214801571
ACH-000661,-1.6126699983257744
ACH-000662,-1.040306860731716
ACH-000663,-1.5595298005785927
ACH-000665,-1.5168858179114382
ACH-000671,-1.3385028987812253
ACH-000672,-1.3415675539576946
ACH-000673,-1.3666210285698055
ACH-000676,-1.3615322248318278
ACH-000677,-1.2967714753649588
ACH-000681,-1.5928493356782485
ACH-000683,-1.4819648300469672
ACH-000684,-1.2629498941227173
ACH-000688,-1.2506631559698826
ACH-000693,-1.56974206996344
ACH-000694,-1.307610313429602
ACH-000695,-1.1506253091621077
ACH-000696,-1.4844097682776296
ACH-000697,-1.7463035169580954
ACH-000699,-1.8514856661669248
ACH-000701,-1.751600357442188
ACH-000706,-1.6444049060846262
ACH-000711,-1.4829489452548519
ACH-000713,-1.5426442508416516
ACH-000714,-1.2561201191028508
ACH-000718,-1.4753778106757496
ACH-000720,-1.4809217539583932
ACH-000721,-1.337163476966864
ACH-000724,-2.2439481776458177
ACH-000725,-1.4043122886360666
ACH-000732,-1.7183615817680675
ACH-000734,-1.3951882310202444
ACH-000735,-1.3884086713793706
ACH-000736,-1.6182916759860142
ACH-000738,-1.557763939157682
ACH-000746,-1.4610585669157294
ACH-000747,-1.6285608534184726
ACH-000748,-1.626197874204211
ACH-000753,-1.4730070950902556
ACH-000756,-1.4635966284418902
ACH-000757,-1.4011160431427598
ACH-000758,-1.8084274033761387
ACH-000760,-1.3713156356509215
ACH-000762,-1.3474117608605316
ACH-000763,-1.685735241737026
ACH-000764,-1.0236048667612525
ACH-000765,-1.6672438619922516
ACH-000766,-1.5688224381210376
ACH-000767,-1.6159969132235816
ACH-000768,-1.5201543819879733
ACH-000769,-1.4331722430309335
ACH-000770,-1.8029862005703243
ACH-000771,-1.5917438943419757
ACH-000773,-1.6085315162609468
ACH-000776,-1.5256152577191835
ACH-000777,-1.412194770163439
ACH-000778,-2.389966165516964
ACH-000781,-1.6137992892794413
ACH-000782,-1.3608615065460874
ACH-000783,-1.4618891345583345
ACH-000784,-1.4881724708099509
ACH-000785,-1.740799903281995
ACH-000787,-1.6396686570034988
ACH-000788,-1.3056267431814124
ACH-000791,-1.6145375847521142
ACH-000792,-1.7748997720326252
ACH-000794,-1.407250942110453
ACH-000796,-1.5303367432819717
ACH-000798,-1.2835958689416591
ACH-000799,-1.2531267918667712
ACH-000800,-1.5237006419314143
ACH-000802,-1.4481056604414473
ACH-000804,-1.910186194687833
ACH-000805,-1.3163792635888898
ACH-000809,-1.423559101556641
ACH-000810,-1.7199609305754144
ACH-000811,-1.3608307410930658
ACH-000817,-1.488669327639618
ACH-000819,-1.4047834388227805
ACH-000820,-2.0143343101211317
ACH-000821,-1.8078417599472176
ACH-000822,-1.54416013378259
ACH-000823,-1.5302580500571854
ACH-000824,-1.6024049571246053
ACH-000827,-1.5750912910651689
ACH-000829,-1.39712629112845
ACH-000831,-1.679967108971539
ACH-000832,-1.4986895578468582
ACH-000833,-1.9408576049689104
ACH-000834,-1.6454051086406116
ACH-000835,-1.522199591532051
ACH-000836,-1.5548742306922685
ACH-000837,-1.6982790675791883
ACH-000838,-1.691061748160781
ACH-000839,-1.0189516203992812
ACH-000840,-1.6597359697344087
ACH-000841,-1.2929953937335057
ACH-000843,-1.74619170416946
ACH-000846,-1.7853699987533336
ACH-000847,-1.4920173518327673
ACH-000848,-1.520390752576651
ACH-000849,-1.4713637860948592
ACH-000851,-1.41367248013853
ACH-000855,-1.4040049294559571
ACH-000856,-1.512222081968363
ACH-000858,-1.482359967892859
ACH-000859,-1.5388423335556156
ACH-000861,-1.6879343574584025
ACH-000862,-1.5206348596405226
ACH-000865,-1.7280396839271042
ACH-000866,-1.4939143498831693
ACH-000867,-1.521765437658518
ACH-000869,-1.5923162776219981
ACH-000872,-1.4031408435098562
ACH-000873,-1.3180454558114347
ACH-000876,-1.618543863492691
ACH-000878,-1.85151653876347
ACH-000880,-1.5317264787354568
ACH-000881,-1.7178235501565806
ACH-000882,-1.3818864802616249
ACH-000884,-1.6438731132542117
ACH-000885,-1.4523252578029555
ACH-000887,-1.3732378857233687
ACH-000889,-1.379785703850128
ACH-000896,-1.6232716593815986
ACH-000898,-1.6867861124110082
ACH-000900,-1.3339074102734478
ACH-000901,-1.7088415947251334
ACH-000905,-1.4120325370066984
ACH-000906,-1.5370467599434023
ACH-000907,-1.6584139499157022
ACH-000910,-1.4707140761445898
ACH-000911,-1.8218408686616048
ACH-000912,-1.5001871920345315
ACH-000913,-1.3723255257727098
ACH-000915,-1.5007395657995677
ACH-000916,-1.7406654181801862
ACH-000917,-1.4026218682411666
ACH-000920,-0.8798583615170984
ACH-000921,-1.4714706591600093
ACH-000924,-1.4705033598342343
ACH-000926,-1.4104530190717186
ACH-000928,-0.9801198419056992
ACH-000929,-1.7450011038105626
ACH-000932,-1.38014286501525
ACH-000935,-1.464019474617055
ACH-000936,-1.547421696724124
ACH-000937,-1.6527604361347168
ACH-000938,-1.5984009631749734
ACH-000939,-1.8695297433526499
ACH-000941,-1.5041210586087217
ACH-000943,-1.5375137796014569
ACH-000946,-1.353306329555631
ACH-000947,-1.4975373901353808
ACH-000948,-1.6435375791239537
ACH-000950,-1.2613673815993809
ACH-000953,-1.4587764896123132
ACH-000954,-1.7145715344930048
ACH-000957,-1.3292797405835122
ACH-000958,-1.6452265290619832
ACH-000960,-1.8015158086985883
ACH-000963,-1.7218893220556917
ACH-000968,-1.4443268524440864
ACH-000969,-1.8488358243217493
ACH-000972,-1.2353946830164992
ACH-000973,-1.4183413790399408
ACH-000974,-1.4404108140341698
ACH-000978,-1.354281589261816
ACH-000984,-1.2953779261490228
ACH-000986,-1.4431520510061098
ACH-000988,-1.6728333134221236
ACH-000993,-1.46336535183078
ACH-000994,-1.6701263561737942
ACH-000996,-1.4887364122891182
ACH-001001,-1.5501963648281314
ACH-001020,-1.5388840808027946
ACH-001028,-1.3708851329147709
ACH-001031,-1.197084179803002
ACH-001038,-1.4233664134304267
ACH-001048,-1.449382531461179
ACH-001050,-1.4627929258229415
ACH-001053,-1.4998066624200357
ACH-001054,-1.2678677956590816
ACH-001061,-1.3253039517435603
ACH-001067,-1.2589595228171877
ACH-001075,-1.4194864048292617
ACH-001096,-1.7707142037117358
ACH-001111,-1.7157992098599335
ACH-001119,-1.4242704682360197
ACH-001128,-1.6634208490805944
ACH-001134,-1.716856132037865
ACH-001151,-1.5510540166160511
ACH-001163,-1.5144170929779033
ACH-001164,-1.5990234837906114
ACH-001183,-1.5550914203381982
ACH-001192,-1.4288660630775891
ACH-001193,-1.3059589896011121
ACH-001196,-1.8910235892132319
ACH-001197,-1.6721298803427826
ACH-001205,-1.3859831746763176
ACH-001211,-1.4850386639999291
ACH-001212,-1.3602165554395742
ACH-001228,-1.7372159904369855
ACH-001232,-1.4146713780135831
ACH-001239,-1.296050653577354
ACH-001270,-1.2397778461188802
ACH-001274,-1.5474726094517377
ACH-001275,-1.3775417072012444
ACH-001277,-1.3331378342969973
ACH-001278,-1.491918779365387
ACH-001280,-1.617460146115716
ACH-001283,-1.5118072577173245
ACH-001289,-1.5352381118597582
ACH-001300,-1.917877841603489
ACH-001301,-1.3668517680353631
ACH-001302,-1.6111978378846583
ACH-001306,-1.1976727587172868
ACH-001318,-1.671109679633336
ACH-001322,-1.267185511643481
ACH-001328,-1.2824607797265144
ACH-001332,-1.4778077529202982
ACH-001336,-1.6444274039854812
ACH-001346,-1.514791587181531
ACH-001353,-1.3787446482554668
ACH-001354,-2.260816944715105
ACH-001367,-1.3971241125386205
ACH-001368,-1.6608068442240755
ACH-001374,-1.707989718851305
ACH-001377,-1.5374901099377831
ACH-001380,-1.6193808704388772
ACH-001391,-1.3783471693428049
ACH-001408,-1.9225080648855304
ACH-001430,-1.0923762972628912
ACH-001431,-1.6071567163372555
ACH-001450,-1.6871695047974162
ACH-001496,-1.574422251903185
ACH-001500,-1.5065974982547206
ACH-001523,-1.7876294628707492
ACH-001532,-1.5027702995586234
ACH-001550,-1.5470791239524142
ACH-001552,-1.3881117538156555
ACH-001554,-1.5833478171669342
ACH-001654,-1.7497557595228312
ACH-001735,-1.6058100803954654
ACH-001736,-1.6740967604040191
ACH-001737,-1.2649017375308935
ACH-001740,-1.7593680774592468
ACH-001745,-1.6601089865186935
ACH-001765,-1.4883502869003309
