,C3orf67 (200844)
ACH-000796,0.09606093242985587
ACH-000798,0.2524517214338699
ACH-000799,0.2960249356885861
ACH-000800,0.35497635826591284
ACH-000802,0.1971970030775444
ACH-000804,0.2945830014784974
ACH-000805,-0.018810214328156213
ACH-000809,0.20283416045239536
ACH-000810,0.016655145218344557
ACH-000811,0.14196166737015825
ACH-000817,0.11757781176184827
ACH-000819,0.31636944223880137
ACH-000820,0.19875536727103932
ACH-000821,0.05209492064014098
ACH-000822,0.1286281280746065
ACH-000823,0.17156841361611974
ACH-000824,0.21294942356455845
ACH-000827,0.054973659926935696
ACH-000829,0.1725602755166577
ACH-000831,0.16789386440429024
ACH-000832,0.028798065667119288
ACH-000833,0.25322933794825364
ACH-000834,0.10804242801766377
ACH-000835,0.28435749703905044
ACH-000836,0.16666741462616855
ACH-000837,0.14870908894824303
ACH-000838,0.15065526431333834
ACH-000839,0.23742337423025064
ACH-000840,0.2369137361186713
ACH-000841,0.19678388332282667
ACH-000843,0.0349701617930363
ACH-000846,0.06501355177271237
ACH-000847,-0.0817887429140854
ACH-000848,0.014139851899683612
ACH-000849,0.1056655102875861
ACH-000851,0.27825242185138777
ACH-000855,0.232605627872249
ACH-000856,0.2256698548302461
ACH-000858,0.30499912459636896
ACH-000859,-0.0022546375958239122
ACH-000861,0.25705887141622336
ACH-000862,0.08237338668350683
ACH-000865,0.10983731466567982
ACH-000866,0.1722567901909591
ACH-000867,0.095362616464968
ACH-000869,0.21613498496138264
ACH-000872,0.18694447700073244
ACH-000873,0.13095902720666688
ACH-000876,0.09249484539173272
ACH-000878,0.08313387178797538
ACH-000880,0.1405275380917479
ACH-000881,0.342088061098666
ACH-000882,0.2198128148025653
ACH-000884,0.190985641957995
ACH-000885,0.3125297790731125
ACH-000887,0.10205773138104213
ACH-000889,0.1984198551595426
ACH-000896,0.20603527250979548
ACH-000898,0.3125804293475796
ACH-000900,0.10797421453570644
ACH-000901,0.18895506698583756
ACH-000905,0.24110893036389236
ACH-000906,0.1138959709799903
ACH-000907,0.07399517743966183
ACH-000910,0.21081432212824536
ACH-000911,0.1108207795321959
ACH-000912,0.13602526256222128
ACH-000913,0.15718385137728932
ACH-000915,0.20236507556426012
ACH-000916,-0.23720220615831525
ACH-000917,0.15698469554726294
ACH-000920,-0.20797846415041604
ACH-000921,0.2270474738003156
ACH-000924,0.08460093836481684
ACH-000926,0.00589238522620601
ACH-000928,0.05953740106341265
ACH-000929,0.054058326173382416
ACH-000932,0.1940561490523783
ACH-000935,0.1653343738908299
ACH-000936,0.32630067441440386
ACH-000937,0.110875785668855
ACH-000938,0.1136494335192529
ACH-000939,0.1758882898261208
ACH-000941,0.2047235229419749
ACH-000943,0.2288825811519513
ACH-000946,0.3373270221670444
ACH-000947,0.3018071101424755
ACH-000948,0.3168312459954221
