,RIPK2 (8767)
ACH-000580,-0.02623791699393724
ACH-000584,-0.16937117995934034
ACH-000585,0.039281850506629
ACH-000588,0.04203829239779206
ACH-000589,-0.030786552355509905
ACH-000591,0.04134915246382222
ACH-000593,0.01495663431960249
ACH-000600,0.19986745698330635
ACH-000601,0.03784114743742728
ACH-000605,-0.05943355483811935
ACH-000606,0.08483627423653411
ACH-000608,-0.04042483302234666
ACH-000614,0.21781725761886145
ACH-000616,-0.08592418232012934
ACH-000618,0.0317407715098081
ACH-000619,0.04354155877089772
ACH-000620,0.08513710377165702
ACH-000621,-0.010664837261133427
ACH-000622,-0.04455425037176109
ACH-000623,0.05609391480127306
ACH-000624,0.02693120153409248
ACH-000627,-0.019512539070632457
ACH-000630,0.06818415490550479
ACH-000631,0.06359740556660108
ACH-000632,0.017127455157473794
ACH-000633,-0.04538664824230088
ACH-000637,0.006150949622664526
ACH-000638,-0.07009883514415291
ACH-000646,0.012474822433789988
ACH-000647,0.0007988315823450932
ACH-000648,0.04087292567952395
ACH-000649,-0.03426988973002736
ACH-000651,-0.0004896268809365978
ACH-000652,-0.125170741173624
ACH-000653,0.030680920495943582
ACH-000657,-0.03060543269267616
ACH-000658,-0.12126879177577235
ACH-000661,0.009596533353054736
ACH-000662,0.3018133013104332
ACH-000663,-0.11795881469938245
ACH-000665,-0.03360071076717238
ACH-000671,-0.007728431257757284
ACH-000672,-0.0029164161168896995
ACH-000673,0.010765264985444173
ACH-000676,-0.10513087615574183
ACH-000677,0.06932909014561815
ACH-000681,0.08156034985380728
ACH-000683,0.04393300098475213
ACH-000684,0.2839595007745971
ACH-000688,-0.08906345531412246
ACH-000693,-0.02080666278398749
ACH-000694,0.0493375054778102
ACH-000695,0.14832904769168714
ACH-000696,0.056296646987011686
ACH-000697,-0.054444040466359166
ACH-000699,-0.07436592717463134
ACH-000701,-0.11063232875884063
ACH-000706,0.0039578823094674215
ACH-000711,-0.03566572469824588
ACH-000713,0.024022031310483027
ACH-000714,0.014737754448550862
ACH-000718,0.027816953947580544
ACH-000720,0.10947672077107726
ACH-000721,-0.07411062326541885
ACH-000724,0.02696501923080455
ACH-000725,0.09421192524871083
ACH-000732,-0.10284106725153333
ACH-000734,-0.10489587753181348
ACH-000735,-0.049563910498377835
ACH-000736,0.033337779538435745
ACH-000738,0.0803783402433306
ACH-000746,0.014083368096569428
ACH-000747,-0.0470306812655501
ACH-000748,0.03210249488120103
ACH-000753,0.011236313702245246
ACH-000756,0.0812244379723547
ACH-000757,0.0304552529347332
ACH-000758,-0.09269217020433394
ACH-000760,-0.03751228025927653
ACH-000762,0.06440255546217791
ACH-000763,-0.06456371763823968
ACH-000764,0.2168952534294852
ACH-000765,-0.06539324455319444
ACH-000766,0.0847792778123414
ACH-000767,0.06248589852964511
ACH-000768,0.04473077941889755
ACH-000769,-0.17193280681149778
ACH-000770,-0.05162185669333425
ACH-000771,0.0013450318967149788
ACH-000773,0.05432944752139365
ACH-000776,0.021683924808767973
ACH-000777,0.06599230852664391
ACH-000778,0.02966342647626315
ACH-000781,0.04425561278289007
ACH-000782,0.08115271771549458
ACH-000783,-0.11728761174680673
ACH-000784,0.003842094511369585
ACH-000785,-0.048849156155622464
ACH-000787,0.11752973430743555
ACH-000788,0.0150717944064991
ACH-000791,-0.029275713118450605
ACH-000792,-0.028914020216727863
ACH-000794,0.08721566287112123
ACH-000796,-0.0659793694359655
ACH-000798,0.1056417027288868
ACH-000799,0.12551154888565744
ACH-000800,0.15990782814685972
ACH-000802,0.021027712501246
ACH-000804,0.07883587802327359
ACH-000805,0.04048618274995475
ACH-000809,-0.02954812353510101
ACH-000810,-0.008262514701839372
ACH-000811,-0.014392500099305676
ACH-000817,0.016524935456642492
ACH-000819,0.04055115032708019
ACH-000820,0.026044076398212292
ACH-000821,-0.09239414941296502
ACH-000822,-0.07691122368677808
ACH-000823,0.011577946793605971
ACH-000824,-0.116218979680518
ACH-000827,0.02871106692485768
ACH-000829,-0.1610536690385014
ACH-000831,0.04648428577140283
ACH-000832,0.07635277471254348
ACH-000833,-0.06309178128818219
ACH-000834,0.031612580365102824
ACH-000835,-0.06944206760486345
ACH-000836,-0.03235408153647442
ACH-000837,0.04915422269463862
ACH-000838,-0.031361434438149136
ACH-000839,-0.05960431216011116
ACH-000840,0.16688680395312014
ACH-000841,-0.10094303049900548
ACH-000843,-0.001795916660648807
ACH-000846,-0.3066846461012957
ACH-000847,-0.07097451621723365
ACH-000848,-0.049605014507645664
ACH-000849,0.0028273003259561605
ACH-000851,-0.02001077190934934
ACH-000855,-0.12610644171906638
ACH-000856,0.047568402737442915
ACH-000858,-0.07610620079372024
ACH-000859,0.06812236539997568
ACH-000861,0.04082183852980988
ACH-000862,-0.08805024934681982
ACH-000865,-0.00410913707769242
ACH-000866,-0.07938757715395918
ACH-000867,0.007951529079885694
ACH-000869,-0.2214186526075104
ACH-000872,0.03667925529983272
ACH-000873,0.0976666502381133
ACH-000876,-0.08354809398075698
ACH-000878,-0.02016561435416931
ACH-000880,0.10146314877549248
ACH-000881,0.05582472715253718
ACH-000882,-0.08773508005982979
ACH-000884,-0.016014032188191717
ACH-000885,-0.053313152386451984
ACH-000887,-0.007048548380763605
ACH-000889,0.12327523785111935
ACH-000896,0.0314146918587164
ACH-000898,0.014212350258097563
ACH-000900,0.05544628678358455
ACH-000901,0.023390845575233292
ACH-000905,-0.13763633925802635
ACH-000906,-0.10075697225147427
ACH-000907,0.06689520991354529
ACH-000910,-0.1081252277020566
ACH-000911,-0.2374146940974355
ACH-000912,0.017324990373284787
ACH-000913,-0.032164459681861185
ACH-000915,-0.08336526878034749
ACH-000916,-0.15784412450128554
ACH-000917,0.04480591972872338
ACH-000920,0.1124651919421318
ACH-000921,-0.0750436235915883
ACH-000924,-0.0937833025767691
ACH-000926,-0.060958712161490174
ACH-000928,0.08679853573939349
ACH-000929,0.015917098968476887
ACH-000932,-0.02216526846549709
ACH-000935,-0.022592660461181826
ACH-000936,-0.08169388804982937
ACH-000937,-0.01465122592524024
ACH-000938,0.10648942841662466
ACH-000939,0.2102936461680177
ACH-000941,-0.099675327504272
ACH-000943,-0.119762884383089
ACH-000946,-0.19217383798760307
ACH-000947,0.043108909620201113
ACH-000948,-0.2409545447387979
ACH-000950,-0.12587974095780852
ACH-000953,0.09175511227073313
ACH-000954,-0.2997971080432121
ACH-000957,-0.11570011646311633
ACH-000958,-0.17225139429454894
ACH-000960,0.08130381846833974
ACH-000963,-0.17244455924257868
ACH-000968,0.04997682271666504
ACH-000969,-0.1843020947406944
ACH-000972,0.08529123186658921
ACH-000973,-0.0311563273210704
ACH-000974,-0.24445551729067785
ACH-000978,-0.06614757963995678
ACH-000984,0.0017800063363280067
ACH-000986,0.037423187725316484
ACH-000988,0.021715164757080484
ACH-000993,0.01969345761696955
ACH-000994,-0.056410259856083625
ACH-000996,0.07998015569996098
ACH-001001,0.11007343752053277
ACH-001020,-0.22884400600243004
ACH-001028,-0.016657001608258334
ACH-001031,0.11020765149204707
ACH-001038,-0.04076568448855762
ACH-001048,0.003963550939418918
ACH-001050,-0.08050967848207166
ACH-001053,0.12311004639156
ACH-001054,0.052755001239834384
ACH-001061,-0.07087066629368836
ACH-001067,0.002063741449811266
ACH-001075,-0.06934561270526969
ACH-001096,0.08373589420012514
ACH-001111,0.1553494458548074
ACH-001119,-0.029336678169442625
ACH-001128,-0.3611559916579434
ACH-001134,-0.16222543365339376
ACH-001151,-0.06603233487884475
ACH-001163,0.13032375799600615
ACH-001164,-0.08555026811410713
ACH-001183,-0.03570638095961956
ACH-001192,0.022942411733954532
ACH-001193,-0.0698549226376738
ACH-001196,-0.010138532851340169
ACH-001197,-0.009365364596411649
ACH-001205,-0.13066096708680594
ACH-001211,-0.047066864497721
ACH-001212,0.20552434647061704
ACH-001228,-0.016282057053674852
ACH-001232,-0.06011187972031482
ACH-001239,-0.050284835441984685
ACH-001270,0.006662366807933048
ACH-001274,-0.2346916518304809
ACH-001275,-0.10115946293502404
ACH-001277,0.002853266300876516
ACH-001278,0.014790857773903402
ACH-001280,0.021003899429057976
ACH-001283,0.012527017711631856
ACH-001289,-0.022471179156320062
ACH-001300,0.0964054842976647
ACH-001301,0.0617800689908761
ACH-001302,0.03212653984740153
ACH-001306,-0.04518469469955113
ACH-001318,-0.1056968547291775
ACH-001322,0.125084982505438
ACH-001328,-0.0374288344921868
ACH-001332,0.14872851358802305
ACH-001336,0.03615699008996207
ACH-001346,-0.07304350554226678
ACH-001353,-0.03038259115922995
ACH-001354,0.2588099561988212
ACH-001367,0.008470976915381467
ACH-001368,-0.0096968253636971
ACH-001374,0.34278449306902026
ACH-001377,-0.1654561098076968
ACH-001380,-0.04692761402891808
ACH-001391,-0.00666183099418049
ACH-001408,0.009197170082748795
ACH-001430,-0.3600936700554799
ACH-001431,0.06619811597700423
ACH-001450,-0.011521785986314571
ACH-001496,-0.12005864096912752
ACH-001500,0.12255658625617365
ACH-001523,0.016067195481343992
ACH-001532,0.04972444796828593
ACH-001550,0.007988479367628058
ACH-001552,-0.07449793836857148
ACH-001554,0.014262388175094618
ACH-001654,-0.03408719211901663
ACH-001735,0.014024515682432879
ACH-001736,0.1022933656863632
ACH-001737,0.3444309322682492
ACH-001740,0.2603646613924861
ACH-001745,0.07734531042490803
ACH-001765,-0.05671372955248731
