,POLR2L (5441)
ACH-000246,-1.716239353816834
ACH-000248,-1.7219471388012109
ACH-000250,-1.5664468694416005
ACH-000251,-1.5936660945598968
ACH-000252,-1.4018098132723922
ACH-000253,-1.513421580739769
ACH-000255,-1.4794500399599992
ACH-000256,-2.0176900519259955
ACH-000257,-1.645740657314834
ACH-000258,-2.0139213478596405
ACH-000259,-1.9725373447198007
ACH-000260,-1.6203704211703336
ACH-000261,-1.5833221730517155
ACH-000262,-1.748812330673413
ACH-000263,-1.5452522295104547
ACH-000264,-1.5722249430603938
ACH-000265,-1.6682135142917038
ACH-000266,-1.5732385956707071
ACH-000272,-1.5803234552387004
ACH-000274,-1.4706806951954725
ACH-000277,-1.3673405492993842
ACH-000278,-1.8236775856095016
ACH-000279,-1.7179788727711125
ACH-000280,-1.814357048223711
ACH-000281,-1.5216312128478235
ACH-000288,-1.51849510287453
ACH-000291,-1.7549442516628022
ACH-000293,-2.0098055324047186
ACH-000294,-2.124411116353815
ACH-000295,-1.6446492247662328
ACH-000296,-1.3796403966532818
ACH-000302,-1.7557131426591834
ACH-000304,-2.120158875481009
ACH-000307,-1.759246869862567
ACH-000308,-1.7339693962218683
ACH-000310,-1.6688566428131957
ACH-000311,-1.8958938672202417
ACH-000312,-1.5071407271822723
ACH-000315,-1.900340349628526
ACH-000316,-1.6915431053565708
ACH-000317,-1.7666049154336858
ACH-000318,-1.7202364114248718
ACH-000319,-1.691354598839646
ACH-000320,-1.6351868283618778
ACH-000322,-1.4993724053529027
ACH-000323,-1.6564654907033602
ACH-000324,-1.6732841604185578
ACH-000329,-1.526458017555974
ACH-000330,-1.6372407046610578
ACH-000331,-1.7411960119626018
ACH-000332,-1.5760264950316922
ACH-000334,-2.035524107743367
ACH-000335,-1.4506119062471736
ACH-000336,-1.5351200262532874
ACH-000337,-1.803134018695624
ACH-000338,-1.4334192584671526
ACH-000339,-1.6174920594168676
ACH-000341,-1.534234005480299
ACH-000348,-1.6779456138516202
ACH-000350,-1.7615287030676945
ACH-000352,-1.7918106779391385
ACH-000356,-1.9666054738510623
ACH-000361,-1.6945973863686128
ACH-000362,-1.6601211132374527
ACH-000363,-1.6456157576122468
ACH-000364,-1.6126104501738594
ACH-000365,-1.8256436508877771
ACH-000366,-1.7231872639915633
ACH-000368,-1.351444356769008
ACH-000374,-1.6385546260775692
ACH-000375,-1.5192672863593826
ACH-000376,-1.6103897247457557
ACH-000381,-1.4009056891887364
ACH-000383,-1.6005843636427877
ACH-000387,-1.6801260867228731
ACH-000389,-1.397321662799679
ACH-000390,-1.90689641994112
ACH-000393,-1.6874066119233018
ACH-000395,-1.5618791846240554
ACH-000396,-1.5357765416539657
ACH-000397,-1.5556721937348623
ACH-000401,-1.7727461598584235
ACH-000402,-1.657552467868095
ACH-000403,-1.6297547332184843
ACH-000404,-1.919669404927228
ACH-000406,-1.9078587904978643
ACH-000407,-1.6590677493505237
ACH-000408,-1.5403880382922164
ACH-000410,-1.5969876783788817
ACH-000411,-1.6469598953872269
ACH-000414,-1.8168723925935568
ACH-000415,-1.8468353657673315
ACH-000416,-1.6009996399368391
ACH-000420,-1.4494036932617385
ACH-000421,-1.7544026709632228
ACH-000424,-1.3354720748625857
ACH-000425,-1.580105485106717
ACH-000426,-2.315454614157277
ACH-000427,-1.6390142609137652
ACH-000433,-1.223106688732467
ACH-000435,-1.5430890957888281
ACH-000436,-1.4686348766397863
ACH-000444,-1.4003037556828637
ACH-000445,-1.3757896425097274
ACH-000448,-1.4218106743503218
ACH-000450,-1.2733629939245734
ACH-000452,-1.6334020940644365
ACH-000454,-1.7218685638529734
ACH-000458,-1.6347746189693209
ACH-000459,-1.9223704847189804
ACH-000460,-1.7483323258535732
ACH-000461,-1.6490370076656842
ACH-000463,-1.4746283448732036
ACH-000464,-1.5275181328221066
ACH-000466,-1.7070659651247513
ACH-000467,-1.5251568073932091
ACH-000468,-1.6704711208877296
ACH-000469,-1.646221011257368
ACH-000470,-1.6665495055562738
ACH-000471,-1.5359938292967368
ACH-000472,-1.6901169510050496
ACH-000473,-2.0720610539548114
ACH-000475,-1.5561082944249383
ACH-000476,-1.6294656018096478
ACH-000477,-1.7082561665510612
ACH-000479,-1.1518611948226103
ACH-000480,-1.5977572463421106
ACH-000481,-1.8716311989954917
ACH-000483,-1.7824086383909
ACH-000484,-1.6810202041619018
ACH-000485,-1.3599151283487607
ACH-000486,-1.7461803295282714
ACH-000487,-1.6854879227673771
ACH-000488,-1.5723072287820716
ACH-000490,-1.5682160749594842
ACH-000491,-1.9541200700486792
ACH-000495,-1.5035733426730578
ACH-000496,-1.8064983032769568
ACH-000499,-1.6843635574936415
ACH-000500,-2.0014003083478205
ACH-000502,-1.6042071400903877
ACH-000503,-1.457677530081855
ACH-000505,-1.656341398322345
ACH-000507,-1.6636141333274184
ACH-000510,-1.5681250688673758
ACH-000511,-1.6843657602901196
ACH-000512,-1.2816088159838657
ACH-000516,-1.4292049879032809
ACH-000517,-1.682383921822578
ACH-000518,-2.0571446357297214
ACH-000520,-1.7325992874811476
ACH-000521,-1.5687797402465964
ACH-000522,-1.5607344349900374
ACH-000524,-1.6898774327348824
ACH-000527,-1.6917285202776953
ACH-000528,-1.639273299936553
ACH-000537,-1.6062246353530392
ACH-000541,-1.248940396072054
ACH-000542,-1.524613809368531
ACH-000544,-1.6189241253871904
ACH-000545,-1.362294638196654
ACH-000547,-2.063728180110646
ACH-000548,-1.5671585953805436
ACH-000549,-1.3974233557259808
ACH-000550,-1.7345645049376428
ACH-000552,-1.5193292717683755
ACH-000556,-1.575895728667857
ACH-000557,-1.86987958451632
ACH-000569,-1.748836215570153
ACH-000570,-1.6281952037896108
ACH-000571,-1.6523245421695458
ACH-000573,-1.6189064944665763
ACH-000576,-1.7494623484714336
ACH-000579,-1.3890200787547495
ACH-000580,-1.4762820623014212
ACH-000584,-1.7791782585886045
ACH-000585,-1.7874433342605751
ACH-000588,-1.4739942921267843
ACH-000589,-1.5506728683174589
ACH-000591,-1.6020122045301706
ACH-000593,-1.3901943011226463
ACH-000600,-1.6689906328469473
ACH-000601,-1.5825383480479174
ACH-000605,-1.6312840613774282
ACH-000606,-1.5272689882250492
ACH-000608,-1.717043052041285
ACH-000614,-1.6383591970004534
ACH-000616,-1.5533997178019736
ACH-000618,-1.6185386265434485
ACH-000619,-1.7077086022884254
ACH-000620,-1.4596699379763578
ACH-000621,-1.6006154698799802
ACH-000622,-1.7849513428449983
ACH-000623,-1.3608173068211562
ACH-000624,-1.7270477717383084
ACH-000627,-1.3087942508259025
ACH-000630,-1.520013443713814
ACH-000631,-1.8186151983719585
ACH-000632,-1.8080487930862812
ACH-000633,-1.7173535532313386
ACH-000637,-1.6911928586205414
ACH-000638,-1.6165974546337412
ACH-000646,-1.2932096390049377
ACH-000647,-1.6014234607048783
ACH-000648,-1.738524561633769
ACH-000649,-1.7025336594046632
ACH-000651,-1.7769065365388816
ACH-000652,-1.775565313241783
ACH-000653,-1.7036668834412136
ACH-000657,-1.6177860779790991
ACH-000658,-1.8843268314719828
ACH-000661,-1.8038431374609007
ACH-000662,-1.6691016133980612
ACH-000663,-1.6392785030149142
ACH-000665,-1.4614734149307749
ACH-000671,-1.5896674217573232
ACH-000672,-1.5821908179020572
ACH-000673,-1.3756775466951106
ACH-000676,-1.4621886174800698
ACH-000677,-1.802656433942608
ACH-000681,-1.7464025257731348
ACH-000683,-1.7237219422429677
ACH-000684,-1.7450134827314403
ACH-000688,-1.824285795525086
ACH-000693,-1.574511216246136
ACH-000694,-1.5836285744168748
ACH-000695,-1.453355745234532
ACH-000696,-1.6667401933957804
ACH-000697,-1.3814912602062162
ACH-000699,-2.033212611287305
ACH-000701,-1.710604908476984
ACH-000706,-1.6727684840503632
ACH-000711,-1.6963563751292403
ACH-000713,-1.579832345738582
ACH-000714,-1.601588543512134
ACH-000718,-1.6773595389824156
ACH-000720,-1.5922399086810637
ACH-000721,-1.5089868163870803
ACH-000724,-2.4252619360728094
ACH-000725,-1.8524347217672008
ACH-000732,-1.556776992489897
ACH-000734,-1.6417064240812511
ACH-000735,-1.3662794034465846
ACH-000736,-1.7010506607299911
ACH-000738,-1.6588495829786691
ACH-000746,-1.7477125585257651
ACH-000747,-1.7327925268624436
ACH-000748,-1.5231254433213417
ACH-000753,-1.7570414331562545
ACH-000756,-1.5861685325886168
ACH-000757,-1.557456035414646
ACH-000758,-1.6223268967260047
ACH-000760,-1.5818737298582797
ACH-000762,-1.7211437660719158
ACH-000763,-1.9262205553599103
ACH-000764,-1.4026809004683545
ACH-000765,-1.6895635921442973
ACH-000766,-1.6513049013947032
ACH-000767,-1.5944326594073988
ACH-000768,-1.6439632037438998
ACH-000769,-1.6262077898429963
ACH-000770,-1.6861919744383225
ACH-000771,-1.7777843611472517
ACH-000773,-1.6349559190688203
ACH-000776,-1.4639022160744852
ACH-000777,-1.5902707192499952
ACH-000778,-2.0645182219945006
ACH-000781,-1.7757485852756267
ACH-000782,-1.5816818069331489
ACH-000783,-1.576081058563765
ACH-000784,-1.7236202269257233
ACH-000785,-1.8819874072310665
ACH-000787,-1.71457937795329
ACH-000788,-1.6241673763660818
ACH-000791,-1.584153368507585
ACH-000792,-1.9441087682455849
ACH-000794,-1.513720362526235
ACH-000796,-1.700778043951097
ACH-000798,-1.4746066569009286
ACH-000799,-1.4104580010921708
ACH-000800,-1.789486781852171
ACH-000802,-1.7397070470740617
ACH-000804,-1.854297667844257
ACH-000805,-1.5120107555335975
ACH-000809,-1.5002827758567838
ACH-000810,-1.639264246279569
ACH-000811,-1.4823749442012881
ACH-000817,-1.7259528512637607
ACH-000819,-1.617694322553228
ACH-000820,-1.4489136419642976
ACH-000821,-1.7978414304516035
ACH-000822,-1.5516161069934744
ACH-000823,-1.674219166208023
ACH-000824,-1.8241469027611472
ACH-000827,-1.6248976746876986
ACH-000829,-1.710908821713905
ACH-000831,-1.7972323331524318
ACH-000832,-1.6411520025025217
ACH-000833,-1.5334030309179714
ACH-000834,-1.9292399125759256
ACH-000835,-1.576878651183641
ACH-000836,-1.263297163253557
ACH-000837,-1.7067791087015391
ACH-000838,-2.0857157057073605
ACH-000839,-1.569918754605673
ACH-000840,-1.7697814412922817
ACH-000841,-1.7870635269437718
ACH-000843,-2.1000210975050515
ACH-000846,-1.5614759758796422
ACH-000847,-1.6135394478716856
ACH-000848,-1.5765461546367188
ACH-000849,-1.6658976127685925
ACH-000851,-1.5942263335713989
ACH-000855,-1.6489204461418103
ACH-000856,-1.6271400547715549
ACH-000858,-1.3792725372145218
ACH-000859,-1.5392435959070283
ACH-000861,-1.7174257169682263
ACH-000862,-1.7736688225062955
ACH-000865,-1.6901538964555771
ACH-000866,-1.642513449486923
ACH-000867,-1.7824043685437103
ACH-000869,-1.6882285146259803
ACH-000872,-1.8470536827929072
ACH-000873,-1.9273387282031
ACH-000876,-1.7314099379349157
ACH-000878,-1.531183161813139
ACH-000880,-1.7277291182286891
ACH-000881,-1.770009282668615
ACH-000882,-1.5284465163322174
ACH-000884,-1.5813087575001201
ACH-000885,-1.4754032298466695
ACH-000887,-1.4603591599585228
ACH-000889,-1.7758261836788094
ACH-000896,-1.5718044635651311
ACH-000898,-1.6748513416344046
ACH-000900,-1.7670577938740548
ACH-000901,-1.8271313412463468
ACH-000905,-1.6395723816886416
ACH-000906,-1.5406339012525805
ACH-000907,-1.4574390104455632
ACH-000910,-1.6766494652993846
ACH-000911,-1.5719321737177916
ACH-000912,-1.549307179268502
ACH-000913,-1.6435493669190138
ACH-000915,-1.5097997990747418
ACH-000916,-1.3629886054966731
ACH-000917,-1.552897019359551
ACH-000920,-1.6561745936986696
ACH-000921,-1.470084836896265
ACH-000924,-1.4278214086629641
ACH-000926,-1.8511642388720169
ACH-000928,-1.4399616411053888
ACH-000929,-1.8893469702252808
ACH-000932,-1.5938954142981938
ACH-000935,-1.5443202843265893
ACH-000936,-1.6739029492738375
ACH-000937,-1.8914708675229543
ACH-000938,-1.9747897642062056
ACH-000939,-1.7848789649027106
ACH-000941,-1.6455516943690964
ACH-000943,-1.7545677650210836
ACH-000946,-1.7272590555948617
ACH-000947,-1.8082602255736735
ACH-000948,-1.6688753091832311
ACH-000950,-1.534065474200108
ACH-000953,-1.7429961124710662
ACH-000954,-1.691141105359441
ACH-000957,-1.2619114636862672
ACH-000958,-1.7821790950741103
ACH-000960,-1.9587597436927888
ACH-000963,-1.575493079346301
ACH-000968,-1.6102292166741383
ACH-000969,-1.8104852334377388
ACH-000972,-1.3724899509872481
ACH-000973,-1.4758260003698742
ACH-000974,-1.3823556903504446
ACH-000978,-1.861571073831577
ACH-000984,-1.6277399057576964
ACH-000986,-1.6680792131171736
ACH-000988,-1.8684051564529796
ACH-000993,-1.6751013637240009
ACH-000994,-1.9023146147817969
ACH-000996,-1.5943021339776955
ACH-001001,-1.5879140623142725
ACH-001020,-1.3842027785878657
ACH-001028,-1.6043462120318313
ACH-001031,-1.7325791417819398
ACH-001038,-1.678211578385952
ACH-001048,-1.547007505845258
ACH-001050,-1.6146362337204456
ACH-001053,-1.769229468800115
ACH-001054,-1.4697482392013952
ACH-001061,-1.534955474286558
ACH-001067,-1.5348871908258943
ACH-001075,-1.5641395578187796
ACH-001096,-1.7047209534350134
ACH-001111,-1.6157828445988212
ACH-001119,-1.6804790327931967
ACH-001128,-0.9064005738924652
ACH-001134,-1.7523621936294267
ACH-001151,-1.6081004510669
ACH-001163,-1.7179816034205144
ACH-001164,-1.317548648522402
ACH-001183,-1.9995588622110492
ACH-001192,-1.4208859792558983
ACH-001193,-2.005654571443478
ACH-001196,-1.5644990012015492
ACH-001197,-1.786547944888666
ACH-001205,-1.5037724826118233
ACH-001211,-1.15428495856395
ACH-001212,-1.082274723035347
ACH-001228,-1.8384189690468995
ACH-001232,-1.6449901588548768
ACH-001239,-1.4404149065563194
ACH-001270,-1.400650001323596
ACH-001274,-1.4657725855471508
ACH-001275,-1.395011411801539
ACH-001277,-1.6790710410745442
ACH-001278,-1.8006480199190065
ACH-001280,-1.749049634887286
ACH-001283,-1.6413754825758506
ACH-001289,-1.5783802742575497
ACH-001300,-1.8813649494124625
ACH-001301,-1.6600606959042414
ACH-001302,-1.7495760563567435
ACH-001306,-1.36700241009656
ACH-001318,-1.811358463326094
ACH-001322,-1.4698349579662124
ACH-001328,-1.4921159590693882
ACH-001332,-1.5387504790009685
ACH-001336,-1.6691393948604805
ACH-001346,-1.7489181441062145
ACH-001353,-1.4567389815112182
ACH-001354,-2.2017555447348416
ACH-001367,-2.0476781123360404
ACH-001368,-1.8018833781944836
ACH-001374,-1.8544427072915093
ACH-001377,-1.6860834969637235
ACH-001380,-1.4325827091760162
ACH-001391,-1.5349205202387681
ACH-001408,-2.1702124979286888
ACH-001430,-1.5028479286813643
ACH-001431,-1.5433650731763766
ACH-001450,-1.325626460274822
ACH-001496,-1.5266447231472309
ACH-001500,-1.3535456412007951
ACH-001523,-1.5455477400416124
ACH-001532,-1.6925731968375235
ACH-001550,-1.4162007186873842
ACH-001552,-1.5672347459743736
ACH-001554,-1.5957566756383508
ACH-001654,-1.8661743374581687
ACH-001735,-1.8194704201417704
ACH-001736,-1.869574440354944
ACH-001737,-1.9873270135476648
ACH-001740,-1.827677497127204
ACH-001745,-1.6854532130139863
ACH-001765,-1.5797792118519631
