,SARDH (1757)
ACH-000913,-0.2771948528416153
ACH-000915,-0.08041798249782467
ACH-000916,-0.18933910274591784
ACH-000917,-0.1491203640400346
ACH-000920,0.18223953161454065
ACH-000921,-0.0982098574271705
ACH-000924,-0.162242354773
ACH-000926,-0.2137071519107968
ACH-000928,-0.2341836058069673
ACH-000929,-0.04137286317788968
ACH-000932,-0.18600610636674114
ACH-000935,-0.058133204026978365
ACH-000936,-0.14718782863353633
ACH-000937,-0.18409688117753265
ACH-000938,-0.14088335101484764
ACH-000939,-0.06378883120719835
ACH-000941,0.09256138491429834
ACH-000943,-0.03443968839838029
ACH-000946,-0.14628319868099424
ACH-000947,-0.18516095009021272
ACH-000948,-0.04803695102745965
ACH-000950,0.010885986431210588
ACH-000953,-0.022682480876457814
ACH-000954,-0.052307056530639606
ACH-000957,-0.010228590598357715
ACH-000958,0.1568776901110802
ACH-000960,-0.04576949382273795
ACH-000963,0.1574844419623472
ACH-000968,-0.27472720891228897
ACH-000969,-0.013340145539614084
ACH-000972,-0.16146411478902956
ACH-000973,-0.03352937023923061
ACH-000974,0.010689692049337946
ACH-000978,-0.03203435205454548
ACH-000984,-0.07633810076867785
ACH-000986,-0.049415612554218835
ACH-000988,-0.03760082082008461
ACH-000993,-0.09495426854160316
ACH-000994,-0.24246551068366004
ACH-000996,-0.014506280958994776
ACH-001001,-0.06937383246503398
ACH-001020,-0.33140060195648297
ACH-001028,-0.12071648088486905
ACH-001031,-0.14095510760063154
ACH-001038,-0.09208911405747168
ACH-001048,-0.10066444103779493
ACH-001050,0.013176283568283523
ACH-001053,-0.17975287517119015
ACH-001054,-0.033375053957654215
ACH-001061,-0.08492697264564396
ACH-001067,-0.30670957822321004
ACH-001075,-0.13847222976155946
ACH-001096,-0.33614246120774965
ACH-001111,0.05030227304816762
ACH-001119,-0.08524582812082597
ACH-001128,-0.35620534430310363
ACH-001134,0.031458155274413306
ACH-001151,-0.11768786402984675
ACH-001163,-0.15942605767556478
ACH-001164,-0.33610967503011985
ACH-001183,-0.038898032494957616
ACH-001192,-0.1910505183367957
ACH-001193,-0.008458200824862198
ACH-001196,-0.1451824168931984
ACH-001197,-0.14905625163824213
ACH-001205,-0.003684679496929753
ACH-001211,-0.17442323213339386
ACH-001212,-0.02326942694659779
ACH-001228,-0.12267933270004043
ACH-001232,-0.16744546630012666
ACH-001239,-0.13973696853492015
ACH-001270,-0.2752641229995419
ACH-001274,-0.11638477084964223
ACH-001275,-0.01207251870594582
ACH-001277,-0.15301330698689966
ACH-001278,-0.2123683556114696
ACH-001280,0.004921319244314929
ACH-001283,-0.18094455874846027
ACH-001289,0.062214806436908736
ACH-001300,-0.16570752335132327
ACH-001301,-0.24664733507580425
ACH-001302,0.013429813338696495
ACH-001306,-0.006144614092245621
ACH-001318,-0.09136596731977656
ACH-001322,-0.07278709080327933
ACH-001328,-0.12323535234614713
ACH-001332,-0.21497232497981447
ACH-001336,-0.039103183196999784
ACH-001346,-0.03312098041552397
ACH-001353,-0.07328502506059932
ACH-001354,-0.0020294621778586216
ACH-001367,-0.1921192536502652
ACH-001368,0.013987246359244077
ACH-001374,-0.5093971361601585
ACH-001377,-0.05312869898065706
ACH-001380,-0.0940274215204008
ACH-001391,-0.15957366765852649
ACH-001408,-0.21043834069326048
ACH-001430,-0.029527413104962937
ACH-001431,-0.1950452675796371
ACH-001450,-0.03449533820244955
ACH-001496,-0.1230315708461027
ACH-001500,-0.39091811482597694
ACH-001523,-0.12626469047713615
ACH-001532,-0.022166972891613918
ACH-001550,-0.07063447260387164
ACH-001552,-0.20966507578587756
ACH-001554,-0.11133434919034703
ACH-001654,-0.13053970402198226
ACH-001735,-0.17873249231949476
ACH-001736,-0.13690512436842006
ACH-001737,0.17125187415596854
ACH-001740,-0.16193771140416752
ACH-001745,-0.20219245264555524
ACH-001765,-0.009860983049192714
