,CHRAC1 (54108)
ACH-000988,-0.186433321787722
ACH-000993,-0.18919782608024013
ACH-000994,-0.09583805338235107
ACH-000996,-0.099881562176674
ACH-001001,-0.12510275461865966
ACH-001020,0.13177129541697086
ACH-001028,-0.28084695204629323
ACH-001031,-0.25334588179245343
ACH-001038,-0.16259493090925226
ACH-001048,-0.09083143234594472
ACH-001050,-0.22540077388905536
ACH-001053,-0.2051899292552297
ACH-001054,-0.17380398959148033
ACH-001061,0.0069509017922324105
ACH-001067,-0.4041535543397151
ACH-001075,0.03603673424683308
ACH-001096,-0.21870347275548
ACH-001111,-0.32088765099565697
ACH-001119,-0.004627627384194445
ACH-001128,0.4981150990744648
ACH-001134,-0.2508838024703356
ACH-001151,-0.04516161280378536
ACH-001163,-0.2494590487584083
ACH-001164,-0.08013804511436355
ACH-001183,-0.1273223619163978
ACH-001192,-0.1112218173692278
ACH-001193,-0.21149002676722412
ACH-001196,-0.1189053565005241
ACH-001197,0.027796422749406156
ACH-001205,0.02119825896244436
ACH-001211,-0.0031148447930134638
ACH-001212,-0.15476397862176375
ACH-001228,-0.2727202804079185
ACH-001232,-0.09500467468409196
ACH-001239,-0.1424974551541575
ACH-001270,-0.219607115929174
ACH-001274,-0.0679273254176598
ACH-001275,-0.3893808649655901
ACH-001277,-0.3070978851176081
ACH-001278,-0.3385055842334617
ACH-001280,-0.20311072713360756
ACH-001283,0.061261014250373336
ACH-001289,-0.08355802236581703
ACH-001300,-0.14279759661548744
ACH-001301,-0.2405938091287964
ACH-001302,-0.3174604558200098
ACH-001306,-0.10100641177450104
ACH-001318,-0.028112601434911882
ACH-001322,-0.18137487834209925
ACH-001328,-0.2826206380964589
ACH-001332,-0.2791769547870951
ACH-001336,-0.09022550764367734
ACH-001346,-0.06639428125493434
ACH-001353,-0.17405134430002087
ACH-001354,-0.06897598988676623
ACH-001367,-0.1320190551361444
ACH-001368,-0.15199810751946272
ACH-001374,0.061712781068179075
ACH-001377,-0.2586710629692761
ACH-001380,-0.16950533547257096
ACH-001391,-0.1848041245900689
ACH-001408,-0.2440483580128806
ACH-001430,-0.5496683030224873
ACH-001431,-0.27575808317052497
ACH-001450,-0.09964209006969656
ACH-001496,-0.02812364999250222
ACH-001500,0.08692325484753306
ACH-001523,-0.07975934500526367
ACH-001532,-0.05866145621971276
ACH-001550,0.1473294657537387
ACH-001552,-0.16827885500169726
ACH-001554,-0.21190173243636046
ACH-001654,-0.3606003099103108
ACH-001735,-0.1932181110147134
ACH-001736,-0.1278282414089348
ACH-001737,-0.627550944022692
ACH-001740,-0.2606632261630253
ACH-001745,-0.3048682810713315
ACH-001765,-0.29077633249157003
