,SF1 (7536)
ACH-000831,-1.2233117529684787
ACH-000832,-1.2373000907290979
ACH-000833,-1.1991118190520016
ACH-000834,-1.2785938471484988
ACH-000835,-1.193284878381873
ACH-000836,-0.6851356332152592
ACH-000837,-1.2041768871224237
ACH-000838,-1.2868272354531385
ACH-000839,-1.3036146915927544
ACH-000840,-1.1789926483383593
ACH-000841,-1.3810346469006431
ACH-000843,-1.33999605970621
ACH-000846,-1.2270665371878928
ACH-000847,-1.1919410707088145
ACH-000848,-1.1882448715053913
ACH-000849,-1.312769012151368
ACH-000851,-1.3005198757297942
ACH-000855,-1.0702977690485742
ACH-000856,-1.1171365893311611
ACH-000858,-1.2946671846652205
ACH-000859,-1.2441810151233736
ACH-000861,-1.2206967579412655
ACH-000862,-1.1175783427930868
ACH-000865,-1.190958329223209
ACH-000866,-1.2866454390481414
ACH-000867,-1.2886108493161992
ACH-000869,-1.5559358661625402
ACH-000872,-1.418167910033756
ACH-000873,-1.1034359058666001
ACH-000876,-1.3910177125321848
ACH-000878,-1.17470334193653
ACH-000880,-1.3018468779535148
ACH-000881,-1.0833715813131646
ACH-000882,-1.5650273809399509
ACH-000884,-1.3132838247090348
ACH-000885,-1.2747773048515114
ACH-000887,-1.1470577242343285
ACH-000889,-1.2724853645281655
ACH-000896,-1.1564612748031844
ACH-000898,-1.250678146730371
ACH-000900,-1.420849790807375
ACH-000901,-1.3681760537957917
ACH-000905,-1.095588945202266
ACH-000906,-1.1235519364364108
ACH-000907,-0.9878840303599082
ACH-000910,-1.3158419789073363
ACH-000911,-1.3397332549090133
ACH-000912,-1.3396587509247828
ACH-000913,-1.2486274604086829
ACH-000915,-1.1956158894198603
ACH-000916,-0.9917888105217838
ACH-000917,-1.34663474115202
ACH-000920,-1.2649002493586845
ACH-000921,-1.3493122897156908
ACH-000924,-1.216248899593533
ACH-000926,-1.211978939207604
ACH-000928,-1.39267970093878
ACH-000929,-1.0759913198234292
ACH-000932,-1.212624298818895
ACH-000935,-1.1869353216559178
ACH-000936,-1.0604164219954992
ACH-000937,-1.1338251720857413
ACH-000938,-1.1436657010062563
ACH-000939,-1.037297910517279
ACH-000941,-1.5078247168456569
ACH-000943,-1.2549562538565069
ACH-000946,-1.344534810510157
ACH-000947,-1.3012975037980712
ACH-000948,-1.1974431177250595
ACH-000950,-1.3522031074313876
ACH-000953,-1.157005277387551
ACH-000954,-1.4878154506565882
ACH-000957,-1.2260058336522075
ACH-000958,-1.3059172964077783
ACH-000960,-1.2316632267348462
ACH-000963,-1.422056452455443
ACH-000968,-1.2344625036130112
ACH-000969,-1.4273688648916305
ACH-000972,-1.3244313178966696
ACH-000973,-1.2570511672448692
ACH-000974,-1.2393450207825716
ACH-000978,-1.3151239724394963
ACH-000984,-1.4207666539808181
ACH-000986,-1.3483390630914605
ACH-000988,-1.231495689501718
ACH-000993,-1.1891495673908694
ACH-000994,-1.5291489406573118
ACH-000996,-1.399365403333593
ACH-001001,-1.087169390592504
ACH-001020,-1.228981868708543
ACH-001028,-1.305952973117508
ACH-001031,-1.2171410416490778
ACH-001038,-1.3231352823985028
ACH-001048,-1.3817287859860563
ACH-001050,-1.1557743737302402
ACH-001053,-1.418664941079289
ACH-001054,-1.341711862227997
ACH-001061,-1.1230630996037083
ACH-001067,-1.485482304839541
ACH-001075,-1.1556938185680554
ACH-001096,-1.3906330528273516
ACH-001111,-1.6080248509823318
ACH-001119,-1.1576185848356937
ACH-001128,-0.6207598970894922
ACH-001134,-1.3576712396090496
ACH-001151,-1.291456841852722
ACH-001163,-1.4426459950412849
ACH-001164,-1.1594969548076002
ACH-001183,-1.3248280882430843
ACH-001192,-1.3403793919081621
ACH-001193,-1.2485560013258516
ACH-001196,-1.4205368481074034
ACH-001197,-1.3385299162516189
ACH-001205,-1.1183097123958103
ACH-001211,-1.3644764213028695
ACH-001212,-1.5587314551538598
ACH-001228,-1.2000209524279135
ACH-001232,-1.1040874759949542
ACH-001239,-1.2394084864767518
ACH-001270,-1.1209839899764464
ACH-001274,-1.1912364887676912
ACH-001275,-1.2211634290426778
ACH-001277,-1.481249148187363
ACH-001278,-1.2246499830345257
ACH-001280,-1.4913116159881494
ACH-001283,-1.2003711268571386
ACH-001289,-1.3115375148315664
ACH-001300,-1.2367546967412415
ACH-001301,-1.1994505498071333
ACH-001302,-1.360930762604632
ACH-001306,-1.27516408265491
ACH-001318,-1.2621326487007432
ACH-001322,-1.022698592372544
ACH-001328,-1.175350252074966
ACH-001332,-1.3341213645623575
ACH-001336,-1.1307214861678236
ACH-001346,-1.0995055718847515
ACH-001353,-1.2578386630337568
ACH-001354,-1.3276446303368077
ACH-001367,-1.4152122277011383
ACH-001368,-1.3182031302259931
ACH-001374,-1.423679699216441
ACH-001377,-1.1627430910740701
ACH-001380,-1.2829953907568754
ACH-001391,-1.228973078275636
ACH-001408,-1.3588339361965052
ACH-001430,-1.1960834833362528
ACH-001431,-1.3454716847728896
ACH-001450,-1.2487043455733624
ACH-001496,-0.8819186972357812
ACH-001500,-1.176492193600852
ACH-001523,-1.2960334911159133
ACH-001532,-1.3824106364361932
ACH-001550,-0.9698774204866952
ACH-001552,-1.1973308404562812
ACH-001554,-1.2235490235700126
ACH-001654,-1.3713995486960726
ACH-001735,-1.2268386092994197
ACH-001736,-1.3090203321311566
ACH-001737,-1.070832559532275
ACH-001740,-1.259598235961658
ACH-001745,-1.3971782634012473
ACH-001765,-1.1771338339775572
