,SLCO1B1 (10599)
ACH-000771,0.13009210981205033
ACH-000773,0.2244232824886811
ACH-000776,0.1379150343826871
ACH-000777,0.19421725528123054
ACH-000778,0.1649699857712179
ACH-000781,0.13175905758308
ACH-000782,0.025021433268513308
ACH-000783,0.1905352670449636
ACH-000784,0.08204906931598796
ACH-000785,0.15271813358456765
ACH-000787,0.22498550390297514
ACH-000788,0.1667481401486154
ACH-000791,0.12445475233483602
ACH-000792,0.11141353649245192
ACH-000794,0.22092589647048486
ACH-000796,0.13086237025961744
ACH-000798,0.2549159093455891
ACH-000799,0.04212903665507075
ACH-000800,0.17974966077427207
ACH-000802,0.11741644541037227
ACH-000804,0.18140798011241205
ACH-000805,0.1693667550343147
ACH-000809,0.20244788734001865
ACH-000810,0.09760451212498568
ACH-000811,0.12595737986829164
ACH-000817,0.18089890675882495
ACH-000819,0.19974233475510664
ACH-000820,0.2024545282038342
ACH-000821,0.16269412936111022
ACH-000822,0.2122370644351883
ACH-000823,0.3135475890363468
ACH-000824,0.24407360018649524
ACH-000827,0.2018695243263549
ACH-000829,0.08644351510279821
ACH-000831,0.10335352680639504
ACH-000832,0.19940319629512546
ACH-000833,0.3352573554279613
ACH-000834,0.17695161254891484
ACH-000835,0.3203764346413473
ACH-000836,0.15460370403268248
ACH-000837,0.10752517603265803
ACH-000838,0.2022366210486971
ACH-000839,0.2494230063589669
ACH-000840,0.07493799020706375
ACH-000841,0.12701907046282065
ACH-000843,0.04867881422778402
ACH-000846,0.3262823299442033
ACH-000847,0.2722452686261806
ACH-000848,0.16208942109757155
ACH-000849,0.2762345970229898
ACH-000851,0.2750938113875828
ACH-000855,0.1386386721830425
ACH-000856,0.16079786728438733
ACH-000858,0.2073161558355536
ACH-000859,0.14981994400359772
ACH-000861,0.2775222993870533
ACH-000862,0.20360895520201508
ACH-000865,0.13297214659072715
ACH-000866,0.12208540559207445
ACH-000867,0.1634731794962749
ACH-000869,0.19851509536057413
ACH-000872,0.2913618137796429
ACH-000873,0.2406339940416258
ACH-000876,0.1192407533947274
ACH-000878,0.19159031218112332
ACH-000880,0.17534285953413467
ACH-000881,0.11847798006079688
ACH-000882,0.2284423919563628
ACH-000884,0.18929887828499276
ACH-000885,0.17710990028284004
ACH-000887,0.2264462344276236
ACH-000889,0.19204503288302105
ACH-000896,0.16874821359482553
ACH-000898,0.1694760590763672
ACH-000900,0.2773355844663372
ACH-000901,0.2423896539357547
ACH-000905,0.19511695923734867
ACH-000906,0.2578835575659745
ACH-000907,0.2514930694377732
ACH-000910,0.19564010713021784
ACH-000911,0.13097390700154865
ACH-000912,0.2715057519574159
ACH-000913,0.17071294460307984
ACH-000915,0.11370159099033032
ACH-000916,0.02783799231178187
ACH-000917,0.14857878064667138
ACH-000920,0.2748995457061858
ACH-000921,0.2307465738181543
ACH-000924,0.13830682739667235
ACH-000926,0.17105088292832404
ACH-000928,0.11840946537070104
ACH-000929,0.02553678263216832
ACH-000932,0.2933749739960265
ACH-000935,0.2054704470091604
ACH-000936,0.12439299094921025
ACH-000937,0.1964588207767004
ACH-000938,0.15909794589740214
ACH-000939,0.1934353868385052
ACH-000941,0.1480014735324957
ACH-000943,0.1731395045472644
ACH-000946,-0.03362770534167067
ACH-000947,0.12705013199985235
ACH-000948,0.062189625766343765
ACH-000950,0.13189859448100238
ACH-000953,0.1890737442208139
ACH-000954,0.2602944470972929
ACH-000957,0.14834877407282998
ACH-000958,0.01722671159945511
ACH-000960,0.1436788718518307
ACH-000963,0.21142424661117826
ACH-000968,0.11639336297166923
ACH-000969,0.2362544473293809
ACH-000972,0.3742765667979253
ACH-000973,0.18023678287664852
