,TBXAS1 (6916)
ACH-000834,-0.06765932593917999
ACH-000835,-0.06283648698857261
ACH-000836,0.10537301836977847
ACH-000837,0.05847456712882392
ACH-000838,-0.14710576319474347
ACH-000839,0.008399034109164797
ACH-000840,-0.038295529892270634
ACH-000841,0.01962282003014416
ACH-000843,0.12963654251917636
ACH-000846,0.15807904319643445
ACH-000847,0.09735236957303993
ACH-000848,0.06314495002499154
ACH-000849,-0.13866323960897425
ACH-000851,-0.0018012373462847906
ACH-000855,0.02548649106803931
ACH-000856,0.05756076860511216
ACH-000858,-0.019053547436096743
ACH-000859,0.23404685002126835
ACH-000861,0.021656427683226585
ACH-000862,-0.009908935986249312
ACH-000865,0.14171591151338908
ACH-000866,-0.005448057157430564
ACH-000867,0.014784700289094054
ACH-000869,-0.006731210154324746
ACH-000872,0.02299254377325308
ACH-000873,0.13136758934175588
ACH-000876,0.07127108296289246
ACH-000878,-0.0502560763492118
ACH-000880,-0.028794186723650438
ACH-000881,-0.04379816927991817
ACH-000882,-0.07400547024325248
ACH-000884,0.033548742630635904
ACH-000885,-0.06465507989817867
ACH-000887,0.07935975630342118
ACH-000889,-0.03755846600368405
ACH-000896,0.09901265072662774
ACH-000898,0.08423975109772837
ACH-000900,0.042143715905414526
ACH-000901,0.01546250010711599
ACH-000905,-0.08289613348870821
ACH-000906,-0.048152372041370364
ACH-000907,0.13727522714531912
ACH-000910,0.050597903586029766
ACH-000911,0.14473988719993766
ACH-000912,0.08082806376857396
ACH-000913,0.03472688420536959
ACH-000915,0.042307545410483684
ACH-000916,0.02065236741704744
ACH-000917,-0.0014588857202397082
ACH-000920,0.14041829021054414
ACH-000921,0.06907780165836191
ACH-000924,-0.016748821035868094
ACH-000926,-0.1864240778814264
ACH-000928,0.10908364658447584
ACH-000929,-0.08055792588045327
ACH-000932,-0.0123682174633391
ACH-000935,0.029154635279181763
ACH-000936,-0.022837756000972667
ACH-000937,0.06638493291565188
ACH-000938,-0.0015499613361760554
ACH-000939,0.046828934546438855
ACH-000941,0.012386567591579528
ACH-000943,-0.0901563325376389
ACH-000946,-0.00438843144158209
ACH-000947,-0.08174248251859965
ACH-000948,0.16978820599118333
ACH-000950,0.2744112039175118
ACH-000953,0.006743727242258185
ACH-000954,-0.07215982930184453
ACH-000957,0.20659520403113724
ACH-000958,0.1041566086763313
ACH-000960,0.0530048778286051
ACH-000963,0.04164436679750567
ACH-000968,-0.00826255013025238
ACH-000969,0.0458832919170084
ACH-000972,0.1861409673153315
ACH-000973,0.07100425905851937
ACH-000974,0.03606607960984483
ACH-000978,0.050151309867078615
ACH-000984,0.05403807149019475
ACH-000986,0.06363028550959288
ACH-000988,-0.0016387817084324962
ACH-000993,0.04588691283895882
ACH-000994,-0.0850684820953743
ACH-000996,0.2392001925272057
ACH-001001,0.12958949336642675
ACH-001020,0.018093419494395503
ACH-001028,0.12262357151626754
ACH-001031,0.0006088484803360827
ACH-001038,-0.0383882552164665
