,TOMM20 (9804)
ACH-000537,-0.5758577580880597
ACH-000541,-0.6234279851989228
ACH-000542,-0.6304984807829267
ACH-000544,-0.7543175356096721
ACH-000545,-0.9070347765942128
ACH-000547,-0.3812925661179721
ACH-000548,-0.7422931833354129
ACH-000549,-0.8196557976954378
ACH-000550,-0.8554754079573332
ACH-000552,-0.8821656095900899
ACH-000556,-0.7596932358726642
ACH-000557,-0.8215758358308933
ACH-000569,-0.5248565713492869
ACH-000570,-0.8759975769391639
ACH-000571,-0.6408046312131611
ACH-000573,-0.6904140258874835
ACH-000576,-0.5507331318830618
ACH-000579,-0.7782937550620647
ACH-000580,-0.5045972166622865
ACH-000584,-0.7812205042049667
ACH-000585,-0.6809897466357168
ACH-000588,-0.9515513695443358
ACH-000589,-0.6522091529158405
ACH-000591,-0.7227474595624939
ACH-000593,-0.7961940816159558
ACH-000600,-0.5895492577219895
ACH-000601,-0.6692657590386264
ACH-000605,-0.8863730505087767
ACH-000606,-0.7905408225409947
ACH-000608,-0.5673665299073342
ACH-000614,-0.7279334525157005
ACH-000616,-0.9261010494075154
ACH-000618,-0.6997103236203769
ACH-000619,-0.8586769046117276
ACH-000620,-0.6285518746997326
ACH-000621,-0.6078762137933948
ACH-000622,-0.7796657267215946
ACH-000623,-0.6594384440544713
ACH-000624,-0.6373787812894269
ACH-000627,-0.8062921586685317
ACH-000630,-0.9764355576135516
ACH-000631,-0.5453999908949472
ACH-000632,-0.6632372434238494
ACH-000633,-0.6577309253074792
ACH-000637,-0.707217063539557
ACH-000638,-0.5526130539112464
ACH-000646,-0.671584071462059
ACH-000647,-0.6123319423279727
ACH-000648,-0.5650665417473052
ACH-000649,-0.7105118667681481
ACH-000651,-1.0704894261275948
ACH-000652,-0.7392999836393354
ACH-000653,-0.7347083927619308
ACH-000657,-0.6617102637472391
ACH-000658,-0.8417918620467117
ACH-000661,-0.7974831435353512
ACH-000662,-0.8048786986179589
ACH-000663,-0.7015728054322392
ACH-000665,-0.7763336375030173
ACH-000671,-0.7837121746375675
ACH-000672,-0.7213549565310879
ACH-000673,-0.8546274134793427
ACH-000676,-0.7788628985763941
ACH-000677,-0.7720567206685729
ACH-000681,-0.7315132519747308
ACH-000683,-0.6279085096652748
ACH-000684,-0.7689554795292021
ACH-000688,-1.0014170292602946
ACH-000693,-0.7671292159630282
ACH-000694,-0.5776913140440668
ACH-000695,-0.6924224751696803
ACH-000696,-0.7294889255033992
ACH-000697,-0.7341839824196543
ACH-000699,-0.6181833576862338
ACH-000701,-0.5447180600338999
ACH-000706,-0.8339359866271687
ACH-000711,-0.7135625909953829
ACH-000713,-0.7317917269907707
ACH-000714,-0.6392799022256063
ACH-000718,-0.6940213026890886
ACH-000720,-0.8540637658465414
ACH-000721,-0.7352949723560885
ACH-000724,-0.7113385999378502
ACH-000725,-0.7346893335288222
ACH-000732,-0.6788844245374344
ACH-000734,-0.7235566836411687
ACH-000735,-0.8708741643912573
ACH-000736,-0.8780871100453634
ACH-000738,-0.8247025381766875
ACH-000746,-0.7173786828459596
ACH-000747,-0.6318498203463979
ACH-000748,-1.0176039374729204
ACH-000753,-0.6720876807523363
ACH-000756,-0.7009637611661704
ACH-000757,-0.8202311720399067
ACH-000758,-0.911919411147574
ACH-000760,-0.7706048960377404
ACH-000762,-0.8409602326185021
ACH-000763,-0.8808545603451851
ACH-000764,-0.7733695269487153
ACH-000765,-0.9559111486286612
ACH-000766,-0.7108743458276735
ACH-000767,-0.7649074354623343
ACH-000768,-0.8537128127855361
ACH-000769,-0.8005744630065565
ACH-000770,-0.8984482949029601
ACH-000771,-0.7731555308483109
ACH-000773,-0.4986906392969272
ACH-000776,-0.5376982290354172
ACH-000777,-0.7388754590252541
ACH-000778,-0.7685205448692132
ACH-000781,-0.7723957648092576
ACH-000782,-0.8972082615375372
ACH-000783,-0.5113449747523087
ACH-000784,-0.8460844245718627
ACH-000785,-0.8057534351937254
ACH-000787,-0.8490444647750109
ACH-000788,-0.8104143577863209
ACH-000791,-0.8959973519247304
ACH-000792,-0.8980609641620629
ACH-000794,-0.8371208179974441
ACH-000796,-0.7728629703999753
ACH-000798,-0.7867974769366297
ACH-000799,-0.9055171492987624
ACH-000800,-1.0030692262101844
ACH-000802,-0.7057653911412145
ACH-000804,-0.6114557453771943
ACH-000805,-0.8159081989763683
ACH-000809,-0.7052162668170535
ACH-000810,-0.9685759948817828
ACH-000811,-0.6064585327385564
ACH-000817,-0.4474716305890039
ACH-000819,-0.7793753547531321
ACH-000820,-0.8279321542841761
ACH-000821,-0.8716830818301179
ACH-000822,-0.549574391101026
ACH-000823,-0.7324814423678736
ACH-000824,-0.6332507314260339
ACH-000827,-0.7137943934465262
ACH-000829,-0.6829248903534338
ACH-000831,-0.8511272043707737
ACH-000832,-1.122628614942229
ACH-000833,-0.9978835538219368
ACH-000834,-0.8709774896263061
ACH-000835,-0.8628403527362638
ACH-000836,-0.7302101330293065
ACH-000837,-0.6841467291641663
ACH-000838,-0.8387277494445674
ACH-000839,-0.7429063795038969
ACH-000840,-0.7138242335449484
ACH-000841,-0.9105672935915295
ACH-000843,-0.7092809881635813
ACH-000846,-0.5332671450874168
ACH-000847,-0.7848053333799092
ACH-000848,-0.8624766367833807
ACH-000849,-0.8489979535463251
ACH-000851,-0.6891270925495995
ACH-000855,-0.5861073913574393
ACH-000856,-0.5495170075172227
ACH-000858,-0.7454210262467332
ACH-000859,-0.7188711755922081
ACH-000861,-0.6560108627889467
ACH-000862,-0.8289728368065383
ACH-000865,-0.9388836340832116
ACH-000866,-0.5969666415029823
ACH-000867,-0.6952751439554329
ACH-000869,-0.6773433850657534
ACH-000872,-0.7892296636248287
ACH-000873,-0.8422131832727165
ACH-000876,-0.634724271262905
ACH-000878,-0.7804116031121072
ACH-000880,-0.5272313756197764
ACH-000881,-0.8216781745241026
ACH-000882,-0.6382351219686753
ACH-000884,-0.8797565121250532
ACH-000885,-0.8344499957733914
ACH-000887,-0.7798928324250188
ACH-000889,-0.8431884615065967
ACH-000896,-0.8472314836697317
ACH-000898,-0.8058113724663376
ACH-000900,-0.8017898190137958
ACH-000901,-0.8422935091589866
ACH-000905,-0.968597593993444
ACH-000906,-0.8192455982616215
ACH-000907,-0.9445077160873788
ACH-000910,-0.599907989849907
ACH-000911,-0.6769397618613017
ACH-000912,-0.9525435260375033
ACH-000913,-0.906371956472615
ACH-000915,-0.8696757041569467
ACH-000916,-0.9029634246947864
ACH-000917,-0.8273462479229808
ACH-000920,-1.149514651838173
ACH-000921,-0.9144254584617084
ACH-000924,-0.6937948287607679
ACH-000926,-0.8535958006158146
ACH-000928,-0.5822816942199169
ACH-000929,-0.5268682714555273
ACH-000932,-0.5654643343139674
ACH-000935,-1.0719087781063334
ACH-000936,-0.7701087445846152
ACH-000937,-0.8399058456441318
ACH-000938,-0.8494797853259064
ACH-000939,-0.8549036038565841
ACH-000941,-0.7118823700200871
ACH-000943,-0.8781861858942442
ACH-000946,-0.8410005773421626
ACH-000947,-0.585736513541106
ACH-000948,-0.8956246163435357
ACH-000950,-0.8473110626481436
ACH-000953,-0.5965322905234244
ACH-000954,-0.8980578129005677
ACH-000957,-0.7802032750203043
ACH-000958,-0.6769099643801596
ACH-000960,-0.8117559413104521
ACH-000963,-0.8692652255006529
