,ANKRD34B (340120)
ACH-000950,-0.1333263880900692
ACH-000953,-0.05201851980910583
ACH-000954,-0.08325251223361514
ACH-000957,-0.01481978052786391
ACH-000958,0.04288384432368026
ACH-000960,-0.12616538574012345
ACH-000963,-0.2273647952344673
ACH-000968,-0.1647796968215707
ACH-000969,-0.07139064399614846
ACH-000972,-0.04272080954778835
ACH-000973,-0.03796864848085278
ACH-000974,-0.023440165741831272
ACH-000978,0.5167458424932841
ACH-000984,-0.4008091861615533
ACH-000986,-0.055819622422593085
ACH-000988,0.023308008648352186
ACH-000993,-0.008210725220853319
ACH-000994,0.06273496924573439
ACH-000996,-0.2354643361866907
ACH-001001,-0.08584945842264984
ACH-001020,-0.027025767451864486
ACH-001028,-0.1501895836720426
ACH-001031,-0.08065513349183029
ACH-001038,-0.11232572083557432
ACH-001048,-0.1111307282462332
ACH-001050,-0.15054243191231875
ACH-001053,-0.24274657448690015
ACH-001054,-0.055303577301950686
ACH-001061,-0.07703290767137395
ACH-001067,-0.10498146445664652
ACH-001075,-0.06086546261348631
ACH-001096,-0.1500925516771638
ACH-001111,-0.2337288415977779
ACH-001119,-0.08416384315576161
ACH-001128,0.003649910751735825
ACH-001134,0.010194154528908107
ACH-001151,0.005516937660429746
ACH-001163,-0.12919528474071326
ACH-001164,-0.010723594828905685
ACH-001183,-0.14171626287310096
ACH-001192,-0.002151959978793102
ACH-001193,-0.10522186222527996
ACH-001196,-0.09025997560956267
ACH-001197,-0.03209644813900057
ACH-001205,-0.189447341929882
ACH-001211,-0.2225262773316167
ACH-001212,-0.2286642110442709
ACH-001228,0.07168924760948414
ACH-001232,-0.059870932520445626
ACH-001239,-0.1006006795002162
ACH-001270,-0.0504203839339929
ACH-001274,-0.11267500794338048
ACH-001275,-0.1312313413567976
ACH-001277,0.07664584283911059
ACH-001278,0.04772707136605425
ACH-001280,0.06567137581715138
ACH-001283,-0.08684846403875969
ACH-001289,-0.011567562461742916
ACH-001300,-0.02675639629980344
ACH-001301,0.01822684990891933
ACH-001302,0.051903672168372494
ACH-001306,0.061975899216910886
ACH-001318,-0.08992624377182766
ACH-001322,0.1153389965180621
