,CMBL (134147)
ACH-000672,0.2171244695064735
ACH-000673,0.0016733020525439134
ACH-000676,0.06378705365091973
ACH-000677,0.02803254630255116
ACH-000681,0.023651020287778157
ACH-000683,0.07849520277208552
ACH-000684,-0.004959926561407237
ACH-000688,0.18196846569455846
ACH-000693,0.022500512638011425
ACH-000694,-0.008563537716598867
ACH-000695,-0.1249912337542655
ACH-000696,0.07712330321860172
ACH-000697,0.01302446949202527
ACH-000699,0.134966359079019
ACH-000701,0.0409002678373754
ACH-000706,0.14263920175245332
ACH-000711,0.06876157601187531
ACH-000713,0.10355242287765927
ACH-000714,-0.12986612438051368
ACH-000718,-0.031435017338354035
ACH-000720,-0.009677483011128564
ACH-000721,0.07917455771451967
ACH-000724,0.06498606110123258
ACH-000725,0.0031988307895905546
ACH-000732,0.04027792800664152
ACH-000734,0.017594628344646722
ACH-000735,0.21720554058373648
ACH-000736,-0.005783326105106404
ACH-000738,-0.002483373731878628
ACH-000746,0.023159596824998192
ACH-000747,0.23883119069817044
ACH-000748,0.012167592006291498
ACH-000753,0.19377013850760735
ACH-000756,0.09368822987675716
ACH-000757,0.13165259170921462
ACH-000758,0.038861456660710066
ACH-000760,0.06839458131574402
ACH-000762,0.19081883808776226
ACH-000763,-0.02282157924017281
ACH-000764,0.16395270614236898
ACH-000765,0.14503413523252268
ACH-000766,0.23116080895971494
ACH-000767,-0.10399082701393124
ACH-000768,0.13988115915391652
ACH-000769,0.04236762355497988
ACH-000770,0.0065215667912903435
ACH-000771,0.10183745157173504
ACH-000773,0.17019749487516386
ACH-000776,0.022884500421534143
ACH-000777,0.04630218678129283
ACH-000778,0.040634140695335684
ACH-000781,0.06586919891228088
ACH-000782,-0.0500652187788646
ACH-000783,0.07493607372575567
ACH-000784,-0.07996811362202355
ACH-000785,0.050102386360099324
ACH-000787,0.03953210102613094
ACH-000788,0.06760741968858815
ACH-000791,0.005570521060813943
ACH-000792,0.10505201477224828
ACH-000794,0.1436972184892058
ACH-000796,-0.00960956753942663
ACH-000798,-0.0012329486630016687
ACH-000799,-0.014558876051272812
ACH-000800,0.005856074420872431
ACH-000802,-0.036574482249475834
ACH-000804,-0.01640321025390451
ACH-000805,0.04095784334852229
ACH-000809,-0.032205542067578745
ACH-000810,-0.11938720382529056
ACH-000811,0.05335216696302725
ACH-000817,0.02905820582076678
ACH-000819,0.02635226739109506
ACH-000820,-0.10511294832484493
ACH-000821,0.09294853769314823
ACH-000822,0.10329006850512737
ACH-000823,0.16230199917351926
ACH-000824,-0.012778385874888998
ACH-000827,-0.04935848646738875
ACH-000829,0.001386076434814185
ACH-000831,0.1775959452487625
ACH-000832,0.1851194116981724
ACH-000833,0.3164604220090361
ACH-000834,0.03947644881315581
ACH-000835,0.08189620231837262
ACH-000836,-0.1493802272330031
ACH-000837,0.13634985489329546
ACH-000838,0.1635389997486302
ACH-000839,0.09729575539104808
ACH-000840,0.1533580724088556
ACH-000841,0.0506063269920792
ACH-000843,0.1612420628211191
ACH-000846,0.00931433747064777
ACH-000847,0.015725660596875458
ACH-000848,-0.10443301044241647
ACH-000849,-0.22269338841659606
ACH-000851,0.2021722742731919
ACH-000855,0.06459554711425218
ACH-000856,-0.2297178204112104
ACH-000858,0.07440408498029934
ACH-000859,-0.023211519924513417
ACH-000861,0.0621245937264345
ACH-000862,0.024226184200083857
ACH-000865,-0.10840855840440508
ACH-000866,0.04453667868361293
ACH-000867,0.06795840388485075
ACH-000869,-0.028699348770880883
ACH-000872,0.08153023608830243
ACH-000873,0.07644124015996953
ACH-000876,0.10480305475096062
ACH-000878,0.04594804907470306
ACH-000880,-0.0802981434881638
ACH-000881,0.03233434920627544
ACH-000882,-0.04291387257338244
ACH-000884,-0.05260166371803986
ACH-000885,-0.20532772524097312
ACH-000887,0.06536937850588673
ACH-000889,0.14161757290156948
ACH-000896,0.014656380771306297
ACH-000898,0.001809235654171433
ACH-000900,0.0412288738695957
ACH-000901,0.028460031368060943
ACH-000905,-0.07968027395083525
ACH-000906,0.04791104778044738
ACH-000907,0.05708668526010041
ACH-000910,0.03009704698405928
ACH-000911,0.12745893585631374
ACH-000912,0.042832883489327685
ACH-000913,0.03475016941727948
ACH-000915,-0.006396026505062873
ACH-000916,0.2487481190335795
ACH-000917,-0.07128878934355129
ACH-000920,-0.2992837965313848
ACH-000921,-0.046734896584282176
ACH-000924,0.10034151890651813
ACH-000926,-0.08031983545526518
ACH-000928,-0.022619636051360636
ACH-000929,-0.038268731567833066
ACH-000932,0.1355122761913378
ACH-000935,-0.1295210691359173
ACH-000936,0.12502879806494532
ACH-000937,0.07498482324761108
ACH-000938,-0.11568233896200153
ACH-000939,0.1694617366375995
ACH-000941,0.0950051932691551
ACH-000943,0.08170907514409767
ACH-000946,0.1402050332947121
ACH-000947,-0.027628698768547517
ACH-000948,0.009209209537768912
ACH-000950,-0.011550593463134072
ACH-000953,0.09489061021695333
ACH-000954,0.17803027302459742
ACH-000957,0.006712121257778967
ACH-000958,0.019768313355362586
ACH-000960,0.05185676162111594
ACH-000963,0.012913457451886743
ACH-000968,0.08139050363342891
ACH-000969,0.00868285284272202
ACH-000972,0.4117163673099545
ACH-000973,0.023132284735349052
ACH-000974,0.044988945257795634
ACH-000978,0.2694367339587759
ACH-000984,-0.06915232884663157
ACH-000986,0.18576378341977068
ACH-000988,-0.026156070972614763
ACH-000993,0.0006235381287071691
ACH-000994,-0.012738702760653704
ACH-000996,0.12849562086279134
ACH-001001,-0.2265497672990091
ACH-001020,0.2437553101386821
ACH-001028,0.06551508401888664
ACH-001031,0.011563580058222923
ACH-001038,0.0673632952852411
ACH-001048,0.02933733645759559
ACH-001050,0.03423427400840861
ACH-001053,-0.05250849799268148
ACH-001054,-0.10914758572917108
ACH-001061,0.12904147393030627
ACH-001067,0.09765656898956618
ACH-001075,-0.4332197963200603
ACH-001096,-0.15730403687669678
ACH-001111,0.16013782980350327
ACH-001119,-0.23019059816758725
ACH-001128,-0.11402502465448393
ACH-001134,0.18983846534227694
ACH-001151,-0.01741171271446412
ACH-001163,0.0951144595463908
ACH-001164,-0.08987970378539815
ACH-001183,-0.07815205643082654
ACH-001192,-0.037370662480138116
ACH-001193,-0.07409789366925554
ACH-001196,0.0522523344065028
ACH-001197,0.06942458586778398
ACH-001205,0.015585042209047353
ACH-001211,0.15435239823260005
ACH-001212,0.1327807046108172
ACH-001228,0.046169631554351234
ACH-001232,0.12855561119896527
ACH-001239,0.00039843704738664514
ACH-001270,0.05894090880211534
ACH-001274,-0.09462699933761362
ACH-001275,-0.2526866905755015
ACH-001277,0.18115801035078266
ACH-001278,0.09895727480058313
ACH-001280,0.032145673457642264
ACH-001283,0.017315191743167722
ACH-001289,0.14229207851128134
ACH-001300,-0.04702443641073551
ACH-001301,0.041200708600059865
ACH-001302,-0.1452848847760197
ACH-001306,-0.02033434428302424
ACH-001318,0.10684218825513016
ACH-001322,-0.13711850270936232
ACH-001328,0.08154609692922749
ACH-001332,0.03626059675620057
ACH-001336,0.0306767178430055
ACH-001346,0.2180465190707809
ACH-001353,-0.13609210708339622
ACH-001354,-0.07725419150761424
ACH-001367,0.28030414213829996
ACH-001368,-0.1115754539294526
ACH-001374,-0.18149804307769388
ACH-001377,0.16385216674008746
ACH-001380,-0.008258635592600157
ACH-001391,-0.010520793320720577
ACH-001408,-0.014692398283144356
ACH-001430,0.04642159916947927
ACH-001431,-0.11626237170971752
ACH-001450,0.24306314032858226
ACH-001496,0.08150743477717834
ACH-001500,0.07758623246989588
ACH-001523,0.0336451326299444
ACH-001532,0.011270194906991451
ACH-001550,0.03456739320237443
ACH-001552,-0.04448824279878364
ACH-001554,0.10444949855231604
ACH-001654,0.143635502814044
ACH-001735,-0.08680818558205018
ACH-001736,0.02116531200370081
ACH-001737,0.07111484805233201
ACH-001740,0.1098357974259528
ACH-001745,0.009600466767431716
ACH-001765,0.08575273817901245
