,RGS7BP (401190)
ACH-000763,0.14260032468571812
ACH-000764,-0.10151701986077713
ACH-000765,0.11042391715215996
ACH-000766,0.023219748356489784
ACH-000767,0.09446385905527233
ACH-000768,-0.004907581482042854
ACH-000769,0.06309454312539185
ACH-000770,0.06253798185271864
ACH-000771,-0.04312830450937327
ACH-000773,0.05231217986649549
ACH-000776,0.17467220922572524
ACH-000777,-0.017600803984576203
ACH-000778,0.09133143529810284
ACH-000781,-0.01959326036053672
ACH-000782,-0.0642929436154898
ACH-000783,0.011594995991323841
ACH-000784,0.0494566092271777
ACH-000785,-0.04365555502637485
ACH-000787,-0.19014601457784766
ACH-000788,-0.04795561266816712
ACH-000791,0.09676522643386966
ACH-000792,0.02216011171459989
ACH-000794,-0.01560465966675489
ACH-000796,-0.049880004700253035
ACH-000798,-0.004839593338709208
ACH-000799,-0.11546714882542344
ACH-000800,0.05831057414173705
ACH-000802,-0.00605839689664845
ACH-000804,-0.0257291430118049
ACH-000805,-0.18716169535635874
ACH-000809,0.021461218809172785
ACH-000810,-0.14742559561985333
ACH-000811,0.03988941054536399
ACH-000817,0.010727891527023884
ACH-000819,0.09538129855386504
ACH-000820,-0.04887290068788888
ACH-000821,0.04588518600264912
ACH-000822,-0.05846758089245016
ACH-000823,-0.00743139651003517
ACH-000824,0.04063755538828644
ACH-000827,0.006615578494300391
ACH-000829,0.14397669993339066
ACH-000831,-0.07449708910634564
ACH-000832,-0.03531087363643001
ACH-000833,0.004160065912687663
ACH-000834,-0.09128586139013208
ACH-000835,0.014245310363448857
ACH-000836,0.022702639769243173
ACH-000837,-0.004287424013294196
ACH-000838,-0.04468774576668359
ACH-000839,0.12317534272150896
ACH-000840,0.16913936881014469
ACH-000841,-0.027691363662124997
ACH-000843,-0.031463040054804936
ACH-000846,0.0014567957631827259
ACH-000847,0.08154451288654863
ACH-000848,0.02354076395494717
ACH-000849,0.13524816536818055
ACH-000851,-0.2576229459172384
ACH-000855,-0.027946022268184392
ACH-000856,-0.0405009051133152
ACH-000858,0.005463998545089656
ACH-000859,-0.0848149572472774
ACH-000861,-0.07385052104357741
ACH-000862,-0.058181617247026834
ACH-000865,-0.07772622971687022
ACH-000866,0.06977034326238601
ACH-000867,0.06650647630628669
ACH-000869,-0.04266255673686757
ACH-000872,0.14358810672227582
ACH-000873,-0.1972787675074396
ACH-000876,-0.011029998659813795
ACH-000878,0.02559306255746185
ACH-000880,0.06359912945474032
ACH-000881,-0.08786960222040313
ACH-000882,-0.0431087067453501
ACH-000884,-0.007447175001953198
ACH-000885,0.11811617970405132
ACH-000887,-0.006901819491458276
ACH-000889,0.04871090267674607
ACH-000896,-0.010980013712374594
ACH-000898,-0.07837887217091473
ACH-000900,-0.08750335311648481
ACH-000901,0.03278108034934229
ACH-000905,-0.17755273907785582
ACH-000906,-0.07963646440215971
ACH-000907,-0.037387366374431776
ACH-000910,-0.022470150476985667
ACH-000911,0.036354874371889
ACH-000912,0.0030451664099186504
ACH-000913,-0.13093906004633146
ACH-000915,-0.2032394611163853
ACH-000916,0.2864369779338935
ACH-000917,-0.1443057408876374
ACH-000920,-0.008237314522445496
ACH-000921,0.06604235930966057
ACH-000924,0.061529893872007725
ACH-000926,-0.01848617145084361
ACH-000928,-0.21413041931191368
ACH-000929,-0.0993991043696068
ACH-000932,-0.06435803006042623
ACH-000935,-0.03499504951140717
ACH-000936,0.1052312996212569
ACH-000937,0.014409389764426387
ACH-000938,-0.06336315435233461
ACH-000939,0.017994212612377502
ACH-000941,-0.037612158149511014
ACH-000943,0.03895648412298919
ACH-000946,-0.24370021560175506
ACH-000947,-0.02815103537894965
ACH-000948,-0.1653287298794159
ACH-000950,-0.2253432019279183
ACH-000953,-0.09489524808268604
ACH-000954,0.07336228757031697
ACH-000957,-0.08336978382269446
ACH-000958,0.06971928215380782
ACH-000960,0.07630517230275095
ACH-000963,0.048288933936200686
ACH-000968,-0.12743017903541426
ACH-000969,0.06863339633993132
ACH-000972,-0.3015754020351625
ACH-000973,0.036317509711792186
ACH-000974,0.0014479669863250552
ACH-000978,-0.07424243578701126
ACH-000984,-0.0976413740817576
ACH-000986,-0.11169608544071273
ACH-000988,-0.16708473023629405
ACH-000993,0.006333803153942795
ACH-000994,-0.21246257939366145
ACH-000996,0.07193617462288222
ACH-001001,0.02247698278885676
ACH-001020,0.3369363364459805
