,SHC4 (399694)
ACH-000490,0.00557926653596913
ACH-000491,-0.17127761220278068
ACH-000495,-0.3176071827210747
ACH-000496,-0.16545424501861694
ACH-000499,-0.30329835937863303
ACH-000500,-0.12571579826156676
ACH-000502,-0.049358741833005405
ACH-000503,-0.18632252766485027
ACH-000505,-0.19540863717100806
ACH-000507,-0.14330031300554705
ACH-000510,-0.24215046853452385
ACH-000511,-0.2087349850033991
ACH-000512,-0.15125904812656246
ACH-000516,-0.0734793047737859
ACH-000517,-0.15900250937040436
ACH-000518,-0.13061415813443653
ACH-000520,-0.17518236249684635
ACH-000521,-0.11658706241391145
ACH-000522,-0.1468175482734652
ACH-000524,-0.1116615580909539
ACH-000527,-0.11419707991431707
ACH-000528,-0.1080294717596231
ACH-000537,-0.13930760372242193
ACH-000541,-0.2957604755995432
ACH-000542,-0.0939142025127671
ACH-000544,-0.12709074497536554
ACH-000545,-0.05609269086639921
ACH-000547,-0.041815900873627236
ACH-000548,0.03765849046498217
ACH-000549,0.002546481749230017
ACH-000550,0.002672181784990597
ACH-000552,-0.17224836115200431
ACH-000556,-0.028668557574016817
ACH-000557,-0.21058401955763625
ACH-000569,0.08879186624894357
ACH-000570,-0.06479338856200581
ACH-000571,-0.17161709911854064
ACH-000573,-0.15426332435803095
ACH-000576,-0.1510881721634348
ACH-000579,-0.04811175808739794
ACH-000580,-0.113849679139082
ACH-000584,0.029239882433516606
ACH-000585,-0.1648762379300244
ACH-000588,-0.08362743410152103
ACH-000589,-0.15735257203169115
ACH-000591,-0.042424456288333696
ACH-000593,-0.02062308022199916
ACH-000600,-0.15413305667114235
ACH-000601,-0.11976217486676807
ACH-000605,-0.1834209091141086
ACH-000606,-0.023038936656116657
ACH-000608,-0.06474821858477987
ACH-000614,-0.1522166757836529
ACH-000616,0.04719860456521115
ACH-000618,0.019921833102192768
ACH-000619,-0.037284652469583
ACH-000620,-0.19016081246461544
ACH-000621,0.023778496862589725
ACH-000622,-0.17177735086751308
ACH-000623,-0.09964042933232677
ACH-000624,-0.10647381291390194
ACH-000627,-0.01935169098485585
ACH-000630,-0.1368419892026866
ACH-000631,-0.2089523835525902
ACH-000632,-0.17745364790415918
ACH-000633,-0.06837992901434957
ACH-000637,0.0032291841888415877
ACH-000638,-0.11727906918647565
ACH-000646,-0.016904862801999487
ACH-000647,-0.0975252660023596
ACH-000648,-0.0891545246890779
ACH-000649,-0.2148418717030117
ACH-000651,-0.08045232634337944
ACH-000652,-0.13520184186125234
ACH-000653,-0.048976538533278303
ACH-000657,0.033967314691554444
ACH-000658,0.02255953013874314
ACH-000661,-0.04605013767276763
ACH-000662,-0.09962205466350656
ACH-000663,-0.09191545549985224
ACH-000665,-0.0222029984363086
ACH-000671,-0.03657127586393138
ACH-000672,-0.2724467959698661
ACH-000673,-0.10000691527720504
ACH-000676,-0.04118772450826304
ACH-000677,-0.06375344868296241
ACH-000681,0.029542284423419368
ACH-000683,-0.0846753575047364
ACH-000684,-0.16836227611066076
ACH-000688,-0.040113790043407316
ACH-000693,-0.20140252378454546
ACH-000694,-0.24348893931936766
ACH-000695,-0.12814819843149386
ACH-000696,-0.055275150964718425
ACH-000697,0.08418538762742933
ACH-000699,-0.11300205685378956
ACH-000701,-0.1361856599639217
ACH-000706,-0.16274988504323346
ACH-000711,-0.11949106850660302
ACH-000713,0.04034368165504676
ACH-000714,-0.1236018428307748
ACH-000718,-0.12606634800580585
ACH-000720,-0.0077215120940045765
ACH-000721,-0.16174423050845158
ACH-000724,-0.21963992457370898
ACH-000725,-0.13780357590468095
ACH-000732,-0.04026605409578669
ACH-000734,-0.1102707655270046
ACH-000735,-0.11489887363602155
ACH-000736,-0.05986419498699196
ACH-000738,-0.016058875008595642
ACH-000746,-0.10411992391874393
ACH-000747,-0.18583469390951493
ACH-000748,0.009954095859410738
ACH-000753,-0.15554232881225394
ACH-000756,-0.15927481627821813
ACH-000757,-0.30366913411130564
ACH-000758,-0.1675636459342187
ACH-000760,-0.09528612747460673
ACH-000762,0.08741443548656934
ACH-000763,-0.13481423681358942
ACH-000764,-0.020315777826113296
ACH-000765,-0.1010823804171233
ACH-000766,-0.08923477242019835
ACH-000767,-0.24695188173603602
ACH-000768,-0.03939903699876804
ACH-000769,-0.12906543256583522
ACH-000770,-0.19291030400048775
ACH-000771,-0.06082972118287928
ACH-000773,0.03897020476049542
ACH-000776,-0.03279977925796612
ACH-000777,-0.1068141363398105
ACH-000778,-0.04601207067522037
ACH-000781,-0.17170224612387985
ACH-000782,-0.2563357312923898
ACH-000783,-0.06698487724688439
ACH-000784,-0.15541947269604928
ACH-000785,-0.016988046080089792
ACH-000787,-0.10005784827322613
ACH-000788,-0.08799100373058115
ACH-000791,-0.12228170963690305
ACH-000792,-0.1310194946062185
ACH-000794,-0.06321658290855063
ACH-000796,-0.0757764309329856
ACH-000798,-0.1622673876931051
ACH-000799,0.10147914730187163
ACH-000800,0.0013174359668334105
ACH-000802,-0.03991176754268156
ACH-000804,-0.12339123151257315
ACH-000805,0.09682378139274987
ACH-000809,-0.2079166108633258
ACH-000810,0.020238025875808432
ACH-000811,-0.07722466510592432
ACH-000817,-0.10587274226770657
ACH-000819,-0.06745751983218133
ACH-000820,-0.486174132578829
ACH-000821,-0.18643498339054465
ACH-000822,-0.027167922007163718
ACH-000823,-0.20902076091314828
ACH-000824,-0.10460639721161316
ACH-000827,-0.058689374217443586
ACH-000829,-0.09933358876335603
ACH-000831,-0.15497109797109287
ACH-000832,-0.2237790032740236
ACH-000833,-0.1859074726664097
ACH-000834,-0.05608899749985607
ACH-000835,-0.0062545606271022895
ACH-000836,-0.026743151440696368
ACH-000837,-0.04387675420654905
ACH-000838,-0.21501593526172486
ACH-000839,-0.13064884692209405
ACH-000840,-0.08091846526912112
ACH-000841,-0.06294934647963288
ACH-000843,-0.031417029160553625
ACH-000846,-0.0729775592260119
ACH-000847,-0.08466961860628877
ACH-000848,-0.0804480131843783
ACH-000849,-0.12816860226502985
ACH-000851,-0.19527814470962748
ACH-000855,-0.18405699857901311
ACH-000856,0.08191422367193271
ACH-000858,0.0035555122667610883
ACH-000859,0.099099748702739
ACH-000861,-0.17246053679451426
ACH-000862,0.014487471701566772
ACH-000865,-0.17632935291246635
ACH-000866,-0.08461494705103029
