,IL11RA (3590)
ACH-000450,0.029342172029177997
ACH-000452,-0.11514449593460638
ACH-000454,-0.08265037535529231
ACH-000458,-0.03687138350657227
ACH-000459,-0.010995822016845134
ACH-000460,0.05819519560439415
ACH-000461,0.09663499155542518
ACH-000463,0.04949539979067349
ACH-000464,0.0011517841977637636
ACH-000466,-0.0653601626788275
ACH-000467,-0.1664153235955302
ACH-000468,0.0005549771347402077
ACH-000469,-0.012557646425750428
ACH-000470,-0.10129309684801158
ACH-000471,-0.019652611750932917
ACH-000472,0.04185223141679987
ACH-000473,0.06811332745303783
ACH-000475,-0.04597020438832602
ACH-000476,-0.10174175411792168
ACH-000477,0.15447672615123195
ACH-000479,0.0639635459404814
ACH-000480,-0.20472087757824792
ACH-000481,-0.09053382341386593
ACH-000483,-0.15415754578640736
ACH-000484,-0.06982958647888055
ACH-000485,-0.01305955410463162
ACH-000486,0.0803321677977946
ACH-000487,-0.07702597679401885
ACH-000488,0.051761249965570785
ACH-000490,-0.10283141385773384
ACH-000491,-0.2983929336267234
ACH-000495,0.06054882045361501
ACH-000496,-0.007008723944051836
ACH-000499,-0.01971230180018017
ACH-000500,-0.25959875460143594
ACH-000502,-0.10957279649078172
ACH-000503,0.006803833236778239
ACH-000505,0.005602836188138367
ACH-000507,-0.035315658525440365
ACH-000510,0.0186951938917782
ACH-000511,-0.18757860460992548
ACH-000512,0.020365690948982586
ACH-000516,-0.09169231657611288
ACH-000517,-0.07430118003160302
ACH-000518,-0.033503929993562866
ACH-000520,-0.21617597105422853
ACH-000521,-0.029353483742433007
ACH-000522,0.039180938203293436
ACH-000524,-0.013377252571168905
ACH-000527,-0.0063888718586007885
ACH-000528,0.06345567731844648
ACH-000537,-0.1218616570787618
ACH-000541,0.05769665534166585
ACH-000542,-0.08697600425630833
ACH-000544,-0.020368178439185886
ACH-000545,-0.06424687890458151
ACH-000547,-0.3674622821871971
ACH-000548,0.0005468362450131752
ACH-000549,0.15800007081158665
ACH-000550,-0.03601961520947615
ACH-000552,0.0011764213014988606
ACH-000556,-0.12656369649488447
ACH-000557,-0.023684671229570985
ACH-000569,0.1963296216053984
ACH-000570,-0.05323724231409044
ACH-000571,-0.01209690600650122
ACH-000573,0.044666953688755284
ACH-000576,-0.12155010171978008
ACH-000579,-0.09035163714141907
ACH-000580,-0.20126180942033556
ACH-000584,-0.017939378754395118
ACH-000585,-0.025475162204342025
ACH-000588,-0.1972633060703826
ACH-000589,-0.13257909440777904
ACH-000591,0.08301818023724446
ACH-000593,0.006608886532427145
ACH-000600,-0.12702998434727775
ACH-000601,-0.100767692331385
ACH-000605,-0.08529542366787139
ACH-000606,-0.020015356610149568
ACH-000608,-0.09667522202495143
ACH-000614,0.007276241500888744
ACH-000616,-0.08461917358012433
ACH-000618,-0.025104578812031143
ACH-000619,-0.1283994178337935
ACH-000620,0.11150065417970584
ACH-000621,-0.002879127376642096
ACH-000622,-0.09046072860761906
ACH-000623,-0.24131087907572785
ACH-000624,-0.08311899996212795
ACH-000627,0.017808388808879253
ACH-000630,0.08640286849362717
ACH-000631,0.15171984994622995
ACH-000632,0.06858629495183201
ACH-000633,-0.07006048914661445
ACH-000637,0.14314245813102885
ACH-000638,-0.17263421333218507
ACH-000646,0.028173341045863925
ACH-000647,-0.11703699393421475
ACH-000648,0.04302332033262882
ACH-000649,-0.09423140081922833
ACH-000651,-0.08812749586666745
ACH-000652,-0.1793907055213155
ACH-000653,-0.1516712828532732
ACH-000657,-0.07839692080223347
ACH-000658,-0.06166535145187644
ACH-000661,-0.007747936427387981
ACH-000662,-0.16233139425230728
ACH-000663,-0.07541570753217976
ACH-000665,-0.01519385272111935
ACH-000671,-0.1940508866195039
ACH-000672,0.1030180036418848
ACH-000673,-0.0049538681956686
ACH-000676,-0.08774016540837408
ACH-000677,-0.0935335059957394
ACH-000681,-0.010147244414921113
ACH-000683,-0.024426819661788616
ACH-000684,0.13434677986852167
ACH-000688,0.103614481240598
ACH-000693,0.005683346505647432
ACH-000694,-0.2616204341005519
ACH-000695,-0.3458240441287395
ACH-000696,-0.224556657126648
ACH-000697,0.05853275424334595
ACH-000699,-0.11819361466213392
ACH-000701,-0.1660149886190163
ACH-000706,-0.10534471854429477
ACH-000711,-0.10130756290595903
ACH-000713,0.03764901201955608
ACH-000714,0.06464254033749928
ACH-000718,-0.058285526999907626
ACH-000720,-0.08346649469992648
ACH-000721,-0.02462331758010932
ACH-000724,0.2276011261259192
ACH-000725,0.03726212166301497
ACH-000732,0.04990762270239557
ACH-000734,-0.025133708777633504
ACH-000735,-0.17536213139571102
ACH-000736,-0.0919727575913333
ACH-000738,0.03370744467929285
ACH-000746,0.032070920293444286
ACH-000747,-0.1732687539721779
ACH-000748,-0.008464393108291089
ACH-000753,-0.09340274368628816
ACH-000756,-0.02209184330937126
ACH-000757,-0.1378264531763996
ACH-000758,0.024350838942267368
ACH-000760,-0.05914932752942001
ACH-000762,-0.0007001475274239177
ACH-000763,-0.05725775737950652
ACH-000764,-0.02591207320118082
ACH-000765,-0.2142926172225937
ACH-000766,-0.03299116138709467
ACH-000767,0.015632347301331617
ACH-000768,0.038268658804488896
ACH-000769,0.035506533730483215
ACH-000770,0.07418410436748281
ACH-000771,-0.008577264377453084
ACH-000773,-0.15618328590857367
ACH-000776,0.01355845250476298
ACH-000777,-0.08053314660062329
ACH-000778,0.0922883694024882
ACH-000781,-0.05163292808425704
ACH-000782,-0.051324895893743526
ACH-000783,-0.056151139282822116
ACH-000784,-0.021924071298786908
ACH-000785,0.014649450957430556
ACH-000787,0.015773804070992516
ACH-000788,-0.044518737694277215
ACH-000791,-0.07683310968059683
ACH-000792,0.01484036995780245
ACH-000794,0.023284163653212
ACH-000796,-0.14138408975793762
ACH-000798,-0.08356579038763079
ACH-000799,-0.003343423832224141
ACH-000800,0.17005867522398693
ACH-000802,-0.17379745760629176
ACH-000804,-0.021209697611326697
ACH-000805,-0.06176269015403048
ACH-000809,0.004547361420003592
ACH-000810,0.013483982167752734
ACH-000811,-0.17909538663830532
ACH-000817,-0.0838539981893567
ACH-000819,-0.08096963381115926
ACH-000820,0.03784567053108225
ACH-000821,-0.1588629873354405
ACH-000822,0.023759751670492917
ACH-000823,-0.0817909354347556
ACH-000824,-0.040555449219294486
ACH-000827,-0.10632686653609214
ACH-000829,0.09334911694326367
ACH-000831,-0.012869095055901758
ACH-000832,0.061427750050741185
ACH-000833,-0.19390069402933616
ACH-000834,-0.0343877331298406
ACH-000835,-0.05768769071484998
ACH-000836,-0.07042379410736813
ACH-000837,-0.012980593446829686
ACH-000838,-0.0409821132275594
ACH-000839,-0.021088772651045636
ACH-000840,-0.20187084437515604
ACH-000841,-0.03521489334808532
ACH-000843,-0.09731800745001877
ACH-000846,-0.20378105683185885
ACH-000847,0.12178185280163001
ACH-000848,0.0013395143597860909
ACH-000849,-0.08845722534550263
ACH-000851,0.014030875584423964
ACH-000855,-0.16829892758761394
ACH-000856,-0.04648041316712511
ACH-000858,-0.10090946434007483
ACH-000859,-0.1638233113562866
ACH-000861,-0.17520873918412302
ACH-000862,-0.08811819761386372
ACH-000865,-0.05300711887478282
ACH-000866,-0.09871819497878273
ACH-000867,-0.02984394777842356
ACH-000869,-0.004505487793657194
ACH-000872,0.05669371220072145
ACH-000873,-0.15988934930974386
ACH-000876,-0.012968201800143188
ACH-000878,-0.08738799898816671
ACH-000880,-0.038033949458339066
ACH-000881,-0.03756339268495629
ACH-000882,0.035109828396818366
ACH-000884,0.04839530474904972
ACH-000885,-0.1092652293617066
ACH-000887,-0.05339241210653728
ACH-000889,0.03515406634175503
ACH-000896,-0.02060267863375716
ACH-000898,-0.06696510050400711
ACH-000900,-0.3263432593287655
ACH-000901,-0.03916660258793499
ACH-000905,0.05771567900563584
ACH-000906,0.05443438678011368
ACH-000907,-0.2841645919523283
ACH-000910,-0.044396277510900035
ACH-000911,-0.1401894730914892
ACH-000912,-0.18585882254851369
ACH-000913,-0.0011447257425115207
ACH-000915,0.11725034154057128
ACH-000916,0.011974048272731632
ACH-000917,-0.01919170958440352
ACH-000920,-0.4415391291790353
ACH-000921,-0.04585442036957327
ACH-000924,-0.007611317161941142
ACH-000926,-0.013366846285009412
ACH-000928,-0.19324806536035152
ACH-000929,-0.04505860037830737
ACH-000932,-0.040656001470653055
ACH-000935,-0.06410392628134387
ACH-000936,-0.15677070101403426
ACH-000937,-0.11360339954766074
ACH-000938,-0.0050307828649992494
ACH-000939,-0.007923755830201556
ACH-000941,0.0003970021864336041
ACH-000943,-0.1193722715102865
ACH-000946,0.09146359359299044
ACH-000947,0.057470237961256575
ACH-000948,0.018624068838086424
ACH-000950,-0.2420463739124174
ACH-000953,-0.11452079663462555
ACH-000954,-0.2071588371363544
ACH-000957,-0.013648373679678109
ACH-000958,-0.1550605032770606
ACH-000960,-0.14026486119832302
ACH-000963,-0.20417857397686004
ACH-000968,-0.01454245049613381
ACH-000969,-0.14850372859990013
ACH-000972,0.11548788353431708
ACH-000973,-0.17251436275546445
ACH-000974,-0.0018814938140326515
ACH-000978,-0.035607100199487283
ACH-000984,0.04452994308478905
ACH-000986,-0.20030918039694548
ACH-000988,0.0576439000363539
ACH-000993,0.038017861144304686
ACH-000994,-0.010687508010138848
ACH-000996,-0.303374184098815
ACH-001001,-0.08966565392886322
ACH-001020,0.16657788480460362
ACH-001028,-0.05701606879242964
ACH-001031,-0.18866618270227456
ACH-001038,-0.04807697145714492
ACH-001048,0.04013813569736297
ACH-001050,-0.10087648533294008
ACH-001053,0.01803066458772401
ACH-001054,0.038008468833011635
ACH-001061,-0.15494439083900005
ACH-001067,-0.20694456342514775
ACH-001075,-0.0881445735055299
ACH-001096,-0.13888559323014038
ACH-001111,0.1891924842602904
ACH-001119,-0.2991120071381374
ACH-001128,-0.3720500627867822
ACH-001134,0.07990888921275349
ACH-001151,-0.1760545312944868
ACH-001163,-0.002730850703128612
ACH-001164,-0.15186789544420815
ACH-001183,-0.012865361158642796
ACH-001192,-0.12335061141284588
ACH-001193,-0.029778869638284088
ACH-001196,0.019006884505450617
ACH-001197,0.14957844404503548
ACH-001205,-0.3075665628170468
ACH-001211,-0.14768751786703432
ACH-001212,0.09260464658455447
ACH-001228,-0.10219818999392627
ACH-001232,-0.10717910133604956
ACH-001239,-0.19461148642136
ACH-001270,0.20480391403248788
ACH-001274,-0.12506070587926946
ACH-001275,0.010381267910421158
ACH-001277,-0.20861524055678546
ACH-001278,0.14051378565527362
ACH-001280,-0.03264290350468727
ACH-001283,-0.05410081757432061
ACH-001289,-0.07826019010409357
ACH-001300,-0.04294773184542357
ACH-001301,-0.04334179488681595
ACH-001302,-0.12424368185274205
ACH-001306,0.05936340632223777
ACH-001318,-0.13635642692267108
ACH-001322,0.07765417547402939
ACH-001328,-0.08703790152402274
ACH-001332,-0.18103248364563104
ACH-001336,-0.018769306401231957
ACH-001346,-0.09811295977949452
ACH-001353,-0.11245297739375774
ACH-001354,-0.183474514990252
ACH-001367,0.042383672284565514
ACH-001368,-0.17683448821928696
ACH-001374,-0.3151182420614449
ACH-001377,-0.04911264265178323
ACH-001380,-0.13258896918907345
ACH-001391,-0.020106224604499998
ACH-001408,-0.1664203624703202
ACH-001430,0.0819008538690974
ACH-001431,-0.006280640567381588
ACH-001450,-0.2003865760566308
ACH-001496,-0.10497417408770916
ACH-001500,-0.017281421251899774
ACH-001523,-0.13695469421455514
ACH-001532,0.02300264389931726
ACH-001550,-0.26643093553133906
ACH-001552,-0.1510528289641445
ACH-001554,-0.05818550683160392
ACH-001654,-0.13150747476384764
ACH-001735,-0.12021016557285415
ACH-001736,-0.17347725768229086
ACH-001737,0.07505638358806092
ACH-001740,0.024394284001398123
ACH-001745,-0.026405325498511368
ACH-001765,0.02777436028364933
