,TMEM95 (339168)
ACH-000467,-0.11110461482810646
ACH-000468,-0.15761535117414874
ACH-000469,-0.2273302529451505
ACH-000470,-0.1694404113748724
ACH-000471,-0.09570504591512204
ACH-000472,-0.01814072338272308
ACH-000473,-0.023418338150320645
ACH-000475,-0.10063891206925912
ACH-000476,0.003407797307613225
ACH-000477,0.018400633211088632
ACH-000479,-0.16887215414350615
ACH-000480,-0.01860904782962468
ACH-000481,-0.1375170321171156
ACH-000483,-0.13792907747117314
ACH-000484,0.060276216986233325
ACH-000485,-0.11507710692898067
ACH-000486,-0.061406843288453875
ACH-000487,-0.034977272613261376
ACH-000488,-0.014311055282443131
ACH-000490,0.032051001409313884
ACH-000491,-0.10075827781418316
ACH-000495,0.0571194006964578
ACH-000496,-0.14458636389651008
ACH-000499,-0.048398008584012095
ACH-000500,-0.06947963575970431
ACH-000502,-0.10257377600541824
ACH-000503,-0.2074317866061761
ACH-000505,-0.17715543169945186
ACH-000507,-0.07142506341761501
ACH-000510,-0.11984856206669747
ACH-000511,-0.036297378144053635
ACH-000512,-0.14754161278710715
ACH-000516,0.01220374406079128
ACH-000517,-0.07794458786619536
ACH-000518,-0.0004987954817929175
ACH-000520,-0.15924099139294146
ACH-000521,-0.12610187162375666
ACH-000522,-0.004890393001557772
ACH-000524,-0.07954259777575115
ACH-000527,-0.055921053890908776
ACH-000528,0.003226597237467578
ACH-000537,0.04323815479709353
ACH-000541,-0.11699575442865065
ACH-000542,-0.05363442252791588
ACH-000544,0.11621873193747448
ACH-000545,-0.06653901178346984
ACH-000547,-0.00971854535195466
ACH-000548,0.05062965870055045
ACH-000549,0.009862753458797544
ACH-000550,-0.1572657621095886
ACH-000552,-0.005179671503398911
ACH-000556,-0.1658298236386848
ACH-000557,-0.02195269196969177
ACH-000569,0.013611878886980164
ACH-000570,-0.1302308842770522
ACH-000571,-0.04522207648768856
ACH-000573,-0.10855396647368484
ACH-000576,0.004787039897609799
ACH-000579,0.0069055749905129965
ACH-000580,-0.07278240108255962
ACH-000584,-0.07178886155120251
ACH-000585,-0.09343372025440773
ACH-000588,-0.06842703026945192
ACH-000589,-0.02642490226588564
ACH-000591,-0.26883297989044025
ACH-000593,-0.005490216698725989
ACH-000600,0.043561438556210086
ACH-000601,-0.05914984279733902
ACH-000605,-0.15541542647063822
ACH-000606,-0.09888780276359004
ACH-000608,-0.12068848072603484
ACH-000614,0.059812993593279164
ACH-000616,-0.05360452078735865
ACH-000618,0.010239826468611931
ACH-000619,-0.008289760727608807
ACH-000620,-0.10706491405619553
ACH-000621,-0.18255903299008586
ACH-000622,-0.051406193754173865
ACH-000623,-0.12361837870782436
ACH-000624,-0.14082267286857153
ACH-000627,-0.17798333351987086
ACH-000630,-0.05921400303988606
ACH-000631,-0.0700738973710096
ACH-000632,0.10396769944790503
ACH-000633,-0.3049483340850402
ACH-000637,0.054908361233867886
ACH-000638,-0.04818824266326538
ACH-000646,-0.020580841409110862
ACH-000647,-0.031022507642073236
ACH-000648,0.1038978443939672
ACH-000649,-0.027904049223479808
ACH-000651,-0.11626014077548567
ACH-000652,0.021906297785228176
ACH-000653,0.08214525102120501
ACH-000657,-0.05580604681111796
ACH-000658,-0.016543435618906158
ACH-000661,-0.03496833418719913
ACH-000662,-0.12215790669831622
ACH-000663,0.02602976138147351
ACH-000665,-0.11071621443057172
ACH-000671,0.06659659844532971
ACH-000672,0.2456986039774361
ACH-000673,-0.10228974580497964
ACH-000676,-0.02293035117988004
ACH-000677,0.048229004032360266
ACH-000681,-0.021734299240970117
ACH-000683,0.054969824297463325
ACH-000684,-0.008732251575199914
ACH-000688,-0.12899902894278348
ACH-000693,0.0035643008661431423
ACH-000694,-0.05103037154187992
ACH-000695,-0.2106721389104952
ACH-000696,-0.0005573223836771276
ACH-000697,0.03194698669780497
ACH-000699,-0.11568549809004815
ACH-000701,0.14856125959685365
ACH-000706,-0.03924290563393442
ACH-000711,-0.052633402801561334
ACH-000713,-0.12458818618593873
ACH-000714,0.13379014838709147
ACH-000718,-0.20442814914743224
ACH-000720,-0.09132441779761784
ACH-000721,-0.1614615507268949
ACH-000724,0.03761785379857482
ACH-000725,0.07360892300973887
ACH-000732,-0.031625941715293766
ACH-000734,0.015833017184540728
ACH-000735,-0.053813634179429484
ACH-000736,-0.06198211019470834
ACH-000738,0.006023280967392417
ACH-000746,0.010162417991986958
ACH-000747,-0.02863027751108124
ACH-000748,-0.06025878189911067
ACH-000753,-0.037384568372112494
ACH-000756,-0.15468882874938733
ACH-000757,-0.12951027927145786
ACH-000758,0.05755588858311787
ACH-000760,0.16742918668919907
ACH-000762,-0.04159055310747162
ACH-000763,0.07438307023570692
ACH-000764,-0.051779963984979874
ACH-000765,0.15669627062396355
ACH-000766,-0.07293125673835463
ACH-000767,-0.08145196944026835
ACH-000768,-0.14428080853993575
ACH-000769,-0.036149139444259
ACH-000770,-0.0486312364081823
ACH-000771,0.07290235998499403
ACH-000773,-0.042804684364804016
ACH-000776,-0.10513085374034084
ACH-000777,-0.09732864054404827
ACH-000778,-0.11084146005388387
ACH-000781,-0.039449543851662834
ACH-000782,-0.1624812149506391
ACH-000783,-0.06656868054233768
ACH-000784,0.027148666301095643
ACH-000785,0.023668140831074158
ACH-000787,-0.07789202255894424
ACH-000788,-0.15297284715878806
ACH-000791,-0.12109451758588052
ACH-000792,-0.018175808773343332
ACH-000794,-0.0856224451936806
ACH-000796,-0.16578283615528489
ACH-000798,0.04252236534164766
ACH-000799,-0.06074891930845092
ACH-000800,0.13335742025764658
ACH-000802,-0.038153651548601716
ACH-000804,-0.0421885895298821
ACH-000805,0.16317699542039618
ACH-000809,0.0062022580557903675
ACH-000810,0.17164917581572792
ACH-000811,-0.15441631353239904
ACH-000817,-0.07488117020304072
ACH-000819,0.015914128530235234
ACH-000820,-0.13012413670779496
ACH-000821,-0.06063389719386503
ACH-000822,-0.16965415340877368
ACH-000823,0.035609519862751314
ACH-000824,0.01892814472723706
ACH-000827,-0.07844272798730208
ACH-000829,-0.13212752286433238
ACH-000831,0.09118587343102044
ACH-000832,-0.017811391233884758
ACH-000833,-0.14197132773871413
ACH-000834,-0.10512143635267343
ACH-000835,0.1086000667777779
