,POLR2M (81488)
ACH-000748,-0.03343400304629077
ACH-000753,-0.11963912391115275
ACH-000756,-0.17915440769734758
ACH-000757,-0.3089144819878452
ACH-000758,-0.33291024556522114
ACH-000760,-0.01902634544154786
ACH-000762,-0.18112747980691166
ACH-000763,-0.19660643794322094
ACH-000764,-0.2720043057467769
ACH-000765,-0.332447045777156
ACH-000766,0.007548305745919072
ACH-000767,-0.1108240002800653
ACH-000768,-0.08918566012503609
ACH-000769,-0.19817901126951876
ACH-000770,0.003006892362273006
ACH-000771,-0.10634504139546797
ACH-000773,-0.15882811818186895
ACH-000776,-0.056978826107492074
ACH-000777,-0.1981099552373777
ACH-000778,-0.3657413763408686
ACH-000781,-0.1271823880664291
ACH-000782,-0.2231254559169579
ACH-000783,-0.03011535730806754
ACH-000784,-0.36485849278324095
ACH-000785,-0.2062808772487789
ACH-000787,-0.236211275762708
ACH-000788,-0.2480950686654384
ACH-000791,-0.2952186982659549
ACH-000792,-0.07855342054289045
ACH-000794,-0.17727164241764126
ACH-000796,-0.13903283199861605
ACH-000798,-0.3476729975806185
ACH-000799,-0.20753826563991204
ACH-000800,0.09514024019294387
ACH-000802,-0.29909811200690434
ACH-000804,-0.14852596397971388
ACH-000805,-0.1337182402660302
ACH-000809,-0.19065943725024886
ACH-000810,-0.20108630684214596
ACH-000811,-0.09105557112947288
ACH-000817,-0.2211890251533368
ACH-000819,0.011348008413916292
ACH-000820,-0.11072217890760536
ACH-000821,-0.05068352088839611
ACH-000822,-0.11173734134637077
ACH-000823,-0.11551689535451505
ACH-000824,-0.15100612675868866
ACH-000827,-0.26647582528547553
ACH-000829,-0.2809287269900658
ACH-000831,-0.1348053279424287
ACH-000832,0.009188944359214829
ACH-000833,-0.2667521895802024
ACH-000834,-0.06205042548799096
ACH-000835,-0.2229891488565193
ACH-000836,-0.28535520442068274
ACH-000837,-0.4400834284177999
ACH-000838,3.720729703500303e-05
ACH-000839,-0.23219914265110106
ACH-000840,0.05484863362458652
ACH-000841,0.10293459532427007
ACH-000843,-0.4890679853462002
ACH-000846,-0.22930475402619646
ACH-000847,-0.2187546512524414
ACH-000848,-0.36954769205593774
ACH-000849,-0.0694758237297062
ACH-000851,-0.05065759756842347
ACH-000855,-0.3934903917754094
ACH-000856,-0.1434912367965873
ACH-000858,-0.19179207523693848
ACH-000859,-0.20874207073598333
ACH-000861,-0.07460281909337309
ACH-000862,-0.29935806393739794
ACH-000865,-0.07443309308324023
ACH-000866,-0.3329294604420037
ACH-000867,-0.6061976942018281
ACH-000869,-0.2315080538041372
ACH-000872,-0.0575915026393014
ACH-000873,-0.2882255000571285
ACH-000876,-0.1627618841169488
ACH-000878,-0.07792882613150927
ACH-000880,0.04387943047658651
ACH-000881,-0.0945772162949937
ACH-000882,-0.19376607850742728
ACH-000884,-0.07271135360483337
ACH-000885,-0.13578524170170336
ACH-000887,-0.13406483919476567
ACH-000889,-0.36879469809876864
ACH-000896,-0.22340557387565996
ACH-000898,-0.07765761909801999
ACH-000900,-0.02908019102849524
ACH-000901,-0.09464330253936004
ACH-000905,-0.14480836795026242
ACH-000906,-0.1613189098508396
ACH-000907,-0.0006919192764898809
ACH-000910,-0.2179280957064015
ACH-000911,-0.3976572844407777
ACH-000912,-0.09155389146821066
ACH-000913,-0.102680249771621
ACH-000915,-0.1842007459691621
ACH-000916,-0.0009928634605573575
ACH-000917,-0.4521541266069633
ACH-000920,-0.2540133616686209
ACH-000921,-0.10993630346882943
ACH-000924,-0.4755497737209758
ACH-000926,-0.09392196893103373
ACH-000928,0.04438973333869313
ACH-000929,-0.17285592062259358
ACH-000932,-0.15200511274231235
ACH-000935,-0.058663756860248335
ACH-000936,0.016187493443332056
ACH-000937,-0.14365311817451729
ACH-000938,-0.0833864778325094
ACH-000939,0.0036410669542932795
ACH-000941,-0.19531893168167566
ACH-000943,-0.3574331622815171
