,RPL26 (6154)
ACH-000820,-1.0973140547997908
ACH-000821,-0.9801536665296549
ACH-000822,-1.0020064836870628
ACH-000823,-1.049317290315104
ACH-000824,-0.9792951683723392
ACH-000827,-0.8770014190842538
ACH-000829,-0.9310695564886584
ACH-000831,-0.6306958828880738
ACH-000832,-0.7530652720855034
ACH-000833,-1.2128872181088333
ACH-000834,-0.9121231811985864
ACH-000835,-0.6949107264205079
ACH-000836,-1.040259073559198
ACH-000837,-1.0129060386561883
ACH-000838,-0.9266342128640772
ACH-000839,-1.1884101154334632
ACH-000840,-0.6977461268450682
ACH-000841,-0.8470885766299978
ACH-000843,-0.8099229699483952
ACH-000846,-0.7756702725654462
ACH-000847,-1.1001273318954274
ACH-000848,-1.1028915233519394
ACH-000849,-1.0510087628341551
ACH-000851,-0.9778242852982396
ACH-000855,-0.9741803715138224
ACH-000856,-0.9359050664831828
ACH-000858,-1.0138380328562695
ACH-000859,-1.1753132868459268
ACH-000861,-0.9834384122958622
ACH-000862,-0.9415882636625472
ACH-000865,-1.002916294415655
ACH-000866,-0.938563185950032
ACH-000867,-0.9833612335069676
ACH-000869,-0.8897169334681428
ACH-000872,-0.8484053877509511
ACH-000873,-0.7768590494465132
ACH-000876,-0.7364962158126802
ACH-000878,-0.9182749899990604
ACH-000880,-1.2378011738097414
ACH-000881,-0.7467754984318423
ACH-000882,-0.959734972776165
ACH-000884,-0.9115316169014184
ACH-000885,-1.0445043984970075
ACH-000887,-0.8386946615252416
ACH-000889,-0.8136483352866455
ACH-000896,-0.9709147395824184
ACH-000898,-0.8249798677904743
ACH-000900,-0.9150682542491322
ACH-000901,-0.9897767217082184
ACH-000905,-0.8783786705300233
ACH-000906,-0.6680163396025698
ACH-000907,-0.6522934712701285
ACH-000910,-1.020596118734474
ACH-000911,-0.7367982300075169
ACH-000912,-0.8297846129715817
ACH-000913,-0.7179425209835727
ACH-000915,-1.08493717450684
ACH-000916,-0.7686623724867204
ACH-000917,-0.9128895985314828
ACH-000920,-0.8725205110169045
ACH-000921,-0.986957081748935
ACH-000924,-1.0464851481848176
ACH-000926,-1.1536818772103647
ACH-000928,-1.0560022251763408
ACH-000929,-1.021530175897382
ACH-000932,-1.085737021055162
ACH-000935,-0.8348259008168957
ACH-000936,-0.9614122055291404
ACH-000937,-0.994807818910866
ACH-000938,-0.8536674580690773
ACH-000939,-1.0710732068266786
ACH-000941,-0.9261475706921456
ACH-000943,-0.6832600739633706
ACH-000946,-0.8089681926383578
ACH-000947,-0.8716964290585201
ACH-000948,-0.9372343314162824
ACH-000950,-0.947007781929963
ACH-000953,-0.9081898889594744
ACH-000954,-1.026740008968827
ACH-000957,-1.0187486977506577
ACH-000958,-1.0577730282212754
ACH-000960,-0.9117811839972796
ACH-000963,-1.0077389938251269
ACH-000968,-0.7524954146592094
ACH-000969,-0.8344196777884204
ACH-000972,-1.1282575362422984
ACH-000973,-0.7547179030832515
ACH-000974,-1.0313134735756349
ACH-000978,-0.9642858370958929
ACH-000984,-0.7386220601099921
ACH-000986,-0.7898115363707718
ACH-000988,-0.7234037422279661
ACH-000993,-0.9125253473893956
ACH-000994,-0.8347620288013391
ACH-000996,-1.0171239832696597
ACH-001001,-0.7092743997099701
ACH-001020,-0.8814473164206065
ACH-001028,-0.9222974788812324
ACH-001031,-1.028255941489711
ACH-001038,-0.9950636852137908
ACH-001048,-1.0896485252471586
ACH-001050,-1.0018690021297474
ACH-001053,-0.7891251944362352
ACH-001054,-0.8626870236086527
ACH-001061,-0.9379812593945742
ACH-001067,-0.9806849624894092
ACH-001075,-1.2606823405217176
ACH-001096,-0.8759720760641048
ACH-001111,-0.8409677483334053
ACH-001119,-0.7313207006077542
ACH-001128,-1.412580339995233
ACH-001134,-0.9309253085234408
ACH-001151,-0.6992871912178531
ACH-001163,-0.684842646135249
ACH-001164,-0.9629104110585333
ACH-001183,-1.1934418631341943
ACH-001192,-0.9914511268023034
ACH-001193,-1.0042057841294514
ACH-001196,-0.935576549464075
ACH-001197,-1.2058744747860697
ACH-001205,-1.0572296084937518
ACH-001211,-0.968302985573258
ACH-001212,-1.1172971918185874
ACH-001228,-0.8229060878906246
ACH-001232,-1.062572626645403
ACH-001239,-0.7284842144593986
ACH-001270,-0.8676900869350037
ACH-001274,-0.9100121111796691
ACH-001275,-1.007046135867835
ACH-001277,-1.1700422594142212
ACH-001278,-0.9819547876624766
ACH-001280,-0.853091875722872
ACH-001283,-1.0647260611657638
ACH-001289,-0.8962757052786038
ACH-001300,-0.8966318022124949
ACH-001301,-0.9531065684864632
ACH-001302,-1.1255373879291972
ACH-001306,-1.02386353531754
ACH-001318,-1.0318284666222561
ACH-001322,-1.0877266949804258
ACH-001328,-1.03982476231795
ACH-001332,-1.3642250948773518
ACH-001336,-1.1212807611565
ACH-001346,-0.7634837716342197
ACH-001353,-0.9789565639401792
ACH-001354,-0.8007268967827466
ACH-001367,-0.9915947705020124
ACH-001368,-0.9298309758760941
ACH-001374,-1.1815379871382719
ACH-001377,-1.1275200579756048
ACH-001380,-0.7843617930753837
ACH-001391,-1.1317094668143328
ACH-001408,-1.0635839225629624
ACH-001430,-0.9891160700413102
ACH-001431,-0.9005359515083388
ACH-001450,-0.9590670605627616
ACH-001496,-1.0309968371892382
ACH-001500,-0.9433018692575232
ACH-001523,-1.1643631050122398
ACH-001532,-0.8252857130742063
ACH-001550,-0.7851828900829917
ACH-001552,-0.9746553582823542
ACH-001554,-0.981033754638952
ACH-001654,-0.8666599964981102
ACH-001735,-0.9461489332929848
ACH-001736,-0.9095295305533712
ACH-001737,-0.950539550225166
ACH-001740,-0.8396016904632237
ACH-001745,-0.7707504051062722
ACH-001765,-0.7810885724967063
