,CHAF1B (8208)
ACH-000215,-1.448556306485287
ACH-000221,-1.7936135132693265
ACH-000222,-1.498480951150252
ACH-000223,-1.2896003106125342
ACH-000226,-1.3732978977419612
ACH-000227,-1.4133943074523692
ACH-000228,-1.5088878358504023
ACH-000231,-1.303346602703732
ACH-000232,-1.51569983764765
ACH-000233,-1.3249053869557599
ACH-000234,-1.4868913189340578
ACH-000235,-1.4011132813073433
ACH-000237,-1.576457515019804
ACH-000238,-1.4013134322919891
ACH-000242,-1.2406451313848763
ACH-000243,-1.4866404290657231
ACH-000244,-1.1947113279889299
ACH-000246,-1.2883904244198374
ACH-000248,-1.3679963032989548
ACH-000250,-1.460815508335784
ACH-000251,-1.4755010936710466
ACH-000252,-1.20731269483982
ACH-000253,-1.443362373773087
ACH-000255,-1.3084726459906433
ACH-000256,-1.6121934414675954
ACH-000257,-1.5159031025278942
ACH-000258,-1.8012552594572744
ACH-000259,-1.6582378114649234
ACH-000260,-1.4550719374393035
ACH-000261,-1.5165107373958684
ACH-000262,-1.5127322717182583
ACH-000263,-1.5937845223748135
ACH-000264,-1.709657311225303
ACH-000265,-1.4590866190213478
ACH-000266,-1.4661040295754586
ACH-000272,-1.3510146227648951
ACH-000274,-1.4112203746831955
ACH-000277,-1.3104140980461672
ACH-000278,-1.5790085439651047
ACH-000279,-1.4953814377571624
ACH-000280,-1.4478087381487053
ACH-000281,-1.4678482672544573
ACH-000288,-1.3449816024359171
ACH-000291,-1.4847492467558467
ACH-000293,-1.8057657405963936
ACH-000294,-1.5885299805315125
ACH-000295,-1.6026655490496169
ACH-000296,-1.8319369960228955
ACH-000302,-1.6731487438793375
ACH-000304,-1.8728495427302632
ACH-000307,-1.54739464872172
ACH-000308,-1.6958875681933014
ACH-000310,-1.5186905511739526
ACH-000311,-1.3601138411240756
ACH-000312,-1.2924802900950694
ACH-000315,-1.1905434825932442
ACH-000316,-1.3689891040119433
ACH-000317,-1.3750711418406658
ACH-000318,-1.593174331282068
ACH-000319,-1.382517790187163
ACH-000320,-1.4474372191907072
ACH-000322,-1.6244814900601177
ACH-000323,-1.470327806945949
ACH-000324,-1.4810008349565709
ACH-000329,-1.3040450056320354
ACH-000330,-1.7934556920196083
ACH-000331,-1.3915615799534555
ACH-000332,-1.4738692170502612
ACH-000334,-1.207005468356971
ACH-000335,-1.664875042634623
ACH-000336,-1.4192016426495415
ACH-000337,-1.7092588567867422
ACH-000338,-1.6349727413207658
ACH-000339,-1.4718117093810086
ACH-000341,-1.6601895358394867
ACH-000348,-1.5472344955468131
ACH-000350,-1.5916705431660696
ACH-000352,-1.4584181772412534
ACH-000356,-1.4128813543774683
ACH-000361,-1.6247916908191973
ACH-000362,-1.6092133025305426
ACH-000363,-1.465532342660946
ACH-000364,-1.5220419159561531
ACH-000365,-1.5309378284762802
ACH-000366,-1.4170872598819086
ACH-000368,-1.3639687147276895
ACH-000374,-1.6993819661537206
ACH-000375,-1.3407486796271562
ACH-000376,-1.2954475156138134
ACH-000381,-1.4572017939651634
ACH-000383,-1.4313008497374102
ACH-000387,-1.5670521646781468
ACH-000389,-1.2647472934914197
ACH-000390,-1.608961792913304
ACH-000393,-1.5363667453951266
ACH-000395,-1.3578539516611852
ACH-000396,-1.6146611665907251
ACH-000397,-1.5406381423693964
ACH-000401,-1.5901821048540157
ACH-000402,-1.7195202520409822
ACH-000403,-1.5203317117380946
ACH-000404,-1.5111397549613166
ACH-000406,-1.6382679356456822
ACH-000407,-1.4847363939606164
ACH-000408,-1.3252224180498384
ACH-000410,-1.4768558527865872
ACH-000411,-1.3506626143904117
ACH-000414,-1.6073390430009953
ACH-000415,-1.7416991463120426
ACH-000416,-1.5449083156117784
ACH-000420,-1.5101040839290398
ACH-000421,-1.4943549699737986
ACH-000424,-1.4768391548585824
ACH-000425,-1.5795200748750968
ACH-000426,-1.819097682740125
ACH-000427,-1.6579825496768965
ACH-000433,-1.4005619973071868
ACH-000435,-1.455722748850467
ACH-000436,-1.458273590897445
ACH-000444,-1.3043909325888403
ACH-000445,-1.3193087923867428
ACH-000448,-1.3704328221689617
ACH-000450,-1.463112692586956
ACH-000452,-1.6513421557527659
ACH-000454,-1.4382939040713385
ACH-000458,-1.4158360419564942
ACH-000459,-1.2473274966802457
ACH-000460,-1.2950541087025875
ACH-000461,-1.3553496544828778
ACH-000463,-1.4937052438074532
ACH-000464,-1.4773962881510097
ACH-000466,-1.5780072835125123
ACH-000467,-1.4531355411185962
ACH-000468,-1.4919358812655572
ACH-000469,-1.4506861302702359
ACH-000470,-1.4058359514140912
ACH-000471,-1.4996520517412348
ACH-000472,-1.369884180035221
ACH-000473,-1.3617855218300992
ACH-000475,-1.5400734491775312
ACH-000476,-1.31979633752168
ACH-000477,-1.3552304654486336
ACH-000479,-1.9174344537431
ACH-000480,-1.3172314912987508
ACH-000481,-1.6788261557787203
ACH-000483,-1.7249700488734057
ACH-000484,-1.4655477674462605
ACH-000485,-1.3153682891152323
ACH-000486,-1.5246115271392564
ACH-000487,-1.4638162562384835
ACH-000488,-1.3749718390150496
ACH-000490,-1.4764173348506548
ACH-000491,-1.7567940644214697
ACH-000495,-1.229392699825738
ACH-000496,-1.5295740695354851
ACH-000499,-1.499450844958717
ACH-000500,-2.0434620217301536
ACH-000502,-1.346730554233558
ACH-000503,-1.3307534698050545
ACH-000505,-1.4732870384812684
ACH-000507,-1.4205028895853975
ACH-000510,-1.3428558923077514
ACH-000511,-1.4505420427651157
ACH-000512,-1.249540006349148
ACH-000516,-1.3557766643118605
ACH-000517,-1.5110138044677384
ACH-000518,-1.7647435324560448
ACH-000520,-1.4630179515530126
ACH-000521,-1.6068169979312221
ACH-000522,-1.49484269637571
ACH-000524,-1.478981357453793
ACH-000527,-1.25165650825235
ACH-000528,-1.5493572544419634
ACH-000537,-1.5319920843464607
ACH-000541,-1.2725002725941097
ACH-000542,-1.4580466672745076
ACH-000544,-1.4304835936311944
ACH-000545,-1.744761551681376
ACH-000547,-1.5903157566762622
ACH-000548,-1.375627232244876
ACH-000549,-1.5445494388928935
ACH-000550,-1.2594897655181438
ACH-000552,-1.7616484505375802
ACH-000556,-1.533227168826668
ACH-000557,-1.7216199278439968
ACH-000569,-1.7883659757795958
ACH-000570,-1.4972994266404522
ACH-000571,-1.2337536748999207
ACH-000573,-1.5835286198545575
ACH-000576,-1.4417294544528347
ACH-000579,-1.163456611165319
ACH-000580,-1.8617757639965964
ACH-000584,-1.4951746256105531
ACH-000585,-1.6091994140767614
ACH-000588,-1.4093952486513084
ACH-000589,-1.4009544093599753
ACH-000591,-1.4827822142925042
ACH-000593,-1.4396756858832682
ACH-000600,-1.5228954123400784
ACH-000601,-1.3386316576865702
ACH-000605,-1.732838230075504
ACH-000606,-1.6081270295942365
ACH-000608,-1.342414180247164
ACH-000614,-1.3368836941486908
ACH-000616,-1.313619673359312
ACH-000618,-1.6710724242102672
ACH-000619,-1.6490329534104275
ACH-000620,-1.4800225494748849
ACH-000621,-1.4209508670022335
ACH-000622,-2.012911435118219
ACH-000623,-1.4023216481458531
ACH-000624,-1.4621237827720786
ACH-000627,-1.4226429526532427
ACH-000630,-1.3791156018416177
ACH-000631,-1.47642955463909
ACH-000632,-1.6175225619422018
ACH-000633,-1.4007463534153606
ACH-000637,-1.7059802784860485
ACH-000638,-1.515628895334712
ACH-000646,-1.1046449880897315
ACH-000647,-1.3655173544132482
ACH-000648,-1.3597107264016552
ACH-000649,-1.4025469910156336
ACH-000651,-1.5060888013917495
ACH-000652,-1.6034209235512566
ACH-000653,-1.5033984560998983
ACH-000657,-1.589545674083153
ACH-000658,-1.5815448698408687
ACH-000661,-1.5092126255734803
ACH-000662,-1.6623837741259653
ACH-000663,-1.4341371738834
ACH-000665,-1.392266681916018
ACH-000671,-1.55502548288851
ACH-000672,-1.7577876647592259
ACH-000673,-1.4735757389086461
ACH-000676,-1.502003909622027
ACH-000677,-1.4757122323415304
ACH-000681,-1.5486174086799704
ACH-000683,-1.4866129728693975
ACH-000684,-1.5623124748244104
ACH-000688,-1.5309423544130605
ACH-000693,-1.4847776549863816
ACH-000694,-1.5304497634179808
ACH-000695,-1.4143110864321138
ACH-000696,-1.5436654090806927
ACH-000697,-1.3857638091099131
ACH-000699,-1.6553588957219172
ACH-000701,-1.6934198361945714
ACH-000706,-1.6119381790694374
ACH-000711,-1.383065186891573
ACH-000713,-1.3009072472004126
ACH-000714,-1.4910068516043593
ACH-000718,-1.4676538771072518
ACH-000720,-1.3591155796314214
ACH-000721,-1.4394054062621984
ACH-000724,-2.049745671038391
ACH-000725,-2.2176287723076697
ACH-000732,-1.3674807459637932
ACH-000734,-1.3288989474061408
ACH-000735,-1.3481078203246335
ACH-000736,-1.7061007502161705
ACH-000738,-1.6426853947917028
ACH-000746,-1.5982925516761493
ACH-000747,-1.6391271263944538
ACH-000748,-1.4314516824459311
ACH-000753,-1.554806689596593
ACH-000756,-1.316015269203357
ACH-000757,-1.4390366583088567
ACH-000758,-1.4289635850094151
ACH-000760,-1.3886945283150058
ACH-000762,-1.3967123788898312
ACH-000763,-1.0685047786710635
ACH-000764,-1.6386593567844765
ACH-000765,-1.5247450668485198
ACH-000766,-1.492395488340709
ACH-000767,-1.7201587450878788
ACH-000768,-1.4176006547288518
ACH-000769,-1.3864618850478363
ACH-000770,-1.5364178334514893
ACH-000771,-1.4724342041528902
ACH-000773,-1.3668592375801851
ACH-000776,-1.3000042295495446
ACH-000777,-1.469071506753887
ACH-000778,-1.6983944774678341
ACH-000781,-1.626070880151342
ACH-000782,-1.4439239723128283
ACH-000783,-1.6457195911411764
ACH-000784,-1.4980669203598491
ACH-000785,-1.9018699503152499
ACH-000787,-1.5774929672100175
ACH-000788,-1.5546561903132758
ACH-000791,-1.4662805933516148
ACH-000792,-1.4356159177738097
ACH-000794,-1.539914131832114
ACH-000796,-1.55649739891846
ACH-000798,-1.5154237457222206
ACH-000799,-1.3419064325623622
ACH-000800,-1.4157507620091208
ACH-000802,-1.4885005979621917
ACH-000804,-1.7083421062696258
ACH-000805,-1.4136883192447578
ACH-000809,-1.543505058831446
ACH-000810,-1.4164429860321073
ACH-000811,-1.3580088475838126
ACH-000817,-1.3987927657992627
ACH-000819,-1.335072473375347
ACH-000820,-1.7848271193741925
ACH-000821,-1.11077749420927
ACH-000822,-1.4276596296511108
ACH-000823,-1.4513126724594028
ACH-000824,-1.585092486020121
ACH-000827,-1.4432241093442664
ACH-000829,-1.4185535517456074
ACH-000831,-1.4731463532510378
ACH-000832,-1.3523938621146416
ACH-000833,-1.9210835909302144
ACH-000834,-1.424558332868593
ACH-000835,-1.5386808074156595
ACH-000836,-1.0658739563119348
ACH-000837,-1.7852230087879564
ACH-000838,-1.57042224223071
ACH-000839,-1.0828374280275979
ACH-000840,-1.4740147619132276
ACH-000841,-1.5608664711628546
ACH-000843,-2.0137589075404523
ACH-000846,-1.7419702674335795
ACH-000847,-1.6335527633882039
ACH-000848,-1.5777401400959392
ACH-000849,-1.2611924134723298
ACH-000851,-1.3846864002337655
ACH-000855,-1.5452252109089493
ACH-000856,-1.5348703734275466
ACH-000858,-1.5626668037986626
ACH-000859,-1.3859360820305957
ACH-000861,-1.5745463253756182
ACH-000862,-1.5496224702606902
ACH-000865,-1.5601238247755596
ACH-000866,-1.5980534806908202
ACH-000867,-1.5490371747378209
ACH-000869,-1.7464068469182723
ACH-000872,-1.478346340853148
ACH-000873,-1.3540199957027357
ACH-000876,-1.9582686581313309
ACH-000878,-1.5410620647649604
ACH-000880,-1.389623475325647
ACH-000881,-1.4371666519996658
ACH-000882,-1.5873804805716871
ACH-000884,-1.4387931957496205
ACH-000885,-1.639324392822046
ACH-000887,-1.484334477840884
ACH-000889,-1.3696687732795634
ACH-000896,-1.5676701168303062
ACH-000898,-1.5175779419016135
ACH-000900,-1.3962438225492535
ACH-000901,-1.6028644368132998
ACH-000905,-1.4115720501285036
ACH-000906,-1.4625409339442907
ACH-000907,-1.268803566348287
ACH-000910,-1.5506674826262004
ACH-000911,-1.508538029048301
ACH-000912,-1.4003505929529665
ACH-000913,-1.574354896974133
ACH-000915,-1.2903964377698032
ACH-000916,-1.2255610870966591
ACH-000917,-1.5131765972274571
ACH-000920,-1.3578839131037148
ACH-000921,-1.2056650501030708
ACH-000924,-1.283772430034004
ACH-000926,-1.4454019040981207
ACH-000928,-1.4338516298007358
ACH-000929,-1.5395262671979115
ACH-000932,-1.5320185010926954
ACH-000935,-1.3236448944629466
ACH-000936,-1.3788002553235903
ACH-000937,-1.5066796686747304
ACH-000938,-1.5161493058546764
ACH-000939,-1.3038170994604592
ACH-000941,-1.3251218969140537
ACH-000943,-1.6293591814712238
ACH-000946,-1.6340593342770515
ACH-000947,-1.5447799210272417
ACH-000948,-1.6508237025101742
ACH-000950,-1.4670972029694318
ACH-000953,-1.440699764945117
ACH-000954,-1.3228120848458629
ACH-000957,-1.4019004896451537
ACH-000958,-1.4650796435393807
ACH-000960,-1.1446837978542683
ACH-000963,-0.9285955019795862
ACH-000968,-1.6928156846999265
ACH-000969,-1.5826206603511146
ACH-000972,-1.607687952505824
ACH-000973,-1.4895727367657612
ACH-000974,-1.3814757148594738
ACH-000978,-1.8125313346470249
ACH-000984,-1.5490029319749024
ACH-000986,-1.3418647440700229
ACH-000988,-1.7110125153823617
ACH-000993,-1.4854827964926884
ACH-000994,-1.5078168906152982
ACH-000996,-1.1853425535738848
ACH-001001,-1.5346334590476114
ACH-001020,-1.2935682042211645
ACH-001028,-1.458247466388953
ACH-001031,-1.5600907443404677
ACH-001038,-1.5311259600678848
ACH-001048,-1.2826178993493127
ACH-001050,-1.3367206369694429
ACH-001053,-1.533316270530692
ACH-001054,-1.4015702823822471
ACH-001061,-1.3397082154133764
ACH-001067,-1.5480077718928174
ACH-001075,-1.7815246127995437
ACH-001096,-1.7109389609571353
ACH-001111,-1.4321559089046034
ACH-001119,-1.533780410476322
ACH-001128,-0.6694757848201476
ACH-001134,-1.406170206217179
ACH-001151,-1.4948303381643815
ACH-001163,-1.3343434233684734
ACH-001164,-1.6553043015406963
ACH-001183,-1.2725187430935794
ACH-001192,-1.4306819912770885
ACH-001193,-1.5291636683560257
ACH-001196,-1.5214566924288486
ACH-001197,-1.3981723708469562
ACH-001205,-1.3659286541763136
ACH-001211,-1.2850878188264463
ACH-001212,-1.4953849555879084
ACH-001228,-1.385529980926369
ACH-001232,-1.3797462924818398
ACH-001239,-1.3833604308759202
ACH-001270,-1.2020804770279276
ACH-001274,-1.3790815778263474
ACH-001275,-1.626496023517586
ACH-001277,-1.4526015512822712
ACH-001278,-1.7034238461339963
ACH-001280,-1.7238261187487338
ACH-001283,-1.5216098438938328
ACH-001289,-1.4466995014451616
ACH-001300,-1.5478228087778172
ACH-001301,-1.540050959832832
ACH-001302,-1.54975058911409
ACH-001306,-1.4993702907604487
ACH-001318,-1.421723122489915
ACH-001322,-1.3793435717710343
ACH-001328,-1.3434912094666749
ACH-001332,-1.284901959714816
ACH-001336,-1.4251676081223883
ACH-001346,-1.5146613700869926
ACH-001353,-1.4280264308762918
ACH-001354,-1.6099723498303964
ACH-001367,-1.3698253853419085
ACH-001368,-1.4479942594812785
ACH-001374,-1.2123871856001034
ACH-001377,-1.4902485451616725
ACH-001380,-1.5474481324007263
ACH-001391,-1.647529553339664
ACH-001408,-1.8117822584935697
ACH-001430,-1.4277699861524231
ACH-001431,-1.4878850224349929
ACH-001450,-1.268390931367063
ACH-001496,-1.2547497743438416
ACH-001500,-1.1129417360889668
ACH-001523,-1.6262122963795846
ACH-001532,-1.4465940175678107
ACH-001550,-1.2431228901451787
ACH-001552,-1.363138786158569
ACH-001554,-1.5422486300719331
ACH-001654,-1.3540243187199148
ACH-001735,-1.6850192957808774
ACH-001736,-1.4456569216011903
ACH-001737,-1.16014554460924
ACH-001740,-1.4674940548570308
ACH-001745,-1.6054707470968612
ACH-001765,-1.5477634650948104
