,RCOR1 (23186)
ACH-000794,-0.3569642400171265
ACH-000796,-0.5188702860341168
ACH-000798,-0.3029227617549635
ACH-000799,-0.4728514931597883
ACH-000800,-0.3431983717031903
ACH-000802,-0.4143758575730399
ACH-000804,-0.43579516160620013
ACH-000805,-0.6079919014099473
ACH-000809,-0.396961711969718
ACH-000810,-0.19438171388481013
ACH-000811,-0.4298141341518901
ACH-000817,-0.236414076855406
ACH-000819,-0.21470217917392972
ACH-000820,-0.11466618581273642
ACH-000821,-0.6972994511349246
ACH-000822,-0.5281601492832095
ACH-000823,-0.25993450295397663
ACH-000824,-0.5499035850438462
ACH-000827,-0.3860104220325528
ACH-000829,-0.3976867567366178
ACH-000831,-0.37582766201704143
ACH-000832,-0.3662943785718473
ACH-000833,-0.3986490234722335
ACH-000834,-0.5222790804048479
ACH-000835,-0.533254209886839
ACH-000836,-0.07744124467945371
ACH-000837,-0.3705828746403241
ACH-000838,-0.44597970003819504
ACH-000839,-0.6992025372398615
ACH-000840,-0.5700440082440814
ACH-000841,-0.4908452534498632
ACH-000843,-0.3149840465813307
ACH-000846,-0.4024516051756064
ACH-000847,-0.4882724908866479
ACH-000848,-0.2984907932784849
ACH-000849,-0.3890161980653081
ACH-000851,-0.36995927814706775
ACH-000855,-0.6517295764505359
ACH-000856,-0.3572917513595184
ACH-000858,-0.3645492369840582
ACH-000859,-0.3977782223370941
ACH-000861,-0.7029140140692929
ACH-000862,-0.5617758839033996
ACH-000865,-0.2390556053793829
ACH-000866,-0.32274068203106115
ACH-000867,-0.4131228273893182
ACH-000869,-0.10602306880258633
ACH-000872,-0.4082232269532699
ACH-000873,-0.375622235361888
ACH-000876,-0.3441438418414654
ACH-000878,-0.4185855585917159
ACH-000880,-0.4914705429103257
ACH-000881,-0.41386003224827306
ACH-000882,-0.2669092157022433
ACH-000884,-0.5904598650270751
ACH-000885,-0.3266486725592124
ACH-000887,-0.375785723131202
ACH-000889,-0.39512500645528653
ACH-000896,-0.4569141912313461
ACH-000898,-0.5233277718245464
ACH-000900,-0.4911022505313606
ACH-000901,-0.44406162439264
ACH-000905,-0.5504121541316532
ACH-000906,-0.391875596088162
ACH-000907,-0.3004220311313873
ACH-000910,-0.5549174215798259
ACH-000911,-0.4975560533372944
ACH-000912,-0.3285298728529759
ACH-000913,-0.365442921950342
ACH-000915,-0.4863080168740218
ACH-000916,-0.6228232467825214
ACH-000917,-0.08734909561959872
ACH-000920,-0.5846733291764771
ACH-000921,-0.2991808054077737
ACH-000924,-0.20587640435827886
ACH-000926,-0.5743363476809694
ACH-000928,-0.7791413096888677
ACH-000929,-0.6409008048032595
ACH-000932,-0.7454113653505978
ACH-000935,-0.4765746761237352
ACH-000936,-0.466727515145423
ACH-000937,-0.4793911056503772
ACH-000938,-0.464839867382549
ACH-000939,0.09677931753422582
ACH-000941,-0.2618164463266912
ACH-000943,-0.2920739498546537
ACH-000946,-0.4465991812729618
ACH-000947,-0.2750375117226019
ACH-000948,-0.09026300571379832
ACH-000950,-0.6204828596228008
ACH-000953,-0.6962831325675134
ACH-000954,-0.7948277225712388
ACH-000957,-0.2381267653292084
ACH-000958,-0.19513172132295928
ACH-000960,-0.327438050731496
ACH-000963,-0.13261258462552208
ACH-000968,-0.5347241809887422
ACH-000969,-0.5254286372004902
ACH-000972,-0.15514129745777902
ACH-000973,-0.4229623206708602
ACH-000974,-0.40629326397840176
ACH-000978,-0.2295031162433536
ACH-000984,-0.5793843995971741
ACH-000986,-0.2260200724221351
ACH-000988,-0.5102384608698969
ACH-000993,-0.4964499030593985
ACH-000994,-0.22157860573194027
ACH-000996,-0.4024127082719669
ACH-001001,-0.29842646791814165
ACH-001020,0.009316034162487578
ACH-001028,-0.5366614627995994
ACH-001031,-0.35699022864507945
ACH-001038,-0.3982828109869266
ACH-001048,-0.17106652322423954
ACH-001050,-0.1807927275711681
ACH-001053,-0.6841149364724631
ACH-001054,-0.4353577686683674
ACH-001061,-0.2760438114064274
ACH-001067,-0.14008347693164092
ACH-001075,-0.4293408264344524
ACH-001096,-0.5258335118323313
ACH-001111,-0.6451473896200948
ACH-001119,-0.37374597344316574
ACH-001128,0.5471328450682938
ACH-001134,-0.3241359530165983
ACH-001151,-0.3117170476372836
ACH-001163,-0.44257506038813066
ACH-001164,-0.6463298949785825
ACH-001183,-0.5405284814664717
ACH-001192,-0.4510303215914133
ACH-001193,-0.3412565876754561
ACH-001196,-0.16592401371078305
ACH-001197,-0.4014250632521065
ACH-001205,-0.39031340940713255
ACH-001211,-0.16170287831789248
ACH-001212,-0.6160882033037612
ACH-001228,-0.3160799409630939
ACH-001232,-0.6001236922911116
ACH-001239,-0.4762658292030976
ACH-001270,-0.34037255149504825
ACH-001274,-0.6865491255590453
ACH-001275,-0.5539173993901017
ACH-001277,-0.32679000977767403
ACH-001278,-0.5792158726855492
ACH-001280,-0.8102184735705619
ACH-001283,-0.4614987062784164
ACH-001289,-0.34129263048603764
ACH-001300,-0.21897333150725115
ACH-001301,-0.3194722880747258
ACH-001302,-0.40181880453884256
ACH-001306,-0.3645920475095022
ACH-001318,-0.5573892948389955
ACH-001322,-0.348082535353271
ACH-001328,-0.3737668216578358
ACH-001332,-0.27314876557082524
ACH-001336,-0.3820509201551053
ACH-001346,-0.3849905373170672
ACH-001353,-0.4893068685614845
ACH-001354,-0.5182873622194087
ACH-001367,-0.3041238321246998
ACH-001368,-0.380643351902785
ACH-001374,-0.1585765037933509
ACH-001377,-0.589103862501231
ACH-001380,-0.4371476045108879
ACH-001391,-0.4200229844477025
ACH-001408,-0.5584182734088061
ACH-001430,-0.01877148140468221
ACH-001431,-0.5003086496106844
ACH-001450,-0.7721202970331129
ACH-001496,-0.09674414852315673
ACH-001500,-0.4942352750331431
ACH-001523,-0.3611777114896069
ACH-001532,-0.4251799517615968
ACH-001550,-0.26269661235976377
ACH-001552,-0.5873316855309886
ACH-001554,-0.4501384685072893
ACH-001654,-0.44785060606240734
ACH-001735,-0.6875466965205025
ACH-001736,-0.6978233544336838
ACH-001737,-0.8796650677113086
ACH-001740,-0.37528479899900863
ACH-001745,-0.4622226828898973
ACH-001765,-0.5078817153262893
