,PLD5 (200150)
ACH-000884,0.024960269315689572
ACH-000885,0.16262044405733767
ACH-000887,0.11962637462794838
ACH-000889,0.1783728332084836
ACH-000896,0.13288632456332722
ACH-000898,0.17154725236394355
ACH-000900,0.1122145020890118
ACH-000901,0.12471817941483584
ACH-000905,0.1103857493374321
ACH-000906,0.12886961794105425
ACH-000907,-0.0687010966745296
ACH-000910,0.12758547771333334
ACH-000911,0.1534946582685113
ACH-000912,0.037710545992954085
ACH-000913,0.0456055523845622
ACH-000915,0.019322790023033817
ACH-000916,0.3361905729426456
ACH-000917,-0.0906228754982815
ACH-000920,0.022903308382275087
ACH-000921,-0.0032401961413758536
ACH-000924,0.1306915107383897
ACH-000926,0.1749641150233998
ACH-000928,0.1333935070288362
ACH-000929,0.3378030275641533
ACH-000932,0.07526585708722443
ACH-000935,0.1433651172670103
ACH-000936,0.08642769799332102
ACH-000937,0.05930610151044265
ACH-000938,0.017324739971032052
ACH-000939,0.2597327389438357
ACH-000941,0.2193964379468191
ACH-000943,0.12087797864955635
ACH-000946,-0.08834993033646217
ACH-000947,0.03766124421161946
ACH-000948,0.012829570798836268
ACH-000950,-0.0330519374057503
ACH-000953,0.1860184204971728
ACH-000954,-0.17678323401053886
ACH-000957,-0.1268145616476123
ACH-000958,0.11388729543412499
ACH-000960,0.11445383193659042
ACH-000963,0.1476822157762398
ACH-000968,0.1725042800714177
ACH-000969,0.07541566346609734
ACH-000972,0.2696851943658907
ACH-000973,0.00283403604461033
ACH-000974,0.019634724146193258
ACH-000978,0.3370072643841894
ACH-000984,-0.039083252220011404
ACH-000986,0.1990058687043488
ACH-000988,0.10535589154439803
ACH-000993,-0.028531500212712932
ACH-000994,0.2184137672401698
ACH-000996,0.031023703888259518
ACH-001001,0.0760037774174906
ACH-001020,-0.14889026177846418
ACH-001028,0.09094413054210597
ACH-001031,0.16849908213207546
ACH-001038,0.14294891399018422
ACH-001048,0.10172645907842767
ACH-001050,0.09887701521213076
ACH-001053,0.06540140692834406
ACH-001054,0.04072898562982325
ACH-001061,0.15074459969370074
ACH-001067,0.03325882180442399
ACH-001075,-0.09271430657198453
ACH-001096,0.09015837189663403
ACH-001111,-0.31304137162493273
ACH-001119,0.05188967592388884
ACH-001128,0.05936783945496305
ACH-001134,-0.014230980949107769
ACH-001151,0.045927052094849465
ACH-001163,0.04302221281261985
ACH-001164,0.04592686449132846
ACH-001183,0.14133920811505904
ACH-001192,0.16439052874705304
ACH-001193,-0.08875258810260722
ACH-001196,0.14421652276734634
ACH-001197,0.15153703970714827
ACH-001205,-0.2461557866929053
ACH-001211,0.09244149543480096
ACH-001212,-0.011299189427471752
ACH-001228,0.11369404644719867
ACH-001232,-0.009810158465589521
ACH-001239,0.11880239198687954
ACH-001270,-0.10134820833402897
ACH-001274,0.19037273977583694
