,CDH1 (999)
ACH-000784,-0.1547558680424094
ACH-000785,-0.0433738022596443
ACH-000787,-0.02656569854453822
ACH-000788,-0.1177571520277702
ACH-000791,-0.1797615858115338
ACH-000792,-0.1936038193768197
ACH-000794,-0.16981335160955813
ACH-000796,-0.9054852482217376
ACH-000798,-0.5402183680001881
ACH-000799,-0.080466952590979
ACH-000800,-0.11726497498595966
ACH-000802,-0.07765008391190076
ACH-000804,-0.3940168107940091
ACH-000805,-0.17429598617151126
ACH-000809,-0.25142341681878205
ACH-000810,-0.1565333347768242
ACH-000811,-0.16699124514455174
ACH-000817,-0.1788267904614408
ACH-000819,-0.1434362461203486
ACH-000820,0.2393650602145315
ACH-000821,-0.16649706202059994
ACH-000822,-0.0927517225537785
ACH-000823,-0.08958563605615708
ACH-000824,-0.11820693233824245
ACH-000827,-0.07277603749957648
ACH-000829,0.0244463974024948
ACH-000831,-0.2878624127131043
ACH-000832,-0.05422710494936751
ACH-000833,0.029680901054517476
ACH-000834,-0.2815975924369111
ACH-000835,-0.13781081753349178
ACH-000836,-0.15230204342567244
ACH-000837,-0.040327536180914544
ACH-000838,-0.10121413766097108
ACH-000839,-0.28149448892750395
ACH-000840,-0.17731461606501345
ACH-000841,-0.018506121875058058
ACH-000843,-0.10141069899086264
ACH-000846,-0.31055885667051303
ACH-000847,0.022680036543443482
ACH-000848,0.021093526915501253
ACH-000849,-0.2401446283664827
ACH-000851,-0.1133890326393558
ACH-000855,0.12937500050323333
ACH-000856,-0.16195945743352252
ACH-000858,-0.1086026151418114
ACH-000859,-0.29475320388231635
ACH-000861,-0.16186849850447654
ACH-000862,0.01424057333488684
ACH-000865,-0.06444007294147132
ACH-000866,-0.09626968488696597
ACH-000867,-0.08316014085281434
ACH-000869,-0.15973505965513465
ACH-000872,-0.2523273651004194
ACH-000873,0.10900713001428004
ACH-000876,-0.06481393819988368
ACH-000878,0.051836286758183976
ACH-000880,-0.11126978787077567
ACH-000881,-0.17094480747595925
ACH-000882,-0.0606136656155472
ACH-000884,-0.20140711987486687
ACH-000885,-0.1761923210070526
ACH-000887,-0.11378196610857247
ACH-000889,-0.03169165907831624
ACH-000896,-0.3420618552273729
ACH-000898,-0.1210247980542671
ACH-000900,-0.1248201302128065
ACH-000901,-0.17759791061059174
ACH-000905,-0.22378438767130035
ACH-000906,-0.11971518351916935
ACH-000907,-0.1394337637363776
ACH-000910,-0.06573467103241296
ACH-000911,-0.7620743299451321
ACH-000912,-0.08226032781082528
ACH-000913,-0.025786633664649485
ACH-000915,0.0106809768302204
ACH-000916,-0.632026536312947
ACH-000917,-0.00506187203044127
ACH-000920,0.22052048158049128
ACH-000921,-0.17468491181799964
ACH-000924,-0.060505881284765174
ACH-000926,0.1656816012956043
ACH-000928,-0.2511142119103213
ACH-000929,-0.19812055147111726
ACH-000932,-0.13880581863204258
ACH-000935,-0.06703368929879575
ACH-000936,-0.3040879522894678
ACH-000937,-0.17117943507694114
ACH-000938,-0.09345458029033664
ACH-000939,-0.3874647996986552
ACH-000941,-0.03151752487061823
ACH-000943,-0.11006716433007452
ACH-000946,-0.40240352973928667
ACH-000947,-0.04232323547223917
ACH-000948,-0.2962927313299754
ACH-000950,-0.2521938685856248
ACH-000953,-0.17053290923770573
ACH-000954,-0.3180754989154108
ACH-000957,0.1881997321574284
ACH-000958,-0.05179342285971747
ACH-000960,0.07173710358883406
ACH-000963,0.12515827929414033
ACH-000968,-0.270552784079664
ACH-000969,-0.12551027595294484
ACH-000972,-0.06900778504017685
ACH-000973,-0.1560895201728625
ACH-000974,-0.20754258967626973
ACH-000978,-0.19173736059114305
ACH-000984,0.048428574685539384
ACH-000986,-0.12108811027661648
ACH-000988,-0.09781781896887826
ACH-000993,-0.03966877473715882
ACH-000994,-0.09348843893475547
ACH-000996,-0.1326706013787545
ACH-001001,-0.12571547235270022
ACH-001020,-0.03607261904635512
ACH-001028,-0.03905388569799649
ACH-001031,-0.04222775737233261
ACH-001038,-0.07437382413672795
ACH-001048,-0.1692470967891692
ACH-001050,-0.1754494006988772
ACH-001053,-0.27599608425062994
ACH-001054,-0.10680333371357584
ACH-001061,-0.1985058804376473
ACH-001067,-0.14766172616705384
ACH-001075,-0.016418463812668486
ACH-001096,-0.14027179475620702
ACH-001111,-0.05094114925754367
ACH-001119,-0.3572469235215872
ACH-001128,-0.247824635030832
ACH-001134,-0.11026540156868808
ACH-001151,-0.09470909692002474
ACH-001163,-0.261950231902584
ACH-001164,0.15035323133603604
ACH-001183,-0.2457026965725412
ACH-001192,-0.1193298669414404
ACH-001193,-0.4647964720478903
ACH-001196,-0.1691355988314484
ACH-001197,-0.1497958407227486
ACH-001205,-0.25724247679368845
ACH-001211,-0.10412772146078897
ACH-001212,0.10217888755291754
ACH-001228,-0.2989059634467527
