,VPS25 (84313)
ACH-000996,-1.4781314879830108
ACH-001001,-1.435550314522782
ACH-001020,-1.578574022863518
ACH-001028,-1.3881523272375718
ACH-001031,-1.6353153066637138
ACH-001038,-1.4926699095043896
ACH-001048,-1.4563176056931761
ACH-001050,-1.4362647552176262
ACH-001053,-1.331078669504662
ACH-001054,-1.475958411036515
ACH-001061,-1.4888673810988236
ACH-001067,-1.4704999882856604
ACH-001075,-1.593399890919937
ACH-001096,-1.5647153589989464
ACH-001111,-1.3352320267848068
ACH-001119,-1.1493211861727224
ACH-001128,-1.5962410772645113
ACH-001134,-1.6241297276456792
ACH-001151,-1.5457942802270823
ACH-001163,-1.5084997297612244
ACH-001164,-1.444920340277218
ACH-001183,-1.4651733586311497
ACH-001192,-1.3664815417553071
ACH-001193,-1.2419694112190818
ACH-001196,-1.9256457056407768
ACH-001197,-1.3486929712883808
ACH-001205,-1.4056186339720649
ACH-001211,-1.4155088366456583
ACH-001212,-1.3035620522196634
ACH-001228,-1.5067080710649148
ACH-001232,-1.4474560143625421
ACH-001239,-1.2797617054798571
ACH-001270,-1.7273387684314256
ACH-001274,-1.055619704497533
ACH-001275,-1.4677228915213447
ACH-001277,-1.5600029425102084
ACH-001278,-1.4138384689979828
ACH-001280,-1.4773262319996998
ACH-001283,-1.5565373284692818
ACH-001289,-1.2061261960479672
ACH-001300,-1.2762918932788654
ACH-001301,-1.1220773054560524
ACH-001302,-1.3897515009136978
ACH-001306,-1.4265412534919288
ACH-001318,-1.2912748885079437
ACH-001322,-1.2370316421847305
ACH-001328,-1.3304658341766469
ACH-001332,-1.529590229163334
ACH-001336,-1.331717846165594
ACH-001346,-1.5050994160514242
ACH-001353,-1.4188832284146125
ACH-001354,-1.6788361981052355
ACH-001367,-1.4343768640088297
ACH-001368,-1.5696857100025219
ACH-001374,-1.2161590278458092
ACH-001377,-1.492743741719006
ACH-001380,-1.4437586895175392
ACH-001391,-1.6368766077594283
ACH-001408,-1.7157302400908168
ACH-001430,-1.5081612141047602
ACH-001431,-1.2023199150415258
ACH-001450,-1.4948505688036486
ACH-001496,-1.276113933894692
ACH-001500,-1.4753159534621159
ACH-001523,-1.4550831521715184
ACH-001532,-1.4857299157739223
ACH-001550,-1.5482638711681034
ACH-001552,-1.1321117894772428
ACH-001554,-1.5067622989482798
ACH-001654,-1.4131330474085468
ACH-001735,-1.4991362190634678
ACH-001736,-1.2298876330686794
ACH-001737,-1.2756478543094336
ACH-001740,-1.5317426577418145
ACH-001745,-1.47395406984274
ACH-001765,-1.3135712037324767
