,CASQ1 (844)
ACH-000527,-0.01649054266315876
ACH-000528,0.031557798636578094
ACH-000537,-0.00892316373583862
ACH-000541,-0.25444407996701834
ACH-000542,0.012161667530504593
ACH-000544,-0.07464141260752565
ACH-000545,0.00029991103394032113
ACH-000547,-0.30595798605554897
ACH-000548,-0.23046136856831664
ACH-000549,0.004177264044885317
ACH-000550,0.005636757262878395
ACH-000552,-0.07713441749875864
ACH-000556,-0.09760130094627237
ACH-000557,-0.003050627310925563
ACH-000569,-0.002923451990639217
ACH-000570,-0.0033805965000073663
ACH-000571,0.02608686865719804
ACH-000573,-0.08302778517578642
ACH-000576,-0.056993847707221476
ACH-000579,-0.08317942081685721
ACH-000580,-0.2932276946222365
ACH-000584,0.060254690907176264
ACH-000585,-0.05258090090705972
ACH-000588,-0.3409847394944656
ACH-000589,-0.04888263453450682
ACH-000591,0.04942183782411963
ACH-000593,-0.0627802544341057
ACH-000600,0.036072428846300734
ACH-000601,-0.07144611919304808
ACH-000605,-0.06740321043966863
ACH-000606,0.0028626690946973728
ACH-000608,-0.07006164438058178
ACH-000614,-0.056999509975506076
ACH-000616,-0.1239909282932714
ACH-000618,-0.09222512031297024
ACH-000619,-0.0946052944416144
ACH-000620,0.06342435908169958
ACH-000621,-0.027019950199580447
ACH-000622,-0.04253583799870634
ACH-000623,0.04890350545569394
ACH-000624,-0.07190853245979853
ACH-000627,0.08803630382040603
ACH-000630,-0.000857497207888074
ACH-000631,-0.14477998623485067
ACH-000632,-0.025649170364668846
ACH-000633,0.08025649699551038
ACH-000637,0.02630524182349678
ACH-000638,0.0012043725829429842
ACH-000646,0.16851561591249425
ACH-000647,-0.12188030874252365
ACH-000648,-0.011058193169118252
ACH-000649,0.04131545781185593
ACH-000651,-0.03228461667091164
ACH-000652,-0.18784901858758515
ACH-000653,-0.0877416193414092
ACH-000657,-0.02571899334448849
ACH-000658,-0.1639502844534116
ACH-000661,-0.1777595188680156
ACH-000662,-0.3894707621396951
ACH-000663,-0.1319340463944217
ACH-000665,0.030839507171886507
ACH-000671,-0.17855198002073291
ACH-000672,-0.03975358108157357
ACH-000673,-0.010333736071067223
ACH-000676,-0.18269723785288225
ACH-000677,-0.0954288057838306
ACH-000681,0.02654670182018055
ACH-000683,-0.13294721993001796
ACH-000684,-0.06544073411277239
ACH-000688,0.061509172590316685
ACH-000693,0.022998277491380392
ACH-000694,0.028217293398599245
ACH-000695,0.025413856895768833
ACH-000696,-0.02877360950114449
ACH-000697,-0.04771276381613885
ACH-000699,-0.10576864136340307
ACH-000701,0.056069743320518825
ACH-000706,-0.1104179355390487
ACH-000711,-0.04225736932724373
ACH-000713,-0.2629902758332526
ACH-000714,-0.1087516293282011
ACH-000718,0.00485842287756339
ACH-000720,0.02637054947667375
ACH-000721,-0.1400535379780713
ACH-000724,0.07118831439843037
ACH-000725,-0.12144882402137396
ACH-000732,-0.13225122594884786
ACH-000734,-0.023997474188674952
ACH-000735,-0.06393795821036193
ACH-000736,-0.08333776049024934
ACH-000738,0.02175085847417204
ACH-000746,-0.03984416267164159
ACH-000747,-0.08114961702091876
ACH-000748,-0.07555218329045907
ACH-000753,-0.06242501709514135
ACH-000756,0.06793564254270683
ACH-000757,-0.08227748107738075
ACH-000758,-0.3117200557052581
ACH-000760,-0.0772106727432798
ACH-000762,-0.043870987751170695
ACH-000763,-0.00933551906739712
ACH-000764,-0.05529761140309829
ACH-000765,-0.19164738794271
ACH-000766,-0.07551928840300451
ACH-000767,-0.12326948344152827
ACH-000768,-0.018282789570984174
ACH-000769,-0.058774865867983125
ACH-000770,-0.016362660280099268
ACH-000771,-0.013222535376610724
ACH-000773,-0.12371750548458645
ACH-000776,0.10887761542521412
ACH-000777,-0.028123217662283945
ACH-000778,-0.006799161233493596
ACH-000781,-0.0695813096114978
ACH-000782,0.004611138424670207
ACH-000783,-0.052134028293526515
ACH-000784,-0.041732465499141606
ACH-000785,-0.1373047571150816
ACH-000787,-0.05048896887305418
ACH-000788,-0.045159692488841024
ACH-000791,-0.1184674820983386
ACH-000792,-0.008959886137884763
ACH-000794,-0.12082276611688635
ACH-000796,-0.10048417357171964
ACH-000798,-0.05717548020314616
ACH-000799,-0.035648067804351015
ACH-000800,0.03506612020112952
ACH-000802,-0.02728554194683841
ACH-000804,0.08462203773324012
ACH-000805,-0.1653315325875683
ACH-000809,-0.03470032012514067
ACH-000810,-0.05077877225808485
ACH-000811,-0.0270998049696657
ACH-000817,-0.1751592273155786
ACH-000819,-0.13873979063531436
ACH-000820,-0.029975333916066438
ACH-000821,-0.0739601964432104
ACH-000822,-0.024625854767839284
ACH-000823,0.019783022535216296
ACH-000824,-0.013889726462523198
ACH-000827,-0.001986069208570332
ACH-000829,-0.2982736285843567
ACH-000831,-0.0929829938224098
ACH-000832,-0.09884075350247087
ACH-000833,-0.09035721774177248
ACH-000834,-0.09048839854141633
ACH-000835,-0.030721369441543963
ACH-000836,-0.01871646757409141
ACH-000837,0.02762197592749908
ACH-000838,0.07863708072950151
ACH-000839,-0.1776999757591273
ACH-000840,-0.04776681036964694
ACH-000841,-0.11911239823348385
ACH-000843,0.05391162186943082
ACH-000846,-0.20056533368546345
ACH-000847,0.0370458614982452
ACH-000848,0.06574692060653435
ACH-000849,-0.08470152341677724
ACH-000851,0.02617873536612085
ACH-000855,-0.2190875939365227
ACH-000856,-0.0992998052845251
ACH-000858,-0.18976139075501847
ACH-000859,0.0649803176784001
ACH-000861,-0.07942495836946066
ACH-000862,-0.0465930275053516
ACH-000865,-0.09104918510783548
ACH-000866,-0.10424056483189252
ACH-000867,-0.031940204878547124
ACH-000869,-0.12194383523838676
ACH-000872,-0.0010818328100216377
ACH-000873,-0.033316251459691915
ACH-000876,0.010725272455272465
ACH-000878,0.09991823211967528
ACH-000880,-0.07386515204443156
ACH-000881,-0.01928501406929128
ACH-000882,-0.10542835325155836
ACH-000884,-0.09491047913831084
ACH-000885,0.07197422060461332
ACH-000887,-0.08178296501131366
ACH-000889,-0.022689604687555983
ACH-000896,-0.10566244573985048
ACH-000898,-0.01569395995515497
ACH-000900,-0.18838353955786644
ACH-000901,-0.002614357886849111
ACH-000905,-0.02166581663690609
ACH-000906,0.0583796799261335
ACH-000907,-0.09745563947696233
ACH-000910,0.016577335489702985
ACH-000911,-0.01595177883262298
ACH-000912,-0.10165095921454427
ACH-000913,-0.029436422988112627
ACH-000915,0.02265303038381157
ACH-000916,0.03217222143916301
ACH-000917,-0.027842689403522084
ACH-000920,0.09623671883090824
ACH-000921,-0.07923181393024886
ACH-000924,-0.16979752522300667
ACH-000926,-0.08962206238685441
ACH-000928,0.0165180586115625
ACH-000929,-0.010751631445283035
ACH-000932,-0.09596033198149533
ACH-000935,0.05673566843065201
ACH-000936,-0.08796785308447902
ACH-000937,-0.03830252467333069
ACH-000938,-0.024124074744665373
ACH-000939,0.02848049858284813
ACH-000941,-0.059272465916364266
ACH-000943,0.011647679067250569
ACH-000946,-0.004405006512139753
ACH-000947,0.03317826754807068
ACH-000948,-0.14077610776489527
ACH-000950,0.028271878511629614
ACH-000953,-0.024490066028918824
ACH-000954,-0.3309210598003346
ACH-000957,0.010823035920777605
ACH-000958,-0.21782123399428788
ACH-000960,-0.07690293766432946
ACH-000963,-0.043089234769397584
ACH-000968,-0.06229609087821411
ACH-000969,-0.06717217662003555
ACH-000972,0.21792214421628875
ACH-000973,-0.07588905856755117
ACH-000974,0.012937767290888429
ACH-000978,-0.17279466501322618
ACH-000984,0.006613438689616474
ACH-000986,-0.13540015800937444
ACH-000988,-0.01234659575103541
ACH-000993,-0.1255599770269101
ACH-000994,-0.03529997410924946
ACH-000996,-0.003269138700240877
ACH-001001,0.008914183239330381
ACH-001020,-0.1366802005939132
ACH-001028,-0.015892914216589383
ACH-001031,-0.0631012139197698
ACH-001038,0.036698741727733325
ACH-001048,-0.022393448884963092
ACH-001050,0.06591778382819206
ACH-001053,0.01690876014995371
ACH-001054,-0.09126552083196013
ACH-001061,-0.03243075935540304
ACH-001067,-0.013919200362063329
ACH-001075,-0.0657845397654649
ACH-001096,-0.15014794659674294
ACH-001111,-0.2232580429847312
ACH-001119,-0.08736140964050472
ACH-001128,0.012332995488748609
ACH-001134,0.032758074372017686
ACH-001151,-0.03419916509728856
ACH-001163,-0.1145903867017599
ACH-001164,-0.0740004741866511
ACH-001183,0.028139324555981254
ACH-001192,0.046784782036392365
ACH-001193,-0.2485409543271065
ACH-001196,0.02465219394803329
ACH-001197,0.0685779742896209
ACH-001205,-0.2975431796397112
ACH-001211,-0.10487681062494617
ACH-001212,-0.1866453600331203
ACH-001228,-0.012683851824305837
ACH-001232,-0.01569733237165641
ACH-001239,0.03006686116301048
ACH-001270,-0.08042386130138629
ACH-001274,0.01054994968520705
ACH-001275,0.04300704307006111
ACH-001277,0.013123528156537478
ACH-001278,-0.1672897425789302
ACH-001280,0.11395955717449673
ACH-001283,-0.07959034336344127
ACH-001289,-0.04304645771830344
ACH-001300,0.022373399472278014
ACH-001301,0.055764107871715166
ACH-001302,0.017267484611804343
ACH-001306,-0.0032466929541316303
ACH-001318,-0.067425061310656
ACH-001322,-0.3154793808524384
ACH-001328,-0.05013485072655589
ACH-001332,0.1118147926942846
ACH-001336,-0.040191907376066136
ACH-001346,-0.10167512628173044
ACH-001353,-0.02195390769664415
ACH-001354,0.2621452578230896
ACH-001367,0.0003482017379600084
ACH-001368,-0.08240865014582298
ACH-001374,-0.08490969411642706
ACH-001377,-0.022132396453499625
ACH-001380,-0.06725609824592142
ACH-001391,-0.11373177584321607
ACH-001408,-0.08807692794492435
ACH-001430,-0.2993881240032312
ACH-001431,0.013166084272557456
ACH-001450,-0.00572284977765865
ACH-001496,0.02230860482091471
ACH-001500,0.06557219677438515
ACH-001523,-0.04948875117660476
ACH-001532,-0.06296923367357991
ACH-001550,0.06340721880855256
ACH-001552,-0.05462222176691157
ACH-001554,-0.020943981099167158
ACH-001654,-0.0673040016428904
ACH-001735,0.06062687249282615
ACH-001736,0.07919520877682926
ACH-001737,0.041201000655201735
ACH-001740,0.09535132943570797
ACH-001745,-0.21495897776205625
ACH-001765,-0.04091451213645679
