,IGFN1 (91156)
ACH-000381,0.10036768589616993
ACH-000383,0.014293753843356918
ACH-000387,0.061740543834004465
ACH-000389,0.004380467581122472
ACH-000390,-0.04715875305070616
ACH-000393,0.05511825901172282
ACH-000395,0.006536152731199093
ACH-000396,0.015800409495252295
ACH-000397,0.032293301738598
ACH-000401,0.037283573338633635
ACH-000402,-0.10275447056355808
ACH-000403,-0.06665643458975701
ACH-000404,-0.1833313569946516
ACH-000406,-0.05184077828804407
ACH-000407,0.12612486145672694
ACH-000408,-0.14794646060780647
ACH-000410,-0.06360262741005368
ACH-000411,-0.041311590272169976
ACH-000414,0.013307128430940313
ACH-000415,-0.02439180236258238
ACH-000416,-0.01561344738360593
ACH-000420,-0.1399597537452059
ACH-000421,-0.03260166396386358
ACH-000424,-0.06113232573939612
ACH-000425,0.03978361089049104
ACH-000426,0.12627127939451604
ACH-000427,-0.04869914190631475
ACH-000433,0.02751067254385492
ACH-000435,-0.08645417020925522
ACH-000436,0.04082579282043383
ACH-000444,-0.07885261214301129
ACH-000445,-0.04893428593293588
ACH-000448,-0.08681755113439366
ACH-000450,-0.14358148109804264
ACH-000452,-0.09409867234955234
ACH-000454,-0.1488476547392211
ACH-000458,-0.08225520911694309
ACH-000459,0.06610265487649371
ACH-000460,-0.015731990042227702
ACH-000461,0.07899623542525219
ACH-000463,-0.0828521526246241
ACH-000464,-0.07813656987815118
ACH-000466,0.08593984910748155
ACH-000467,-0.15590644859947353
ACH-000468,0.06763526427480865
ACH-000469,0.011371595423472968
ACH-000470,0.14068220657967856
ACH-000471,0.056329996439340585
ACH-000472,-0.046482300104748964
ACH-000473,-0.048291405253467284
ACH-000475,-0.0332140552292528
ACH-000476,-0.02664763479832284
ACH-000477,0.09387768663451826
ACH-000479,0.10816300504912696
ACH-000480,-0.05181883342960319
ACH-000481,0.009994648300849816
ACH-000483,-0.06809748986546081
ACH-000484,-0.10574862095784464
ACH-000485,-0.08968065058260911
ACH-000486,0.02525523565316546
ACH-000487,-0.09306085846758233
ACH-000488,-0.10800469185119138
ACH-000490,-0.19492962817354176
ACH-000491,0.013221291017730778
ACH-000495,0.09456425182580476
ACH-000496,0.1669301848195039
ACH-000499,0.03307308576424713
ACH-000500,-0.07545465274022398
ACH-000502,-0.0103455777009469
ACH-000503,-0.08966835894149305
ACH-000505,0.0106748217952361
ACH-000507,-0.010184505749136222
ACH-000510,-0.13074994279821509
ACH-000511,-0.13010407625537976
ACH-000512,0.0637432072095065
ACH-000516,-0.05147376387229567
ACH-000517,0.010967072240591541
ACH-000518,0.014487655313271768
ACH-000520,-0.07815668728884845
ACH-000521,0.08751467838080387
ACH-000522,0.007432447622058472
ACH-000524,-0.0037728695707566415
ACH-000527,-0.02424850639914186
ACH-000528,-0.060018110396929725
ACH-000537,0.10329160919882133
ACH-000541,-0.0058645027172805975
ACH-000542,0.03435004384805486
ACH-000544,0.0031774799774937483
ACH-000545,-0.0664410937709212
ACH-000547,-0.06490607757472504
ACH-000548,-0.11800139091309406
ACH-000549,-0.17049968827948894
ACH-000550,-0.04718294208235746
ACH-000552,-0.018507503312628418
ACH-000556,-0.1657185901881754
ACH-000557,0.04502218220134386
ACH-000569,0.012812613789774052
ACH-000570,0.05079416676258668
ACH-000571,0.02541269251882974
ACH-000573,-0.05479700674501384
ACH-000576,-0.17417746741425605
ACH-000579,-0.035970541868410345
ACH-000580,-0.33223037352117063
ACH-000584,-0.006254071174090435
ACH-000585,-0.14703034625139805
ACH-000588,-0.041167344646953034
ACH-000589,-0.0434496285752553
