,SPRR1A (6698)
ACH-000584,0.0939287292856879
ACH-000585,0.0489128247598381
ACH-000588,0.03643392566581388
ACH-000589,0.0033997629432605844
ACH-000591,0.06408202777298375
ACH-000593,0.035967457122045375
ACH-000600,0.1535324882699749
ACH-000601,0.05553946485849762
ACH-000605,0.0995160972438069
ACH-000606,0.029081407458804345
ACH-000608,0.13542736776971168
ACH-000614,0.0898649617132209
ACH-000616,0.013268739720068385
ACH-000618,-0.05278725920166431
ACH-000619,-0.007300230571757856
ACH-000620,0.0650637692087843
ACH-000621,0.08274811061626074
ACH-000622,0.0032859644461526827
ACH-000623,0.07959358695168671
ACH-000624,0.03646793451766086
ACH-000627,-0.004485234745692149
ACH-000630,0.052651732152354434
ACH-000631,0.2384959186172146
ACH-000632,0.05697912218249429
ACH-000633,0.03324247630573867
ACH-000637,-0.012729589355575577
ACH-000638,-0.04302215941357453
ACH-000646,-0.05730629201994851
ACH-000647,-0.05418923319897176
ACH-000648,0.05304990562337705
ACH-000649,0.1277863753407302
ACH-000651,0.08235907929540197
ACH-000652,0.1791031497808988
ACH-000653,0.03353339437609063
ACH-000657,-0.014075955132449981
ACH-000658,-0.023689312241016242
ACH-000661,-0.0882351622266016
ACH-000662,-0.19922469887456734
ACH-000663,-0.018002689528123797
ACH-000665,0.07259880415372501
ACH-000671,0.006035760590994825
ACH-000672,-0.14372552891717727
ACH-000673,0.0040571436087486245
ACH-000676,-0.04615256781605186
ACH-000677,0.003971801934505661
ACH-000681,0.1179670678494287
ACH-000683,-0.007431138164713272
ACH-000684,-0.011034866177346487
ACH-000688,0.1392711612162072
ACH-000693,0.04393825172091085
ACH-000694,0.04962607463341544
ACH-000695,0.01127646726198073
ACH-000696,-0.044026912503587035
ACH-000697,0.15026685113133215
ACH-000699,0.02835160410398036
ACH-000701,0.21460180173485735
ACH-000706,0.07456145369241185
ACH-000711,0.04417535174237816
ACH-000713,-0.0009747375150190405
ACH-000714,-0.07258812219477365
ACH-000718,-0.07688831022385301
ACH-000720,0.018751143000332048
ACH-000721,0.0918057181028603
ACH-000724,-0.03046072547084842
ACH-000725,0.033711422606512526
ACH-000732,-0.10800410937775327
ACH-000734,0.02034440784852116
ACH-000735,0.0053224000677626546
ACH-000736,0.1268535130445453
ACH-000738,0.028193284839439905
ACH-000746,0.15608580777112613
ACH-000747,0.011052997214889485
ACH-000748,-0.014082330394209485
ACH-000753,0.026243102406607287
ACH-000756,0.09280874304119223
ACH-000757,0.10640906958681692
ACH-000758,-0.1953002074846772
ACH-000760,-0.314791059806745
ACH-000762,0.09357357142306763
ACH-000763,0.034070421245005755
ACH-000764,0.041580086074575716
ACH-000765,-0.05963527543007445
ACH-000766,0.013748225979980974
ACH-000767,0.010971889608541858
ACH-000768,-0.021945107894200438
ACH-000769,0.14150270098581774
ACH-000770,-0.04159535745312802
ACH-000771,0.03391593947337855
ACH-000773,0.06401466299024977
ACH-000776,0.05182752965422233
ACH-000777,0.054654194943295833
ACH-000778,0.09195981425742604
ACH-000781,0.06718549593606311
ACH-000782,-0.0488293869660272
ACH-000783,0.0837758407986156
ACH-000784,0.10263626135530066
ACH-000785,0.04780649823445455
ACH-000787,-0.126978558940886
ACH-000788,0.03620407761812616
ACH-000791,-0.00741733465538663
ACH-000792,-0.08293135050501582
ACH-000794,0.13062633553423192
ACH-000796,0.01939365195787309
ACH-000798,-0.04118425984332237
ACH-000799,0.03007436220347582
ACH-000800,-0.0015426123042473405
ACH-000802,0.03899958637700849
ACH-000804,0.08218411110965146
ACH-000805,-0.1461804383336029
ACH-000809,-0.03673599465936518
ACH-000810,0.04953291315968205
ACH-000811,0.0174391152461459
ACH-000817,0.0004977410343309387
ACH-000819,0.029773066097295544
ACH-000820,-0.0531363499353896
ACH-000821,-0.031130563813979863
ACH-000822,0.018555826566892204
ACH-000823,0.11699933228015225
ACH-000824,0.0358197749442991
ACH-000827,0.06616163640720936
ACH-000829,0.07829056924093533
ACH-000831,0.1280896200606126
ACH-000832,0.07226070007140044
ACH-000833,0.21082129041945227
ACH-000834,0.04637664986289662
ACH-000835,-0.06522277399197883
ACH-000836,0.0648119860926005
ACH-000837,0.08453709854539977
ACH-000838,0.0748850522098933
ACH-000839,0.0007871366513833644
ACH-000840,-0.07470788408128251
ACH-000841,0.15935228539072818
ACH-000843,0.038656097348273515
ACH-000846,-0.0693285398427349
ACH-000847,0.04854437718893255
ACH-000848,0.034131638590995224
ACH-000849,0.15335471019107494
ACH-000851,0.13925318628490702
ACH-000855,-0.07618507605546643
ACH-000856,-0.03615112076824888
ACH-000858,0.16711562824695925
ACH-000859,0.0714440472410723
ACH-000861,-0.04483023133088492
ACH-000862,6.574255770393464e-05
ACH-000865,0.050924131991848615
ACH-000866,0.1376610660591895
ACH-000867,0.02771433960221702
ACH-000869,-0.002975751254756632
ACH-000872,0.1900625755539503
ACH-000873,0.2314443702602042
ACH-000876,0.07954946394111037
ACH-000878,-0.05392411020295168
ACH-000880,0.1027150106334957
ACH-000881,0.07863822886244794
ACH-000882,0.05034110724155326
ACH-000884,0.06331095473277656
ACH-000885,0.0563257614211168
ACH-000887,0.06298082051254998
ACH-000889,0.007177666804924912
ACH-000896,0.04117128908042336
ACH-000898,-0.01167753710489775
ACH-000900,-0.05153364785224749
ACH-000901,0.055440973297888316
ACH-000905,-0.010858338599507465
ACH-000906,0.12139099569265753
ACH-000907,-0.014728637517393057
ACH-000910,0.08705294470243395
ACH-000911,0.1298555005404331
ACH-000912,0.04230848755971147
ACH-000913,-0.0025754801107870768
ACH-000915,-0.03640125095695917
ACH-000916,0.025365094219198088
ACH-000917,-0.06332894818653223
ACH-000920,0.0508201648753291
ACH-000921,0.07830114156032315
ACH-000924,0.010266458374902714
ACH-000926,-0.02334720744964221
ACH-000928,0.18507897691574096
ACH-000929,-0.02791238066068694
ACH-000932,0.050787847157110884
ACH-000935,0.00427856856942649
ACH-000936,-0.023873079065477643
ACH-000937,0.0825896792422068
ACH-000938,-0.035756642570629764
ACH-000939,0.11854255064795845
ACH-000941,0.04933467766505627
ACH-000943,0.061514147720287474
ACH-000946,0.00197372862907108
ACH-000947,0.03891726498060926
ACH-000948,-0.07997801126570095
ACH-000950,-0.04136216778689402
ACH-000953,0.06809067129989091
ACH-000954,-0.009119938570709014
ACH-000957,-0.08224273339972045
ACH-000958,-0.15070824353537446
ACH-000960,-0.04290063938020835
ACH-000963,0.11685461970239927
ACH-000968,0.11864666430659082
ACH-000969,-0.016479609253919374
ACH-000972,-0.12181611837285905
ACH-000973,-0.022898559230827908
ACH-000974,0.0929022703829094
ACH-000978,0.27779971511074003
ACH-000984,-0.03739233930245583
ACH-000986,0.006815914666893995
ACH-000988,0.008540747138557878
ACH-000993,0.090710299988113
ACH-000994,0.05999277022134476
ACH-000996,-0.10727322968163877
ACH-001001,0.0027430936784247906
ACH-001020,-0.02839583550515705
ACH-001028,0.02844084256124595
ACH-001031,0.05008131637362938
ACH-001038,0.038163299402818165
ACH-001048,0.08690069806195799
ACH-001050,0.051189601873593366
ACH-001053,0.12547678538605492
ACH-001054,-0.030153034433846555
ACH-001061,0.02331855065546938
ACH-001067,0.09259742504672283
ACH-001075,-0.09918953604015962
ACH-001096,0.044382099467599134
ACH-001111,-0.1273915963364955
ACH-001119,0.12624846954925506
ACH-001128,0.05098269447313726
ACH-001134,0.051160235183627965
ACH-001151,0.03443276467872591
ACH-001163,-0.04971578331354466
ACH-001164,0.20490996102169975
ACH-001183,0.06394357376610414
ACH-001192,0.13091552812476545
ACH-001193,0.09695968241223143
ACH-001196,0.14587217751823567
ACH-001197,0.13416855659850305
ACH-001205,-0.1653378522308655
ACH-001211,-0.1853238220888272
ACH-001212,0.06789555069032042
ACH-001228,0.2270690585141601
ACH-001232,0.08055502219830414
ACH-001239,-0.04003051965914197
ACH-001270,0.1080164264483515
ACH-001274,0.0984185105601968
ACH-001275,0.22856434894572697
ACH-001277,0.05072111747581458
ACH-001278,0.04315954764101651
ACH-001280,0.18283632025191554
ACH-001283,0.031693206882720926
ACH-001289,0.1060494138801801
ACH-001300,0.08573180494071507
ACH-001301,0.1849240096044228
ACH-001302,0.11897319837183715
ACH-001306,0.017397696715430167
ACH-001318,-0.009242247825047505
ACH-001322,0.1360373069527481
ACH-001328,0.04533309686874969
