,CDRT1 (374286)
ACH-000510,-0.07675034306902506
ACH-000511,-0.13386576093932676
ACH-000512,0.0930641688572328
ACH-000516,0.0021631511175748738
ACH-000517,-0.11648471038232855
ACH-000518,-0.011746405079381529
ACH-000520,-0.11833380779741208
ACH-000521,-0.12673394164560553
ACH-000522,0.01753803114360969
ACH-000524,-0.033747587238936706
ACH-000527,0.002930882769034862
ACH-000528,0.1017234360362388
ACH-000537,0.03166392918418203
ACH-000541,0.26519798472748835
ACH-000542,-0.009725311807363595
ACH-000544,0.04396705436988039
ACH-000545,-0.015305141331777896
ACH-000547,0.12124108607250812
ACH-000548,-0.12812970949222716
ACH-000549,-0.03436546995158876
ACH-000550,-0.11428481252842773
ACH-000552,-0.00863528878860417
ACH-000556,-0.0714142046992708
ACH-000557,-0.00576015958855895
ACH-000569,0.035949196716302416
ACH-000570,-0.02943164773677238
ACH-000571,-0.0613140624577977
ACH-000573,-0.05783325927697666
ACH-000576,-0.11313575696145305
ACH-000579,-0.2223386768217618
ACH-000580,-0.09418062549688347
ACH-000584,-0.1080832058161525
ACH-000585,-0.04825414150811902
ACH-000588,0.00937719339388684
ACH-000589,-0.04253580865793077
ACH-000591,-0.18789615827042527
ACH-000593,-0.19635591598068472
ACH-000600,0.10336688476793444
ACH-000601,-0.06276063015564208
ACH-000605,0.08123380864657563
ACH-000606,-0.01068885183316804
ACH-000608,-0.14928327538661904
ACH-000614,0.09440596934770762
ACH-000616,0.006020902451795783
ACH-000618,0.06218219140253685
ACH-000619,-0.07587747872925038
ACH-000620,-0.09343838874939082
ACH-000621,-0.1773381472132595
ACH-000622,-0.03689845585487864
ACH-000623,-0.110037091142215
ACH-000624,-0.0920112724414534
ACH-000627,-0.03114318456159015
ACH-000630,0.015655387423953337
ACH-000631,-0.2627371443733966
ACH-000632,-0.00463466785262786
ACH-000633,-0.15841114357123234
ACH-000637,0.2532796685747781
ACH-000638,0.01095455369530514
ACH-000646,0.02848741041604704
ACH-000647,-0.07605577721054597
ACH-000648,0.07595857389131802
ACH-000649,0.0691415379196526
ACH-000651,0.05432953097654138
ACH-000652,0.05667051757826395
ACH-000653,-0.1261766339045284
ACH-000657,-0.024526818446417485
ACH-000658,0.033115379487435315
ACH-000661,0.025142983537640603
ACH-000662,-0.3367413709346713
ACH-000663,0.09788607789540524
ACH-000665,-0.14837890182605484
ACH-000671,-0.09961131098149163
ACH-000672,-0.0534583853547041
ACH-000673,-0.1294364476720481
ACH-000676,-0.031264436634986674
ACH-000677,0.025781765354434938
ACH-000681,-0.19519399919679606
ACH-000683,0.0030008732244988017
ACH-000684,-0.003347703694231173
ACH-000688,-0.18832673510462145
ACH-000693,0.0694507735795282
ACH-000694,0.06324592775740051
ACH-000695,-0.12754353713668085
ACH-000696,-0.07652304096919645
ACH-000697,-0.01823393892920134
ACH-000699,-0.07755699490571312
ACH-000701,-0.04040161511042417
ACH-000706,-0.042851683503641325
ACH-000711,-0.06292492899024711
ACH-000713,-0.18630295073779296
ACH-000714,-0.04668364140185879
ACH-000718,-0.06061213348031162
ACH-000720,-0.07318484758414484
ACH-000721,-0.09326024299333337
ACH-000724,-0.08230599201042497
ACH-000725,0.0983864130137485
ACH-000732,-0.04639716496417491
ACH-000734,0.08120054582949242
ACH-000735,-0.03235826493162945
ACH-000736,-0.1741342185634604
ACH-000738,-0.014209014190112787
ACH-000746,-0.0942745984882776
ACH-000747,0.05362060074371956
ACH-000748,0.12536574051417132
ACH-000753,-0.03548982910304165
ACH-000756,-0.02835680025126373
ACH-000757,0.02179214460153996
ACH-000758,0.05752019068599724
ACH-000760,-0.09362107063145927
ACH-000762,0.1224449558756282
ACH-000763,-0.013852214545447454
ACH-000764,-0.1962430753903604
ACH-000765,0.10767148772062128
ACH-000766,-0.03252646130324045
ACH-000767,-0.1886019910896476
ACH-000768,-0.07747150376188935
ACH-000769,-0.01387766545987415
ACH-000770,-0.029780130476609826
ACH-000771,0.1205761265060042
ACH-000773,-0.1828331381306812
ACH-000776,-0.21997793245484235
ACH-000777,-0.017833903137477642
ACH-000778,-0.029563885702909187
ACH-000781,-0.09999714918199136
ACH-000782,-0.1629288027940863
ACH-000783,-0.03851210241760503
ACH-000784,-0.01330024221070646
ACH-000785,-0.05473020211001605
ACH-000787,-0.04006512014412302
ACH-000788,-0.14858742346782744
ACH-000791,-0.205082971368912
ACH-000792,-0.0972659959815941
ACH-000794,-0.029361136514135182
ACH-000796,-0.03024287895833233
ACH-000798,-0.07302071228374696
ACH-000799,-0.03249020289660444
ACH-000800,-0.039010754901689516
ACH-000802,-0.0716320791326915
ACH-000804,-0.0974866616174121
ACH-000805,0.02133389155666171
ACH-000809,-0.015916049424401873
ACH-000810,-0.14927277286441906
ACH-000811,-0.15753239582131542
ACH-000817,0.1431453655809609
ACH-000819,0.024498753670500542
ACH-000820,-0.026830321636124584
ACH-000821,-0.15033573019453175
ACH-000822,-0.007827983050306256
ACH-000823,0.05024876837870165
ACH-000824,0.037751087997549344
ACH-000827,-0.022131883595234256
ACH-000829,-0.023624073890708905
ACH-000831,0.11680087683151998
ACH-000832,-0.07500772574720467
ACH-000833,-0.2169410187563227
ACH-000834,-0.010512564109957236
ACH-000835,0.03891160481724305
ACH-000836,0.0111505273305962
ACH-000837,-0.12291104846832207
ACH-000838,-0.040647752198880734
ACH-000839,-0.11698285634551255
ACH-000840,-0.24100911316066514
ACH-000841,0.09485677009090593
ACH-000843,-0.022721781359266783
ACH-000846,-0.047643530305019964
ACH-000847,-0.16555406096523573
ACH-000848,0.04831680551339538
ACH-000849,0.1231716454479428
ACH-000851,-0.062497181849689075
ACH-000855,0.11628100472981565
ACH-000856,0.011762424033615515
ACH-000858,-0.18877408162778106
ACH-000859,-0.0837309215325825
ACH-000861,-0.1617988295209722
ACH-000862,-0.058343088703255275
ACH-000865,0.11338049771009012
ACH-000866,-0.005501771504225125
ACH-000867,-0.136841485021446
ACH-000869,0.02636102186272075
ACH-000872,-0.13305506979289428
ACH-000873,0.06558377899730856
ACH-000876,-0.013117646712246632
ACH-000878,-0.025338136081161162
ACH-000880,0.014369704608393503
ACH-000881,0.08220477219355506
ACH-000882,-0.09933296943570813
ACH-000884,0.0069881578675401925
ACH-000885,0.034573066488338945
ACH-000887,-0.09954126167246924
ACH-000889,-0.07970502044972695
ACH-000896,-0.011734635480240506
ACH-000898,-0.009746378158360757
ACH-000900,0.056318195573872326
ACH-000901,0.006304502610209325
ACH-000905,-0.08990115003711771
ACH-000906,-0.006351871493312905
ACH-000907,0.08620354818472864
ACH-000910,0.04140127727363451
ACH-000911,-0.15808620156204775
ACH-000912,-0.02442283402568935
ACH-000913,-0.11016080717098056
ACH-000915,-0.09939472806241983
ACH-000916,-0.016228457987669573
ACH-000917,-0.015843079069042768
ACH-000920,-0.08208414991954632
ACH-000921,0.04512834916719164
ACH-000924,-0.019124818401102386
ACH-000926,-0.003771843035100019
ACH-000928,0.07304958142584249
ACH-000929,0.09068728350829633
ACH-000932,-0.13271612449282905
ACH-000935,0.17426520782778884
ACH-000936,0.016613080947367763
ACH-000937,0.02184398646777581
ACH-000938,0.11320963782367575
ACH-000939,-0.0709787194980076
ACH-000941,0.05628142791614495
ACH-000943,0.016352359805827776
ACH-000946,-0.031897864564292944
ACH-000947,-0.10556129340364087
ACH-000948,-0.006283241420504088
ACH-000950,-0.15641917097039446
ACH-000953,0.009359613128886812
ACH-000954,-0.16481989137394998
ACH-000957,-0.04045446829455132
ACH-000958,-0.22393095765853147
ACH-000960,0.056629011517282175
ACH-000963,-0.03901813726501955
ACH-000968,-0.029038497278570018
ACH-000969,-0.2110512991019173
ACH-000972,-0.15122982577492575
ACH-000973,-0.006338736333699168
ACH-000974,-0.031037603432208013
ACH-000978,-0.15167648507439402
ACH-000984,0.13045519897132365
ACH-000986,-0.11588502191954335
ACH-000988,-0.1603333168192199
ACH-000993,0.17886357383524842
ACH-000994,-0.02550759833676437
ACH-000996,-0.11763739513671735
ACH-001001,-0.07402932385877556
ACH-001020,-0.03234460856571285
ACH-001028,-0.05361863748644227
ACH-001031,-0.11724148415069267
ACH-001038,-0.011851437038104906
ACH-001048,-0.07290763938278483
ACH-001050,-0.05923423831592711
ACH-001053,0.05179611495003154
ACH-001054,0.02794457321584434
ACH-001061,-0.0069917396121307925
ACH-001067,-0.1413925897973925
ACH-001075,-0.22953405654647244
ACH-001096,0.024427827413676672
ACH-001111,0.053543861491180005
ACH-001119,-0.1631386121981691
ACH-001128,-0.2631475493304362
ACH-001134,0.11139087321643183
ACH-001151,-0.03047203858295858
ACH-001163,-0.01289696038035343
ACH-001164,0.19642609149726914
ACH-001183,-0.2336143300584589
ACH-001192,-0.057738009826946636
ACH-001193,0.03971472746871951
ACH-001196,-0.0882263327951122
ACH-001197,-0.17713862141512673
ACH-001205,-0.11052836086025236
ACH-001211,0.0614475347903846
ACH-001212,-0.2147335128993849
ACH-001228,-0.016381033081441274
ACH-001232,-0.05724931611621493
ACH-001239,0.10774394488812222
ACH-001270,-0.0810757685711701
ACH-001274,0.05664259218868033
