,SCAF4 (57466)
ACH-000887,-0.23572247631401885
ACH-000889,-0.41679664032580266
ACH-000896,-0.3471672521329847
ACH-000898,-0.2455243796352754
ACH-000900,-0.3996247995157614
ACH-000901,-0.17931680678445833
ACH-000905,-0.4882547107636883
ACH-000906,-0.14685335405403496
ACH-000907,-0.3391894716549436
ACH-000910,-0.15631102755808846
ACH-000911,-0.3266325738240405
ACH-000912,-0.4328064266625718
ACH-000913,-0.33585170342873794
ACH-000915,-0.1188545537879195
ACH-000916,0.019755190917874126
ACH-000917,-0.1793818130143918
ACH-000920,-0.03175553390376213
ACH-000921,-0.2450434115942941
ACH-000924,-0.3068670628300389
ACH-000926,-0.2944520603989336
ACH-000928,-0.15057272674376912
ACH-000929,-0.3365392402667491
ACH-000932,-0.3054482534092448
ACH-000935,-0.2188051572508476
ACH-000936,-0.12346572918191565
ACH-000937,-0.1861101826248048
ACH-000938,-0.2920535100366429
ACH-000939,-0.4525686488589741
ACH-000941,-0.26199236704014384
ACH-000943,-0.5303468937498641
ACH-000946,-0.18735195054034592
ACH-000947,-0.2328693412889612
ACH-000948,-0.3930171695572219
ACH-000950,-0.4912871927778456
ACH-000953,-0.2789905887663472
ACH-000954,-0.2883505061846643
ACH-000957,-0.4492239572811858
ACH-000958,-0.30843945116238786
ACH-000960,-0.032988563157424024
ACH-000963,0.1166892858660316
ACH-000968,-0.006647909651598625
ACH-000969,-0.06654299923838299
ACH-000972,-0.19606695410871092
ACH-000973,-0.2120600143147809
ACH-000974,-0.12818809843961293
ACH-000978,-0.11609975747735735
ACH-000984,-0.2625550452438615
ACH-000986,-0.1899190736314708
ACH-000988,-0.5949129357353318
ACH-000993,-0.5014770335937923
ACH-000994,-0.2016886546922076
ACH-000996,-0.7784817387516985
ACH-001001,-0.09901130912838904
ACH-001020,-0.1402111929587011
ACH-001028,-0.2944751623596136
ACH-001031,-0.20921560808668466
ACH-001038,-0.271834742344478
ACH-001048,-0.14609380294313076
ACH-001050,-0.42786114794104696
ACH-001053,-0.592155158927018
ACH-001054,-0.2398808713395301
ACH-001061,-0.16614175582790033
ACH-001067,-0.3315112932907757
ACH-001075,-0.5619984917625248
ACH-001096,-0.3404598174605277
ACH-001111,-0.3941233959302241
ACH-001119,-0.5443914456816756
ACH-001128,-0.19342958710126407
ACH-001134,-0.3024168839127011
ACH-001151,-0.14365347461529834
ACH-001163,-0.20750478014742849
ACH-001164,-0.009622741520138265
ACH-001183,-0.041065629372697365
ACH-001192,-0.30022041962818075
ACH-001193,-0.6105052537996667
ACH-001196,-0.2156177186728851
ACH-001197,-0.4444697260724285
ACH-001205,-0.3136393003111833
ACH-001211,-0.03220970269987024
ACH-001212,-0.1385652463414145
ACH-001228,-0.3259130556534705
ACH-001232,-0.4574411677878925
ACH-001239,-0.20678444359488185
ACH-001270,-0.3335873544071845
ACH-001274,0.07892501802445269
ACH-001275,-0.2920830490115093
ACH-001277,-0.23068957130287174
ACH-001278,0.1217772490340544
ACH-001280,-0.1485026517718407
ACH-001283,-0.2558964262776423
ACH-001289,-0.21169877922859032
ACH-001300,-0.2349187234350304
ACH-001301,-0.33776089896048506
ACH-001302,-0.22239132058830385
ACH-001306,-0.4439855030946875
ACH-001318,-0.08597552504277718
ACH-001322,-0.329623190568594
ACH-001328,-0.13494190735149156
ACH-001332,-0.17521022394364827
ACH-001336,-0.26969687617142873
ACH-001346,-0.4072516380992761
ACH-001353,-0.28631894618077675
ACH-001354,-0.09796329850195028
