,NXN (64359)
ACH-000375,-0.14897810698421488
ACH-000376,-0.14264086320604727
ACH-000381,-0.13087295215677722
ACH-000383,-0.027240912696286482
ACH-000387,0.05847175105031281
ACH-000389,0.0511452670328149
ACH-000390,-0.07638926720101948
ACH-000393,-0.0344594441300902
ACH-000395,-0.13613184178106513
ACH-000396,-0.05386599564562339
ACH-000397,-0.1543505699226243
ACH-000401,0.2152912977382769
ACH-000402,-0.15712694240207328
ACH-000403,0.008760494411085385
ACH-000404,-0.2988661952530419
ACH-000406,-0.0350746444301101
ACH-000407,-0.1766934996944802
ACH-000408,-0.09250162590624204
ACH-000410,-0.038054139133470784
ACH-000411,-0.17872691766972668
ACH-000414,-0.07735955084582508
ACH-000415,-0.05735311383522074
ACH-000416,-0.04529305209964666
ACH-000420,-0.054831932533029315
ACH-000421,-0.249679578862572
ACH-000424,0.12078061743451092
ACH-000425,0.009461745526584448
ACH-000426,-0.06642304366488072
ACH-000427,-0.13400082837095784
ACH-000433,0.16278016279039725
ACH-000435,0.1553283027663196
ACH-000436,-0.08713939504184
ACH-000444,-0.0887171755674566
ACH-000445,-0.2113336776728207
ACH-000448,-0.15816624353501854
ACH-000450,-0.2435001861744621
ACH-000452,-0.015591809580678628
ACH-000454,-0.008102000920208373
ACH-000458,-0.17220598643738624
ACH-000459,-0.05859121440236908
ACH-000460,-0.001968723489292056
ACH-000461,-0.01809215405227573
ACH-000463,-0.1626373526608196
ACH-000464,-0.17098441419033614
ACH-000466,-0.19406534489962948
ACH-000467,-0.03900817570140954
ACH-000468,-0.15769861807191707
ACH-000469,-0.10074711266031047
ACH-000470,-0.015871025915221503
ACH-000471,-0.06401131967911597
ACH-000472,-0.034980409340902574
ACH-000473,0.11406476168170215
ACH-000475,-0.05817140940950324
ACH-000476,-0.0995538762433308
ACH-000477,0.07420979117531566
ACH-000479,-0.2494799901061503
ACH-000480,-0.04866238099763863
ACH-000481,-0.0735648932903409
ACH-000483,-0.12132246538554214
ACH-000484,-0.34693467203927586
ACH-000485,-0.039340544392112375
ACH-000486,0.010479205383542313
ACH-000487,-0.06956509087435002
ACH-000488,0.009202672001256672
ACH-000490,-0.01199475000965558
ACH-000491,-0.15736566718497905
ACH-000495,0.050457575668073136
ACH-000496,-0.16529426932225702
ACH-000499,-0.041657016487154884
ACH-000500,0.2678253281802653
ACH-000502,0.008725233328807105
ACH-000503,-0.1627147450752418
ACH-000505,-0.14529275090999194
ACH-000507,-0.09214948472039984
ACH-000510,-0.08543772140262712
ACH-000511,0.029517401422000208
ACH-000512,-0.11290192676868704
ACH-000516,-0.16938560187030496
ACH-000517,-0.08468823528989912
ACH-000518,-0.08035466997896781
ACH-000520,-0.000767239706804181
ACH-000521,-0.11210813004013127
ACH-000522,0.011362135624146662
ACH-000524,-0.10709112192354933
ACH-000527,-0.053707213050282365
ACH-000528,-0.05880958328645891
ACH-000537,-0.21408572741601006
ACH-000541,0.046471726511685234
ACH-000542,-0.11778922958933002
ACH-000544,0.01464249919770852
ACH-000545,-0.015620128222340724
ACH-000547,-0.0388569878768084
ACH-000548,-0.044715549383120716
ACH-000549,-0.02093465987934464
ACH-000550,-0.14395137717708031
ACH-000552,-0.0956378057875035
ACH-000556,-0.07552490990456429
ACH-000557,-0.11864493987727692
ACH-000569,-0.2928771257645241
ACH-000570,-0.0462781647551498
ACH-000571,-0.11346870984045968
ACH-000573,0.0030558838716272275
ACH-000576,-0.2646303467226893
ACH-000579,-0.20313119023510198
ACH-000580,-0.05036177363004592
ACH-000584,-0.035084937090380346
ACH-000585,-0.06193505921066714
ACH-000588,-0.032248186702857284
ACH-000589,0.055732234130601375
ACH-000591,-0.053906100842294885
ACH-000593,-0.1189130273437526
ACH-000600,0.0167746178301312
ACH-000601,-0.09114715724264467
ACH-000605,-0.11091787282422556
ACH-000606,0.01474193726479447
ACH-000608,-0.10372833591187154
ACH-000614,-0.16399063238513029
ACH-000616,0.05487152057665324
ACH-000618,0.10570664328174884
ACH-000619,0.03317050628482978
ACH-000620,-0.08183826798130954
ACH-000621,-0.060476492534905876
ACH-000622,-0.17155571279349915
ACH-000623,-0.19586508889890689
ACH-000624,-0.06341808793495947
ACH-000627,-0.05859846104065036
ACH-000630,-0.03600424422590963
ACH-000631,-0.1245590979361789
ACH-000632,-0.14260711110349328
ACH-000633,-0.014533818468726959
ACH-000637,0.10994936292201876
ACH-000638,0.04033540353166274
ACH-000646,-0.029117461705624
ACH-000647,0.005778590150583025
ACH-000648,-0.2148295056448385
ACH-000649,-0.03034400933013565
ACH-000651,-0.12042792149740372
ACH-000652,-0.002511822993216822
ACH-000653,-0.15915075703152132
ACH-000657,-0.10809905185637277
ACH-000658,-0.06834944541938004
ACH-000661,-0.07801274887394175
ACH-000662,0.14037856447782304
ACH-000663,-0.20537126769258654
ACH-000665,-0.044034375664279785
ACH-000671,-0.034582887415723434
ACH-000672,0.0293722708502918
