,MLN (4295)
ACH-000768,0.10854649003609756
ACH-000769,0.17097952577498726
ACH-000770,0.20341025920952124
ACH-000771,0.04873260530487439
ACH-000773,0.06951696900191824
ACH-000776,-0.07546418433456792
ACH-000777,0.10564307304653082
ACH-000778,0.12054516044006862
ACH-000781,0.023241149479993832
ACH-000782,0.16434373704541833
ACH-000783,0.08209382192832136
ACH-000784,0.11899468931025085
ACH-000785,0.10666752131832516
ACH-000787,0.12295774235357895
ACH-000788,0.14044071072088432
ACH-000791,0.020413097945899933
ACH-000792,0.09553472066334363
ACH-000794,0.040674093672135564
ACH-000796,0.09752748636017942
ACH-000798,-0.029342019571499
ACH-000799,0.0627998647060489
ACH-000800,0.23115304254155056
ACH-000802,0.06788739749070945
ACH-000804,0.3309423828058839
ACH-000805,0.05309935942198267
ACH-000809,0.0790865671516659
ACH-000810,0.010947839127424013
ACH-000811,0.1406067033290788
ACH-000817,-0.13524468148258886
ACH-000819,0.09843190366856404
ACH-000820,-0.06487076592458356
ACH-000821,0.2959576039008243
ACH-000822,0.16868474091284935
ACH-000823,0.09160353888478964
ACH-000824,0.1696773166538223
ACH-000827,0.10428658914413508
ACH-000829,0.06256037585794624
ACH-000831,0.14459224807789925
ACH-000832,0.023586572201247533
ACH-000833,0.15836999319476572
ACH-000834,0.1314695759950019
ACH-000835,0.15022618770060225
ACH-000836,0.10692863533193717
ACH-000837,-0.024860313983706004
ACH-000838,0.18690253127730735
ACH-000839,0.1271015888357687
ACH-000840,0.08067952496189644
ACH-000841,0.10916843792049898
ACH-000843,0.009290038684571272
ACH-000846,0.11760912681128965
ACH-000847,0.1284498715115825
ACH-000848,0.10331750375829273
ACH-000849,0.08976624986783416
ACH-000851,0.0821381683019363
ACH-000855,0.09834055519774458
ACH-000856,0.061857767480518924
ACH-000858,0.0441181592432048
ACH-000859,0.13129120297691554
ACH-000861,0.13525380262860545
ACH-000862,0.04985015227594782
ACH-000865,0.05810108617447372
ACH-000866,0.12064137960413833
ACH-000867,0.08947897872844568
ACH-000869,0.14399224498396992
ACH-000872,0.22358460490803106
ACH-000873,-0.00042611251213011536
ACH-000876,0.08592109449810607
ACH-000878,0.13377420386473104
ACH-000880,0.15894162303107842
ACH-000881,0.053858771720411085
ACH-000882,0.06268245150652406
ACH-000884,0.10860908399474688
ACH-000885,0.01376400928794048
ACH-000887,0.08396672123619714
ACH-000889,-0.02564825766636669
ACH-000896,0.1699732402773978
ACH-000898,0.032276191048634696
ACH-000900,0.14641124044198212
ACH-000901,0.08852992371487754
ACH-000905,0.1094386440080789
ACH-000906,0.15636237638124836
ACH-000907,0.07380323495571081
ACH-000910,0.10965906651902084
ACH-000911,0.12365567495095806
ACH-000912,0.08928477703156322
ACH-000913,0.05162862676424938
ACH-000915,-0.00990986339348894
ACH-000916,0.2933076461071575
ACH-000917,0.016596391505223646
ACH-000920,0.12921766088829564
ACH-000921,0.08483778934451577
ACH-000924,0.19389216192078926
ACH-000926,0.17365661145209133
ACH-000928,-0.1075556299217719
ACH-000929,0.001237089722116426
ACH-000932,0.09209882061371877
ACH-000935,0.18676051085699027
ACH-000936,0.2876757140171101
ACH-000937,0.11969017938200563
ACH-000938,0.08389285782387843
ACH-000939,0.0755133996785457
ACH-000941,0.0445057596924256
ACH-000943,0.12387259192810805
ACH-000946,0.02779737670467717
ACH-000947,0.04754388255955325
