,PI4KB (5298)
ACH-000652,-0.4586268650811116
ACH-000653,-0.5467214832342584
ACH-000657,-0.14788336042907346
ACH-000658,-0.7499211647632599
ACH-000661,-0.16827912998798636
ACH-000662,-0.5155391226489766
ACH-000663,-0.6126395415671367
ACH-000665,-0.17506100505962066
ACH-000671,-0.7122122997579794
ACH-000672,-0.4689762851649868
ACH-000673,-0.656504598028149
ACH-000676,-0.13766491782869106
ACH-000677,-0.32816811308881666
ACH-000681,-0.34254595323921744
ACH-000683,-0.1573120401651831
ACH-000684,-0.5907774166596134
ACH-000688,-0.5201487745857712
ACH-000693,-0.2453561701293565
ACH-000694,-0.13540526603338754
ACH-000695,-0.4637825948406977
ACH-000696,-0.3926069046034743
ACH-000697,-0.508830640502193
ACH-000699,-0.3611633662233273
ACH-000701,-0.3079464794888133
ACH-000706,-0.16545190525309866
ACH-000711,-0.7800899941452156
ACH-000713,-0.7350059250478999
ACH-000714,-0.2381440940437135
ACH-000718,0.020559923066451203
ACH-000720,-0.2688335532621289
ACH-000721,-0.1612574846943116
ACH-000724,-0.19758841820390013
ACH-000725,-0.4791505613711054
ACH-000732,-0.21802445075343405
ACH-000734,-0.3965175194371116
ACH-000735,-0.5366084437603496
ACH-000736,0.030013677323150818
ACH-000738,-0.36911336239850256
ACH-000746,-0.35544283220000944
ACH-000747,-0.21965187133073796
ACH-000748,-0.18815961546782384
ACH-000753,-0.1767611924540745
ACH-000756,-0.34362925697931795
ACH-000757,-0.4196739710137529
ACH-000758,-0.19572460008752893
ACH-000760,-0.3416144428221792
ACH-000762,-0.258286870381459
ACH-000763,-0.4720350419351727
ACH-000764,-0.5765227597680462
ACH-000765,-0.3509314150358301
ACH-000766,-0.4423730481129685
ACH-000767,-0.4409539021026556
ACH-000768,-0.4990850917705078
ACH-000769,-0.6748987680797665
ACH-000770,-0.5847278640988299
ACH-000771,-0.5398160589469696
ACH-000773,-0.4777732665386066
ACH-000776,-0.2023376965095212
ACH-000777,0.07214535707445775
ACH-000778,-0.2459041672940452
ACH-000781,-0.2153226168141996
ACH-000782,-0.3650941710547179
ACH-000783,-0.05253870633495823
ACH-000784,-0.1435965032650065
ACH-000785,-0.5599054060649699
ACH-000787,-0.5870186244366168
ACH-000788,-0.2285975054149639
ACH-000791,-0.282866208286954
ACH-000792,-0.5951419915060003
ACH-000794,-0.5372219298090747
ACH-000796,-0.5331074351399852
ACH-000798,-0.5594506085390961
ACH-000799,-0.25576535403947626
ACH-000800,-0.4582540170649706
ACH-000802,-0.19400564881146867
ACH-000804,-0.35496086680867056
ACH-000805,-0.058559598247112585
ACH-000809,-0.4258066620285712
ACH-000810,0.052405309390505736
ACH-000811,-0.4207425602986205
ACH-000817,-0.2777998700138265
ACH-000819,-0.298237669478773
ACH-000820,-0.6381602283561929
ACH-000821,-0.6050718387254141
ACH-000822,-0.3785035407372751
ACH-000823,-0.6990379356265085
ACH-000824,-0.10712639457233708
ACH-000827,-0.271428541282444
ACH-000829,-0.5678458691393224
ACH-000831,-0.1556034464346441
ACH-000832,-0.4235003502646376
ACH-000833,-0.4208598790062011
ACH-000834,-0.19687148146946212
ACH-000835,-0.3847262741263827
ACH-000836,-0.6525784973223884
ACH-000837,-0.2792702945785395
ACH-000838,-0.4291699040479013
ACH-000839,-0.2935791095117241
ACH-000840,-0.4457063509893313
ACH-000841,-0.283410199322995
ACH-000843,-0.52248769032327
ACH-000846,-0.3992032719062487
ACH-000847,-0.2168364752873292
ACH-000848,-0.31626422617381195
ACH-000849,-0.3780525030740337
ACH-000851,-0.7262881131606083
ACH-000855,-0.4268366620505439
ACH-000856,-0.29788813644942697
ACH-000858,-0.22615781598770135
ACH-000859,-0.5485341870378411
ACH-000861,-0.5280295779437918
ACH-000862,0.018148237392878762
ACH-000865,-0.28264333296171035
ACH-000866,-0.3093339182319581
ACH-000867,-0.3520379355729821
ACH-000869,-0.3886482650987392
ACH-000872,-0.2413948367759086
ACH-000873,-0.27786184092676985
ACH-000876,-0.13055787827431575
ACH-000878,-0.2601593881756273
ACH-000880,-0.17195516152805201
ACH-000881,-0.2418740029473198
ACH-000882,-0.5464538702785812
ACH-000884,-0.515378673515608
ACH-000885,-0.19338330867018294
ACH-000887,-0.1952001857031872
ACH-000889,-0.41109802081002456
ACH-000896,-0.17418074434243508
ACH-000898,-0.2614742165557569
ACH-000900,-0.2843541928454176
ACH-000901,-0.15713599010555165
ACH-000905,-0.465858787544628
ACH-000906,-0.06537960021532922
ACH-000907,-0.4405086050433984
ACH-000910,-0.5081099966919367
ACH-000911,-0.19998220497202196
ACH-000912,-0.3631518287361215
ACH-000913,-0.4945213495410896
ACH-000915,-0.3635365464037953
ACH-000916,-0.3298651501676725
ACH-000917,-0.004407063927721186
ACH-000920,-0.7363596750249154
ACH-000921,-0.0987819555391711
ACH-000924,-0.41624553130852
ACH-000926,-0.4363068743243351
ACH-000928,-0.4703807217314208
ACH-000929,-0.4203870787572826
ACH-000932,-0.38100673332915946
ACH-000935,-0.785346847450244
ACH-000936,-0.22454093079073836
ACH-000937,-0.5653123410707204
ACH-000938,-0.5155660446133471
ACH-000939,-0.26170508255047603
ACH-000941,-0.5950539450469896
ACH-000943,-0.2721499237890999
ACH-000946,-0.33550653763454663
ACH-000947,-0.06277009709291932
ACH-000948,-0.36242487184828337
ACH-000950,-0.007063602367575483
ACH-000953,-0.3515864072777865
ACH-000954,-0.4128824434467889
ACH-000957,-0.004942215550985642
ACH-000958,-0.18812007332582886
ACH-000960,-0.3814300638196183
ACH-000963,-0.3408588678503575
ACH-000968,-0.4966174800142562
ACH-000969,-0.3675099372324971
ACH-000972,-0.3725630138171675
ACH-000973,-0.4923454627049095
ACH-000974,-0.23222630181905654
ACH-000978,-0.11903123190301068
ACH-000984,-0.2541706394940774
ACH-000986,-0.3312665476111685
ACH-000988,-0.7044006670946631
ACH-000993,-0.25090253619554115
ACH-000994,-0.032351144423461466
ACH-000996,-0.353870225948928
ACH-001001,-0.2626016152234999
ACH-001020,-0.2791285588164555
ACH-001028,-0.12600067135054524
ACH-001031,-0.13485237040145115
ACH-001038,-0.7776500992464335
ACH-001048,-0.600154533196222
ACH-001050,-0.5006504438176106
ACH-001053,-0.7487905724551613
ACH-001054,-0.5333542281370051
ACH-001061,0.0034406588642921514
ACH-001067,-0.491093169672803
ACH-001075,0.08521667722648994
ACH-001096,-0.2601733217032458
ACH-001111,-0.8496264384770505
ACH-001119,-0.304663406880498
ACH-001128,-0.2294517199485451
ACH-001134,-0.6681638862340221
ACH-001151,-0.16891894749861602
ACH-001163,-0.5384044772926155
ACH-001164,-0.6414307124595979
ACH-001183,-0.08730599752376156
ACH-001192,-0.7884389105636518
ACH-001193,-0.26521964075102755
ACH-001196,-0.23803520405389725
ACH-001197,-0.6282492057690606
ACH-001205,-0.3647344468899819
ACH-001211,-0.3230281938872357
ACH-001212,-0.3346436522338331
ACH-001228,-0.2312571948314145
ACH-001232,-0.8358324607622964
ACH-001239,-0.4324217307044387
ACH-001270,-0.3377648932463811
ACH-001274,-0.5594202099066015
ACH-001275,-0.2151433841528059
ACH-001277,-0.3046122773207622
ACH-001278,-0.33450491709458263
ACH-001280,-0.19333580182012428
ACH-001283,-0.5005911247679786
ACH-001289,-0.15679277753492002
ACH-001300,-0.6243219240043096
ACH-001301,-0.2463961214263244
ACH-001302,-0.09711586845669523
ACH-001306,-0.4455367034149364
ACH-001318,-0.6484763857706602
ACH-001322,-0.27291209679251266
ACH-001328,-0.3253879921979774
ACH-001332,-0.5929022512913978
ACH-001336,-0.15129746567865646
ACH-001346,-0.12593939227622433
ACH-001353,-0.44680074716762497
ACH-001354,-0.3024826953101249
ACH-001367,-0.18443053541417234
ACH-001368,-0.1802854108779632
ACH-001374,-0.5527032943154951
ACH-001377,-0.25011732132381953
ACH-001380,-0.3077787893352561
ACH-001391,-0.5375263595688387
ACH-001408,-0.4359824072645153
ACH-001430,-0.33085133022368984
ACH-001431,-0.20726719355942266
ACH-001450,-0.07373616009600042
ACH-001496,-0.3447038148279556
ACH-001500,-0.4522684436332948
ACH-001523,-0.3014163381732204
ACH-001532,0.11012276967316233
ACH-001550,-0.17251160378820085
ACH-001552,-0.25848317412324096
ACH-001554,-0.22809177568086475
ACH-001654,-0.1297885823391543
ACH-001735,-0.7379449827931629
ACH-001736,-0.6716696173840337
ACH-001737,-0.2857095240191447
ACH-001740,-0.2641268862170034
ACH-001745,-0.4013492190951439
ACH-001765,-0.34668349674010024
