,LZTS1 (11178)
ACH-000785,-0.03586819843272103
ACH-000787,0.009703108807312932
ACH-000788,0.08784476825138479
ACH-000791,0.11240734269988152
ACH-000792,-0.12468105123200407
ACH-000794,-0.10020451801803408
ACH-000796,-0.09395945781570196
ACH-000798,-0.0153586927131658
ACH-000799,-0.05879309648594765
ACH-000800,-0.0941094368924195
ACH-000802,-0.1040625625575896
ACH-000804,-0.12402054478599896
ACH-000805,0.08478662278932228
ACH-000809,0.017201299430204868
ACH-000810,0.33744676828828474
ACH-000811,0.01134562077034316
ACH-000817,-0.0857683554072618
ACH-000819,-0.07681806230079127
ACH-000820,0.27450802060436164
ACH-000821,-0.2970239161950545
ACH-000822,-0.06837909338091337
ACH-000823,-0.20669788532827
ACH-000824,-0.1215712749390229
ACH-000827,-0.09379933581616504
ACH-000829,0.07847596525703923
ACH-000831,-0.0974852423991601
ACH-000832,-0.08431130054589701
ACH-000833,0.07135929454654401
ACH-000834,0.017685244764498075
ACH-000835,-0.18790056265705232
ACH-000836,0.2436685906258768
ACH-000837,0.02684172263338405
ACH-000838,0.040337508790230056
ACH-000839,-0.156024963777062
ACH-000840,0.12247488432631926
ACH-000841,0.09951881429662268
ACH-000843,-0.04270519043987171
ACH-000846,0.05505419517811532
ACH-000847,-0.013988061353665551
ACH-000848,0.05343245978757341
ACH-000849,-0.11496988508548288
ACH-000851,0.03166915658230239
ACH-000855,-0.22943108043111998
ACH-000856,-0.022650922358731538
ACH-000858,0.08653725704728234
ACH-000859,-0.030728853260071107
ACH-000861,-0.082053415059226
ACH-000862,-0.004158399270702214
ACH-000865,-0.13914958984034256
ACH-000866,-0.1100454606007783
ACH-000867,-0.10328595259871527
ACH-000869,-0.10476041062858836
ACH-000872,-0.1306328192488627
ACH-000873,-0.13474056146283145
ACH-000876,-0.039983705697334365
ACH-000878,0.1700223854130236
ACH-000880,-0.13304934285420306
ACH-000881,0.13203579611571625
ACH-000882,-0.028413394539071886
ACH-000884,-0.06469215826559725
ACH-000885,-0.029717925103016227
ACH-000887,-0.06635457615008364
ACH-000889,-0.1253034463686293
ACH-000896,-0.05896122541501887
ACH-000898,-0.1157907217101198
ACH-000900,0.06100022844817185
ACH-000901,0.030498035695182495
ACH-000905,0.0010411186976882856
ACH-000906,-0.18200363198049388
ACH-000907,0.016502500021442813
ACH-000910,-0.12306603439124525
ACH-000911,-0.11926584738002954
ACH-000912,-0.08457847943432348
ACH-000913,-0.038280578401621725
ACH-000915,-0.001063549945644711
ACH-000916,0.4126607805815239
ACH-000917,-0.20276156753574276
ACH-000920,-0.12561072480860985
ACH-000921,-0.012298247313886687
ACH-000924,-0.025709614524448983
ACH-000926,-0.13520566773602205
ACH-000928,-0.08261919751908599
ACH-000929,-0.04259607496651955
ACH-000932,-0.01629323673115023
ACH-000935,-0.1623320279917933
ACH-000936,-0.141304143192252
ACH-000937,-0.18045539165338706
ACH-000938,-0.2585282001448547
ACH-000939,0.2850257582672988
ACH-000941,-0.04797751665694331
ACH-000943,-0.029164229871586875
ACH-000946,-0.039867493069611855
ACH-000947,-0.025498440353860976
ACH-000948,-0.12395613703364874
ACH-000950,-0.12790055219329607
ACH-000953,-0.17682510601000698
ACH-000954,-0.01795295271778513
ACH-000957,0.0826136478843759
ACH-000958,-0.08533000008784929
ACH-000960,-0.028726537348354536
ACH-000963,0.04435805261861638
