,PARPBP (55010)
ACH-000757,-0.12160446690564687
ACH-000758,-0.08194027278068444
ACH-000760,-0.10259658942340301
ACH-000762,-0.016744133946044387
ACH-000763,-0.10734399651921082
ACH-000764,0.16506151746616773
ACH-000765,-0.16273684772229985
ACH-000766,-0.043229494481534465
ACH-000767,-0.11182915389619312
ACH-000768,-0.032237212736582865
ACH-000769,-0.07787605642118815
ACH-000770,-0.049135547856410236
ACH-000771,-0.0631823563927851
ACH-000773,-0.07201676564104899
ACH-000776,0.08617114987649897
ACH-000777,-0.07029304428390581
ACH-000778,-0.2138359610268882
ACH-000781,-0.11797852705765292
ACH-000782,-0.18116239722329786
ACH-000783,-0.16887175448484978
ACH-000784,-0.09878947839758546
ACH-000785,-0.0795818392836586
ACH-000787,-0.09519299902486586
ACH-000788,-0.05917486853095871
ACH-000791,-0.032827663175885737
ACH-000792,-0.016796768391516628
ACH-000794,0.0245954045796775
ACH-000796,-0.09982750299163803
ACH-000798,-0.1267556022166718
ACH-000799,-0.11405815022403405
ACH-000800,-0.19152081974520774
ACH-000802,-0.04446454092426972
ACH-000804,-0.2664509224038131
ACH-000805,-0.1982760713939689
ACH-000809,-0.03562483568755485
ACH-000810,-0.09669421178701458
ACH-000811,-0.13191988327887194
ACH-000817,-0.14559585381825152
ACH-000819,-0.14610757340063382
ACH-000820,0.20709296937651375
ACH-000821,-0.10678828846249803
ACH-000822,-0.10869279856672613
ACH-000823,-0.0019904106051315943
ACH-000824,-0.15718114318346466
ACH-000827,-0.13572697572653666
ACH-000829,-0.16923249165437124
ACH-000831,-0.14466292741479905
ACH-000832,-0.11155701978507816
ACH-000833,-0.03583087197397012
ACH-000834,-0.1686840626232292
ACH-000835,0.01904865538241451
ACH-000836,-0.11053702448366293
ACH-000837,-0.12646599767820124
ACH-000838,-0.09588370379051464
ACH-000839,-0.17729306210328474
ACH-000840,-0.11554848453898045
ACH-000841,-0.047376148748980974
ACH-000843,-0.1240021063724764
ACH-000846,-0.02744062345783602
ACH-000847,-0.0062676689778937275
ACH-000848,0.046670561745684715
ACH-000849,0.017103197131883168
ACH-000851,-0.02737636327209461
ACH-000855,-0.10500707950931801
ACH-000856,-0.10322506736223673
ACH-000858,-0.02694933049066597
ACH-000859,0.04838298522523489
ACH-000861,0.014874533411701769
ACH-000862,-0.107000968313483
ACH-000865,-0.10175732915886557
ACH-000866,-0.016143575016818304
ACH-000867,-0.058671630170976964
ACH-000869,-0.07305130562597185
ACH-000872,-0.06553279908512308
ACH-000873,-0.014369634064253237
ACH-000876,-0.09659098073762253
ACH-000878,0.04703141884505404
ACH-000880,0.0766849943303287
ACH-000881,-0.10720306908901113
ACH-000882,0.08359314683580564
ACH-000884,-0.1543242885270188
ACH-000885,-0.09654971497331058
ACH-000887,-0.08005041235233129
ACH-000889,-0.09599122109304928
ACH-000896,-0.07111895689643079
ACH-000898,-0.06124721376719922
ACH-000900,-0.14053772574717804
ACH-000901,-0.14467352491111432
ACH-000905,-0.07635023391574451
ACH-000906,-0.1138213369274011
ACH-000907,-0.02529394795440536
ACH-000910,-0.13613431538006
ACH-000911,0.008371233520376976
ACH-000912,-0.1123813629335846
ACH-000913,-0.02061111266231952
ACH-000915,0.02735533993258324
ACH-000916,0.025498638966153092
ACH-000917,-0.1705377994958314
ACH-000920,0.2160629217094033
ACH-000921,0.041486030506679136
ACH-000924,-0.05049413846992711
ACH-000926,-0.11616870825895807
ACH-000928,-0.13084238361703698
ACH-000929,-0.15871522020663845
ACH-000932,-0.1078583637561734
ACH-000935,-0.1515440194036362
ACH-000936,-0.1879395166478636
ACH-000937,-0.14277168746936858
ACH-000938,-0.03395494711367223
ACH-000939,-0.0756523597578867
ACH-000941,0.02765852240071761
ACH-000943,-0.07284324791404534
ACH-000946,-0.07665689590363142
ACH-000947,-0.0354283189530124
ACH-000948,-0.058960093374841316
ACH-000950,-0.10037035533292928
ACH-000953,-0.14259642877034806
ACH-000954,-0.3192299309739549
ACH-000957,0.01793002497721861
ACH-000958,-0.0056081466867894895
ACH-000960,-0.07882344430464966
ACH-000963,-0.16096960415830752
ACH-000968,0.1141927322489774
ACH-000969,-0.20875424096603176
ACH-000972,-0.19568484409339776
ACH-000973,-0.0704965575759826
ACH-000974,-0.10873772473263484
ACH-000978,-0.044660132713093784
ACH-000984,-0.03619938924682903
ACH-000986,-0.07362406087157994
ACH-000988,-0.2094777267664769
ACH-000993,-0.130717355098555
ACH-000994,-0.008011613973961166
ACH-000996,-0.05175853995760333
ACH-001001,-0.2022200101328606
ACH-001020,-0.27238809895336275
ACH-001028,-0.11007594778968537
ACH-001031,-0.043031447402157
ACH-001038,-0.032001740095828166
ACH-001048,-0.2444521939368643
ACH-001050,-0.1008396057430654
ACH-001053,-0.1069768189537496
ACH-001054,-0.0873566974214397
ACH-001061,-0.03130357786903111
ACH-001067,0.015225535725560428
ACH-001075,-0.3841012189738911
ACH-001096,-0.07988768041132885
ACH-001111,0.1734742835594376
ACH-001119,-0.07299538188062565
ACH-001128,0.10613779443520163
ACH-001134,-0.14706544375920313
ACH-001151,-0.03070097658688157
ACH-001163,-0.14874754448416594
ACH-001164,-0.0391261339121337
ACH-001183,-0.07663187650276038
ACH-001192,-0.042677486950426106
ACH-001193,-0.09056418767883426
ACH-001196,-0.021065428783360582
ACH-001197,-0.0914983105649125
ACH-001205,-0.013696224639979595
ACH-001211,-0.13397964442823632
ACH-001212,-0.16706189550410191
ACH-001228,-0.041351462789120254
ACH-001232,-0.11409017557399845
ACH-001239,-0.1048079374415957
ACH-001270,-0.02680028343385226
ACH-001274,-0.15344198630613745
ACH-001275,-0.216418045140662
ACH-001277,-0.05111917514869612
ACH-001278,-0.15344255251475294
ACH-001280,0.10399999942354188
ACH-001283,-0.004024312700668089
ACH-001289,0.05713887594712508
ACH-001300,-0.1068631386868954
ACH-001301,-0.08273225443705215
ACH-001302,-0.0194622143429002
ACH-001306,-0.1362981526003173
ACH-001318,-0.06186170756512085
ACH-001322,0.09601232548977646
ACH-001328,-0.10435843240703314
ACH-001332,0.12587493039641934
ACH-001336,-0.1236284523452706
ACH-001346,0.04659613129060651
ACH-001353,-0.04442331683080295
ACH-001354,-0.13580650106221048
ACH-001367,-0.0819183900023234
ACH-001368,-0.14117361326484587
ACH-001374,-0.04686836653440397
ACH-001377,-0.009922999154398031
ACH-001380,-0.06222501193823879
ACH-001391,0.11390109266640418
ACH-001408,-0.011040913962839757
ACH-001430,-0.060825928949718576
ACH-001431,-0.07360337476823076
ACH-001450,-0.0758284455720477
ACH-001496,-0.08983745196626948
ACH-001500,-0.15225798209891353
ACH-001523,-0.08098149024168627
ACH-001532,0.039772991811801765
ACH-001550,-0.17977669474616992
ACH-001552,-0.17073915254567604
ACH-001554,-0.15654838804063498
ACH-001654,-0.12785655037372035
ACH-001735,-0.06378378798063078
ACH-001736,-0.04634453054945404
ACH-001737,-0.1185347685469394
ACH-001740,-0.11566079746314765
ACH-001745,-0.2103233179085616
ACH-001765,-0.10312436698813768
