,PPP1R14C (81706)
ACH-001197,-0.025450313771979358
ACH-001205,-0.5822074410927907
ACH-001211,-0.011628615679585471
ACH-001212,-0.5131568875929836
ACH-001228,-0.30436746524752073
ACH-001232,-0.12601799574209932
ACH-001239,-0.17485804898330973
ACH-001270,-0.3611695425144737
ACH-001274,-0.14950663571478706
ACH-001275,-0.022334217229068698
ACH-001277,-0.04525308556056469
ACH-001278,-0.07769134363512062
ACH-001280,-0.0961862860654828
ACH-001283,-0.2510001933092452
ACH-001289,-0.00493360987170699
ACH-001300,-0.1791111839253989
ACH-001301,-0.07084553107500467
ACH-001302,-0.2832634753173944
ACH-001306,-0.032344321790382755
ACH-001318,-0.01734882219959699
ACH-001322,-0.17484814666592866
ACH-001328,0.041099888504613206
ACH-001332,0.18554369510954694
ACH-001336,-0.12065194954415599
ACH-001346,-0.11388059492417225
ACH-001353,-0.1260414198471684
ACH-001354,-0.07457769434757809
ACH-001367,0.03965204419328065
ACH-001368,-0.15704969717333192
ACH-001374,-0.4847734556359163
ACH-001377,-0.17690132339988793
ACH-001380,-0.23676685345037135
ACH-001391,-0.22763975640368006
ACH-001408,-0.23193666953264666
ACH-001430,-0.011541134820205277
ACH-001431,0.020261015103863984
ACH-001450,-0.0915736339696094
ACH-001496,-0.1225141419592287
ACH-001500,-0.1615726038673048
ACH-001523,-0.1162210228290268
ACH-001532,-0.2694535202170345
ACH-001550,-0.18209757777087154
ACH-001552,-0.4292971606517181
ACH-001554,0.005064771295645795
ACH-001654,-0.17043592460945886
ACH-001735,-0.1949854714383094
ACH-001736,-0.042325806812169305
ACH-001737,-0.04588639410016098
ACH-001740,-0.1933755414613051
ACH-001745,-0.1947903191660587
ACH-001765,-0.10393854398333244
