,EXTL2 (2135)
ACH-000591,-0.18680541333989373
ACH-000593,-0.21159675885893792
ACH-000600,-0.18327666976713772
ACH-000601,-0.18865745465933265
ACH-000605,-0.19272947927782208
ACH-000606,-0.3751941247867927
ACH-000608,-0.13713821637485618
ACH-000614,-0.29377869894135794
ACH-000616,-0.06752737457319084
ACH-000618,-0.2299273156425523
ACH-000619,-0.2727710710127273
ACH-000620,-0.2568157383193586
ACH-000621,-0.3426615419587405
ACH-000622,-0.1965854219132109
ACH-000623,-0.22340963617504506
ACH-000624,-0.18226133008219966
ACH-000627,-0.2893420110069635
ACH-000630,-0.3041501034587602
ACH-000631,-0.029403378698954513
ACH-000632,-0.15792201621041435
ACH-000633,-0.11950698682707835
ACH-000637,-0.1985988860023336
ACH-000638,-0.2010106811174805
ACH-000646,-0.1210361550088836
ACH-000647,-0.13779912020776267
ACH-000648,-0.2640210910950649
ACH-000649,-0.2381386242017989
ACH-000651,-0.18718147957762504
ACH-000652,-0.027270667850361842
ACH-000653,-0.1485855160405758
ACH-000657,-0.28935229000217266
ACH-000658,-0.1577736563335189
ACH-000661,-0.054673566479532
ACH-000662,-0.07829646947985608
ACH-000663,-0.029326781467983443
ACH-000665,-0.2824170670155942
ACH-000671,-0.2901014063883957
ACH-000672,-0.4818833509416842
ACH-000673,-0.240474585357749
ACH-000676,-0.235009729521506
ACH-000677,-0.1383201511894814
ACH-000681,-0.09434135937426333
ACH-000683,-0.1224994176940311
ACH-000684,-0.3497143316723991
ACH-000688,-0.20875747695792324
ACH-000693,-0.27416750123426026
ACH-000694,-0.12332197886426145
ACH-000695,-0.1635024106569816
ACH-000696,-0.2854146269253707
ACH-000697,-0.22413221048757348
ACH-000699,-0.12324284397215453
ACH-000701,-0.1113937312173639
ACH-000706,-0.2294215202216717
ACH-000711,-0.20917499725629485
ACH-000713,-0.3857189050434605
ACH-000714,-0.12340871761781598
ACH-000718,-0.1839824129825488
ACH-000720,-0.17932094927244904
ACH-000721,-0.3167692757955187
ACH-000724,-0.007127044696911478
ACH-000725,-0.2160269855762877
ACH-000732,-0.2792708515940757
ACH-000734,-0.4419620013757077
ACH-000735,-0.2837518900709649
ACH-000736,-0.31355179708444897
ACH-000738,-0.26742580122136833
ACH-000746,0.04821883174260102
ACH-000747,-0.2440588974108801
ACH-000748,-0.16738717816250578
ACH-000753,-0.2976683736119103
ACH-000756,-0.240291417407144
ACH-000757,-0.2752306721803104
ACH-000758,-0.2575491159155112
ACH-000760,-0.16760315458292518
ACH-000762,-0.11541482664034322
ACH-000763,-0.12662074525770992
ACH-000764,-0.2514319345911724
ACH-000765,-0.2725080788004169
ACH-000766,-0.09715734158763764
ACH-000767,-0.2476623336297625
ACH-000768,-0.050097919939412566
ACH-000769,-0.2606755322429684
ACH-000770,-0.28181556655898304
ACH-000771,-0.14518422219910151
ACH-000773,-0.05214834341679092
ACH-000776,-0.10934249658780207
ACH-000777,-0.12881703114382434
ACH-000778,-0.27450319999578204
ACH-000781,-0.13917917772316346
ACH-000782,-0.03144466605088003
ACH-000783,-0.3526355612580913
ACH-000784,-0.2051753033595886
ACH-000785,-0.20074217953115367
ACH-000787,-0.14892630192410095
ACH-000788,-0.19276718951063493
ACH-000791,-0.22033563356162
ACH-000792,-0.1809691806722805
ACH-000794,-0.29207799703512033
ACH-000796,-0.2336526782299556
ACH-000798,0.057441013311434114
ACH-000799,-0.3599827829218886
ACH-000800,-0.2332396233833919
ACH-000802,-0.2432400915487623
ACH-000804,-0.3812637564070671
ACH-000805,-0.17000551061131605
ACH-000809,-0.1673939025574207
ACH-000810,-0.25221318501987955
ACH-000811,-0.24980755503452545
ACH-000817,-0.17843096553046855
ACH-000819,-0.1874750076144043
ACH-000820,-0.1805428008729718
ACH-000821,-0.36051697818645306
ACH-000822,-0.1352451397610756
ACH-000823,-0.24393130255363604
ACH-000824,-0.15041313395784942
ACH-000827,-0.2699092646510654
ACH-000829,-0.1811093413364987
ACH-000831,-0.444895759545792
ACH-000832,-0.2732972905446685
ACH-000833,0.05995979524383995
ACH-000834,-0.28631011471837925
ACH-000835,-0.2710254669963701
ACH-000836,-0.22329257360699198
ACH-000837,-0.20194415428572812
ACH-000838,-0.39828730802546414
ACH-000839,-0.3725921132279909
ACH-000840,-0.1810873323040281
ACH-000841,-0.2547229969604801
ACH-000843,-0.24921212096983586
ACH-000846,-0.3143712500296451
ACH-000847,-0.2170148208021478
ACH-000848,-0.10466662466935353
ACH-000849,-0.3533316904238119
ACH-000851,-0.364061539610693
ACH-000855,-0.08429368785256318
ACH-000856,-0.10645177066175117
ACH-000858,-0.2428366408150233
ACH-000859,-0.20478928678375266
ACH-000861,-0.11360312209375485
ACH-000862,-0.11038756846192324
ACH-000865,-0.1740424582066258
ACH-000866,-0.2358460635435387
ACH-000867,-0.1122320726655172
ACH-000869,-0.2892583668313262
ACH-000872,-0.4335512633878516
ACH-000873,-0.2493576742544299
ACH-000876,-0.2195808745388287
ACH-000878,0.2626730471325881
ACH-000880,-0.10163480400562393
ACH-000881,-0.11346906027581802
ACH-000882,-0.18217452482804208
ACH-000884,-0.14930933959695158
ACH-000885,-0.2303594242298772
ACH-000887,-0.3334381701442033
ACH-000889,-0.26080301731026184
ACH-000896,-0.312428188455129
ACH-000898,-0.2677806466810237
ACH-000900,-0.15068535914288084
ACH-000901,-0.2686092208324837
ACH-000905,-0.2695573271096118
ACH-000906,-0.222965099881956
ACH-000907,-0.2424604968338944
ACH-000910,-0.07155780544244562
ACH-000911,-0.347232966282575
ACH-000912,-0.1911986612046874
ACH-000913,-0.16713747841526674
ACH-000915,-0.1647527992677422
ACH-000916,-0.9094955215185859
ACH-000917,-0.19100616209803534
ACH-000920,-0.0782594579273604
ACH-000921,-0.4602994441150414
ACH-000924,-0.01830523366970404
ACH-000926,-0.2400202166409671
ACH-000928,-0.15085477844784115
ACH-000929,-0.17974079442167315
ACH-000932,-0.2532262248963559
ACH-000935,-0.2458945158323407
ACH-000936,-0.3151421653858476
ACH-000937,-0.2482450637806013
ACH-000938,-0.22395604395934154
ACH-000939,-0.13712623210753205
ACH-000941,-0.025801296370327933
ACH-000943,-0.16306774098358096
ACH-000946,-0.2383383225097504
ACH-000947,-0.17483595294607102
ACH-000948,-0.1615804420279148
ACH-000950,-0.3176338958564246
ACH-000953,-0.3162963366590282
ACH-000954,-0.2720785318062421
ACH-000957,-0.21481911891570488
ACH-000958,-0.1800048393278579
ACH-000960,-0.23432163507820095
ACH-000963,-0.06707903420949336
ACH-000968,-0.1731236411786843
ACH-000969,-0.15358029697311276
ACH-000972,-0.3323855809538743
ACH-000973,-0.11652346899078685
ACH-000974,-0.1717599376920357
ACH-000978,-0.16750466990750515
ACH-000984,-0.23435379113978294
ACH-000986,-0.14073430945145216
ACH-000988,-0.15590837606245184
ACH-000993,-0.0854845519232338
ACH-000994,-0.20432486659361665
ACH-000996,-0.2153685447911445
ACH-001001,-0.09505810927791053
ACH-001020,0.031749398349158964
ACH-001028,-0.21377183970790106
ACH-001031,-0.05493664486972042
ACH-001038,-0.06615886328376641
ACH-001048,-0.2380509210951121
ACH-001050,-0.22859295502713434
ACH-001053,-0.23900145192765224
ACH-001054,-0.33470685906916403
ACH-001061,-0.25517131309554925
ACH-001067,-0.1342046170845031
ACH-001075,-0.2772014720943164
ACH-001096,-0.3895916890600976
ACH-001111,-0.11468465744992767
ACH-001119,-0.2417293010521798
ACH-001128,-0.37005127099782265
ACH-001134,-0.3425470009874375
ACH-001151,-0.1723728411126497
ACH-001163,-0.2172009190907832
ACH-001164,-0.11156267020914527
ACH-001183,-0.2260074843163211
ACH-001192,-0.2609314876664726
ACH-001193,-0.3247684271020031
ACH-001196,-0.17594896366615756
ACH-001197,-0.1240040845895462
ACH-001205,-0.17575802177431984
ACH-001211,-0.3073130713056732
ACH-001212,-0.06582773020454308
ACH-001228,-0.09176733020778448
ACH-001232,-0.2358157213176416
ACH-001239,-0.10701238932005863
ACH-001270,-0.10726220905656404
ACH-001274,-0.12752692629140264
ACH-001275,-0.19413066219775107
ACH-001277,-0.3232420681148794
ACH-001278,-0.2870392695017772
ACH-001280,-0.26500266749830936
ACH-001283,-0.14103399884369794
ACH-001289,-0.2258737358944186
ACH-001300,-0.22086686220897755
ACH-001301,-0.35543503832752704
ACH-001302,0.0029594182021858025
ACH-001306,-0.3698066758183468
ACH-001318,-0.10010540671924163
ACH-001322,-0.26166351113886704
ACH-001328,-0.19621972089379305
ACH-001332,-0.36493101660639204
ACH-001336,-0.21189608885992253
ACH-001346,-0.2199909184153086
ACH-001353,-0.1596287711395045
ACH-001354,-0.1035681761148543
ACH-001367,-0.3738391022165894
ACH-001368,-0.2258212851695473
ACH-001374,-0.41684859427832455
ACH-001377,-0.1618297238112978
ACH-001380,-0.17665050560386372
ACH-001391,-0.08894727443620698
ACH-001408,-0.25447374812373297
ACH-001430,-0.11116775877136303
ACH-001431,-0.03573267940397767
ACH-001450,-0.21220292147912334
ACH-001496,-0.2593384904375997
ACH-001500,-0.07245182318764186
ACH-001523,-0.0726584446180329
ACH-001532,-0.23272293315954906
ACH-001550,-0.169922929515642
ACH-001552,-0.07228636966656903
ACH-001554,-0.0574236996103575
ACH-001654,-0.09220127814675742
ACH-001735,-0.07549112228935098
ACH-001736,-0.2261158565396728
ACH-001737,-0.2675584348591621
ACH-001740,-0.31084023107628944
ACH-001745,-0.20584023493135908
ACH-001765,-0.15009008927077386
