,NPB (256933)
ACH-000681,-0.3807651679475367
ACH-000683,-0.3599468671562013
ACH-000684,-0.5141042083637812
ACH-000688,-0.4170634282095289
ACH-000693,-0.4756391421212422
ACH-000694,-0.4943088665522498
ACH-000695,-0.31526897033838297
ACH-000696,-0.4433481075948376
ACH-000697,-0.04692118386476303
ACH-000699,-0.4445720144144839
ACH-000701,-0.4603685225996782
ACH-000706,-0.3996092728663182
ACH-000711,-0.4340078849973717
ACH-000713,-0.2752014949374393
ACH-000714,-0.4002527389469584
ACH-000718,-0.3662386166152592
ACH-000720,-0.4067036907053308
ACH-000721,-0.31704460054144457
ACH-000724,-0.35200023212830434
ACH-000725,-0.4286092608917306
ACH-000732,-0.6052823838164773
ACH-000734,-0.4190001988275012
ACH-000735,-0.4035713038636056
ACH-000736,-0.2889344839862942
ACH-000738,-0.397849289904264
ACH-000746,-0.3924841203603309
ACH-000747,-0.2974490733693249
ACH-000748,-0.2994763320997522
ACH-000753,-0.4899829713101098
ACH-000756,-0.2752631394449324
ACH-000757,-0.25587914751298524
ACH-000758,-0.4283789613647866
ACH-000760,-0.5756592015675258
ACH-000762,-0.4668637993064628
ACH-000763,-0.4781614411552486
ACH-000764,-0.5169813676520877
ACH-000765,-0.576758204200315
ACH-000766,-0.44882964499079736
ACH-000767,-0.290623728120735
ACH-000768,-0.35035123606043594
ACH-000769,-0.3734894322688724
ACH-000770,-0.3826281491541534
ACH-000771,-0.2554241277962158
ACH-000773,-0.5905649239263709
ACH-000776,-0.4358538771132239
ACH-000777,-0.4452271610749253
ACH-000778,-0.5599092973548611
ACH-000781,-0.43991090234451
ACH-000782,-0.34435497120178377
ACH-000783,-0.6067668702073336
ACH-000784,-0.5304634155205672
ACH-000785,-0.2794384786513512
ACH-000787,-0.4826366157037841
ACH-000788,-0.4141420979657085
ACH-000791,-0.5238024234083299
ACH-000792,-0.4645082210468978
ACH-000794,-0.3632340403019591
ACH-000796,-0.4368300416679973
ACH-000798,-0.7399334227453227
ACH-000799,-0.4567790417108045
ACH-000800,-0.2776716572950286
ACH-000802,-0.3937640539252351
ACH-000804,-0.4828791926833999
ACH-000805,-0.2710963038150019
ACH-000809,-0.4538974003618821
ACH-000810,-0.3407202288198445
ACH-000811,-0.541534633447464
ACH-000817,-0.16856568364726646
