,OR52K1 (390036)
ACH-000724,0.0664314652752792
ACH-000725,0.1086579206839006
ACH-000732,0.0392649072535138
ACH-000734,-0.11518099329314435
ACH-000735,-0.0702417352405613
ACH-000736,-0.054740860267078514
ACH-000738,-0.0858651055573189
ACH-000746,-0.3636359051768083
ACH-000747,0.08740080756842646
ACH-000748,-0.19991286955181503
ACH-000753,0.01400969718813607
ACH-000756,0.035518707341871965
ACH-000757,0.04652600289226585
ACH-000758,0.01899572330365964
ACH-000760,0.08988642263960682
ACH-000762,0.06214619900029196
ACH-000763,-0.07144580620661356
ACH-000764,-0.10214379433977612
ACH-000765,0.03874670830416965
ACH-000766,0.08190295768689049
ACH-000767,0.012979837506754554
ACH-000768,-0.02072028119081515
ACH-000769,0.012686564359663257
ACH-000770,-0.0018117396570147546
ACH-000771,0.12960899244683044
ACH-000773,-0.039868150882852026
ACH-000776,0.1428336112423742
ACH-000777,0.03581350154724508
ACH-000778,0.07013729456401005
ACH-000781,0.05543669562683856
ACH-000782,0.056233988192916536
ACH-000783,0.10025292562895068
ACH-000784,0.09356111481685543
ACH-000785,0.05973459732828134
ACH-000787,-0.0050698916428
ACH-000788,0.033556182268092746
ACH-000791,0.08833234837357919
ACH-000792,-0.04775864869902878
ACH-000794,0.022409617469819117
ACH-000796,0.033117297947083714
ACH-000798,0.16142219045423634
ACH-000799,0.04399239694116088
ACH-000800,-0.07673247837115232
ACH-000802,0.013996624832942528
ACH-000804,-0.13926164200191568
ACH-000805,0.06891455994936102
ACH-000809,-0.007327021258004009
ACH-000810,-0.2587515223537432
ACH-000811,0.035987411471266696
ACH-000817,0.04956882723634707
ACH-000819,-0.02191977513208895
ACH-000820,0.25752515013710714
ACH-000821,-0.010194192252215371
ACH-000822,-0.09998611791690899
ACH-000823,0.09828344207068684
ACH-000824,0.05264405508698887
ACH-000827,-0.09260085400414697
ACH-000829,0.17329040362691714
ACH-000831,-0.050730817960683766
ACH-000832,0.28501871428372344
ACH-000833,0.017091828392035994
ACH-000834,-0.018005378120627916
ACH-000835,0.10530760506376817
ACH-000836,-0.01413723779779366
ACH-000837,0.08908352021025588
ACH-000838,0.8981276834415692
ACH-000839,0.12285289253746667
ACH-000840,0.06679726562659649
ACH-000841,-0.021283798246292257
ACH-000843,-0.14267031918048845
ACH-000846,0.0673192182491337
ACH-000847,-0.03270391361951404
ACH-000848,0.052566338256192224
ACH-000849,0.08828612679876041
ACH-000851,0.024406965852368408
ACH-000855,-0.09333321712660393
ACH-000856,-0.0962680209025341
ACH-000858,0.020552965529073854
ACH-000859,0.12376506094979847
ACH-000861,0.0418294609897646
ACH-000862,0.02694056842166184
ACH-000865,0.0018768768690265079
ACH-000866,0.037102289254328055
ACH-000867,-0.04741421005468724
ACH-000869,0.05318832480894987
ACH-000872,0.003882876103646428
ACH-000873,0.20735467854048256
ACH-000876,0.15523936011880166
ACH-000878,-0.04274108214480657
ACH-000880,-0.08142059178356037
ACH-000881,-0.029312123376037263
ACH-000882,-0.023900301138431203
ACH-000884,0.040988259793804334
ACH-000885,0.1655928085740246
ACH-000887,0.01078431817031046
ACH-000889,0.05389411258857475
ACH-000896,0.07559847697649051
ACH-000898,0.08432374785321442
ACH-000900,0.028475339556899907
ACH-000901,-0.007894703910093654
ACH-000905,0.13813179550358246
ACH-000906,0.01185797467742785
ACH-000907,0.07613078042980308
ACH-000910,-0.028243463566647437
ACH-000911,0.01808748358693122
ACH-000912,0.045927758729250666
ACH-000913,0.041752105918145724
ACH-000915,0.028591941262727745
ACH-000916,-0.12893634467353035
ACH-000917,0.19419300492544128
ACH-000920,-0.17759444107628158
ACH-000921,0.07956263974702818
ACH-000924,-0.058441121270204836
ACH-000926,0.05260867876305906
ACH-000928,0.08122553784537118
ACH-000929,0.0610969164136533
ACH-000932,0.0115273353789756
ACH-000935,0.15787441583970796
ACH-000936,0.009555041637520743
ACH-000937,0.013076848687871156
ACH-000938,-0.028684123633506625
ACH-000939,0.03733879807086345
ACH-000941,0.001704345537440583
ACH-000943,0.0802009943075629
ACH-000946,-0.03057653686263897
ACH-000947,0.06907589222797132
ACH-000948,0.08281587063246999
ACH-000950,0.15673970428931291
ACH-000953,0.031432931844274786
ACH-000954,-0.2523775488038435
ACH-000957,0.07070245960678735
