,CORO7 (79585)
ACH-000688,-0.1280470246824788
ACH-000693,0.019119624689617504
ACH-000694,0.013412743440404244
ACH-000695,0.11156420391737863
ACH-000696,-0.112651009714793
ACH-000697,-0.12200135878324908
ACH-000699,-0.3354725969661856
ACH-000701,-0.03828535052340717
ACH-000706,-0.08992866994692653
ACH-000711,-0.1033628609900191
ACH-000713,-0.4309062572991176
ACH-000714,-0.16491163894639216
ACH-000718,-0.12508067859997507
ACH-000720,-0.02460726751800795
ACH-000721,-0.21595066277413608
ACH-000724,-0.09852804414935143
ACH-000725,-0.19491041614482307
ACH-000732,-0.1916684412827744
ACH-000734,-0.10989668657446723
ACH-000735,-0.061656010234848076
ACH-000736,-0.06475369779952563
ACH-000738,0.0020088219651320524
ACH-000746,-0.2084577894329766
ACH-000747,-0.2268169268767037
ACH-000748,-0.005440732294718531
ACH-000753,-0.1371940725409967
ACH-000756,-0.03557231928608329
ACH-000757,-0.22722596178944365
ACH-000758,-0.0990869814828962
ACH-000760,-0.08228791403159395
ACH-000762,0.06788314556174367
ACH-000763,-0.023580917710443985
ACH-000764,-0.32024802447924355
ACH-000765,-0.13313354000779698
ACH-000766,-0.18011396463038593
ACH-000767,-0.05724500579788725
ACH-000768,0.001534000191901544
ACH-000769,-0.2497630263516059
ACH-000770,-0.045687343551418534
ACH-000771,-0.15669091817354708
ACH-000773,-0.049764092594514635
ACH-000776,-0.2333600977311876
ACH-000777,0.034597807751389785
ACH-000778,-0.12743932202186312
ACH-000781,-0.08422277220750311
ACH-000782,-0.0037343186772353923
ACH-000783,-0.3720758732367631
ACH-000784,-0.08808498522823137
ACH-000785,-0.16915998467656912
ACH-000787,0.0019220143928422113
ACH-000788,-0.16870761075566165
ACH-000791,-0.1669050734556526
ACH-000792,-0.3052033583894445
ACH-000794,-0.13052054635761573
ACH-000796,-0.04808469172946307
ACH-000798,-0.17695589093294808
ACH-000799,-0.03314241957898058
ACH-000800,-0.25635844299416993
ACH-000802,-0.15301478146079567
ACH-000804,-0.04120979746391063
ACH-000805,-0.154290894398162
ACH-000809,-0.0594261719050995
ACH-000810,-0.14929860516181356
ACH-000811,-0.16599156983243668
ACH-000817,-0.028298963880062762
ACH-000819,-0.03215686582893408
ACH-000820,-0.05668552307820333
ACH-000821,-0.11018589961988556
ACH-000822,-0.027955807418249518
ACH-000823,-0.02859188756693081
ACH-000824,-0.1398493166833623
ACH-000827,-0.1039719444595204
ACH-000829,-0.14501714465052146
ACH-000831,-0.2029790848564064
ACH-000832,-0.24385101401662204
ACH-000833,-0.06352689050105728
ACH-000834,-0.20196055855877304
ACH-000835,-0.05407614309114978
ACH-000836,-0.12781665777100676
ACH-000837,-0.06033964908371841
ACH-000838,0.052118112651066924
ACH-000839,0.005788508734810456
ACH-000840,-0.004088166612930902
ACH-000841,-0.1797616660827299
ACH-000843,-0.05949354868406005
ACH-000846,-0.15088416177728728
ACH-000847,0.0675378689934363
ACH-000848,-0.007953440420161717
ACH-000849,-0.009991660927408908
ACH-000851,-0.10457660282612473
ACH-000855,-0.0618526432576869
ACH-000856,-0.2911522637218209
ACH-000858,-0.08166326732406902
ACH-000859,0.03851892785515655
ACH-000861,-0.056451925298652214
ACH-000862,-0.07821149856111087
ACH-000865,-0.00464343967202945
ACH-000866,-0.031484588248310894
ACH-000867,-0.20710834597969985
ACH-000869,-0.04803154032943832
ACH-000872,-0.15239926892712435
ACH-000873,-0.2214442724928903
ACH-000876,-0.0865812646657443
ACH-000878,0.08381942405399596
ACH-000880,-0.22614446486050546
ACH-000881,-0.07098052457803025
ACH-000882,-0.11751365230353948
ACH-000884,-0.08411901158741741
ACH-000885,-0.2007885792088151
ACH-000887,-0.0633470303133231
ACH-000889,-0.01937437920478988
ACH-000896,-0.20810179005072985
ACH-000898,-0.1460779979848516
ACH-000900,-0.32851887734534885
ACH-000901,-0.1537745247294272
ACH-000905,-0.19193378444997414
ACH-000906,0.03785679920690605
ACH-000907,-0.12956972127444136
ACH-000910,-0.16458643161440642
