,CALB2 (794)
ACH-000421,0.2804654437297497
ACH-000424,0.24151493248990266
ACH-000425,0.3135548454220849
ACH-000426,0.4129310048710861
ACH-000427,0.3226489745757045
ACH-000433,0.2047518945732356
ACH-000435,0.418378813407316
ACH-000436,0.20826881085681628
ACH-000444,0.19080761095375465
ACH-000445,0.26367279116582604
ACH-000448,0.22011767162594092
ACH-000450,0.14746829440737533
ACH-000452,0.23428595067475125
ACH-000454,0.1605634054267559
ACH-000458,0.3402414696846248
ACH-000459,0.31315318589359675
ACH-000460,0.25253497548924897
ACH-000461,0.233057037758166
ACH-000463,0.2674669969526885
ACH-000464,0.16311901832224207
ACH-000466,0.18927897897538096
ACH-000467,0.08782677829677686
ACH-000468,0.18142275854944626
ACH-000469,0.21621575082142336
ACH-000470,0.24600179256108784
ACH-000471,0.16973363648926668
ACH-000472,0.2449001154884765
ACH-000473,0.1991624933833069
ACH-000475,0.17632224223914789
ACH-000476,0.2263236805569477
ACH-000477,0.32335238835463914
ACH-000479,0.04254941344063503
ACH-000480,0.0785298063685014
ACH-000481,0.3388673321815995
ACH-000483,0.10268245697114907
ACH-000484,0.2860983879690319
ACH-000485,0.20884986607377065
ACH-000486,0.23916230771820876
ACH-000487,0.2936442932503592
ACH-000488,0.22971593566594395
ACH-000490,0.3130678431625649
ACH-000491,0.2806806241819529
ACH-000495,0.4455484506826106
ACH-000496,0.1069720163334731
ACH-000499,0.5114981462816877
ACH-000500,0.14392077529701214
ACH-000502,0.13814180275807084
ACH-000503,0.1192565082243632
ACH-000505,0.24766476535525506
ACH-000507,0.239131927712092
ACH-000510,0.2135794177744032
ACH-000511,0.3997955675258288
ACH-000512,0.24900104247939964
ACH-000516,0.17120042391772072
ACH-000517,0.242431479139182
ACH-000518,0.1600660732262246
ACH-000520,0.18645622772984585
ACH-000521,0.25894258280842913
ACH-000522,0.090254880004553
ACH-000524,0.1801043034982952
ACH-000527,0.2302317818858829
ACH-000528,0.2341244078410313
ACH-000537,0.23058141173645536
ACH-000541,0.10756712004951108
ACH-000542,0.2977382182669562
ACH-000544,0.19165522460892973
ACH-000545,0.22272502610278336
ACH-000547,0.15843353549490372
ACH-000548,0.10000916020781607
ACH-000549,0.1865293018669251
ACH-000550,0.10204866363416017
ACH-000552,0.3321106463682378
ACH-000556,0.29777194842221866
ACH-000557,0.19458202024088975
ACH-000569,0.4243603888826635
ACH-000570,0.250937983774691
ACH-000571,0.2741711685614244
ACH-000573,0.12203091029684884
ACH-000576,0.2012426480406812
ACH-000579,0.40637513479442106
ACH-000580,0.29162950570680496
ACH-000584,0.20849506570786816
ACH-000585,0.20977010926594564
ACH-000588,0.2979336114246287
ACH-000589,0.167727193401011
ACH-000591,0.2114207990399696
ACH-000593,0.1936294580053022
ACH-000600,0.3123407486311909
ACH-000601,0.1387919164517524
ACH-000605,0.37495709787120973
ACH-000606,0.3598632903768431
ACH-000608,0.282707610769393
ACH-000614,0.3144697566505104
ACH-000616,0.10379697624775178
ACH-000618,0.1219807398322624
ACH-000619,0.31312581612168605
