,GDF5 (8200)
ACH-000416,0.055935550946415766
ACH-000420,-0.10631787875280826
ACH-000421,-0.04314072470979095
ACH-000424,-0.07899623081348334
ACH-000425,-0.006977495248368271
ACH-000426,0.03439960671064243
ACH-000427,-0.04517086327931557
ACH-000433,0.19395005444526786
ACH-000435,0.12510848571968602
ACH-000436,0.09123919636758808
ACH-000444,-0.0062937171787502645
ACH-000445,-0.19682155960159348
ACH-000448,-0.08965269619061042
ACH-000450,-0.027015612474562918
ACH-000452,0.0808981337994221
ACH-000454,-0.05824804222389825
ACH-000458,0.08961718660107229
ACH-000459,-0.08167819085603867
ACH-000460,0.013470142278941909
ACH-000461,0.17046508760990067
ACH-000463,-0.07474210277294188
ACH-000464,0.013365613575980451
ACH-000466,-0.28362778993296794
ACH-000467,-0.1345164819521218
ACH-000468,0.0012400965965435773
ACH-000469,0.036320293515761284
ACH-000470,-0.07238492621875432
ACH-000471,0.05844556950283551
ACH-000472,-0.05180085673353771
ACH-000473,-0.07479233330602943
ACH-000475,0.023602529622586795
ACH-000476,-0.10330103160473413
ACH-000477,0.08129973502191601
ACH-000479,-0.2490338973709096
ACH-000480,-0.19494994616274847
ACH-000481,0.01561956240552474
ACH-000483,0.066162695982061
ACH-000484,0.19088780105007744
ACH-000485,0.1082416495158736
ACH-000486,-0.0334892815232263
ACH-000487,-0.1980295107395371
ACH-000488,-0.16146639360099496
ACH-000490,-0.0263381123349806
ACH-000491,0.1470350324146815
ACH-000495,0.04084120209984917
ACH-000496,-0.13018896818992515
ACH-000499,-0.09481125293215407
ACH-000500,0.17680750531013925
ACH-000502,-0.01014817406353894
ACH-000503,-0.009213443141936891
ACH-000505,0.03601062183009145
ACH-000507,0.005848037039523888
ACH-000510,-0.053451236197346604
ACH-000511,-0.05456305672459316
ACH-000512,-0.07413262991265916
ACH-000516,-0.09234579772319658
ACH-000517,0.0314622685818497
ACH-000518,-0.09219919037253817
ACH-000520,-0.06455434745789898
ACH-000521,-0.12339078358193617
ACH-000522,0.061813837631776676
ACH-000524,0.051385709005428784
ACH-000527,-0.08310302907539382
ACH-000528,-0.055516688267766685
ACH-000537,-0.08691229553689173
ACH-000541,0.12614918845265174
ACH-000542,-0.013542155026267556
ACH-000544,-0.1916808172463743
ACH-000545,-0.015136216328942319
ACH-000547,0.011594885337645295
ACH-000548,-0.028435894500904432
ACH-000549,-0.06472753305392825
ACH-000550,0.0377882947767904
ACH-000552,0.033395837457825435
ACH-000556,-0.001911554544086148
ACH-000557,-0.2343480307052965
ACH-000569,-0.007074137064688017
ACH-000570,-0.0011155830733649429
ACH-000571,0.004024706711558057
ACH-000573,0.07487333851374127
ACH-000576,0.15324797007970914
ACH-000579,0.11211665450381797
ACH-000580,0.047050129711178584
ACH-000584,-0.0008916901848119985
ACH-000585,0.07330877291467189
ACH-000588,-0.23921049952376755
ACH-000589,-0.08553803640267314
ACH-000591,0.012309153891525686
ACH-000593,0.01112447510850592
ACH-000600,0.07192456239025027
ACH-000601,0.05181123077465247
ACH-000605,-0.079609383677005
ACH-000606,-0.06825289916829952
ACH-000608,0.03987511335912237
ACH-000614,0.022494636121789712
ACH-000616,-0.15263671008814714
ACH-000618,-0.04107280397493
ACH-000619,0.08830322278672419
ACH-000620,0.03680846439442452
ACH-000621,-0.022093557142177853
ACH-000622,-0.014299022682749097
ACH-000623,-0.06098519674163146
ACH-000624,0.0818345084162574
ACH-000627,-0.07179510975939693
ACH-000630,0.1646067025748068
ACH-000631,0.003722322900514036
ACH-000632,0.036461255048966905
ACH-000633,-0.1226517902296047
ACH-000637,0.09682893143194536
ACH-000638,0.05462614528454122
ACH-000646,-0.1307192655549517
ACH-000647,0.08462007191527503
ACH-000648,0.19413259987260048
ACH-000649,-0.09178957517828112
ACH-000651,-0.10513394844462227
ACH-000652,0.04551734988644327
ACH-000653,0.14848187333897278
ACH-000657,0.026060841564338483
ACH-000658,-0.0655853378163805
ACH-000661,-0.04499754431704082
ACH-000662,0.13455043079117007
ACH-000663,0.02595266476216209
ACH-000665,-0.09649575890100492
ACH-000671,-0.14902921875683142
ACH-000672,-0.35819943871044146
ACH-000673,0.03222677013726802
ACH-000676,0.18435915430067729
ACH-000677,-0.004983782567955743
ACH-000681,0.0033274047748111787
ACH-000683,-0.0353766239916529
ACH-000684,0.12027190402233412
ACH-000688,-0.13717026494387125
ACH-000693,0.034222107976158614
ACH-000694,0.04496035714645452
ACH-000695,0.2928618823093379
ACH-000696,0.039833876616169064
ACH-000697,-0.0898215372324004
ACH-000699,0.022213162252595817
ACH-000701,-0.027442181690364945
ACH-000706,0.018124602500455327
ACH-000711,0.0431367872477644
ACH-000713,-0.14670971972644994
ACH-000714,0.06573875114461941
ACH-000718,-0.16066085692109788
ACH-000720,-0.09966999289337634
ACH-000721,-0.2296350015590487
ACH-000724,0.2221633274449728
ACH-000725,0.1996485659813668
ACH-000732,-0.3173344227944071
ACH-000734,0.042432582982917584
ACH-000735,-0.15243809686609208
ACH-000736,0.10466989785377873
ACH-000738,0.007798914485379101
ACH-000746,-0.21762023625802845
ACH-000747,-0.08771204192748791
ACH-000748,0.13465018406504786
ACH-000753,0.002431024449016025
ACH-000756,-0.017557782959105084
ACH-000757,-0.08136006189932332
ACH-000758,-0.2204625539151064
ACH-000760,-0.04880972176449396
ACH-000762,-0.18283661231947831
ACH-000763,-0.09769554704164338
ACH-000764,-0.0933833410536232
ACH-000765,0.14133342737916324
ACH-000766,0.1310285338650755
ACH-000767,-0.08667733740938546
ACH-000768,0.07002912307834147
ACH-000769,-0.0479238256737618
ACH-000770,0.07981377390422495
ACH-000771,-0.008507514371356316
ACH-000773,-0.10605811555841284
ACH-000776,-0.007014607208731168
ACH-000777,-0.1172392781272243
ACH-000778,-0.16769016228235398
ACH-000781,-0.12566507239492072
ACH-000782,-0.08638256167114051
ACH-000783,-0.02252263023114996
ACH-000784,-0.03480313201839705
ACH-000785,0.0004200711864186261
ACH-000787,-0.00730985862486617
ACH-000788,-0.0246079230364282
ACH-000791,0.059199018425047316
ACH-000792,0.02295998522642903
ACH-000794,0.044868339822250115
ACH-000796,0.09306897140783288
ACH-000798,0.08114272452813083
ACH-000799,0.09900070144024856
ACH-000800,0.12160001043540272
ACH-000802,-0.06312592090350261
ACH-000804,0.01521473166335154
ACH-000805,0.15639303624978884
ACH-000809,0.042237171637585065
ACH-000810,-0.00832129572396985
ACH-000811,-0.054345772082951584
ACH-000817,0.11727472090254165
ACH-000819,0.052968261179804965
ACH-000820,0.055695390956549455
ACH-000821,0.16710430862367262
ACH-000822,-0.046205770436892384
ACH-000823,-0.08432360445394382
ACH-000824,0.09054848382127033
ACH-000827,-0.01317672574361601
ACH-000829,0.018068041089108488
ACH-000831,-0.051523150558749856
ACH-000832,-0.0263201598692038
ACH-000833,-0.15873191286527868
ACH-000834,0.04109673736853425
ACH-000835,-0.0029485275411987736
ACH-000836,-0.06446701256033105
ACH-000837,-0.10436218568270346
ACH-000838,-0.18684014590007814
ACH-000839,-0.2297131648971841
ACH-000840,0.17444742741925576
ACH-000841,0.013935869424013746
ACH-000843,-0.1092225142438622
ACH-000846,-0.12940664017197373
ACH-000847,-0.1491624452463513
ACH-000848,-0.17569377231805872
ACH-000849,-0.03421060597718985
ACH-000851,-0.012028036937744612
ACH-000855,-0.028315398521389507
ACH-000856,-0.06525844537508976
ACH-000858,-0.17743566223208893
ACH-000859,0.03827523065864015
ACH-000861,-0.001497419174870653
ACH-000862,-0.05025558050880121
ACH-000865,-0.09651293188721508
ACH-000866,-0.13823204640204365
ACH-000867,-0.007063949120830644
ACH-000869,0.15502192851721794
ACH-000872,0.05245462646700922
ACH-000873,-0.1940890734013136
ACH-000876,-0.027613145124779654
ACH-000878,-0.06604197905106612
ACH-000880,0.032413766851185306
ACH-000881,0.09550993540321057
ACH-000882,0.035074289812417614
ACH-000884,0.0249070094484847
ACH-000885,0.15803219606829785
ACH-000887,0.11968305739322635
ACH-000889,0.09889934100233884
ACH-000896,-0.016066834813519212
ACH-000898,-0.03680696481863576
ACH-000900,0.06833364729879922
ACH-000901,0.0628261295358659
ACH-000905,-0.17635260960570248
ACH-000906,0.015125479655243485
ACH-000907,-0.05355735879852881
ACH-000910,0.047416543424885854
ACH-000911,-0.18195881585098495
ACH-000912,-0.02550186952197803
ACH-000913,-0.20880368210265826
ACH-000915,-0.09101727434712556
ACH-000916,0.1742100303010581
ACH-000917,-0.054691942444857006
ACH-000920,-0.027783720451771646
ACH-000921,-0.09208142105526572
ACH-000924,0.07473142375272789
ACH-000926,-0.30954361617770226
ACH-000928,0.17499891292295694
ACH-000929,0.2501386398383399
ACH-000932,-0.06370180080179852
ACH-000935,-0.07860887031517885
ACH-000936,-0.12642251798571116
ACH-000937,-0.033378065686907925
ACH-000938,-0.06607603644666822
ACH-000939,0.04231616231857677
ACH-000941,-0.15607586636401505
ACH-000943,-0.0277917199600225
ACH-000946,-0.10388967339827054
ACH-000947,-0.0666448941603806
ACH-000948,-0.03346890492349139
ACH-000950,0.17433574013083136
ACH-000953,-0.09342589702013454
ACH-000954,-0.07910087495875752
ACH-000957,0.09805480115643336
ACH-000958,-0.05514479987995894
ACH-000960,0.0015331535855825395
ACH-000963,0.10700552448896536
ACH-000968,0.17059259937647644
ACH-000969,0.03236274232881518
ACH-000972,0.09565783811944648
ACH-000973,-0.06855181080374619
ACH-000974,0.0253147195746765
ACH-000978,-0.17402931457147205
ACH-000984,0.007718756423110859
ACH-000986,-0.00044734584266228065
ACH-000988,-0.007642185158533835
ACH-000993,0.04690247748293866
ACH-000994,-0.002661578020151105
ACH-000996,0.0963515232058669
ACH-001001,0.13298575078513306
ACH-001020,-0.029963949914885886
ACH-001028,-0.08649576511246056
ACH-001031,-0.06934820266384381
ACH-001038,-0.012036286030502887
ACH-001048,0.0772515991348635
ACH-001050,0.0440408655998468
ACH-001053,0.0283265366062288
ACH-001054,0.16710360446000966
ACH-001061,-0.052506346584480765
ACH-001067,-0.2143437647870883
ACH-001075,-0.004992480458501275
ACH-001096,0.00758330411817395
ACH-001111,-0.1695591049050935
ACH-001119,0.11349035861435465
ACH-001128,0.22003605137810506
ACH-001134,0.09623585517515228
ACH-001151,0.13738622785949606
ACH-001163,-0.12590243983525992
ACH-001164,-0.12105127611526915
ACH-001183,-0.09381920913029088
ACH-001192,-0.2528815191881095
ACH-001193,0.06985851041077155
ACH-001196,0.04138673679922408
ACH-001197,0.1346873012240729
ACH-001205,0.05269623045110167
ACH-001211,-0.1459310264528808
ACH-001212,0.3960264574825071
ACH-001228,-0.13245748153487644
ACH-001232,0.032741406016043445
ACH-001239,-0.032270653310473164
ACH-001270,0.2957102457173147
ACH-001274,-0.01960183930895217
ACH-001275,0.14034048434315488
ACH-001277,0.1343129562115855
ACH-001278,-0.1356050528163062
ACH-001280,-0.09346427190116732
ACH-001283,0.13907570270923242
ACH-001289,0.008634138797349374
ACH-001300,-0.11326301815161274
ACH-001301,0.11582056812103447
ACH-001302,-0.3170505882131802
ACH-001306,-0.1140874530498118
ACH-001318,-0.12034967967365308
ACH-001322,0.015008846762626147
ACH-001328,-0.01778504965489845
ACH-001332,0.24367678867371534
ACH-001336,0.001795593985089711
ACH-001346,-0.021550837827635862
ACH-001353,-0.09060061785948426
ACH-001354,-0.07382282573403617
ACH-001367,0.055006754221627735
ACH-001368,-0.16319445835656107
ACH-001374,0.17124546121071382
ACH-001377,-0.14005306812342466
ACH-001380,0.07093605660463619
ACH-001391,-0.16826292062208448
ACH-001408,-0.02331167445686672
ACH-001430,0.04577354302997129
ACH-001431,-0.18308804694994546
ACH-001450,-0.1266198544988453
ACH-001496,-0.08332367153145878
ACH-001500,-0.07344850821324295
ACH-001523,0.14178481383118724
ACH-001532,0.012170541584924966
ACH-001550,-0.014925613954194625
ACH-001552,-0.036883799048384486
ACH-001554,-0.12236596584165665
ACH-001654,-0.0637306876815099
ACH-001735,-0.046411604628676266
ACH-001736,0.03410206751488891
ACH-001737,-0.3653069511741893
ACH-001740,-0.020104702974559217
ACH-001745,0.12414462887077485
ACH-001765,0.12162530719749125
